Scène 2.VIII.,2.VIII күренеш.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ул уны һаҡлап, уның ҡабырын һелкетә."
  Grimper par ruse au lieu de s'élever par force ?,Көс менән күтәрелеүҙән урынына хәйләкәрлек менән менергәме?
"  Non, merci. Dédier, comme tous il le font,","Юҡ, рәхмәт, сөнки, һәр кем кеүек,"
  Des vers aux financiers ? se changer en bouffon,Ҡурсаҡтан финанссыға?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Мин уны, хеҙмәтсеһенең һүҙҙәрен ишетеп,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Кемдең генә улыбҡаһы ла йәлләмәй?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Көн һайын баҡсанан төшкө аш ашау?
  Avoir un ventre usé par la marche ? une peau,Йөрөү менән ҡорһаҡ та һуҙыла? тиреһе
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кем бысраҡ, тубыҡ урынына, бысраҡ була?"
  Exécuter des tours de souplesse dorsale ?. . .,Арҡаһына һығылмалылыҡ күрһәтеү өсөн түңәрәк тәгәрмәстәр яһаймы? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Бер ҡул менән кәзәгә муйынды ҡыҫып
"  Cependant que, de l'autre, on arrose le chou,","Ә инде икенсеһенән кәбеҫтә һыуҙы ҡойоу менән,"
"  Et, donneur de séné par désir de rhubarbe,","Ул, сәскәһе менән һөйәктәрен һелкетеп,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Уның хуш еҫле сайырҙы һәр ваҡыт бер һаҡалда тотоу?
"  Non, merci ! Se pousser de giron en giron,","Юҡ, рәхмәт, бер-береһенән күкрәнеп,"
"  Devenir un petit grand homme dans un rond,","Бер түңәрәктә ҙур ҙур кеше булып,"
"  Et naviguer, avec des madrigaux pour rames,","Ялан көймәләре менән йөҙөп,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ә уның яулыҡтарында ҡарт ҡатындың ыңғырашҡан тауыштары бармы?
"  Non, merci ! Chez le bon éditeur de Sercy","Юҡ, рәхмәт, Серсиҙың дөрөҫ мөхәррире менән."
"  Faire éditer ses vers en payant ? Non, merci !",Ә бит ул үҙенең яҙмаларын түләү менән генә төҙөргә тейеш?
  S'aller faire nommer pape par les conciles,Пап исеменә лайыҡ булыу
  Que dans des cabarets tiennent des imbéciles ?,Кабиналарҙа аҡылыһыҙҙар тотола?
"  Non, merci ! Travailler à se construire un nom",Үҙ исемеңде булдырыу өҫтөндә эшләргә.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Башҡалар менән бәйләнешкә инмәйенсә, бер сононда?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Талантты тик һүлмәктә генә табырғамы?
"  Être terrorisé par de vagues gazettes,","Газеталарҙан ҡурҡыу,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Һәм үҙ-үҙенә: ""Әй, әгәр мин"
  Dans les petits papiers du Mercure François ?. . .,Меркурий Францисктың бәләкәй ҡағыҙҙарында?..
"  Non, merci ! Calculer, avoir peur, être blême,","Юҡ, рәхмәт, иҫәпләү, ҡурҡыу, аҡһыл булыу,"
"  Aimer mieux faire une visite qu'un poème,","Шиғырҙан да сәфәрҙе яратыу,"
"  Rédiger des placets, se faire présenter ?","Яҙыу, таныштырыу?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Юҡ, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт, рәхмәт"
"  Rêver, rire, passer, être seul, être libre,","Хыялдар, көлөш, үтеп барыу, яңғыҙ булыу, ирекле булыу,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Күҙҙәрең яҡшы күрһен, тауышың тетрәйһен,"
"  Mettre, quand il vous plaît, son feutre de travers,","Үҙегеҙҙе теләгән ваҡытта, үҙ-үҙен үҙгәртеп,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Әйе"" өсөн, ""Юҡ"" өсөн, көрәшергә, йәки бер ҡойоҡ яһарға!"
"  Travailler sans souci de gloire ou de fortune,","Данға һәм байлыҡҡа ынтылмайынса эш итһен,"
"  A tel voyage, auquel on pense, dans la lune !","Айға шундай сәфәргә, тип уйлайбыҙ!"
"  N'écrire jamais rien qui de soi ne sortît,","Үҙенән-үҙе сыҡмаған нәмәләрҙең барыһын да яҙма,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ә тыйнаҡ кеше: ""Балайым,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Сәскәһе, емештәре, хатта япраҡтары менән ҡәнәғәт булырһың."
  Si c'est dans ton jardin à toi que tu les cueilles !,Әгәр ҙә һин уларҙы үҙ баҡсаңдан йыяһың икән!
"  Puis, s'il advient d'un peu triompher, par hasard,","Әгәр ҙә ул (Аллаһ) бер аҙ ғына булһа ла,"
"  Ne pas être obligé d'en rien rendre à César,","Ҡайсарға түләргә тейеш түгелмен,"
"  Vis-à-vis de soi-même en garder le mérite,","Үҙ-үҙенә ҡарата уның дәрәжәһен һаҡлап ҡалыу,"
"  Bref, dédaignant d'être le lierre parasite,","Ҡыҫҡаһы, паразит лирикаһы булыуҙан баш тартып,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Беҙ тик тик һырға ла, һырға ла булмаһаҡ та,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Юғарыға күтәрелмәһә лә, тик үҙең генә!"
LE BRET:,БЕРЕТ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Бер үҙе лә, әммә бөтәһенә лә ҡаршы түгел!"
  As-tu donc contracté la manie effroyable,Әллә һин ҡурҡыныс манияға тарыныңмы?
"  De te faire toujours, partout, des ennemis ?",Һәр ерҙә дошмандар яһау?
CYRANO:,СИРАНО:
"  A force de vous voir vous faire des amis,","Һеҙҙе дуҫтар яһауҙан күреп,"
"  Et rire à ces amis dont vous avez des foules,","Һеҙ күп һанлы дуҫтарығыҙ менән көлөп,"
  D'une bouche empruntée au derrière des poules !,Ҡошсоҡ артынан ятҡан ауыҙ менән!
"  J'aime raréfier sur mes pas les saluts,","Мин сәләмләү һүҙҙәрен һирәк һөйләйем,"
  Et m'écrie avec joie: un ennemi de plus !,"Күңелгә шатлыҡ һалып ҡысҡырығыҙ: "" Тағы бер дошман!"
LE BRET:,БЕРЕТ:
  Quelle aberration !,Ниндәй ғәҙелһеҙлек!
CYRANO:,СИРАНО:
"  Eh bien, oui, c'est mon vice.","Эйе, был минең насарлығым."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Мин, кешеләр мине нәфрәт итһә, рәхәтләнеп ял итәм."
"  Mon cher, si tu savais comme l'on marche mieux","Ҡәҙерле, әгәр һин яҡшыраҡ йөрөй белһәң"
  Sous la pistolétade excitante des yeux !,Күҙҙәрҙең тулҡынландырғыс пистолет торошо аҫтында!
"  Comme, sur les pourpoints, font d'amusantes taches","Нисек, ояттар буйынса, ҡыҙыҡлы таптар яһай"
  Le fiel des envieux et la bave des lâches !,Көнсөлдәрҙең һарыуы һәм ҡурҡаҡтарҙың һарыуы!
"  --Vous, la molle amitié dont vous vous entourez,","- Һеҙ, үҙегеҙҙе йыуаш дуҫтар,"
"  Ressemble à ces grands cols d'Italie, ajourés","Был ҙур итальян терәктәре кеүек, кисектерелгән"
"  Et flottants, dans lesquels votre cou s'effémine:","Йөҙөгөҙҙөң ҡайышы менән йөҙөп,"
"  On y est plus à l'aise. . .et de moins haute mine,","Беҙ унда уңайлыраҡ. . . һәм түбән бейеклектә,"
"  Car le front n'ayant pas de maintien ni de loi,",Сөнки уның маңлайына ҡануниәт һәм тәртип юҡ.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ул һәр яҡлап ҡарауҙан баш тарта.
"  La Haine, chaque jour, me tuyaute et m'apprête",Көн һайын нәфрәт мине уятты һәм йыуатты
  La fraise dont l'empois force à lever la tête;,"Башын күтәрергә мәжбүр иткән йәшелсә,"
  Chaque ennemi de plus est un nouveau godron,Һәр дошман - яңы ботаҡ.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ул миңә бәлә - ҡазалар өҫтәп, ҡайғы - хәсрәттәр өҫтәп,"
"  Car, pareille en tous points à la fraise espagnole,","Сөнки, һәр яҡлап испан ҡуҙаҡлыһы кеүек,"
"  La Haine est un carcan, mais c'est une auréole !","Нәфрәт - ҡошсолоҡ, әммә ул - ҡояш нурҙары!"
"LE BRET (après un silence, passant son bras sous le sien):","КҮНӘТ (һуңғылыҡтан һуң, ҡулы аҫтына күсергән):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ғорур һәм әсе булһа ла, түбән булһа ла,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Әйт кенә бир, ул һине яратмай!"
CYRANO (vivement):,КИРАН (төйөлөп йәшәй):
  Tais-toi !,Һөйләмә!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Көтмәгән ваҡыттан һуң Кристиан инеп, кесе балалар менән аралашты; улар"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"һөйләшмәй, ул, ниһайәт, яңғыҙ ултырҙы"
