Scène 2.VIII.,୨.୮।
"  Hé bien oui, j'exagère !","ମୁଁ ଭାବୁଛି, ମୁଁ ଅଧିକା କହୁଛି।"
LE BRET (triomphant):,ବ୍ରେଟ୍ (ବିଜୟଶାଳୀ):
  Ah !,ଆଃ !
CYRANO:,ସାଇରାନୋ:
"  Mais pour le principe, et pour l'exemple aussi,","କିନ୍ତୁ ନୀତି ପାଇଁ, ଏବଂ ଉଦାହରଣ ପାଇଁ ମଧ୍ୟ,"
  Je trouve qu'il est bon d'exagérer ainsi.,"ମୁଁ ଭାବୁଛି ଯେ, ଏହା ଏକ ଉତ୍ତମ ଉପାୟ ଅଟେ ।"
LE BRET:,- ମୁଁ କହୁଛି...
"  Si tu laissais un peu ton âme mousquetaire,","ଯଦି ତୁମେ ତୁମର ମସ୍କେଟିକ ପ୍ରାଣକୁ କିଛି ସମୟ ଛାଡିଦିଅ,"
  La fortune et la gloire. . .,ଧନ ଓ ସମ୍ମାନ . . .
CYRANO:,ସାଇରାନୋ:
  Et que faudrait-il faire ?,ଆଉ କଣ କରିବା ଦରକାର ?
"  Chercher un protecteur puissant, prendre un patron,","ଜଣେ ଶକ୍ତିଶାଳୀ ସୁରକ୍ଷାକର୍ତ୍ତା ଖୋଜିବା, ଜଣେ ମାଲିକ ଖୋଜିବା,"
  Et comme un lierre obscur qui circonvient un tronc,ଏବଂ ଏକ ଅନ୍ଧକାରମୟ କପଡା ପରି ଏକ କପଡା ଆଖପାଖରେ
"  Et s'en fait un tuteur en lui léchant l'écorce,",ତା'ପରେ ସେ ତା'ର ଚର୍ମକୁ ପୋଛି ତା'ର ଚର୍ମକୁ ଚୋରି କରି ତାକୁ ସୁରକ୍ଷା ଦିଏ ।
  Grimper par ruse au lieu de s'élever par force ?,କୌତୁହଳପୂର୍ଣ୍ଣ ଚଢ଼ିବା ବଦଳରେ ଶକ୍ତିଶାଳୀ ଚଢ଼ିବା?
"  Non, merci. Dédier, comme tous il le font,","ନା, ଧନ୍ୟବାଦ, ସେ ସବୁକିଛି ଉତ୍ସର୍ଗ କରନ୍ତି ।"
  Des vers aux financiers ? se changer en bouffon,"ପୋକରୁ ପାଣ୍ଠିକୁ, ପୋକକୁ"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ମୁଁ ଆଶା କରୁଛି ଯେ, ଜଣେ ମନ୍ତ୍ରୀଙ୍କ ମୁହଁରେ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ଆଉ କିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ ନଥିବ, ଯିଏ"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ନା, ଧନ୍ୟବାଦ, ପ୍ରତିଦିନ ରାତ୍ରି ଭୋଜନ କପଡ଼ା ଖାଇବେ?"
  Avoir un ventre usé par la marche ? une peau,"ପାଦରେ ଚାଲିବା ଦ୍ବାରା ପେଟ ଖରାପ ହେବା, ଚର୍ମ ଖରାପ ହେବା"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",କିଏ ଶୀଘ୍ର ପାଦକୁ ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଦକୁ ପୋଛି ପାଏ ।
  Exécuter des tours de souplesse dorsale ?. . .,ପିଠିର ଗତିକୁ ସୁଗମ କରିବା ପାଇଁ . . .
"  Non, merci. D'une main flatter la chèvre au cou","ନା, ଧନ୍ୟବାଦ, ଗୋଟିଏ ହାତରେ ଛେଳିକୁ ଗଳାକୁ ଧରିବା"
"  Cependant que, de l'autre, on arrose le chou,","କିନ୍ତୁ ଅନ୍ୟଟି ହେଉଛି, ଆମେ କପା ପାଣିରେ ଢାଳୁ ।"
"  Et, donneur de séné par désir de rhubarbe,",ଆଉ ସେ ବାମନଙ୍ଗୀ ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ଚର୍ମର ।
"  Avoir son encensoir, toujours, dans quelque barbe ?",ସେ କ'ଣ ସବୁବେଳେ ନିଜ ଦାଢ଼ି ଭିତରେ ନିଜ ଇନ୍ଦ୍ରିୟକୁ ରଖିବ?
"  Non, merci ! Se pousser de giron en giron,","ନା, ଧନ୍ୟବାଦ, ଧାଇଁ ଆସୁଛି ।"
"  Devenir un petit grand homme dans un rond,","ଗୋଟିଏ ଚକ୍ରରେ ଛୋଟ ବଡ଼ ମଣିଷ ହେବା,"
"  Et naviguer, avec des madrigaux pour rames,","ଜାହାଜରେ ଜାହାଜ ଚଳାଚଳ କରିବା ପାଇଁ,"
  Et dans ses voiles des soupirs de vieilles dames ?,ଆଉ ତା'ର ଜାଲ ଭିତରେ କ'ଣ ପୁରୁଣା ସ୍ତ୍ରୀଲୋକର ନିଶ ?
"  Non, merci ! Chez le bon éditeur de Sercy","ନା, ଧନ୍ୟବାଦ, ସାର୍ସିଙ୍କ ସଠିକ ସମ୍ପାଦକଙ୍କ ପାଖରେ ।"
"  Faire éditer ses vers en payant ? Non, merci !",- ମୁଁ କ'ଣ ତୁମକୁ ଟଙ୍କା ଦେଇ ତୁମର କଣ୍ଠସ୍ୱର ସମ୍ପାଦନା କରିବାକୁ କହିବି?
  S'aller faire nommer pape par les conciles,ପପ୍ ଭାବେ ନାମିତ ହେବା ପାଇଁ ସଭା
  Que dans des cabarets tiennent des imbéciles ?,କ'ଣ କବାଟ୍ରେ ମୂର୍ଖ ଲୋକ ରହୁଛନ୍ତି?
"  Non, merci ! Travailler à se construire un nom","ନା, ଧନ୍ୟବାଦ, ନିଜ ପାଇଁ ନାମ ତିଆରି କରିବା ପାଇଁ ଚେଷ୍ଟା କରନ୍ତୁ ।"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ଗୋଟିଏ ସ୍ନାନରେ ଆଉ ଗୋଟିଏ ସ୍ନାନ କରିବା ବଦଳରେ?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,କ'ଣ ଆପଣ କେବଳ କପୋତମାନଙ୍କରେ ପ୍ରତିଭା ଦେଖୁଛନ୍ତି?
"  Être terrorisé par de vagues gazettes,","ଖବରକାଗଜଗୁଡ଼ିକରେ ଭୟଭୀତ ହେବା,"
"  Et se dire sans cesse: Oh, pourvu que je sois","ଆଉ ନିଜକୁ ସବୁବେଳେ ଭାବୁଥାଏ, ""ଓ, ମୁଁ ଯଦି"
  Dans les petits papiers du Mercure François ?. . .,ମର୍କୁର ଫ୍ରାନ୍ସଙ୍କ ଛୋଟ କାଗଜପତ୍ରରେ? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ନା, ଧନ୍ୟବାଦ, ଗଣନା କରିବା, ଭୟଭୀତ ହେବା, ନିରାଶ ହେବା,"
"  Aimer mieux faire une visite qu'un poème,",କବିତା ଅପେକ୍ଷା ଭ୍ରମଣ ଭଲ ଲାଗେ ।
"  Rédiger des placets, se faire présenter ?",ସେ କ'ଣ କିଛି ଲେଖିପାରିବେ କି ନିଜକୁ ପରିଚୟ ଦେବେ?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ନା, ଧନ୍ୟବାଦ ନା, ଧନ୍ୟବାଦ ନା, ଧନ୍ୟବାଦ କିନ୍ତୁ..."
"  Rêver, rire, passer, être seul, être libre,","ସ୍ୱପ୍ନ ଦେଖିବା, ହସିବା, ଅତିକ୍ରମ କରିବା, ଏକୁଟିଆ ରହିବା, ମୁକ୍ତ ହେବା,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ଆଖି ଭଲ ଭାବେ ଦେଖିପାରେ, କଣ୍ଠରେ ଭ୍ରମିତ ହୁଏ,"
"  Mettre, quand il vous plaît, son feutre de travers,","ଯେତେବେଳେ ବି ଆପଣ ଚାହିଁବେ, ନିଜ ମନର ଭାବନାକୁ ଭୁଲାଇବେ,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ହଁ ପାଇଁ ନା ପାଇଁ, ଯୁଦ୍ଧ ପାଇଁ, କିମ୍ବା କୀଟ ପାଇଁ!"
"  Travailler sans souci de gloire ou de fortune,",ନିଜର ଗୌରବ ଓ ଧନ ପାଇଁ ଚିନ୍ତା ନକରି କାମ କରନ୍ତୁ ।
"  A tel voyage, auquel on pense, dans la lune !",ଚନ୍ଦ୍ରକୁ ଯାତ୍ରା କରିବା ପାଇଁ କେତେ ଭଲ !
"  N'écrire jamais rien qui de soi ne sortît,",ଆପଣ ଯାହା ଲେଖୁଛନ୍ତି ତାହା ଲେଖନ୍ତୁ ନାହିଁ ।
"  Et modeste d'ailleurs, se dire: mon petit,","ଆଉ ମଧ୍ୟ ନିଜକୁ ସାହସୀ ଭାବୁଥାଏ, ""ମୋର ପିଲା,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ଫୁଲ, ଫଳ, ପତ୍ର,"
  Si c'est dans ton jardin à toi que tu les cueilles !,ଯଦି ଆପଣ ନିଜ ବଗିଚାରେ ସେସବୁକୁ ସଂଗ୍ରହ କରୁଛନ୍ତି!
"  Puis, s'il advient d'un peu triompher, par hasard,","ତା'ପରେ ଯଦି ସେ କିଛି ସମୟ ପାଇଁ ବିଜଯୀ ହୁଏ,"
"  Ne pas être obligé d'en rien rendre à César,",ତେଣୁ ମୁଁ କାଇସରଙ୍କୁ କୌଣସି ପ୍ରକାର ଦାନ ଦେବାକୁ ବାଧ୍ୟ ନୁହେଁ ।
"  Vis-à-vis de soi-même en garder le mérite,","ନିଜ ପ୍ରତି ସମ୍ମାନର ଭାବନା ରଖିବାକୁ,"
"  Bref, dédaignant d'être le lierre parasite,","ସଂକ୍ଷେପରେ, ମୁଁ ପାରାଦୀପ ଲିରା ହେବାକୁ ଅସ୍ୱୀକାର କରେ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ଯଦିଓ ଆମେ ବଗିଚା କିମ୍ବା କଦଳୀ ନୁହଁ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !",- ମୁଁ ତତେ ଏତେ ଉଚ୍ଚରେ ନେଇ ପାରିବି ନାହିଁ ।
LE BRET:,- ମୁଁ କହୁଛି...
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ସେ ଏକା ଥିଲେ, କିନ୍ତୁ ସମସ୍ତଙ୍କ ବିରୋଧରେ ନୁହେଁ ।"
  As-tu donc contracté la manie effroyable,"""ତୁମ୍ଭେ କ'ଣ ଭୟଙ୍କର ମନୋଭାବରେ ପଡ଼ିଛ?"
"  De te faire toujours, partout, des ennemis ?",ସବୁଠି ଶତ୍ରୁ ସୃଷ୍ଟି କରିବା?
CYRANO:,ସାଇରାନୋ:
"  A force de vous voir vous faire des amis,","ମୁଁ ତୁମକୁ ବନ୍ଧୁତା କରୁଥିବା ଦେଖି,"
"  Et rire à ces amis dont vous avez des foules,","ଆଉ ଏହି ବନ୍ଧୁମାନଙ୍କୁ ହସିବା ପାଇଁ, ଯେଉଁମାନଙ୍କ ସହିତ ଆପଣମାନଙ୍କର ଭିଡ଼ ଅଛି,"
  D'une bouche empruntée au derrière des poules !,ସେ ଗୋଟିଏ ପାଟି ନେଇଛି କୁକୁଡ଼ା ପିଠିରେ!
"  J'aime raréfier sur mes pas les saluts,",ମୁଁ ପାଦ ଥାପି ଅଭିବାଦନ ଜଣାଇବାର ଅଭ୍ୟାସ କରେ।
  Et m'écrie avec joie: un ennemi de plus !,"ଆଉ ସେ ଆନନ୍ଦରେ ମୋତେ ଡାକନ୍ତି, ଆଉ ଜଣେ ଶତ୍ରୁ!"
LE BRET:,- ମୁଁ କହୁଛି...
  Quelle aberration !,ଏହା ଏକ ବିରଳ କଥା ।
CYRANO:,ସାଇରାନୋ:
"  Eh bien, oui, c'est mon vice.","ହଁ, ଏହା ମୋର ଖରାପ ଗୁଣ।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ମୁଁ ଘୃଣା ପାଇବାକୁ ଭଲ ପାଏ।
"  Mon cher, si tu savais comme l'on marche mieux","ମୋ ପ୍ରିୟ, ତୁମେ ଯଦି ଜାଣିଥାଅ ଆମେ କିପରି ଭଲ ଭାବରେ ଚାଲିବା"
  Sous la pistolétade excitante des yeux !,ଆଖିର ଚମକପୂର୍ଣ୍ଣ ପସ୍ତୁରା ଅବସ୍ଥାରେ !
"  Comme, sur les pourpoints, font d'amusantes taches",କାରଣ ସେମାନେ ମଜାଦାର କାମ କରନ୍ତି ।
  Le fiel des envieux et la bave des lâches !,ଶାପଗ୍ରସ୍ତ ଲୋକର ଦାଗ ଓ ଭୟଙ୍କର ଲୋକର ଦାଗ ।
"  --Vous, la molle amitié dont vous vous entourez,","--ତୁମେ, ତୁମର ମୃଦୁ ବନ୍ଧୁତା,"
"  Ressemble à ces grands cols d'Italie, ajourés","ଇଟାଲୀର ଏହି ବଡ଼ କିଲସ ଭଳି,"
"  Et flottants, dans lesquels votre cou s'effémine:","ଆଉ ଭାସୁଥିବା ପାଣିରେ, ଯାହା ତୁମ ବେକକୁ ଭାରି ଡରାଇଥାଏ ।"
"  On y est plus à l'aise. . .et de moins haute mine,","ଆମେ ଏଥିରେ ଅଧିକ ଆରାମ ଅନୁଭବ କରୁ. . . ଏବଂ କମ୍ ଉଚ୍ଚତା,"
"  Car le front n'ayant pas de maintien ni de loi,","କାରଣ, ମୋ' ସମ୍ମୁଖରେ କୌଣସି ନିୟମ ନାହିଁ ।"
"  S'abandonne à pencher dans tous les sens. Mais moi,",ସେ ସବୁ ଦିଗକୁ ଆକର୍ଷିତ ହେବାକୁ ଚେଷ୍ଟା କରେ।
"  La Haine, chaque jour, me tuyaute et m'apprête",ଘୃଣା ପ୍ରତି ଦିନ ମୋତେ ଟାଣେ ଏବଂ ମୋତେ ପ୍ରସ୍ତୁତ କରେ
  La fraise dont l'empois force à lever la tête;,ମୃଗ ଯାହାଙ୍କ ବିଷ ତାକୁ ମୁଣ୍ଡ ଉଠାଇବାକୁ ବାଧ୍ୟ କରେ ।
  Chaque ennemi de plus est un nouveau godron,ପ୍ରତିଟି ଶତ୍ରୁକୁ ନୂଆ ଡଡ୍ରୋନ୍ ବୋଲି କୁହାଯାଏ ।
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ସେ ମାେତେ ଅଧିକ କଷ୍ଟ ଦିଅନ୍ତି ଓ ମାେତେ ଅଧିକ କଷ୍ଟ ଦିଅନ୍ତି।
"  Car, pareille en tous points à la fraise espagnole,","କାରଣ ସବୁ କ୍ଷେତ୍ରରେ ସ୍ପାନିଶ୍ ଫ୍ରେଜ୍ ପରି,"
"  La Haine est un carcan, mais c'est une auréole !","ଘୃଣା ଏକ ପୋକ, କିନ୍ତୁ ଏହା ଏକ ଆରେୋଲା!"
"LE BRET (après un silence, passant son bras sous le sien):","ନିରବତା ପରେ, ନିଜ ବାମ ହାତକୁ ନିଜ ବାମ ହାତରେ ଦେଇ,"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ଅହଙ୍କାରୀକୁ ଉଚ୍ଚତା ଦିଅ, ଏବଂ ତାକୁ କଟୁ କର, କିନ୍ତୁ ନିମ୍ନକୁ ଆସ ।"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ମୋତେ କୁହ ସେ ତୁମକୁ ଭଲ ପାଏ ନାହିଁ!
CYRANO (vivement):,ସିଆରାନୋ (ଜୀବିତ):
  Tais-toi !,ଚୁପ୍ କର !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(କୌଣସି ମୁହୂର୍ତ୍ତ ପରେ, ଖ୍ରୀଷ୍ଟିଆନ ଭିତରକୁ ଗଲେ, ସେ କନିଷ୍ଠମାନଙ୍କ ସହିତ ମିଶିଗଲେ; ସେମାନେ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ସେ ତାଙ୍କ ସହିତ କଥାବାର୍ତ୍ତା ନକରି ଶେଷରେ ଏକାକୀ ବସିଗଲେ
