Scène 2.VIII.,Scenario 2.VIII.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Eet elke dag 'n kraai?
  Avoir un ventre usé par la marche ? une peau,"Om 'n maag te hê wat deur die loop gedroog word, 'n vel"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Wie word die vinnigste, in die plek van die knieë, vuil?"
  Exécuter des tours de souplesse dorsale ?. . .,Om rugsteun te doen? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nee, dankie, met een hand, die bok in die nek"
"  Cependant que, de l'autre, on arrose le chou,","Maar as ons die kool van die ander een water,"
"  Et, donneur de séné par désir de rhubarbe,","En die een wat die bors uit die hart van die hare laat sak,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Om sy wierook altyd in 'n baard te hou?
"  Non, merci ! Se pousser de giron en giron,","Nee, dankie, ek het 'n bietjie gedraai."
"  Devenir un petit grand homme dans un rond,","Om 'n klein groot man in 'n ronde,"
"  Et naviguer, avec des madrigaux pour rames,","En om te vaar, met vlieë vir rame,"
  Et dans ses voiles des soupirs de vieilles dames ?,"En in sy seëls, die gries van ou dames?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nee, dankie, by die regte Sercy-uitgewer."
"  Faire éditer ses vers en payant ? Non, merci !",Moet jy jou werkstukke betaal?
  S'aller faire nommer pape par les conciles,Om deur die konselle as pous aangestel te word
  Que dans des cabarets tiennent des imbéciles ?,Wat is die probleem met die feit dat die mense in die kastele is?
"  Non, merci ! Travailler à se construire un nom",Ek werk om 'n naam te maak.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Op 'n sonnet, eerder as om ander te maak?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Jy kan talent net in die kelder ontdek.
"  Être terrorisé par de vagues gazettes,","Om deur die nuus te skrik,"
"  Et se dire sans cesse: Oh, pourvu que je sois","En sê voortdurend: ""O, as ek"
  Dans les petits papiers du Mercure François ?. . .,In die klein papierwerk van die Mercurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nee, dankie, ek kan nie."
"  Aimer mieux faire une visite qu'un poème,","Liewer om 'n besoek te doen as 'n gedig,"
"  Rédiger des placets, se faire présenter ?","Om plakkate te skryf, om voor te stel?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nee, dankie, dankie, maar sing,"
"  Rêver, rire, passer, être seul, être libre,","Om te droom, te lag, te gaan deur, alleen te wees, vry te wees,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Om 'n oog wat goed sien, 'n stem wat skud,"
"  Mettre, quand il vous plaît, son feutre de travers,","Sit, wanneer jy wil, sy gevoel van verwarring,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Vir 'n ja, vir 'n nee, veg, - of maak 'n wurm!"
"  Travailler sans souci de gloire ou de fortune,","Werk sonder om te bekommer oor roem of rykdom,"
"  A tel voyage, auquel on pense, dans la lune !","'n Reis soos die een wat ons dink, na die maan!"
"  N'écrire jamais rien qui de soi ne sortît,","Moet nooit iets skryf wat nie vanself kom nie,"
"  Et modeste d'ailleurs, se dire: mon petit,","En beskeie, sê vir homself: ""My kind,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Of jy tevrede is met blomme, vrugte, selfs blare,"
  Si c'est dans ton jardin à toi que tu les cueilles !,As jy dit in jou eie tuin optel!
"  Puis, s'il advient d'un peu triompher, par hasard,","Dan, as hy 'n bietjie oorwin, toevallig,"
"  Ne pas être obligé d'en rien rendre à César,","""Ek is nie verplig om aan die keiser te betaal nie."
"  Vis-à-vis de soi-même en garder le mérite,","Vir jouself hou die verdienste,"
"  Bref, dédaignant d'être le lierre parasite,","Kortom, verag om die parasiete lierre te wees,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Selfs as ons nie die eik of die oak is nie,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nie hoog nie, maar alleen."
LE BRET:,Die Kersfees:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ek kan dit alleen doen, maar nie teen almal nie."
  As-tu donc contracté la manie effroyable,Het jy dus die verskriklike manie gekry
"  De te faire toujours, partout, des ennemis ?","Om altyd, oral, vyande te maak?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Ek het gesien hoe julle vriende maak.
"  Et rire à ces amis dont vous avez des foules,","En lag vir die vriende wat jy het in die skare,"
  D'une bouche empruntée au derrière des poules !,Met 'n mond wat agter die hoenders geleen is!
"  J'aime raréfier sur mes pas les saluts,",Ek hou daarvan om groete te sê wanneer ek stap.
  Et m'écrie avec joie: un ennemi de plus !,En roep met vreugde uit: 'n vyand meer!
LE BRET:,Die Kersfees:
  Quelle aberration !,Wat 'n aberraat!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Wel, ja, dit is my eie nadeel."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ek hou daarvan om weg te gaan, ek hou daarvan om gehaat te word."
"  Mon cher, si tu savais comme l'on marche mieux","Liewe, as jy geweet het hoe om beter te loop"
  Sous la pistolétade excitante des yeux !,Onder die opwindende pistool van die oë!
"  Comme, sur les pourpoints, font d'amusantes taches","Soos, op die punte, maak pret kolle"
  Le fiel des envieux et la bave des lâches !,Die gier van die jaloers en die lafheid van die lafaards!
"  --Vous, la molle amitié dont vous vous entourez,","Jy, die sagte vriendskap wat jy omring,"
"  Ressemble à ces grands cols d'Italie, ajourés","Dit lyk soos die groot Italiaanse nekke, uitgestel"
"  Et flottants, dans lesquels votre cou s'effémine:","En dryf, waarin jou nek flikker:"
"  On y est plus à l'aise. . .et de moins haute mine,",Ons voel meer gemaklik daar.
"  Car le front n'ayant pas de maintien ni de loi,","Want die voorkop het geen reg en wet nie,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Hy gee op om te kyk in alle rigtings.
"  La Haine, chaque jour, me tuyaute et m'apprête","Haat, elke dag, steek my op en maak my gereed"
  La fraise dont l'empois force à lever la tête;,Die aarbeie wat sy gif dwing om sy kop te verhoog;
  Chaque ennemi de plus est un nouveau godron,Elke ander vyand is 'n nuwe doos
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Hy het my nog meer moeilikheid gegee en my weerlig gegee.
"  Car, pareille en tous points à la fraise espagnole,","Want soos die Spaanse aarbeie,"
"  La Haine est un carcan, mais c'est une auréole !","Haat is 'n slak, maar dit is 'n Aarde!"
"LE BRET (après un silence, passant son bras sous le sien):","Die BREET (na 'n stilte, deur sy arm onder sy eie):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Maak die hoogmoedige hoog en bitter, maar die laag"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sê net vir my dat sy nie van jou hou nie!
CYRANO (vivement):,CYRANO (lewe):
  Tais-toi !,Hou jou kop!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Van 'n oomblik af, Christian het ingegaan, het met die jonger kinders, hierdie"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,het nie met hom praat nie; hy het uiteindelik alleen by 'n
