Scène 2.VIII.,স্কেন ২.৮.
"  Qu'assassiner toujours la chance passagère,",মতম খরগী ওইনা খুদোংচাদবা অমা লৈহৌরোইদবনি।
  Devient exagéré.,মসি য়াম্না ৱাৎলি।
CYRANO:,সাইরানো:
"  Hé bien oui, j'exagère !",ঐহাক্না হায়জরি।
LE BRET (triomphant):,ৱারী শান্নবা:
  Ah !,ঐহাক্না হায়জরি!
CYRANO:,সাইরানো:
"  Mais pour le principe, et pour l'exemple aussi,","অদুবু মসিগী মতুংইন্না, অমসুং খুদম ওইনা,"
  Je trouve qu'il est bon d'exagérer ainsi.,ঐহাক্না হায়জরি মদুদি মসি য়াম্না ৱাংনা লৌবা হায়বসি অফবা অমনি।
LE BRET:,মপুং ফাহল্লকপা:
"  Si tu laissais un peu ton âme mousquetaire,",অদোমগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী
  La fortune et la gloire. . .,ঐহাক্না চাউথোকচবা অমসুং চাউথোকচবা ফংজবা পামজৈ। . . .
CYRANO:,সাইরানো:
  Et que faudrait-il faire ?,অদুগা করি তৌগদৌরিবনো?
"  Chercher un protecteur puissant, prendre un patron,","শক্তি লৈবা ঙাকশেল অমা ফংনবা, মপাং অমা লৌনবা,"
  Et comme un lierre obscur qui circonvient un tronc,মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী
"  Et s'en fait un tuteur en lui léchant l'écorce,",মদুদগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী ম
  Grimper par ruse au lieu de s'élever par force ?,মশাগী মফমদা চঙশিনবগী মহুত্তা মশাগী মফমদা চঙশিনবা?
"  Non, merci. Dédier, comme tous il le font,","নঙো, থাগৎচরি। মখোয়না তৌরিবা মতৌগুম্না,"
  Des vers aux financiers ? se changer en bouffon,ৱার্মশিংদগী ফাইনান্সিএলশিংদা?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","মন্ত্রী অমগী ৱারোলদা,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",অদোম্না নুংশিবা ঙম্লোইদবা মীওই অমা ওইগদ্রা?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",নুমিৎ খুদিংগী শগোল্দুদা য়ূম্ফম থোকপা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা চানবা
  Avoir un ventre usé par la marche ? une peau,চৎন-কাঙলোনগী মমি অমা চঙবা?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",কনানা মখুঙগী মফমদা অথুবা মতমদা নোংমৈ-নোংমৈ থোকই?
  Exécuter des tours de souplesse dorsale ?. . .,বেক্লোজিংগী থবকশিং পাংথোকপা? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ঐনা থাগৎচরি। ঐহাক্না অদোমগী মপাশিংবু থাগৎচরি।
"  Cependant que, de l'autre, on arrose le chou,",অদুবু অমরোমদা কপল অদু থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুমথুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না থুম্না
"  Et, donneur de séné par désir de rhubarbe,",অমসুং মশাগী মঙাল ফোংদোকচরি।
"  Avoir son encensoir, toujours, dans quelque barbe ?",মহাক্কী ইৎকী মৈ থাদোকপা অদু মতম পুম্বদা মহাক্কী মৈ থাদোকপা মৈ থাদোকপা?
"  Non, merci ! Se pousser de giron en giron,",ঐনা থাগৎচরি।
"  Devenir un petit grand homme dans un rond,","মখোঙ অমদা অচৌবা নুপা অমা ওইরকপা,"
"  Et naviguer, avec des madrigaux pour rames,",অমসুং রেলগী মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মরী লৈনবা মীওইশিং
  Et dans ses voiles des soupirs de vieilles dames ?,মহাক্কী মখোংশিংদা নুপী পুন্সিগী মখোংশিং য়াওরম্বা?
"  Non, merci ! Chez le bon éditeur de Sercy",ঐহাক্না অদোমগী ইদুতেসনগী মফমদা থাগৎচরি।
"  Faire éditer ses vers en payant ? Non, merci !",মহাক্কী ৱর্মশিংবু শেল থাদদুনা ইদর তৌবীয়ু?
  S'aller faire nommer pape par les conciles,পোপ ওইনা মীরেপশিং থাগৎপা
  Que dans des cabarets tiennent des imbéciles ?,ক্বারেৎশিংদা মচাশিং লৈবদু?
"  Non, merci ! Travailler à se construire un nom",ঐহাক্না অদোমগী মিং অমা শেমগৎনবা হোৎনরি
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",অতোপ্পা অনীগী মহুৎতা সোনেত অমদা?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,থাগৎচরি। অদোম্না তোপিকপা মওংদা অদোমগী হৈ-শিংবা ফংলব্রা?
"  Être terrorisé par de vagues gazettes,","পাইগী মওংদা থিংনবা,"
"  Et se dire sans cesse: Oh, pourvu que je sois","অমসুং মতম পুম্বদা হায়জরি, 'অহ, ঐহাক্না ঐহাকপু"
  Dans les petits papiers du Mercure François ?. . .,মার্কুর ফ্রান্সিসকী পপীশিংদা? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","নঙো, থাগৎচরি। খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা খরা"
"  Aimer mieux faire une visite qu'un poème,",শৈরেং অমদগী হেন্না খোংচৎ চৎপা পাম্মী।
"  Rédiger des placets, se faire présenter ?","পিকপশিং ইবা, মশামক খঙহনবা?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ঐনা থাগৎচরি। ঐনা থাগৎচরি। ঐনা থাগৎচরি।
"  Rêver, rire, passer, être seul, être libre,",ঐহাক্না অদোমগী মফমদা ঐহাক্কী মফমদা থাগৎচরি।
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","মীৎয়েং ফনা য়েংবা, ৱা ঙাংবা,"
"  Mettre, quand il vous plaît, son feutre de travers,","করিগুম্বা নহাক্না পাম্লবদি, মহাক্কী ৱাখল অদু হোংদোকপা,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না য়াদে"" হায়বা অমা লৌবা, ""নখোয়না লান্থেংনবসি"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা, ""নখোয়না ইয়ে"" হায়বা অমা লৌবা।"
"  Travailler sans souci de gloire ou de fortune,",মগুন নত্ত্রগা শেল-থুমগীদমক থাজদবা থবক তৌগদবনি
"  A tel voyage, auquel on pense, dans la lune !",চন্দ্রদা চৎপা অসিগুম্বা খোংচৎ অমদা ঐখোয়না ৱাখল থাদোকই।
"  N'écrire jamais rien qui de soi ne sortît,",অদোম্না ইবা য়াদবা করিগুম্বা অমত্তা ইবা ঙম্লোই
"  Et modeste d'ailleurs, se dire: mon petit,","অমসুং অদোম্না হায়রবদি, 'ঐহাক্কী অঙাং ওইরিঙৈদা ঐহাক্না অদোমগী মপা ওইরি'"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","মচিন-মশিং, মহৈ-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন-মশিং, মচিন"
  Si c'est dans ton jardin à toi que tu les cueilles !,নহাক্কী বাগানদা মখোয়শিং অদু লৌরবদি!
"  Puis, s'il advient d'un peu triompher, par hasard,","করিগুম্বা মহাক্না অশাবা ফীভমদা লৈরবদি,"
"  Ne pas être obligé d'en rien rendre à César,","কৈসরনা পীবা য়াবা শেনফম অমত্তা ঐনা পীদ্রিবা নত্তে,"
"  Vis-à-vis de soi-même en garder le mérite,","মশাগী মশাগী মঙালদা থম্বা,"
"  Bref, dédaignant d'être le lierre parasite,","মপুং ফাহল্লকপা মখৈ ওইবগীদমক,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ঐখোয়না ইকাইখুম্নবা উৎপদা নত্তনা,"
"  Ne pas monter bien haut, peut-être, mais tout seul !",ঐহাক্না অদোমগী মফমদা লৈরোইদবনি।
LE BRET:,মপুং ফাহল্লকপা:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","অদোম্না খক্তদা ওইবসু য়াই, অদুবু মীপুম খুদিংমক্কী মায়োক্তা নত্তে।"
  As-tu donc contracté la manie effroyable,অদোম্না য়াম্না নুংঙাইবা মৈতৈ অমা ফংলব্রা?
"  De te faire toujours, partout, des ennemis ?",মফম খুদিংদা মনা-মশীং য়াম্লবা মীওইশিংবু তোকপা?
CYRANO:,সাইরানো:
"  A force de vous voir vous faire des amis,","অদোম্না মরুপ ওইরকপা য়েংলুরবদি,"
"  Et rire à ces amis dont vous avez des foules,",অমসুং নহাক্কী মরী লৈনবশিংবু থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্মোয় শেংনা থম্ম
  D'une bouche empruntée au derrière des poules !,মশাগী মখুমদা থাদোকপা ঙম্বা মখুম অমা!
"  J'aime raréfier sur mes pas les saluts,",ঐহাক্না ঐগী খোঙথাংশিংদা য়াইফ-পাউজেল পীবদা য়াম্না পাম্মি।
  Et m'écrie avec joie: un ennemi de plus !,"ঐহাক্না নুংঙাইবা ফোংদোকচরি, ""অদোমগী মথক্তা অমা লাক্কদৌরি!"
LE BRET:,মপুং ফাহল্লকপা:
  Quelle aberration !,মসি য়াম্না অখন্নবা অমনি।
CYRANO:,সাইরানো:
"  Eh bien, oui, c'est mon vice.","অদু ওইরবদি, ঐহাক্না করি তৌবগে?"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ঐহাক্না মীনা ঐহাকপু পামজবা অমসুং ঐহাক্না মীনা ঐহাকপু পামজবা পামজৈ।
"  Mon cher, si tu savais comme l'on marche mieux",ঐগী নুংশিজবা ঐহাক্না অদোম্না হেন্না ফবা চৎনরোইদবনি
  Sous la pistolétade excitante des yeux !,ঐহাক্না অদোমগী মখোঙ-মখোঙগী মখোঙদা থম্মোয় শেংনা উবা ফংই।
"  Comme, sur les pourpoints, font d'amusantes taches","মতৌ করম্না, পুক্নিং থৌগৎপদা, মীতৈ ওইবা মওংশিং পাংথোকই"
  Le fiel des envieux et la bave des lâches !,হিংসা লৈবা মীওইশিংগী ঈচেল অমসুং লায়রবা মীওইশিংগী ঈচেল!
"  --Vous, la molle amitié dont vous vous entourez,",অদোমগী মরক্তা লৈবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা নুংশিবা
"  Ressemble à ces grands cols d'Italie, ajourés","ইতালিগী অচৌবা কোলশিং অদুগুম্না, মতম শাংনা লেপখ্রে"
"  Et flottants, dans lesquels votre cou s'effémine:",অমসুং নহাক্কী মঙালগী মঙাল ফাউবা ঈচেলশিং।
"  On y est plus à l'aise. . .et de moins haute mine,",মসিদা ঐখোয়না হেন্না নুংঙাইবা ফাওই।
"  Car le front n'ayant pas de maintien ni de loi,","মরমদি, মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙালগী মঙাল"
"  S'abandonne à pencher dans tous les sens. Mais moi,",মহাক্না মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশা
"  La Haine, chaque jour, me tuyaute et m'apprête",ঐহাক্কী অপীবা নোংম-নোংমগী পুন্সিদা
  La fraise dont l'empois force à lever la tête;,মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী মশাগী
  Chaque ennemi de plus est un nouveau godron,মথক্তা লাকপা খুন্দারিবা খুন্দারিবা মচা অমা
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","ঐহাক্কী মফমদা অশোক-অপন অমা হেঙ্গৎলি, ঐহাক্কী মফমদা নুংঙাইবা অমা হেঙ্গৎলি।"
"  Car, pareille en tous points à la fraise espagnole,","মরমদি স্পেনিশ ফ্রাজকী মতুংইন্না,"
"  La Haine est un carcan, mais c'est une auréole !","নুংশিবা হায়বসি মখোঙবা অমনি, অদুবু মসি অওরেওল অমনি!"
"LE BRET (après un silence, passant son bras sous le sien):","লেপ্না থম্বা মতমদা, মহাক্কী খুৎশুমলগী মখাদা থম্বা মতমদা,"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","অহিংবশিংবু চাওথোকচিনবা অমসুং ময়াই তিংনা থম্বা, অদুবু নীংথিনা থম্বা"
  Dis-moi tout simplement qu'elle ne t'aime pas !,মহাক্না অদোমবু নুংশিদে হায়না ঐহাক্না হায়জগনু!
CYRANO (vivement):,সিআরএএনও (মপুং ফাহল্লবা):
  Tais-toi !,চুপ্পা!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(অদুদুদগী খৃস্তিয়ান্না মচাশিং অদুগা মরী লৈনখি। মখোয়না
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"মহাক্কা ৱারী শান্দোকপা ঙমখিদে, মহাক্না লোইননা অমত্তা ওইনা লৈমিন্নখি"
