Scène 2.VIII.,He whakaaturanga 2.VIII.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","I runga i te pūoro, kaua e hanga i ētahi atu?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"E whakawhetai ana koe, e kitea ana e koe he taranata i roto i nga kaiwhaiwhai?"
"  Être terrorisé par de vagues gazettes,","Kia whakamatakutia e nga purongo o te ao,"
"  Et se dire sans cesse: Oh, pourvu que je sois","A ka mea tonu ki a ia, 'Oh, ki te mea he"
  Dans les petits papiers du Mercure François ?. . .,I roto i ngā pepa iti o te Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","E kore, whakawhetai! Te tātai, te wehi, te māramatanga,"
"  Aimer mieux faire une visite qu'un poème,","Kia pai ake te haere ki te haerenga i te waiata,"
"  Rédiger des placets, se faire présenter ?","He mea whakamohio, he whakamohio?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","E kore, whakawhetai, whakawhetai, whakawhetai, engari... waiata,"
"  Rêver, rire, passer, être seul, être libre,","Ko te moe, ko te kata, ko te haere, ko te noho takitahi, ko te noho noa,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kia pai te titiro o te kanohi, te reo e rere ana,"
"  Mettre, quand il vous plaît, son feutre de travers,","Whakatika, i te wa e hiahia ana koe, tona whakaaro i roto i te taha,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ki te ""Ae"", ki te ""Kore"", whawhai, - ki te mahi i te mea!"
"  Travailler sans souci de gloire ou de fortune,","Kia mahi me te kore e whai whakaaro ki te rangatiratanga, ki te taonga,"
"  A tel voyage, auquel on pense, dans la lune !","He haerenga ki te marama, e whakaaro ana koe!"
"  N'écrire jamais rien qui de soi ne sortît,","Kaua rawa e tuhi i tetahi mea kaore e puta mai i a koe ano,"
"  Et modeste d'ailleurs, se dire: mon petit,","A, he mea whakaiti, ka mea, 'Taku tamaiti,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kia makona ki nga puawai, ki nga hua, ki nga rau ano hoki,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Ki te mea kei roto i to mara, ka kohikohi koe i a koe!"
"  Puis, s'il advient d'un peu triompher, par hasard,","Na, ki te mea ka whai mana ia, ka taea e ia te tiki,"
"  Ne pas être obligé d'en rien rendre à César,","Kia kaua e whakawhiwhia e ahau tetahi mea ki a Hiha,"
"  Vis-à-vis de soi-même en garder le mérite,","Ki te pupuri i te tika o te reira ki a koe ano,"
"  Bref, dédaignant d'être le lierre parasite,","I te mutunga, i te whakahawea ki te mea ko te lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ahakoa ehara koe i te oki, i te kakau,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Kaore pea e piki ake, engari i a koe ano!"
LE BRET:,Ko te Rōpū:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ko te tangata anake, engari ehara i te tangata katoa."
  As-tu donc contracté la manie effroyable,Na kua riro i a koe te mania whakamataku
"  De te faire toujours, partout, des ennemis ?",Kia hanga tonu koe i nga hoariri i nga wahi katoa?
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
"  A force de vous voir vous faire des amis,","Na te kite i a koutou e hoa ana,"
"  Et rire à ces amis dont vous avez des foules,","Ka kata ki aua hoa e whai huihui ana koe,"
  D'une bouche empruntée au derrière des poules !,He mangai kua oti te whakawhiwhia ki nga pou!
"  J'aime raréfier sur mes pas les saluts,","He pai ki ahau te whakahonore i oku waewae,"
  Et m'écrie avec joie: un ennemi de plus !,"Na ka karanga mai ki ahau, ka mea, He hoariri ano."
LE BRET:,Ko te Rōpū:
  Quelle aberration !,He mea whakarihariha!
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
"  Eh bien, oui, c'est mon vice.","Na, ae, ko taku mahi kino."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"He pai ki ahau te haere, he pai ki ahau te kino ki ahau."
"  Mon cher, si tu savais comme l'on marche mieux","E taku hoa, ki te mohio koe he pai ake te haere"
  Sous la pistolétade excitante des yeux !,Kei raro i te tirohanga whakamiharo o nga kanohi!
"  Comme, sur les pourpoints, font d'amusantes taches",Ka rite ki te mahi i nga taatai ngahau
  Le fiel des envieux et la bave des lâches !,"Ko te riri o te hunga hae, me te riri o te hunga wehi."
"  --Vous, la molle amitié dont vous vous entourez,","-Ko koe, te hoa ngawari e karapotia ana e koe,"
"  Ressemble à ces grands cols d'Italie, ajourés","E rite ana ki enei nui o Itari, whakaroa"
"  Et flottants, dans lesquels votre cou s'effémine:","A, ka rere i roto i te wai, ka rere i roto i to koutou kaki:"
"  On y est plus à l'aise. . .et de moins haute mine,","He pai ake te noho ki reira. . . me te iti ake o te teitei,"
"  Car le front n'ayant pas de maintien ni de loi,","He mea tika hoki te mata, kahore he tikanga, kahore he ture,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ka whakarerea e ia te angaanga ki nga huarahi katoa.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ko te kino, i ia ra, e whakawhiwhia ana ki ahau, e whakawhiwhia ana ki ahau"
  La fraise dont l'empois force à lever la tête;,Ko te parataisi e whakakaha ana i tona poison ki te ara ake i tona upoko;
  Chaque ennemi de plus est un nouveau godron,Ko ia hoariri ake he matenga hou
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","E whakarahi nei i ahau i te raruraru, i te whakawera i ahau:"
"  Car, pareille en tous points à la fraise espagnole,","No te mea, rite tonu ki nga mea katoa ki te Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","He mea kino te kino, engari he mea nui!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (i muri i te whakarongo puku, neke tona ringa i raro i tona):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Kia nui te whakapehapeha, kia mamae, kia iti te whakaiti"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Korero mai ki ahau kaore ia e aroha ki a koe!
CYRANO (vivement):,CYRANO (whakaora):
  Tais-toi !,E te tangata!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Mai i te wa, ka haere a Christian, ka uru ki nga tamariki;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,e kore e korero ki a ia; ka noho ia anake ki tetahi
