Scène 2.VIII.,2.VIII үзэгдэл.
  Que dans des cabarets tiennent des imbéciles ?,-Хэрэв нэг ч бүсгүүртэй хүмүүс нэг ч бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүртэй бүсгүүр
"  Non, merci ! Travailler à se construire un nom",Үүнд нэр бүтээхэд хичээллэж байна.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",-Тэр өөр дуулахын оронд нэг дуулах уу?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Та нар зөвхөн гаралтай хайгуулын талаар л мэдэх үү?
"  Être terrorisé par de vagues gazettes,","Хэвлэл мэдээллийн урсгалын улмаас айж,"
"  Et se dire sans cesse: Oh, pourvu que je sois","""Би бол бол"
  Dans les petits papiers du Mercure François ?. . .,"""Францис Меркурий""-ийн бага хуудас . . ."
"  Non, merci ! Calculer, avoir peur, être blême,","Үргэлж, айж, харамсалтай байх."
"  Aimer mieux faire une visite qu'un poème,","""Шүлэгээс илүү аялал хийх дуртай"""
"  Rédiger des placets, se faire présenter ?","Та нар өөрийгөө танилцуулах, хуудас бичиж байх уу?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Үгүй, баярлалаа. Үгүй, баярлалаа. Гэхдээ... дуулах,"
"  Rêver, rire, passer, être seul, être libre,","Хүлээн, мөрөөдөл, өнгөрөх, ганцаар байх, чөлөөтэй байх,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Таныг сайн харж, дуу хоолой нь шуугиан байх,"
"  Mettre, quand il vous plaît, son feutre de travers,",Та хүссэн үедээ өөрийн мэдрэмжээр буруугаа илэрхийлэх болно.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Үгүй"" гэж хэлэхэд ""ихэнхдээ"" ""гүй"" гэж хэлэхэд ""тэлээнгүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлэхэд ""гүй"" гэж хэлнэ."
"  Travailler sans souci de gloire ou de fortune,","Хөдөлмөрийн эрх мэдэл, хөрөнгө оруулалттай бус"
"  A tel voyage, auquel on pense, dans la lune !",Таныг ойлгуулж байгаа энэ аялалд!
"  N'écrire jamais rien qui de soi ne sortît,",Өөрөөсөө гарахгүй зүйлээ хэзээ ч бичэхгүй байх.
"  Et modeste d'ailleurs, se dire: mon petit,","""Хүүхэн минь,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Гүл, жимс, цагаан ч гэсэн"
  Si c'est dans ton jardin à toi que tu les cueilles !,Хэрэв та өөрийн цэцэрлэгт орчинд тэдгээрийг цуглуулдаг бол!
"  Puis, s'il advient d'un peu triompher, par hasard,","Тэгээд тэр бага зэрэг ялалт байгуулж чадвал,"
"  Ne pas être obligé d'en rien rendre à César,",Цайзард ямар ч төлбөр өгөх ёстой биш.
"  Vis-à-vis de soi-même en garder le mérite,",Өөртөө зориулан энэ нь үнэ цэнэтэй байхын тулд
"  Bref, dédaignant d'être le lierre parasite,","Нэг үгээр, чихэрлэгт хөхний амьтан байхынхаа дургүйгээр"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Бид хонь, мод биш ч гэсэн"
"  Ne pas monter bien haut, peut-être, mais tout seul !",Магадгүй өндөрт хүрэхгүй ч ганцаараа!
LE BRET:,ТАГ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Нэг л хүн ч гэсэн, гэхдээ бүгдэд ч биш."
  As-tu donc contracté la manie effroyable,Та үнэхээр аймшигтай сэтгэл зүйн халдварт хүрсэн үү?
"  De te faire toujours, partout, des ennemis ?",Бүх газраар дайчдыг байлгах гэж үү?
CYRANO:,ЦИРАН:
"  A force de vous voir vous faire des amis,","Таныг найз нөхөд болгоход хүрч,"
"  Et rire à ces amis dont vous avez des foules,","Та олон хүнтэй найз нөхөдтэйгээ хандаж,"
  D'une bouche empruntée au derrière des poules !,Та нар ам нь хуурай хуурайтай.
"  J'aime raréfier sur mes pas les saluts,",Би хараахан алхмаар баяр хүргэж байна.
  Et m'écrie avec joie: un ennemi de plus !,Би чамд дайсан нэг ч байна гэж баяртайгаар айлдна.
LE BRET:,ТАГ:
  Quelle aberration !,Энэ бол үнэхээр муухай зүйл.
CYRANO:,ЦИРАН:
"  Eh bien, oui, c'est mon vice.","Тийм ээ, энэ бол миний урсгал."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Би өөрийгөө үзэн яддаг бол л дуртай.
"  Mon cher, si tu savais comme l'on marche mieux","Хайр минь, та илүү сайн явахыг мэдсэн бол"
  Sous la pistolétade excitante des yeux !,Таныг хамарсан гарааны халуун гарааны дор!
"  Comme, sur les pourpoints, font d'amusantes taches",Та нар энэ талаар маш их сонирхолтой зүйлсийг хийдэг.
  Le fiel des envieux et la bave des lâches !,"Тэмцэг хүмүүсийн харамс, харанхуй хүмүүсийн харамс!"
"  --Vous, la molle amitié dont vous vous entourez,","Та нар, та нарын дундаж найзууд,"
"  Ressemble à ces grands cols d'Italie, ajourés","Энэ нь Италийн том бөмбөг шиг,"
"  Et flottants, dans lesquels votre cou s'effémine:",Таны гар нь ч бас л буурдаг
"  On y est plus à l'aise. . .et de moins haute mine,","Энэ нь илүү амархан, бага өндөр,"
"  Car le front n'ayant pas de maintien ni de loi,","Учир нь нүүрний хувьд хууль тогтоомж, хууль тогтоомж байхгүй."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Тэр бүх юмыг л эргэлзэж байна.
"  La Haine, chaque jour, me tuyaute et m'apprête","Өвөрөрөн өдөр бүр намайг татан буулгаж, татан буулгаж байна"
  La fraise dont l'empois force à lever la tête;,Тэр нь толгойгоо өргөжүүлнэ.
  Chaque ennemi de plus est un nouveau godron,Арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс арьс
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Тэр надад зовлон нэмж, намайг шаргалан дагахын тулд"
"  Car, pareille en tous points à la fraise espagnole,",Учир нь Испанийн буурхайн бүх зүйл дээр адилхан
"  La Haine est un carcan, mais c'est une auréole !","Харьььдэл бол гахай, гэхдээ энэ бол гахай!"
"LE BRET (après un silence, passant son bras sous le sien):","БЕРТ (уйсны дараа, түүний гараа нь дор өнгөрөөв):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Төгсөгч, хатуу, харин бага зэрэг"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Тэр чамайг хайрлаагүй гэж хэлээрэй!
CYRANO (vivement):,ЦИРАН (Жив):
  Tais-toi !,- Та чимээгүй бол!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Хүнсний дараа Кристиан орж, залуучуудын дунд орж, тэд"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Тэр нь түүнд үг хэлэхгүй, тэр нь эцсийн эцэст ганцаараа нэг"
