Scène 2.VIII.,Pangyayari 2.VIII.
"  Si tu laissais un peu ton âme mousquetaire,","Kung mag-iwan ka ng isang maliit na musketing kaluluwa,"
  La fortune et la gloire. . .,Ang kayamanan at ang kadayahan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,At ano ang dapat gawin?
"  Chercher un protecteur puissant, prendre un patron,","Paghahanap ng isang makapangyarihang tagapagpanalipod, pagkuha ng isang boss,"
  Et comme un lierre obscur qui circonvient un tronc,At parang isang madilim na lirio na nakapalibot sa isang trunk
"  Et s'en fait un tuteur en lui léchant l'écorce,","At siya'y gumawa ng isang tagapag-alaga sa kanya, na naglilinis ng kaniyang balat,"
  Grimper par ruse au lieu de s'élever par force ?,Pag-aakyat sa pamamagitan ng pag-aakyat sa halip na pag-akyat sa pamamagitan ng lakas?
"  Non, merci. Dédier, comme tous il le font,","Hindi, salamat."
  Des vers aux financiers ? se changer en bouffon,Mula sa mga mag-aalaga sa pananalapi?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Sa mababang pag-asa na makita, sa bibig ng isang ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ang pag-aanak ng isang ngiti, sa katunayan, na hindi masamang?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Hindi, salamat."
  Avoir un ventre usé par la marche ? une peau,Ang pag-aakyat ng tiyan sa paglakad?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Sino ang lalong mabilis na nagiging marumi sa lugar ng mga tuhod?
  Exécuter des tours de souplesse dorsale ?. . .,Magpatakbo ng mga tour ng likod na may kakayahang umangkop? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Hindi, salamat. Sa isang kamay, pag-aalaga sa leeg ng kanding"
"  Cependant que, de l'autre, on arrose le chou,","Ngunit kung sa kabilang, tinignan natin ang chow,"
"  Et, donneur de séné par désir de rhubarbe,","At nag-aalaga ng mga sugat sa pagnanasa ng mga sugat,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",May insinerator ba siya sa isang titi?
"  Non, merci ! Se pousser de giron en giron,","Hindi, salamat, lumalaki sa isang beses,"
"  Devenir un petit grand homme dans un rond,","Magiging isang maliit na tao sa isang rond,"
"  Et naviguer, avec des madrigaux pour rames,","At naglulupad ng barko, na may mga madrigal para sa mga rams,"
  Et dans ses voiles des soupirs de vieilles dames ?,At sa kanyang mga velo ang mga pag-iingat ng mga lumang babae?
"  Non, merci ! Chez le bon éditeur de Sercy",Sa tamang editor ng Sercy.
"  Faire éditer ses vers en payant ? Non, merci !",Mag-edit ng mga verses sa pamamagitan ng pagbabayad?
  S'aller faire nommer pape par les conciles,Pagpapahirang Papa sa pamamagitan ng Mga Konseho
  Que dans des cabarets tiennent des imbéciles ?,Ang mga taong walang kabisado ay nasa mga cabaret?
"  Non, merci ! Travailler à se construire un nom",Magtrabaho sa paggawa ng isang pangalan
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Sa isang sonnet, sa halip na gumawa ng iba pang mga?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,At ang mga talentong ito ay makikita lamang sa mga palay?
"  Être terrorisé par de vagues gazettes,","Ang pagiging natatakot sa mga bahaging pahayagan,"
"  Et se dire sans cesse: Oh, pourvu que je sois","At patuloy na sinasabi sa sarili, ""Oh, kung ako ay"
  Dans les petits papiers du Mercure François ?. . .,Sa mga maliit na papel ng Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Hindi, salamat! Pag-aaralan, takot, pag-aalala,"
"  Aimer mieux faire une visite qu'un poème,","Mas gusto mo ang pagbisita kaysa sa isang balak,"
"  Rédiger des placets, se faire présenter ?","Mag-post ng mga poster, mag-promote?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Hindi, salamat, hindi, salamat, hindi, salamat, ngunit..."
"  Rêver, rire, passer, être seul, être libre,","Magdam ng pangarap, kumakatawa, lumipas, mag-isa, malaya,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ang mata ay may malinaw na pagtingin, ang tinig ay may pag-iingay,"
"  Mettre, quand il vous plaît, son feutre de travers,","I-set, kung gusto mo, ang kanyang pakiramdam sa pamamagitan ng,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Para sa isang oo, para sa isang hindi, labanan, - o gumawa ng isang worm!"
"  Travailler sans souci de gloire ou de fortune,","Magtrabaho nang walang pag-aalala sa katanyagan o kayamanan,"
"  A tel voyage, auquel on pense, dans la lune !",Sa isang paglalakbay na hindi natin iniisip sa buwan!
"  N'écrire jamais rien qui de soi ne sortît,","Huwag kailanman magsulat ng anumang hindi nagmumula sa iyong sarili,"
"  Et modeste d'ailleurs, se dire: mon petit,","At humilde pa rin, na sinasabi sa sarili, ""Anak ko,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Magkakayaman ka sa mga bulaklak, sa mga prutas, kahit sa mga dahon,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kung sa iyong hardin mo ang iyong mga ito!
"  Puis, s'il advient d'un peu triompher, par hasard,","Pagkatapos, kung siya ay magtagumpay ng isang maliit na pagkakataon,"
"  Ne pas être obligé d'en rien rendre à César,",Kaya't hindi ako dapat magbayad ng anumang bagay kay Cesar.
"  Vis-à-vis de soi-même en garder le mérite,","Sa sarili mo, panatilihin ang karapatang-dapat,"
"  Bref, dédaignant d'être le lierre parasite,","Sa madaling salita, hindi niya sinisiyasat na siya ay parasito lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Kahit hindi tayo oak o tilleul,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Hindi siya maaaring tumayo nang mataas, ngunit sa sarili mo!"
LE BRET:,Ang BROTH:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Mag-isa, pero hindi laban sa lahat."
  As-tu donc contracté la manie effroyable,Kaya ikaw ay may nakakatakot na maniya
"  De te faire toujours, partout, des ennemis ?",Ang pag-aalala sa iyong sarili sa lahat ng dako?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Dahil sa nakikita mong nagkakaroon ng mga kaibigan,"
"  Et rire à ces amis dont vous avez des foules,","At tawahin ang mga kaibigan na mayroon kang mga pulutong,"
  D'une bouche empruntée au derrière des poules !,May isang bibig na nakaborrow sa likod ng mga manok!
"  J'aime raréfier sur mes pas les saluts,","Gusto kong mag-aalala sa aking mga paa,"
  Et m'écrie avec joie: un ennemi de plus !,At sumisigaw sa akin ng kagalakan: isa pang kaaway!
LE BRET:,Ang BROTH:
  Quelle aberration !,Anong kawalang-katarungan!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Well, oo, ito ang aking kaugalian."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ang pag-aalis ay isang kasiyahan ko.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, kung alam mo kung paano tayo naglalakad mas mahusay"
  Sous la pistolétade excitante des yeux !,Sa ilalim ng nakakagulat na paningin ng mga mata!
"  Comme, sur les pourpoints, font d'amusantes taches","Tulad ng, sa mga titik, gumawa ng mga masaya na mga spot"
  Le fiel des envieux et la bave des lâches !,Ang sakit ng mga masigasig at ang sakit ng mga mahilig!
"  --Vous, la molle amitié dont vous vous entourez,","Ikaw, ang malalim na pagkakaibigan na iyong pinaglilingkuran,"
"  Ressemble à ces grands cols d'Italie, ajourés","Mukhang mga ito ng malalaking mga necklace ng Italya, na pinahabang"
"  Et flottants, dans lesquels votre cou s'effémine:","At mga lumulutang, kung saan ang iyong leeg ay nag-aalala:"
"  On y est plus à l'aise. . .et de moins haute mine,","Mas komportable tayo dito. . . at mas mababa ang aking taas,"
"  Car le front n'ayant pas de maintien ni de loi,","Sapagka't ang harap ay walang pag-aalaga at walang kautusan,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Nag-iwan siya ng pag-iwan sa lahat ng direksyon.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ang Pagkamasulutan, Araw-araw, ay Nag-aakit at Nag-aakit sa Akin"
  La fraise dont l'empois force à lever la tête;,Ang strawberry na ang poison ay nagpapahintulot sa kanyang ulo na itaas;
  Chaque ennemi de plus est un nouveau godron,Ang bawat kaaway na bababa ay isang bagong godron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Siya na nagdaragdag sa akin ng kahihiyan, at nagdaragdag ng kahihiyan sa akin:"
"  Car, pareille en tous points à la fraise espagnole,","Sapagkat, tulad ng lahat ng bagay sa Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Ang Pagkamasdan ay isang carcan, ngunit ito ay isang aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","Ang BRET (kasunod ng tahimik, paglipas ang kanyang kamay sa ilalim ng kanyang):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Maging mataas ang mapagmalaki at mapait, ngunit, sa ilalim"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sabihin mo lang sa akin na hindi ka niya mahal!
CYRANO (vivement):,CYRANO (buhay):
  Tais-toi !,Ibig mo na lang!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sa sandali, si Christian ay pumasok, nakikipag-ugnayan sa mga batang ito;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,hindi sila nagsalita sa kanya; siya ay sa wakas ay nakaupo lamang sa isang
