Scène 2.VIII.,दृश्यम् २.८.
"  Hé bien oui, j'exagère !",अतोऽहं अतिशयोक्तुं शक्नुमि!
LE BRET (triomphant):,"""विजयम्"" इति।"
  Ah !,आह !
CYRANO:,सीरानोः
"  Mais pour le principe, et pour l'exemple aussi,","परन्तु सिद्धान्तेऽपि, उदाहरणेऽपि,"
  Je trouve qu'il est bon d'exagérer ainsi.,"अहं यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, यथा, --इति, यथा, यथा, यथा, यथा, यथा, --इति, यथा, यथा, यथा, --इति"
LE BRET:,"""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं"
"  Si tu laissais un peu ton âme mousquetaire,",यदि तु तु स्वेन्द्रियाणि च विस्मयशीलानि
  La fortune et la gloire. . .,धनं च वैभवं च . . .
CYRANO:,सीरानोः
  Et que faudrait-il faire ?,किं तर्हि?
"  Chercher un protecteur puissant, prendre un patron,","बलवान् संरक्षकान् शोधयन्, प्रधानान् गृह्णाति,"
  Et comme un lierre obscur qui circonvient un tronc,यथा चकार्णम् अन्धकारम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गुष्ठम् अङ्गु
"  Et s'en fait un tuteur en lui léchant l'écorce,",तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेवस्मै तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेवस्से तस्मिन्नेव तस्मिन्नेव तस्मिन्नेव तस्मिन्नेवस्से
  Grimper par ruse au lieu de s'élever par force ?,"बलवन्त्यर्थं न च, चतुरत्वेन च?"
"  Non, merci. Dédier, comme tous il le font,","न, धन्यवादः। समर्पणः, यथा सर्वेः कुर्वन्ति,"
  Des vers aux financiers ? se changer en bouffon,"कर्त्तव्यः वित्तकारकः, व्यर्थः"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","नानादिषु चैव आशायां, मन्त्रस्य मुखे,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","न च विस्मयकारी इति चेत्, स्मितं जन्माय?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","न, धन्यवादः। प्रत्येकदिनं चकार्चरे भोजनं?"
  Avoir un ventre usé par la marche ? une peau,प्रस्थानात् क्षीरत्वेनापि त्वचेत्
"  Qui plus vite, à l'endroit des genoux, devient sale ?","कस्य त्वत्प्रतीतिः, कस्य त्वत्प्रतीतिः, कस्य त्वत्प्रतीतिः?"
  Exécuter des tours de souplesse dorsale ?. . .,स्फटिकतायाः परिक्रमायाः . . .
"  Non, merci. D'une main flatter la chèvre au cou","न, कृतज्ञः, एकहस्तेन बरुणस्य गर्दनस्य चक्षुष्णं"
"  Cependant que, de l'autre, on arrose le chou,",किन्तु यदि अन्यस्य कलिं पालयति तर्हि
"  Et, donneur de séné par désir de rhubarbe,","तथा च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, स च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च, च"
"  Avoir son encensoir, toujours, dans quelque barbe ?",तस्य धूपं सदा कस्यचित् दाक्षिणात्त्?
"  Non, merci ! Se pousser de giron en giron,","न, धन्यवादः!"
"  Devenir un petit grand homme dans un rond,",एकस्मिन् वृत्त्या लघुपुरुषः भवितुम्
"  Et naviguer, avec des madrigaux pour rames,",रम्यानां च चान्नानि च।
  Et dans ses voiles des soupirs de vieilles dames ?,तस्य विहारस्य पुरातनानां विलापानां च ?
"  Non, merci ! Chez le bon éditeur de Sercy","न, धन्यवादः, सार्सी सम्पादकस्य समीपे।"
"  Faire éditer ses vers en payant ? Non, merci !",किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं किं
  S'aller faire nommer pape par les conciles,पद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्मश्रीपद्म
  Que dans des cabarets tiennent des imbéciles ?,किमत्र कान्तेषु मूढानां स्थानं अस्ति ?
"  Non, merci ! Travailler à se construire un nom","न, धन्यवादः! नाम निर्माणम्"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",अन्यत्र न तु एकं ध्वन्यात्?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,कृतज्ञः! किं केवलम् कौशिकानां प्रतिभासं शोचनीयम्?
"  Être terrorisé par de vagues gazettes,",वर्तमानपत्रेषु भयभीतत्वात्
"  Et se dire sans cesse: Oh, pourvu que je sois","तथा च नित्यं वदन्ति, ""अहो, यदि अहं"
  Dans les petits papiers du Mercure François ?. . .,मर्क्युरफ्राँसिस्कायाः कागदपत्राणि? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","न, धन्यवादः! गणना, भय, निर्विकल्पता,"
"  Aimer mieux faire une visite qu'un poème,",काव्यस्य तु भ्रमणम् अधिकं प्रियम् ।
"  Rédiger des placets, se faire présenter ?","कथम्, ""अभिनयम्"" इति?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न, न,"
"  Rêver, rire, passer, être seul, être libre,","स्वप्नं, हंसा, गच्छ, एकान्तं, मुक्तं,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",दृश्याद् दृश्याद् दृश्येण च श्रुतिः
"  Mettre, quand il vous plaît, son feutre de travers,","यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति, यथाशक्ति,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""अर्थम्"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" ""न"" """
"  Travailler sans souci de gloire ou de fortune,","न च धनं न च महात्मनः कामं करोतु,"
"  A tel voyage, auquel on pense, dans la lune !",चन्द्रमायां एव यात्रां कल्पयितुं शक्नुमः!
"  N'écrire jamais rien qui de soi ne sortît,",न किञ्चित् स्वयमेव न लिखिष्यतीति।
"  Et modeste d'ailleurs, se dire: mon petit,","तथा च विनम्रः, ""अहं मम पुत्रः,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",पुष्पैः फलैः पर्णैः अपि तृप्तः भवेत्
  Si c'est dans ton jardin à toi que tu les cueilles !,यदि ते भवद्भिः स्वयमेव उद्यानम् उपपद्यते तर्हि।
"  Puis, s'il advient d'un peu triompher, par hasard,","यदि सः कदाचित् कपिचित् विजय प्राप्तं करोति,"
"  Ne pas être obligé d'en rien rendre à César,","सम्राटस्य प्रति करणं न कर्त्तव्यं,"
"  Vis-à-vis de soi-même en garder le mérite,",स्वयमेव प्रति प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपादितं प्रतिपा
"  Bref, dédaignant d'être le lierre parasite,","तथाप्यनिरूपणम्, नानावृत्तिकृत्वादिति चेत्,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",यदि वयं न खजूरस्य वा खजूरस्य वा
"  Ne pas monter bien haut, peut-être, mais tout seul !","न च उच्चं, कदाचित्, तथापि, स्वयं!"
LE BRET:,"""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","एकान्तेऽपि, किन्तु सर्वाणां विरुद्धे न।"
  As-tu donc contracté la manie effroyable,किं किं त्वं भयभीतमनुग्रहं प्राप्तवान्?
"  De te faire toujours, partout, des ennemis ?",सर्व्वत्र शत्रूणां निर्मिती?
CYRANO:,सीरानोः
"  A force de vous voir vous faire des amis,",भवद्भिः मित्रं कुर्वन् दृढं भवन्।
"  Et rire à ces amis dont vous avez des foules,","तथा च ये मित्रान् भवन्निमित्तं जनसमुदायानि सन्ति,"
  D'une bouche empruntée au derrière des poules !,मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन मुखेन
"  J'aime raréfier sur mes pas les saluts,",मम पादयोः परम् नमस्कारं न गच्छति।
  Et m'écrie avec joie: un ennemi de plus !,"""अपि शत्रून्! "" इति स्फुरति।"
LE BRET:,"""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं ""अयं"
  Quelle aberration !,किं विभ्रान्तम् !
CYRANO:,सीरानोः
"  Eh bien, oui, c'est mon vice.",--अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ --अथ--अथ --अथ --अथ--अथ --अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ--अथ
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"अहं प्रेतं गच्छति, अहं द्वेषं कुर्वन् प्रेम करोमि।"
"  Mon cher, si tu savais comme l'on marche mieux",प्रियं यदि त्वं जानसि किदृशं चलितुं शक्नुमः
  Sous la pistolétade excitante des yeux !,अतीव रोचते दृश्येषु!
"  Comme, sur les pourpoints, font d'amusantes taches","यथा, प्रवृत्त्यादिषु, मज़ाजनकानि स्पृशानि कर्तुं"
  Le fiel des envieux et la bave des lâches !,इन्द्रियानां ज्वरश्च शराणां च ।
"  --Vous, la molle amitié dont vous vous entourez,","--अथैव त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि, त्वयि"
"  Ressemble à ces grands cols d'Italie, ajourés",इटलीयाम् अलंकृतं विशालस्य कर्णम् इव
"  Et flottants, dans lesquels votre cou s'effémine:",तथा च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च तानि च त
"  On y est plus à l'aise. . .et de moins haute mine,",अत्र अधिकोत्तरम् ।
"  Car le front n'ayant pas de maintien ni de loi,","न च विधीयते न च विधीयते,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",स सर्व्वत्र प्रवृत्तः प्रवृत्तः।
"  La Haine, chaque jour, me tuyaute et m'apprête",द्वेषः प्रतिदिनं मम प्रहारं करोति।
  La fraise dont l'empois force à lever la tête;,प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षाल्यः प्रक्षा
  Chaque ennemi de plus est un nouveau godron,प्रत्येकं शत्रूणां तु नवं गद्रोणम्
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","मम दुःखं च दुःखं च वर्द्धत,"
"  Car, pareille en tous points à la fraise espagnole,","यथा सर्व्वतः स्पान्येण फलानि,"
"  La Haine est un carcan, mais c'est une auréole !","द्वेषः एकं शङ्करम् अस्ति, किन्तु सः एकं सूर्यस्य चक्षुषाम् अस्ति!"
"LE BRET (après un silence, passant son bras sous le sien):","श्लेष्मस्य (शान्त्यन्तरं, तस्य श्लेष्मस्य अन्तर्गतः):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","अहंकारं च घोरं च करोतु, किन्तु नीचम् करोतु।"
  Dis-moi tout simplement qu'elle ne t'aime pas !,कथितं यत् सः भवतः न प्रियते!
CYRANO (vivement):,CYRANO (जीवितः):
  Tais-toi !,मौनम् !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एकस्मिन् समये क्रिश्चियनः प्रविष्टः, युवयोः सह सम्बद्धः; ये"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"न च तस्य वचनं, सः अन्ततः एकान्ते एकान्ते"
