Scène 2.VIII.,Esena 2.VIII.
"  Mettre, quand il vous plaît, son feutre de travers,","Ngan kon karuyag mo, mag-aantos ka han imo mga pagbati."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","An ""Oo"" ngan an ""Diri"" may kalabotan ha pakig-away o pag-antos!"
"  Travailler sans souci de gloire ou de fortune,","Diri hira mag-aalagad ha kadungganan o ha bahandi,"
"  A tel voyage, auquel on pense, dans la lune !","Ha sugad nga pagbiyahe, nga aton ginhuhunahuna, ngadto ha bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Ayaw gud pagsurat hin bisan ano nga diri tikang ha imo kalugaringon,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ngan an mapainubsanon nga tawo, nga nasiring ha iya kalugaringon:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","An bunga, an bunga, bisan an mga dahon,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kon ha imo kalugaringon nga tanaman an imo gin-aaghat!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ngan kon hiya magdaug hin gutiay,"
"  Ne pas être obligé d'en rien rendre à César,","Ngan nasiring ako ha imo, nga diri ako kinahanglan magbayad kan Sesar."
"  Vis-à-vis de soi-même en garder le mérite,","Ngan ha pagbantay han iya kalugaringon nga dungug,"
"  Bref, dédaignant d'être le lierre parasite,","Ha pagkamatuod, diri ako an parasito nga lierre."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Bisan kon diri kita an kahoy nga ekse, o an kahoy nga linlang,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Bangin diri hiya makakatukdaw, kondi hiya la!"
LE BRET:,An ORA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Diri hiya mag-aantos han ngatanan nga mga tawo.
  As-tu donc contracté la manie effroyable,Ngan ikaw mayada ba usa nga makalilisang nga pagdumot?
"  De te faire toujours, partout, des ennemis ?",Nagigin kaaway ka ha ngatanan nga dapit?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Tungod kay nag-uupod kamo,"
"  Et rire à ces amis dont vous avez des foules,","Ngan pagtawga hin mga kasangkayan nga may-ada niyo mga panon,"
  D'une bouche empruntée au derrière des poules !,An iya baba nga gin-aaghat ha luyo han mga manok!
"  J'aime raréfier sur mes pas les saluts,","Nalilipay ako nga diri na ako mag-aawit hin mga pangomusta,"
  Et m'écrie avec joie: un ennemi de plus !,Ngan hiya nagsinggit ha akon ha kalipay: Usa pa nga kaaway!
LE BRET:,An ORA:
  Quelle aberration !,An aberration!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Oo, amo ito an akon pag-antos."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Nalilipay ako nga mag-aantos, kay nalilipay ako nga gindudumtan ako."
"  Mon cher, si tu savais comme l'on marche mieux","♪ Darling, kon ikaw maaram kon paonan-o kita maglakat hin mas maopay ♪"
  Sous la pistolétade excitante des yeux !,Ha ilarom han makaparayaw nga mga mata!
"  Comme, sur les pourpoints, font d'amusantes taches",An mga butang nga may-ada kahibaro ha mga punto
  Le fiel des envieux et la bave des lâches !,An mga magburuhat hin kasina ngan an mga magluya.
"  --Vous, la molle amitié dont vous vous entourez,","- Ikaw, an mag-opay nga sangkay nga imo ginlilibotan,"
"  Ressemble à ces grands cols d'Italie, ajourés","An mga dagko nga mga talikuran han Italya, nga gin-ihapa"
"  Et flottants, dans lesquels votre cou s'effémine:",Ngan mga balud nga naglulupad ha imo liog:
"  On y est plus à l'aise. . .et de moins haute mine,",Mas komportable kita ha ira. . .
"  Car le front n'ayant pas de maintien ni de loi,","Kay an ira mga taguankan waray mga pagtipig, ngan waray mga balaud,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Nag-aaghat hiya hin pag-atubang ha ngatanan nga paagi.
"  La Haine, chaque jour, me tuyaute et m'apprête","An Pagdumot, Kada Adlaw, Nag-aaghat Ngan Nag-aaghat ha Akon"
  La fraise dont l'empois force à lever la tête;,An tangbo nga an iya baga nagdadara hin bawbaw han iya olo;
  Chaque ennemi de plus est un nouveau godron,An kada bag-o nga kaaway amo an bag-o nga baboy
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ngan hiya nagdadagmit hin daku nga kakurian ha akon, ngan nagdadagmit hin daku nga kapawa ha akon."
"  Car, pareille en tous points à la fraise espagnole,","Kay sugad gud han mga mag-upay nga mga sanga han Spain,"
"  La Haine est un carcan, mais c'est une auréole !","An Pagdumot usa nga karakan, kondi usa nga aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","An BREET (katapos hin hilom, nga naglabay han iya kamot ha ilarom han iya):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Pagpahamtang hin mapait ngan mapait, kondi magpakurang"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sumati ako nga diri ka niya hinigugma!
CYRANO (vivement):,CYRANO (Nag-uokoy):
  Tais-toi !,Himoa nga mamingaw!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ha urhi, sinmulod hi Christian, nakikig-upod ha mga batan-on;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,waray hira magyakan ha iya; ha kataposan linmingkod hiya nga nag-uusaan ha usa nga
