Scène 2.VIII.,Ekitundu 2.VIII.
  Que dans des cabarets tiennent des imbéciles ?,Abantu ab'obusiru be basula mu bifo eby'okusula?
"  Non, merci ! Travailler à se construire un nom","N'olwekyo, tusaanidde okukijjukira nti Yakuwa ayagala tubeere n'enkolagana ennungi naye."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Mu kifo ky'okuteekawo ebirala?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Okukimanya nti waliwo ebitone mu nsi ezitali zimu?
"  Être terrorisé par de vagues gazettes,","Okutiisatiisibwa ebitabo ebikalu,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Era buli kiseera yeebuuza nti, ""Oba nange ndi muntu wa ngeri ki?"""
  Dans les petits papiers du Mercure François ?. . .,Mu biwandiiko bya Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Okukuba akafaananyi, okutya, okuteeka ekirowoozo ku bintu ebikulu,"
"  Aimer mieux faire une visite qu'un poème,","Okwagala okukyalira okusinga ennyimba,"
"  Rédiger des placets, se faire présenter ?","Okuwandiika ebipande, okutegeeza abalala?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Te, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, weebale, wee"
"  Rêver, rire, passer, être seul, être libre,","Okuloota, okuseka, okuyitamu, okubeera obwannamunigina, okubeera ow'eddembe,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Okuba n'eriiso eriraba awamu, eddoboozi eririko eddoboozi,"
"  Mettre, quand il vous plaît, son feutre de travers,","Bw'oba oyagala, oyinza okuteeka ekirowoozo kyo mu kifo ekikyamu."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Okusaba nti yee, oba nedda, okulwana, oba okukola ekikonde!"
"  Travailler sans souci de gloire ou de fortune,",Okukola nga tolina kye weefiiriza ku by'ekitiibwa oba ku by'obugagga
"  A tel voyage, auquel on pense, dans la lune !","Ng'olugendo olwo lwe twandirowoozezzaako, okugenda ku mwezi!"
"  N'écrire jamais rien qui de soi ne sortît,",Teweerabira kintu kyonna ekitava mu ggwe.
"  Et modeste d'ailleurs, se dire: mon petit,","Ate era omuntu omwetoowaze agamba nti, ""Omwana wange,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Oba nga kimala emaluwa, ebibala, oba n'ebisunde,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Bw'oba ng'ogenda okuzisala mu nnimiro yo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Oluvannyuma bw'anaawangula akatono,"
"  Ne pas être obligé d'en rien rendre à César,","""Tosobola kuwa Kayisaali kintu kyonna."
"  Vis-à-vis de soi-même en garder le mérite,","Okwewala ebikolwa ebyo,"
"  Bref, dédaignant d'être le lierre parasite,","Mu ngeri emu oba endala, ng'atwala obutali butuukirivu bwe,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ne bwe tuba nga tetukyali muti gwa mukondo oba muti gwa ttaka,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Siyinza kulinnya waggulu nnyo, naye nzekka!"
LE BRET:,OMUWALA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Singa ali yekka, naye si buli omu."
  As-tu donc contracté la manie effroyable,Kale waliko ekikugu eky'amaanyi kye wakola?
"  De te faire toujours, partout, des ennemis ?",Okukolagana n'abantu buli wamu?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Olw'okuba laba engeri gye mwafuuliramu mikwano gyammwe,"
"  Et rire à ces amis dont vous avez des foules,","Era osekerera mikwano gyo gy'olina mu bibinja by'abantu,"
  D'une bouche empruntée au derrière des poules !,Omumwa oguli mu mugongo gw'enkoko!
"  J'aime raréfier sur mes pas les saluts,","Njagala nnyo okulamusa ku bigere byange,"
  Et m'écrie avec joie: un ennemi de plus !,"Era ng'ayogerera waggulu ng'agamba nti: ""Olabe omulala!"
LE BRET:,OMUWALA:
  Quelle aberration !,Ekyo kyawukana ku ekyo kye yali ayagala.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Yee, ekyo kye ky'ekikyamu kye nnina."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Nnyumirwa nnyo okufuluma, era njagala abantu okunkyawa."
"  Mon cher, si tu savais comme l'on marche mieux","Omuwala wange, singa omanyi engeri gye tutambulamu obulungi"
  Sous la pistolétade excitante des yeux !,Mu maaso g'omusajja oyo!
"  Comme, sur les pourpoints, font d'amusantes taches",Nga bwe bakola ebintu eby'ekisibo ku nsonga
  Le fiel des envieux et la bave des lâches !,Obulumi bw'ab'omululu n'obw'abavumu!
"  --Vous, la molle amitié dont vous vous entourez,","-Ggwe, omukwano omuwangu gw'olina,"
"  Ressemble à ces grands cols d'Italie, ajourés","Okufaananako enkola eno ey'omu Italy, eguddewo"
"  Et flottants, dans lesquels votre cou s'effémine:","Era ebirinnya ebirinnya, mu ebyo omutwe gwo mwe guli:"
"  On y est plus à l'aise. . .et de moins haute mine,",Tetuli beetegefu kuddamu kukola ekyo.
"  Car le front n'ayant pas de maintien ni de loi,","Kubanga ebiso by'omuntu tebirina buyinza oba mateeka,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Yeeyongera okutunuulira ebintu mu ngeri yonna.
"  La Haine, chaque jour, me tuyaute et m'apprête",Buli lunaku obukyayi bunnyamba era bunnyamba
  La fraise dont l'empois force à lever la tête;,Omuddo oguli mu kifuba ky'omuddo oguyamba okuyimusa omutwe;
  Chaque ennemi de plus est un nouveau godron,Buli mulabe omulala ye muggya omuggya
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Era yeeyongera okunzita, era yeeyongera okunzita."
"  Car, pareille en tous points à la fraise espagnole,","Kubanga, nga bwe kiri ne mu nsiko y'e Sipeyini,"
"  La Haine est un carcan, mais c'est une auréole !",Obukyayi buliko ekikondo naye buliko ekikondo!
"LE BRET (après un silence, passant son bras sous le sien):","OMUWALA (Oluvannyuma lw'okuceeka, ng'ayita omukono gwe wansi w'omukono gwe):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Genda waggulu n'okunyumya, naye wansi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Gamba nti tayagala!
CYRANO (vivement):,CYRANO (mulamu):
  Tais-toi !,Muziike!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Oluvannyuma lw'ekiseera, Christian yayingira, n'afumbirwa abavubuka; bano"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,tebagamba naye; yasembayo okutuula yekka ku
