Scène 2.VIII.,Əšiɣil 2.VIII.
"  Aimer mieux faire une visite qu'un poème,",A fal ad eqqal a fal ad eqqel a fal ad eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel
"  Rédiger des placets, se faire présenter ?","Ad iknanen alxakum tan, ad iknanen iman nasan?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ənta, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust, tanfust"
"  Rêver, rire, passer, être seul, être libre,","Ad eqqel aṃadal, ad eqqel aṃadal, ad eqqel aṃadal, ad eqqel aṃadal,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ad ilzam ad ijjit, ad awedan ad ijjit,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ad eqqel as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen, as ijja awen,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Dǎɣ əwa, dǎɣ əwa, adobat ad-i-d-iglan,-- meɣ ad-i-d-iglan!"
"  Travailler sans souci de gloire ou de fortune,",Ad eɣra war t-id-igraw tan n alxakum meɣ n alxakum
"  A tel voyage, auquel on pense, dans la lune !",A fal alwaq wa id eqqal alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel alwaq wa id eqqel
"  N'écrire jamais rien qui de soi ne sortît,",War id id id id iktab s harat war id ijra daɣ iman net
"  Et modeste d'ailleurs, se dire: mon petit,","Dǎɣ asuj, adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat adobat ad"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",Ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad e
  Si c'est dans ton jardin à toi que tu les cueilles !,A fal as eqqal daɣ aɣrəm-ik a t-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-id-
"  Puis, s'il advient d'un peu triompher, par hasard,","""Mišan ad ikfa alwaq wa id ad ikfa alwaq wa id,"
"  Ne pas être obligé d'en rien rendre à César,","Ad eqqel a wen-d-iglan s alxidmat n Qayṣar,"
"  Vis-à-vis de soi-même en garder le mérite,",Daɣ almaɣna n iman net ijjan alxidmat net
"  Bref, dédaignant d'être le lierre parasite,","Daɣ almaɣna, as ijja awen, eqqal alɣisab n alɣisab"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",Har ajjudi war eqqal oak meɣ tilleul
"  Ne pas monter bien haut, peut-être, mais tout seul !","War t-id-id-ikfan s ajen, ɣas mašan iman-net!"
LE BRET:,TƏMƏRTA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Dǎɣ alɣisab, mašan winan dǎɣ alɣisab ən tidit."
  As-tu donc contracté la manie effroyable,Awen ad eqqel almaɣna n alɣalim wa eqqalan ajjotnen
"  De te faire toujours, partout, des ennemis ?",Ad eqqel alɣalim daɣ harkuk?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Daɣ as ijja awen, as ijja awen, ad eqqil awadim n alxaq"
"  Et rire à ces amis dont vous avez des foules,",Ad eqqel ad eqqel amăddan win ijjan-ak ijjit n addinat
  D'une bouche empruntée au derrière des poules !,Dǎɣ əmik ən əššəɣəl ən əšəɣəl!
"  J'aime raréfier sur mes pas les saluts,",Ijjit-i ad ijjit alwaq wa id ijjit-i alwaq wa id ijjit-i
  Et m'écrie avec joie: un ennemi de plus !,Ad ijjəw-ak id-i s almaɣna n alɣalim wa eqqalan win-i!
LE BRET:,TƏMƏRTA:
  Quelle aberration !,Awen eqqal asuj n alɣalim
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ah, eqqal, eqqal alɣisab-iw"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Awen eqqal alwaq wa id eqqel alwaq wa id eqqel addinat a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqqalan a eqq
"  Mon cher, si tu savais comme l'on marche mieux",A fal ad issən as ad-ijjəwəl ad-ijjəwəl
  Sous la pistolétade excitante des yeux !,Daɣ alxidmat n armadan win ijji n allen
"  Comme, sur les pourpoints, font d'amusantes taches","Dǎɣ as, dǎɣ təməddurt, adoben adoben adoben ən təmɣire."
  Le fiel des envieux et la bave des lâches !,Aɣaf n win illan d aɣaf n win illan !
"  --Vous, la molle amitié dont vous vous entourez,","--Dǎɣ amək ən amək ənes,"
"  Ressemble à ces grands cols d'Italie, ajourés","A fal tiɣir tin maqqoran win Italya, amuttiyan"
"  Et flottants, dans lesquels votre cou s'effémine:","Dǎɣ təməddurt, dǎɣ təməddurt ta taganen."
"  On y est plus à l'aise. . .et de moins haute mine,",Awen eqqal edag wa ojjaran.
"  Car le front n'ayant pas de maintien ni de loi,","Dǎɣ as tidit war t-illa tiɣir n alɣisab əd əmik,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad eqqel ad e
"  La Haine, chaque jour, me tuyaute et m'apprête","Awen, harkuk, eɣra d amutti"
  La fraise dont l'empois force à lever la tête;,Təmərtay ta taqqalnen əššəɣəl ənta ad-iqqəl əšəɣəl;
  Chaque ennemi de plus est un nouveau godron,Əšəɣəl kul ənta eqal amutayan ənta.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ijjanen-iyi-d alxum, ijjanen-d alxum."
"  Car, pareille en tous points à la fraise espagnole,","Dǎɣ harat kul, sund asitan ən Spanish,"
"  La Haine est un carcan, mais c'est une auréole !","Awen eqqal alɣisab n alɣisab, mucham eqqal alɣisab n alɣisab"
"LE BRET (après un silence, passant son bras sous le sien):","TAMARTA ( darat tidit, iknan əmik net fal as):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Əglan aṃadal əd aṃadal, mašan aṃadal."
  Dis-moi tout simplement qu'elle ne t'aime pas !,A fal as war t-ixdem iman-is!
CYRANO (vivement):,CYRANO (taɣlay):
  Tais-toi !,Ad eqqil awen!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Dǎɣ azzaman, Christian eqal atiwəjan, eqal atiwəjan dǎɣ tabarat ən tabarat;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,war n isalan s awal s s ijja awen ijja awen eqqel iman net s edag n
