Scène 2.VIII.,ၸၼ်ႉ 2.VIII
  Et que faudrait-il faire ?,ယဝ်ႉၵေႃႈ ထုၵ်ႇလီႁဵတ်းႁိုဝ်?
"  Chercher un protecteur puissant, prendre un patron,",သူႁႃၽူႈၵႅတ်ႇၶႄ ဢၼ်ၵႅၼ်ႇၶႅင်၊ သူႁႃၽူႈၵွၼ်း၊
  Et comme un lierre obscur qui circonvient un tronc,မိူၼ် ၸိူဝ်ႉ ၼင်ႇ သိူဝ်ႈလႅင်း ဢၼ်မပ်းလႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း လႅင်း
"  Et s'en fait un tuteur en lui léchant l'écorce,",မၼ်း ၸၢင်ႈဢဝ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ် ၶူၼ်
  Grimper par ruse au lieu de s'élever par force ?,ၶိုၼ်ႈၼိူဝ် လူၺ်ႈလၢႆးလၵ်ႉလၵ်ႉသေ ဢမ်ႇဢဝ်ႁႅင်းသေ ၶိုၼ်ႈၼိူဝ်။
"  Non, merci. Dédier, comme tous il le font,",ဢမ်ႇၸႂ်ႈၶႃႈ၊ မႂ်ႇသုင်ၶႃႈ။ သူႇသင်ႇၶႃႇ၊ မိူၼ်တင်းၵူၼ်းတင်းၼမ်၊
  Des vers aux financiers ? se changer en bouffon,လုၵ်ႉတီႈ သိူဝ်သေ ထိုင်တီႈငိုၼ်းတွင်းသေ လႅၵ်ႈလၢႆႈပဵၼ် ၵူၼ်းလၵ်ႉ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ၼႂ်းမုင်ႈမွင်း ဢၼ်ဢမ်ႇထၢင်ႇသႃး ၼၼ်ႉ ၵဝ်ၶႃႈ ႁၼ်ထိုင် ၼႂ်း ၽႃႇသႃႇ ၶုၼ်ႁေႃၶမ်း ဢၼ် ဝႃႈ၊
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ၸိူင်ႉႁိုဝ်ၵေႃႈလီ၊ ၸွင်ႇတေမီးလွင်ႈၸမ်ၸႂ် ဢၼ်ဢမ်ႇမီးလွင်ႈၸႃႉၸႃႉၼၼ်ႉ။
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ဢမ်ႇလီ၊ မိူဝ်းၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ၶဝ်ႈဝၼ်းလႂ်၊ ၵိၼ်ဝၼ်းလႂ်၊ ၵိၼ်ဝၼ်းလႂ်၊ ၵိၼ်ဝၼ်းလႂ်။
  Avoir un ventre usé par la marche ? une peau,ပေႃးဝႃႈ ၶူၼ်ၶေႃးႁဝ်း ယိုဝ်းၵႂႃႇၼႆၸိုင်
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ၽူႈလႂ်ၽႅဝ်မႃးဝႆးသေ ၵိၼ်ႇထိူၼ်ႇ တီႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂၢင်ႈၵႂ
  Exécuter des tours de souplesse dorsale ?. . .,ႁဵတ်းလွင်ႈ လႅၵ်ႈလၢႆႈ ၶၢဝ်းတၢင်းလင်။ . .
"  Non, merci. D'une main flatter la chèvre au cou",- ဢမ်ႇၸႂ်ႈၶႃႈ၊ မွပ်ႈၸႂ်ထိုင်။ ဢဝ်မိုဝ်းလဵဝ်သေ ဢဝ်မၢၵ်ႇတႃ ၶုပ်ႉသႂ်ႇတီႈ ဝူၼ်မႃႉ
"  Cependant que, de l'autre, on arrose le chou,",ၵူၺ်းၵႃႈ၊မိူဝ်ႈ ဢၼ် ၶဝ် ဢဝ် ၵႃႇလူး သႂ်ႇ ၼႂ်း ၼမ်ႉ ၼၼ်ႉ ၸိုင်၊ၶဝ် ဢမ်ႇ လႆႈ ဢဝ် ၵႃႇလူး သႂ်ႇ ၵႃႈၼႂ်း ၼမ်ႉ ၼၼ်ႉ။
"  Et, donneur de séné par désir de rhubarbe,",မၼ်း ၸၢင်ႈၸူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ် ၶူမ်းသိူဝ်း ၶူမ်းသိူဝ်း ၶူမ် ၶူမ်းသိူဝ်း ၶူမ် ၶူမ်းသိူဝ်း ၶူမ် ၶူမ် ၶူမ်းသိူဝ်း ၶ
"  Avoir son encensoir, toujours, dans quelque barbe ?",မီးဝႆႉ ၶိူင်ႈၸိၵ်းၽႆးမၼ်းယူႇတီႈၼႂ်းဝိတ်ႈႁူဝ်မၼ်းယူႇႁိုဝ်။
"  Non, merci ! Se pousser de giron en giron,",ဢမ်ႇၸႂ်ႈၶႃႈ၊ မႂ်ႇသုင်ၶႃႈ၊ ၶိုၼ်ႈမႃး တေႃႈလဵဝ်ၼႆႉ တေႃႈလဵဝ်ၼႆႉ မၼ်းဢမ်ႇမီးလွင်ႈၽိတ်းသင်။
"  Devenir un petit grand homme dans un rond,",ပဵၼ်ၵူၼ်းယႂ်ႇဢွၼ်ႇၼိုင်ႈ ၼႂ်းၵႄႈၵၢင်ၵူၼ်းလူင်
"  Et naviguer, avec des madrigaux pour rames,",ၶဝ် ၶီႇႁိူဝ်းမိၼ် ၸွမ်း ႁိူဝ်းမိၼ် ဢၼ် ၶီႇႁိူဝ်းမိၼ် ၶဝ် ၶီႇႁိူဝ်းမိၼ် ၼၼ်ႉ ဢေႃႈ။
  Et dans ses voiles des soupirs de vieilles dames ?,ၼႂ်းၽႃႈမၼ်းၼၼ်ႉ မီးလွင်ႈငိၼ်းၸူမ်းၶၢင်း ၼၢင်းယိင်းၵဝ်ႇၶဝ်ယူႇႁိုဝ်။
"  Non, merci ! Chez le bon éditeur de Sercy",- ဢမ်ႇၸႂ်ႈၶႃႈ၊ ၶႅၼ်းတေႃႈ ပႂ်ႉတူၺ်း ၽူႈတႅမ်ႈလိၵ်ႈ Sercy ဢၼ်လီ။
"  Faire éditer ses vers en payant ? Non, merci !",ႁဵတ်းႁႂ်ႈမၼ်းလႆႈမႄးထတ်း ၽႃသႃမၼ်းသေ လႆႈငိုၼ်းၵႃႈႁိုဝ်။
  S'aller faire nommer pape par les conciles,တေၵႂႃႇတၢင်ႇၸိုဝ်ႈပဵၼ် ပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပုပ်ႉပ
  Que dans des cabarets tiennent des imbéciles ?,ဢၼ်ၵူၼ်းလိူတ်ႈၶဝ် ပႂ်ႉဝႆႉ ၼႂ်းႁူင်းႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁေႃႁ
"  Non, merci ! Travailler à se construire un nom",- ဢမ်ႇၸႂ်ႈၶႃႈ၊ ၶတ်းၸႂ်ႁဵတ်းၸိုဝ်ႈသဵင်
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ၼႂ်းၵႃႈသဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်သဵင်
  Merci ! Ne découvrir du talent qu'aux mazettes ?,မႂ်ႇသုင်ၶႃႈ၊ ဢၼ်လႆႈႁၼ်ၼမ်ႉၵတ်ႉၼႆႉ မီးတီႈၼႂ်းထမ်ႈၵူၺ်းၶႃႈႁႃႉ?
"  Être terrorisé par de vagues gazettes,",လွင်ႈဢၼ်လႆႈထုၵ်ႇ လိူတ်ႈၽေး လူၺ်ႈလွင်ႈလၢၵ်ႇလၢႆးၶွင် လႅင်ႇၶၢဝ်ႇ
"  Et se dire sans cesse: Oh, pourvu que je sois","""ပေႃး ၵဝ် ပဵၼ် ၵေႃႉ ဢၼ် ၸူမ်းသိူဝ်း ၼႃႇ ၸိုင်၊ၵဝ် တၵ်း လႆႈ ၶၢမ်ႇ တၢင်း ဢၼ် ဢသၢၵ်ႈလိပ်း ဢေႃႈ၊"" ဝႃႈ ၼင်ႇ ၼႆ ဢေႃႈ။"
  Dans les petits papiers du Mercure François ?. . .,ၼႂ်းၽိုၼ်လိၵ်ႈဢွၼ်ႇၶွင် Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,",- ဢမ်ႇၸႂ်ႈၶႃႈ၊ မွပ်ႈၸႂ်ၼမ်။ ၶပ်ႉမၢႆ၊ ၵူဝ်၊ ၸႂ်လမ်၊
"  Aimer mieux faire une visite qu'un poème,",ၶႂ်ႈၸတ်းၵၢၼ်တူၺ်းထိုင် လိူဝ်သေ ၶႂ်ႈတႅမ်ႈဝတ္ထု
"  Rédiger des placets, se faire présenter ?",ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊ ႁဵတ်းၽိုၼ်လိၵ်ႈ၊
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ဢမ်ႇၸႂ်ႈၶႃႈ၊ မွပ်ႈၸႂ်ထိုင်ၶႃႈ၊ မွပ်ႈၸႂ်ထိုင်ၶႃႈ။
"  Rêver, rire, passer, être seul, être libre,",မႆႈၸႂ်၊ ၸူမ်းသိူဝ်း၊ ၶၢမ်ႈတၢပ်ႈ၊ ယူႇပႅတ်ႈ၊ လွတ်ႈလႅဝ်း၊
