Scène 2.VIII.,Bước 2.VIII.
"  Rêver, rire, passer, être seul, être libre,","Mơ mơ, cười, đi qua, một mình, tự do,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Có mắt nhìn rõ ràng, tiếng nói rung động,"
"  Mettre, quand il vous plaît, son feutre de travers,","Hãy đặt, bất cứ khi nào bạn muốn, cảm giác của mình sai,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Để có một ""vâng"", để có một ""không"", chiến đấu, - hoặc làm một con giun!"
"  Travailler sans souci de gloire ou de fortune,",Làm việc không cần sự tôn vinh hay sự giàu có
"  A tel voyage, auquel on pense, dans la lune !","Một chuyến đi như thế nào mà chúng ta nghĩ đến, đến mặt trăng!"
"  N'écrire jamais rien qui de soi ne sortît,","Đừng bao giờ viết bất cứ điều gì mà không xuất phát từ bản thân,"
"  Et modeste d'ailleurs, se dire: mon petit,","Và khiêm tốn, tự nhủ: ""Con trai của tôi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Có thể nó được thỏa mãn với hoa, trái cây, thậm chí là lá,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Nếu là trong vườn của bạn mà bạn lấy chúng!
"  Puis, s'il advient d'un peu triompher, par hasard,","Và nếu hắn có một chút thắng lợi,"
"  Ne pas être obligé d'en rien rendre à César,","""Đừng phải trả tiền cho Hoàng đế,"
"  Vis-à-vis de soi-même en garder le mérite,","Đối với bản thân mình, giữ được sự xứng đáng của nó,"
"  Bref, dédaignant d'être le lierre parasite,","Nói cách khác, không hề coi trọng mình là con chó lợn lợn lợn lợn lợn,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ngay cả khi chúng ta không phải là cây chênh hay cây sồi,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Không lên cao lắm, nhưng có thể là một mình!"
LE BRET:,BN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Chỉ riêng mình, nhưng không phải với tất cả mọi người."
  As-tu donc contracté la manie effroyable,Vậy anh có bị mê hoặc không?
"  De te faire toujours, partout, des ennemis ?",Làm cho mình luôn luôn là kẻ thù ở khắp mọi nơi?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Vì thấy các bạn kết bạn,"
"  Et rire à ces amis dont vous avez des foules,","Và cười với những người bạn mà bạn có đám đông,"
  D'une bouche empruntée au derrière des poules !,Một cái miệng mà tôi đã lấy từ đằng sau gà!
"  J'aime raréfier sur mes pas les saluts,",Tôi thích nói lời chào khi bước chân.
  Et m'écrie avec joie: un ennemi de plus !,Và kêu lên với tôi: Một kẻ thù nữa!
LE BRET:,BN:
  Quelle aberration !,Thật là một sự kỳ quặc!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ừ, đúng là, đó là thói quen của tôi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Tôi thích bị ghét.
"  Mon cher, si tu savais comme l'on marche mieux","Con yêu, nếu con biết cách đi bộ tốt hơn"
  Sous la pistolétade excitante des yeux !,Trong cái nhìn đầy thú vị của đôi mắt!
"  Comme, sur les pourpoints, font d'amusantes taches","Như, trên các điểm, làm những điểm vui vẻ"
  Le fiel des envieux et la bave des lâches !,Sự hận thù của kẻ ghen tuông và sự hận thù của kẻ hèn nhát!
"  --Vous, la molle amitié dont vous vous entourez,","- Anh, bạn thân thân yêu của anh,"
"  Ressemble à ces grands cols d'Italie, ajourés","Giống như những cái cổ lớn của Ý, bị trì hoãn"
"  Et flottants, dans lesquels votre cou s'effémine:","Và những con lượn, trong đó cổ của bạn bị sập."
"  On y est plus à l'aise. . .et de moins haute mine,","Chúng ta thoải mái hơn. Và với mực thấp hơn,"
"  Car le front n'ayant pas de maintien ni de loi,","Vì mặt mặt không có luật pháp,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Anh ấy cứ ngã ngã theo mọi hướng.
"  La Haine, chaque jour, me tuyaute et m'apprête","Hận thù, mỗi ngày, cứ chọc chọc và làm tôi sắp chết"
  La fraise dont l'empois force à lever la tête;,Cây tây mà chất độc buộc phải nâng đầu lên;
  Chaque ennemi de plus est un nouveau godron,Mỗi kẻ thù khác là một con lợn mới
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ngài làm cho tôi thêm sự khó khăn, và làm cho tôi thêm sự sốc."
"  Car, pareille en tous points à la fraise espagnole,","Vì, như tất cả các khía cạnh của cây tây Tây Ban Nha,"
"  La Haine est un carcan, mais c'est une auréole !","Hận thù là một con rồng, nhưng nó là một con rồng!"
"LE BRET (après un silence, passant son bras sous le sien):","BROET (sau một sự im lặng, di chuyển cánh tay của mình dưới của mình):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Hãy làm cho người kiêu ngạo cao và cay đắng, nhưng thấp kém"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Chỉ cần nói với tôi rằng cô ấy không yêu anh!
CYRANO (vivement):,CYRANO (sống):
  Tais-toi !,- Đừng nói gì!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Trong một thời gian, Christian đã vào, tham gia vào các trẻ em; những người này"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,không nói chuyện với ông ta; cuối cùng ông ta ngồi một mình với một
