Scène 2.VIII.,دیمەنی دووەم هەشتەم
"  Non, merci ! Chez le bon éditeur de Sercy",نەخێر، سوپاس، لە سەرنوسەری باشەکەی سەرسی
"  Faire éditer ses vers en payant ? Non, merci !",- بۆ ئەوەی بە پارە ورمانەکانی دەستکاری بکات؟
  S'aller faire nommer pape par les conciles,بۆ ئەوەی لە ئەنجومەنی پاپا هەڵبژێردرێت
  Que dans des cabarets tiennent des imbéciles ?,کە لە کابەرتەکاندا گەمژانە هەڵدەگرن؟
"  Non, merci ! Travailler à se construire un nom",نا، سوپاس، هەوڵبدە ناوت دروستبکات
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",لە دەنگێکدا لەبری ئەوەی لە دەنگەکانی تردا بنووسن؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,سوپاس، تەنها لە ناو زەمەنەکاندا توانا دەدۆزنەوە؟
"  Être terrorisé par de vagues gazettes,",ترس لە ڕۆژنامە هەڵاوەکان
"  Et se dire sans cesse: Oh, pourvu que je sois",و بەردەوام لە بیرکردنەوەیە:
  Dans les petits papiers du Mercure François ?. . .,لە پەڕەکانی دیکەی مەرکیز فڕانسۆسدا؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",نا، سوپاس، هەژمارکردن، ترس، بێباوەڕبوون،
"  Aimer mieux faire une visite qu'un poème,",زیاتر حەز لە سەردانی کردن بکە لە شیعر
"  Rédiger des placets, se faire présenter ?",- نوسیندا، ناساندنی خۆت؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه خێر، سوپاس، سوپاس، سوپاس، نه خێر، سوپاس، بەڵام گۆرانی
"  Rêver, rire, passer, être seul, être libre,",خەون بینین، پێکەنین، تێپەڕین، تەنیایی بوون، ئازاد بوون،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",چاوێک بە باشی بینێت، دەنگێک بە زەقە
"  Mettre, quand il vous plaît, son feutre de travers,",هه ركاتێك ده ته وێت هه ستێكی هه ڵه ی خۆی هه ڵبگرێت
"  Pour un oui, pour un non, se battre,--ou faire un vers !",بۆ بەڵێ و بۆ نەخێر، شەڕ یان گرێدان!
"  Travailler sans souci de gloire ou de fortune,",کارکردن بەبێ ئەوەی لە پێناو شانازی و ساماندا بگەڕێیتەوە
"  A tel voyage, auquel on pense, dans la lune !",بۆ ئەو گەشتەی کە بیر لە مانگ دەکەیەوە!
"  N'écrire jamais rien qui de soi ne sortît,",هیچ شتێک نەنوسن کە لەخۆیدا دەرنەکەوێت،
"  Et modeste d'ailleurs, se dire: mon petit,",لە کاتێکدا کە مرۆڤی بێبەری خۆی دەڵێت:
"  Soit satisfait des fleurs, des fruits, même des feuilles,",گوڵی و میوەیش و تەنانەت گەڵاشیش
  Si c'est dans ton jardin à toi que tu les cueilles !,ئەگەر لە باخچەکەتدا بیخەیتەوە!
"  Puis, s'il advient d'un peu triompher, par hasard,",ئه گه ر ده ستبه جێ بێت و هه رچه نده یه ک سه رکه وتنی هه بێت،
"  Ne pas être obligé d'en rien rendre à César,",کە هیچ شتێک بە قەیسەر نەدەیت،
"  Vis-à-vis de soi-même en garder le mérite,",بۆ ئەوەی لە بەرامبەر خۆی شایستە بێت،
"  Bref, dédaignant d'être le lierre parasite,",بە کورتی، بە بێزاربوون لە بوون بە لیرە پاریستەکان،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",تەنانەت ئەگەر ئێمە دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و دارە و
"  Ne pas monter bien haut, peut-être, mais tout seul !",لەوانەیە زۆر بەرز نەبێتەوە، بەڵام بە تەنیا!
LE BRET:,- خاك:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",بە تەنیا، بەڵام نەک دژی هەمووان.
  As-tu donc contracté la manie effroyable,ئایا توشی مه نیای ترسناک بوویت؟
"  De te faire toujours, partout, des ennemis ?",هەمیشە دوژمنانت لێبکەیت؟
CYRANO:,سیڕانۆ:
"  A force de vous voir vous faire des amis,",بە هۆی بینینی ئێوە و هاوڕێکانتان
"  Et rire à ces amis dont vous avez des foules,",و پێکەنین بەو هاوڕێیانەی کە کۆمەڵێکیان هەیە
  D'une bouche empruntée au derrière des poules !,دەمێک لە پشت مریشکەکان!
"  J'aime raréfier sur mes pas les saluts,",من زۆر حەزم لە پێشوازی کردن لە پێیەکانمە،
  Et m'écrie avec joie: un ennemi de plus !,بە خۆشییەوە هاوار بکە، دوژمنێکی دیکە!
LE BRET:,- خاك:
  Quelle aberration !,چ هەڵەیەک!
CYRANO:,سیڕانۆ:
"  Eh bien, oui, c'est mon vice.",بەڵێ، ئەوە هەڵەی منە.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,خۆزگه ی له ده ستدا ده مێنێته وه ، خۆزگه ی له ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و
"  Mon cher, si tu savais comme l'on marche mieux",ئازیزەکەم، ئەگەر دەزانیت چۆن باشتر بڕۆیت
  Sous la pistolétade excitante des yeux !,لەژێر چاوێکی پڕ لە چەکدا!
"  Comme, sur les pourpoints, font d'amusantes taches",چۆن لە خاڵەکان خاڵە خۆشەکان دروست دەکەن
  Le fiel des envieux et la bave des lâches !,ئیرەیی دڵسۆزەکان و دڵسۆزی دڵسۆزی دڵسۆزیان!
"  --Vous, la molle amitié dont vous vous entourez,",تۆ، هاوڕێیەتی نەرم و نەرم و دڵسۆز
"  Ressemble à ces grands cols d'Italie, ajourés",وەک ئەو قەڵای گەورەی ئیتالیا، کە لە کاتی دواداچوونەوەدا
"  Et flottants, dans lesquels votre cou s'effémine:",و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو و ئاو
"  On y est plus à l'aise. . .et de moins haute mine,",ئێمە لەدا ئاسوودەترین و بەرزترین پێستمان کەمترە
"  Car le front n'ayant pas de maintien ni de loi,",چونکە دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم و دەم
"  S'abandonne à pencher dans tous les sens. Mais moi,",لە هەموو لایەکدا خۆی دەخاتە بەر.
"  La Haine, chaque jour, me tuyaute et m'apprête",ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و
  La fraise dont l'empois force à lever la tête;,فرازێک کە ژەهرییەکەی سەرەکەی بەرز دەکاتەوە
  Chaque ennemi de plus est un nouveau godron,هەر دوژمنێکی دیکە، گەریلێکی نوێیە
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ئه و زاته ش سه ر زه حمه ت و خه مۆکی خۆم زیاد ده کات.
"  Car, pareille en tous points à la fraise espagnole,",چونکە لە هەموو ڕووێکدا وەک فرەی ئیسپانی
"  La Haine est un carcan, mais c'est une auréole !",ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و ڕق و
"LE BRET (après un silence, passant son bras sous le sien):",(دوای بێدەنگی، بە تێپەڕاندنی بازنەکەی لەژێر خۆی):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",خۆبەخشان و سەرسڕ و بێزار بکە، بەڵام لەژێریدا بن
  Dis-moi tout simplement qu'elle ne t'aime pas !,تەنها پێم بڵێ کە ئەوت خۆش ناوێت!
CYRANO (vivement):,سیڕانۆ (ژیان):
  Tais-toi !,بێدەنگ بیت!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(لەدوای ماوەیەک کریستیان هاتە ژوورەوە، تێکەڵ بوو بە گەنجەکان،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,قسه ی له گه ڵدا نه كرد، له كۆتاییشدا ته نیا له گه ڵ یه كێك دانیشت
