Scène 2.VIII.,Ibali 2.VIII.
  Dans les petits papiers du Mercure François ?. . .,Kwiphepha elincinane likaFrancis Mercury? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Hayi, enkosi, ukubala, ukoyika, ukuba nexhala,"
"  Aimer mieux faire une visite qu'un poème,","Ukuthanda ukutyelela kunokuba uthande ukubhala imibhalo,"
"  Rédiger des placets, se faire présenter ?","Ngaba uza kubhala iileta, uzazise?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Hayi, enkosi, hayi, enkosi, hayi, enkosi, kodwa ..."
"  Rêver, rire, passer, être seul, être libre,","Ukuphupha, ukuhleka, ukudlula, ukuba wedwa, ukuba ukhululekile,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ukuba neliso elibonayo, ilizwi eliqhaqhazelisayo,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ukuba ufuna, faka imvakalelo yakhe ngaphaya,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ukuze uphendule u-ewe, okanye uphendule u-hayi, lwana, okanye wenze i-worm!"
"  Travailler sans souci de gloire ou de fortune,",Ukusebenza ngaphandle kokukhangela uzuko okanye ubutyebi
"  A tel voyage, auquel on pense, dans la lune !",Uhambo olunjengolwakho lunokufikelelwa ngenyanga!
"  N'écrire jamais rien qui de soi ne sortît,","Ungaze ubhale into engaphumi kuwe,"
"  Et modeste d'ailleurs, se dire: mon petit,","Yaye uthobekile, uthi: ""Mntwanam,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ngaba uya kwaneliswa ziintyatyambo, iziqhamo, namagqabi?"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ukuba uyazithabatha egadini yakho!
"  Puis, s'il advient d'un peu triompher, par hasard,","Emva koko, ukuba uyaphumelela kancinane,"
"  Ne pas être obligé d'en rien rendre à César,","Kuba ndithi kuni, Makungabikho namnye umxokelelwane wokuhlawula kuKesare."
"  Vis-à-vis de soi-même en garder le mérite,","Ukuze uzigcine unelungelo,"
"  Bref, dédaignant d'être le lierre parasite,","Ngamanye amazwi, ukudelela ukuba lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nangona singawo umthi womthi okanye umthi we-linel,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mhlawumbi awukayi kunyuka phezulu, kodwa uya kunyuka wedwa!"
LE BRET:,I-BREET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ukuba kunjalo, kodwa hayi bonke!"
  As-tu donc contracté la manie effroyable,Ngaba ke uye waba lunobangela woyikekayo
"  De te faire toujours, partout, des ennemis ?",Ngaba uza kusoloko uzenza utshaba?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ngenxa yokuba nifuna ukuba ngabahlobo,"
"  Et rire à ces amis dont vous avez des foules,","Yaye uhleka kubahlobo bakho onabantu abaninzi,"
  D'une bouche empruntée au derrière des poules !,Umlomo omncinane usuka emva kweenkukhu!
"  J'aime raréfier sur mes pas les saluts,",Ndithanda ukubulisa abantu xa ndisiya.
  Et m'écrie avec joie: un ennemi de plus !,"Kwaye ndithi ngovuyo: ""Nantsi enye intshaba!"""
LE BRET:,I-BREET:
  Quelle aberration !,Hayi indlela ekukhohlakele ngayo!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ewe, ewe, ndiyakuthanda."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ndiyakuthanda ukulahleka, ndiyakuthanda ukuba abantu bandithiye."
"  Mon cher, si tu savais comme l'on marche mieux","Mhlekazi, ukuba ubusazi indlela yokuhamba ngcono"
  Sous la pistolétade excitante des yeux !,Phantsi kwamehlo akho anemifanekiso!
"  Comme, sur les pourpoints, font d'amusantes taches","Njengoko, kwi-points, yenza amabala funny"
  Le fiel des envieux et la bave des lâches !,"Iintsini zamakhwele, neentsini zamakhwenkwe!"
"  --Vous, la molle amitié dont vous vous entourez,","Wena, umhlobo omncinane ozingqongileyo,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ibonakala ngathi ezi neekolo ezinkulu Italy, emva"
"  Et flottants, dans lesquels votre cou s'effémine:","Kwaye ziyankqonkqoza, apho intamo yakho iya kuphola:"
"  On y est plus à l'aise. . .et de moins haute mine,","Siziva sikhululekile ngakumbi. . . . kwaye sinobude obungaphantsi,"
"  Car le front n'ayant pas de maintien ni de loi,","Kuba umlomo awunayo imimiselo okanye umthetho,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Uyekelela ekujoliseni kuzo zonke iindlela.
"  La Haine, chaque jour, me tuyaute et m'apprête",Umnqweno Wentiyo Usuku Ngalunye Uyandixhaphaza
  La fraise dont l'empois force à lever la tête;,I-strawberry enetyhefu yayo iyanyanzela ukuba iphakamise intloko yayo;
  Chaque ennemi de plus est un nouveau godron,Olunye utshaba luyingcuka entsha
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Owandizisela intlungu, wandizisela umsizi."
"  Car, pareille en tous points à la fraise espagnole,","Kuba, njengesiqwenga saseSpeyin,"
"  La Haine est un carcan, mais c'est une auréole !","Uloyiso luyingxaki, kodwa luyingxaki!"
"LE BRET (après un silence, passant son bras sous le sien):","UKUQALA (emva kokuthula, ehamba ingalo yakhe phantsi kwakhe):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Yenza ikratshi libe likhulu, libe likrakra, kodwa lihlazeke"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ndixelele nje ukuba akakuthandi!
CYRANO (vivement):,CYRANO (Ukusinda):
  Tais-toi !,Yithi cwaka!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Emva kwexesha elithile, uChristian wangena, wadibana nabafana;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,akazange athethe naye; ekugqibeleni wahlala yedwa
