Scène 2.VIII.,Esena 2.VIII.
"  A tel voyage, auquel on pense, dans la lune !",Diad ontan lan impanbiahe ed bulan!
"  N'écrire jamais rien qui de soi ne sortît,",Agmo la ra isulat no agmo ra labay ya ibaga.
"  Et modeste d'ailleurs, se dire: mon petit,","Tan say mapaabeba et mangibabagan, 'Kakaaro,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Naliliketan to ray sabsab tan bunga, anggan saray dabuk,"
  Si c'est dans ton jardin à toi que tu les cueilles !,No diad garden mo et man-pupulong ka!
"  Puis, s'il advient d'un peu triompher, par hasard,","Insan no sikatoy manalo ed daiset,"
"  Ne pas être obligé d'en rien rendre à César,",Ag mo nepeg a bayaran so antokaman ed Impirador.
"  Vis-à-vis de soi-même en garder le mérite,","Diad pangipanengneng na kagalangan ed sarili,"
"  Bref, dédaignant d'être le lierre parasite,","Diad tua, aglabay ya ibaga ya singa ak mansasakit ya lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Anggano aliwan kiew ya kiew odino kiew ya kiew a kiew,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nayarin ag-onlad atagey, balet bukbukor!"
LE BRET:,Say KANSIAN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","No maminsan et bukbukor, balet aliwan amin."
  As-tu donc contracté la manie effroyable,Kasin walay graben sakit mo?
"  De te faire toujours, partout, des ennemis ?",Kasin say panggawa na saray kalaban ed amin a pasen et mauges?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Lapud anengneng to kayo lan manggagaway kakaaro,"
"  Et rire à ces amis dont vous avez des foules,",Tan tawagen mo ra may kakaaro ya dakel so totoo ra.
  D'une bouche empruntée au derrière des poules !,Say sakey a sangi ya akautang ed beneg na manok!
"  J'aime raréfier sur mes pas les saluts,","Labalabay kon ibawag so panangibano diad saray sali ko,"
  Et m'écrie avec joie: un ennemi de plus !,"Tan mankanta kayod siak na liket: ""Walay sakey nin kalaban!"""
LE BRET:,Say KANSIAN:
  Quelle aberration !,Talagan makapuy so liknaan da!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","On, on, satan so kaugaliak."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Labalabay ko so manayam ed arum a pasen.
"  Mon cher, si tu savais comme l'on marche mieux","Inarok, no amtaen mo no panon so pangakar na totoo"
  Sous la pistolétade excitante des yeux !,Diad under the exciting pistol state na saray mata!
"  Comme, sur les pourpoints, font d'amusantes taches",Singa saray manangipaliwawa ed saray punto
  Le fiel des envieux et la bave des lâches !,Say sakit na linawa na saray mapaabeba tan say sakit na linawa na saray makapoy!
"  --Vous, la molle amitié dont vous vous entourez,","- Sika, say malikeliket ya pikakaaro ya akapaliber ed sika,"
"  Ressemble à ces grands cols d'Italie, ajourés","Singa ra may baleg ya ulo na Italy, ya inekal"
"  Et flottants, dans lesquels votre cou s'effémine:",tan saray ompapalaloy danum a mangiter na takot ed saray olo yo.
"  On y est plus à l'aise. . .et de moins haute mine,",Mas komportable tayo. . . tan mas malet so pitongtong tayo.
"  Car le front n'ayant pas de maintien ni de loi,",Ta anggapoy panangigalang tan ganggan ed saray totoo.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Agto la labay so onnengneng ed amin a paraan.
"  La Haine, chaque jour, me tuyaute et m'apprête","Kada agew, papapalikdoen tan papapairapen ak na Kabosul"
  La fraise dont l'empois force à lever la tête;,Say sakey a frayes a say iket to et mamapaatagey na olo to;
  Chaque ennemi de plus est un nouveau godron,Kada sananey ya kalaban et sakey a balon marikit
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Say Dios to et mangiiter na kaermenan tan panlalapwan ed siak.
"  Car, pareille en tous points à la fraise espagnole,","Lapud singa say Spanish strawberry ed amin a paraan,"
"  La Haine est un carcan, mais c'est une auréole !","Say Kabusol et sakey a karcan, balet sakey itan ya auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","Say sakey a toon anggapoy boses, a mangiyagel ed sikato:"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ipasnuk mo ray mapaatagey tan mapalalon mapalalon totoo, balet ipasnuk mo ra"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ibagam labat ed siak ya agto ka aaroen!
CYRANO (vivement):,CYRANO (manbibilay):
  Tais-toi !,Mansalita ka!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Kasabi panaon, linmoob si Christian, akikasakey ed saray kabataan; sikara so"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ag ira mitotongtong ed sikato; sikatoy tinmaynan ya akayorung ed sakey a
