Scène 2.VIII.,Icikuulwa 2.VIII.
"  N'écrire jamais rien qui de soi ne sortît,","Wilalembapo nangu cimo ico taucita,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kabili uuli ne cilumba, alatila, 'We mwana wandi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kuti mwapokelela ifisabo, ifisabo, nelyo fye amabula."
  Si c'est dans ton jardin à toi que tu les cueilles !,Nga ca kuti mubalaba mu mpanga yenu!
"  Puis, s'il advient d'un peu triompher, par hasard,","Nga ca kuti afilwa ukucimfya,"
"  Ne pas être obligé d'en rien rendre à César,",Kanshi kuti cawama ukuleka ukulipila imfumu Kesalo.
"  Vis-à-vis de soi-même en garder le mérite,","Nga ca kuti umuntu alefwaya ukuipakisha ubumi bwakwe,"
"  Bref, dédaignant d'être le lierre parasite,","Mu nshila imbi, ukuleka ukuba umulwele,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nangu ca kuti tatwaba nge cimuti ca mukunyu nelyo nge cimpusa,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nalimo te kuti mufike pa muulu sana, lelo kuti mwaya fye mwe bene!"
LE BRET:,BUTU:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Nga ca kuti ali fye eka, te bonse twingacimfya."
  As-tu donc contracté la manie effroyable,Bushe iwe uli no bulwele bwabipisha?
"  De te faire toujours, partout, des ennemis ?",Bushe lyonse fye mulemona kwati muli na balwani?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Pa kumona ifyo mwaleumfwana,"
"  Et rire à ces amis dont vous avez des foules,","Kabili ukuseka ku banenu abo mwalikwata amabumba,"
  D'une bouche empruntée au derrière des poules !,Ukufuma ku kanwa kafuma ku mfishi ya nkoko!
"  J'aime raréfier sur mes pas les saluts,","Nalitemwa ukulumbanya abantu pa makasa yandi,"
  Et m'écrie avec joie: un ennemi de plus !,"""Nomba na imwe mwe balwani bandi, na imwe bene mulebilikisha!"
LE BRET:,BUTU:
  Quelle aberration !,Ala ici calipusanako!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ee, e fyo na ine ndi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Nalitemwa ukuleka ukubomba imilimo, pantu abantu balipata ifyo ncita."
"  Mon cher, si tu savais comme l'on marche mieux","We love, nga walishiba bwino ifya kwenda"
  Sous la pistolétade excitante des yeux !,Mu menso ya bantu abalemona kwati ni bacipeshamano!
"  Comme, sur les pourpoints, font d'amusantes taches",Nga mulebika amano ku fya kusekesha
  Le fiel des envieux et la bave des lâches !,Icisinka ca bacenjela ne cibi ca bacenjela!
"  --Vous, la molle amitié dont vous vous entourez,","- Imwe, aba bwananyina abafuuka,"
"  Ressemble à ces grands cols d'Italie, ajourés","Balemoneka kwati ni balya banakashi aba Italy, abalekele ukubombela Yehova"
"  Et flottants, dans lesquels votre cou s'effémine:",Kabili mu menshi mwalasenda ifyanso fya mulilo.
"  On y est plus à l'aise. . .et de moins haute mine,","Nga tulecita ifi, tuleumfwa bwino sana."
"  Car le front n'ayant pas de maintien ni de loi,","Pantu icinso tacakwata amafunde, kabili tacakwata amafunde."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Alafilwa ukulamona fyonse ifyo alecita.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ubwapata Cila Bushiku Buntuma no Kuleta
  La fraise dont l'empois force à lever la tête;,"Umulungu uo umulwele uulefwaya ukumusenda,"
  Chaque ennemi de plus est un nouveau godron,Umulwani onse uwapya ni mbushi
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Alalenga naumfwa ububi, alalenga naumfwa ububi."
"  Car, pareille en tous points à la fraise espagnole,","Pantu, nga filya fine caba ku Spain,"
"  La Haine est un carcan, mais c'est une auréole !","Ubwafya bwaba fye kwati ni mpanga, lelo bwaba kwati ni kalenga!"
"LE BRET (après un silence, passant son bras sous le sien):","ILYO baleloosha, baleloosha ukuboko kwabo:"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ulecita icilumba no kuicindika, lelo uleicindika"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ulelanda fye ukuti talakufwaya!
CYRANO (vivement):,CYRANO (Uwa mweo):
  Tais-toi !,Fumyeni!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Pa numa, ba Christian baingile mu ng'anda, balibombene na ba munyinefwe abaice."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,bafilwa ukulanda nankwe; pa numa aikala eka ku
