Scène 2.VIII.,Сцена 2.VIII.
"  Car le front n'ayant pas de maintien ni de loi,","Бо передні не мають дію і не мають закону,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Він віддається, щоб схильнітися в будь-якій стороні."
"  La Haine, chaque jour, me tuyaute et m'apprête","Я не хочу, щоб це було так."
  La fraise dont l'empois force à lever la tête;,"Смарага, кима ядовиць змушує підняти голову;"
  Chaque ennemi de plus est un nouveau godron,Кожен інший ворог - новий бог.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Він додає мені смутку, і додає мені радість."
"  Car, pareille en tous points à la fraise espagnole,","Бо, як і в усіх аспектах іспанська фруза,"
"  La Haine est un carcan, mais c'est une auréole !","Ненависть - це куртка, але це ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","БРЕТ (після тиші, проходячи його руку під своїм):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Зробі горда і горка, але нізко"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Просто скажи мені, що вона тебе не любить!"
CYRANO (vivement):,CYRANO (живо):
  Tais-toi !,Ти тишині!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Згодом, як Крістіан ввійшов, втрутився в молодих людей; вони"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"не розмовляв з ним, він в кінцевому підсумку сидів один на одну"
