Scène 2.VIII.,Indzaba 2:
  Quelle aberration !,Loku kuliciniso.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Yebo, loko kuyinchubo yami."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ngiyakutsandza kulahlwa, ngiyakutsandza kutsi bantfu bangitondze."
"  Mon cher, si tu savais comme l'on marche mieux","""Shangatsi ungafundza kuhamba kahle,"
  Sous la pistolétade excitante des yeux !,Ngasengotini yemehlo lamnandzi!
"  Comme, sur les pourpoints, font d'amusantes taches",Njengobe emacembu enta tintfo letijabulisako
  Le fiel des envieux et la bave des lâches !,"""Lokubi kwebantfu labafisela labanye tintfo, nekutfukutsela kwebantfu labesaba Nkulunkulu."
"  --Vous, la molle amitié dont vous vous entourez,","Wena, bungani lobuhle lobungaba khona,"
"  Ressemble à ces grands cols d'Italie, ajourés","Kubukeka njengetinkhomo letinkhulu tase-Italy, letibambe lichaza"
"  Et flottants, dans lesquels votre cou s'effémine:","netincola letisakatekile,"
"  On y est plus à l'aise. . .et de moins haute mine,",Siba nemandla kakhulu.
"  Car le front n'ayant pas de maintien ni de loi,","Ngobe umlomo awunayo imitsetfo,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Uyekela kucabanga ngetindlela letinyenti.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ngitfola inzondo onkhe emalanga, ngize ngigcine ngisondzele"
  La fraise dont l'empois force à lever la tête;,"""Lesihlabatsi lesinesifo lesimbi siyakwenta ukhone kuphakamisa inhloko yaso."
  Chaque ennemi de plus est un nouveau godron,"""Nome ngusiphi sitsa lesengetiwe singumshwabadvo lomusha""."
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","""Wengeta kimi inhlupheko, wangenta ngaba nelusizi."
"  Car, pareille en tous points à la fraise espagnole,","Njengobe kunjalo nangemagungumence aseSpain,"
"  La Haine est un carcan, mais c'est une auréole !","Inzondo iyintfo lencane, kodvwa iyintfo lencane!"
"LE BRET (après un silence, passant son bras sous le sien):","INDZELA (ngemuva kwekuthula, idlula ingalo yakhe ngaphansi kwayo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","""Tibukise tiphehla, utibitse, kodvwa utiphonse phansi."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ngitjele kutsi akakutsandzi.
CYRANO (vivement):,CYRANO (Laphilako):
  Tais-toi !,Hlala phansi!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Kusukela ngalelinye lilanga, Christian wangena, wahlangana nalabafana; laba"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"bangakhulumi naye, wagcina ahleti yedvwa"
