Scène 2.VIII.,Tampilan 2.VIII.
  Exécuter des tours de souplesse dorsale ?. . .,Nglakoni gerakan kanggo ngganti punggung? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ora, matur nuwun. Kanthi tangan siji flatul saka wedhus ing gulu"
"  Cependant que, de l'autre, on arrose le chou,","Nanging, ing sisih liya, sampeyan nyiram kubis,"
"  Et, donneur de séné par désir de rhubarbe,","Lan kang ngremehake weteng marga saka kepinginan kang abot,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Apa dheweke isih duwe dupa ing jenggot?
"  Non, merci ! Se pousser de giron en giron,","Ora, matur nuwun."
"  Devenir un petit grand homme dans un rond,","Dadi wong cilik gedhe ing babak,"
"  Et naviguer, avec des madrigaux pour rames,","Lan padha mangkat ing sagara, nganggo kapal-kapal kang digunakaké kanggo nglayani,"
  Et dans ses voiles des soupirs de vieilles dames ?,Apa ing layaré ana wong tuwa sing nggumun?
"  Non, merci ! Chez le bon éditeur de Sercy","Ora, matur nuwun."
"  Faire éditer ses vers en payant ? Non, merci !",Nggawe editan kanggo mbayar?
  S'aller faire nommer pape par les conciles,Njaluk Pengakuan Paus ing Konsili
  Que dans des cabarets tiennent des imbéciles ?,Apa ana wong bodho sing nganakké omah-omahé?
"  Non, merci ! Travailler à se construire un nom","Ora, matur nuwun. Ngupayakake nggawe jeneng"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ing siji sonnet, tinimbang nggawe liyane?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Matur nuwun, apa sampeyan mung bisa nemokake bakat ing sawah?"
"  Être terrorisé par de vagues gazettes,","Dadi wedi karo koran sing rame,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Lan tansah mikir, ""Oh, yen aku"
  Dans les petits papiers du Mercure François ?. . .,Ing kertas cilik saka Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ora, matur nuwun. Ngitung, wedi, dadi cerah,"
"  Aimer mieux faire une visite qu'un poème,","Luwih seneng ngunjungi tinimbang puisi,"
"  Rédiger des placets, se faire présenter ?","Nggawe poster, ngenalake awake dhewe?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ora, matur nuwun, ora, matur nuwun, ora, matur nuwun, nanging ..."
"  Rêver, rire, passer, être seul, être libre,","Mimpi, ngguyu, liwat, dadi siji, dadi bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Mripat kang bisa ndeleng kanthi cetha, swara kang bisa geter,"
"  Mettre, quand il vous plaît, son feutre de travers,","Nggawe, nalika sampeyan pengin, dheweke felt salah,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Kanggo ya, kanggo ora, kanggo perang, - utawa nggawe cacing!"
"  Travailler sans souci de gloire ou de fortune,","Nggarap tanpa kepéngin dadi wong sing paling gedhé lan sugih,"
"  A tel voyage, auquel on pense, dans la lune !","Pindhah sing kaya ngono, sing bisa dipikirake, menyang rembulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Aja nulis apa-apa sing ora metu saka awakmu dhewe,"
"  Et modeste d'ailleurs, se dire: mon petit,","Lan sing andhap asor, ngomong: ""Anakku,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Apa bunga, woh, utawa uga godhongé,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Yen sampeyan njupuk ing taman sampeyan dhewe!
"  Puis, s'il advient d'un peu triompher, par hasard,","Banjur, yen dheweke bisa menang sethithik, kanthi sengaja,"
"  Ne pas être obligé d'en rien rendre à César,","""Aku ora kudu mbayar apa - apa marang Kaisar."
"  Vis-à-vis de soi-même en garder le mérite,","Kanggo ngreksa dhewe,"
"  Bref, dédaignant d'être le lierre parasite,","Ing cendhak, ora nggatekake kanggo lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Senajan kita ora wit oak utawa wit willow,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mbok menawa ora munggah dhuwur, nanging dhéwé!"
LE BRET:,Ingkang Welas:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Mung siji, nanging ora nglawan kabeh wong."
  As-tu donc contracté la manie effroyable,Apa sira wus ngalami maniyah kang nggegirisi?
"  De te faire toujours, partout, des ennemis ?",Apa kowé tansah rumangsa mungsuh?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Amarga aku weruh kowé padha dadi kanca,"
"  Et rire à ces amis dont vous avez des foules,","Lan ngguyu karo kanca-kanca sing akeh,"
  D'une bouche empruntée au derrière des poules !,Kanthi cangkem sing dienggo ing mburi pitik!
"  J'aime raréfier sur mes pas les saluts,",Aku seneng ngucapaké salam marang wong liya.
  Et m'écrie avec joie: un ennemi de plus !,"Lan padha sesambat kalawan bungah: ""Mungsuh liyane!"""
LE BRET:,Ingkang Welas:
  Quelle aberration !,Apa ora apik!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ya, kuwi kekarepanku."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Aku seneng banget karo wong sing sengit karo aku.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, yen sampeyan ngerti cara mlaku luwih apik"
  Sous la pistolétade excitante des yeux !,Ing ngisor pistol negara sing nyenengake!
"  Comme, sur les pourpoints, font d'amusantes taches","Kaya, ing titik, nggawe tatapan lucu"
  Le fiel des envieux et la bave des lâches !,"Padha nggatekna, sapa sing nggatekake, sapa sing nggatekake, sapa sing nggatekake."
"  --Vous, la molle amitié dont vous vous entourez,","--Kowé, kanca sing alus sing ngubengi kowé,"
"  Ressemble à ces grands cols d'Italie, ajourés","Katon kaya iki gedhe Italian cols, ditundha"
"  Et flottants, dans lesquels votre cou s'effémine:","Lan nglangi, kang bakal nggegirisi tenggorokanmu:"
"  On y est plus à l'aise. . .et de moins haute mine,","Kita luwih nyaman ing kono. . . lan kurang dhuwur,"
"  Car le front n'ayant pas de maintien ni de loi,","Amarga mripaté ora duwe aturan utawa hukum,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Dheweke ngupayakake ngupayakake kabeh.
"  La Haine, chaque jour, me tuyaute et m'apprête",Saben dina sengit ngganggu lan ngganggu aku
  La fraise dont l'empois force à lever la tête;,Strawberry kang racuné meksa sirahé tangi;
  Chaque ennemi de plus est un nouveau godron,Saben mungsuh liyane iku godron anyar
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Panjenengané kang nambah kasusahan lan kasusahan marang aku.
"  Car, pareille en tous points à la fraise espagnole,","Amarga, kaya ing saben cara karo strawberry Spanyol,"
"  La Haine est un carcan, mais c'est une auréole !","Hate iku carcan, nanging iku auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE Breat (sawise bisu, passing lengené ing ngisoré):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Wong sombong lan pait, nanging sing rendah ati,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Katon aku ora tresna sampeyan!
CYRANO (vivement):,CYRANO (ngurip):
  Tais-toi !,Meneng!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sawise sawetara wektu, Christian mlebu, melu bocah-bocah enom;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ora ngomong karo wong; pungkasanipun lungguh piyambak ing siji
