Scène 2.VIII.,Adegan 2.VIII.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ya, saya terlalu berlebihan."
LE BRET (triomphant):,THE BRET (penanggulangan):
  Ah !,"Oh, tidak!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Tetapi untuk prinsip, dan juga untuk contoh,"
  Je trouve qu'il est bon d'exagérer ainsi.,Saya fikir ia baik untuk berlebihan seperti itu.
LE BRET:,PEMBANG:
"  Si tu laissais un peu ton âme mousquetaire,","Jika kau tinggalkan sedikit jiwa musketmu,"
  La fortune et la gloire. . .,Harta dan kemuliaan. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,"Jadi, apa yang perlu dilakukan?"
"  Chercher un protecteur puissant, prendre un patron,","Mencari pelindung yang kuat, mengambil bos,"
  Et comme un lierre obscur qui circonvient un tronc,Dan seperti sebatang hitam yang mengelilingi batang
"  Et s'en fait un tuteur en lui léchant l'écorce,","Dan ia menjadikan dirinya seorang penjaga dengan menjilat kulitnya,"
  Grimper par ruse au lieu de s'élever par force ?,Menjat dengan cara yang tidak semestinya?
"  Non, merci. Dédier, comme tous il le font,","Tidak, terima kasih."
  Des vers aux financiers ? se changer en bouffon,Dari cacing ke pengeluar kewangan?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dengan harapan yang hina untuk melihat, di bibir seorang menteri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Berkata dengan senyum yang tidak jahat?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Tidak, terima kasih."
  Avoir un ventre usé par la marche ? une peau,"Berjalan kaki, perut rosak, kulit rosak."
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Siapa yang paling cepat menjadi kotor di tempat lutut?
  Exécuter des tours de souplesse dorsale ?. . .,Menggunakan perantian belakang yang fleksibel? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Tidak, terima kasih. Dengan satu tangan, mencuci kambing di lehernya"
"  Cependant que, de l'autre, on arrose le chou,","Tetapi jika kita menuruni tanah lain,"
"  Et, donneur de séné par désir de rhubarbe,","Dan yang menyusu dengan nafsu untuk berambut-burung,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Berada dalam janggut?
"  Non, merci ! Se pousser de giron en giron,","Tidak, terima kasih."
"  Devenir un petit grand homme dans un rond,","Menjadi seorang lelaki besar kecil dalam satu pusingan,"
"  Et naviguer, avec des madrigaux pour rames,","Dan berlayar dengan kapal-kapal yang berlayar,"
  Et dans ses voiles des soupirs de vieilles dames ?,Dan di dalam kainnya ada keringat wanita tua?
"  Non, merci ! Chez le bon éditeur de Sercy","Tidak, terima kasih, di rumah penerbit Sercy yang betul."
"  Faire éditer ses vers en payant ? Non, merci !",- Mengedit ayat dengan bayaran?
  S'aller faire nommer pape par les conciles,Menerusi Pengundian Paus
  Que dans des cabarets tiennent des imbéciles ?,Adakah di dalam bilik-bilik yang lain ada orang bodoh?
"  Non, merci ! Travailler à se construire un nom","Tidak, terima kasih."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Dalam satu sonnet, bukannya membuat sonnet lain?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Terima kasih, hanya di dalam keranjang sahaja yang dapat menemui bakat?"
"  Être terrorisé par de vagues gazettes,","Teror dengan berita yang beredar,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Dan terus berkata, ""Oh, jika saya"
  Dans les petits papiers du Mercure François ?. . .,Dalam kertas kecil Mercurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Tidak, terima kasih. Berhitung, takut, berpeluh,"
"  Aimer mieux faire une visite qu'un poème,","Lebih suka melawat daripada puisi,"
"  Rédiger des placets, se faire présenter ?","Mengarang surat khabar, memperkenalkan diri?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Tidak, terima kasih, terima kasih, terima kasih, terima kasih, tetapi..."
"  Rêver, rire, passer, être seul, être libre,","Bermimpi, ketawa, berlalu, bersendirian, bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Memandangkan mata yang dapat melihat dengan baik, suara yang dapat bergetar,"
"  Mettre, quand il vous plaît, son feutre de travers,","Menggunakan, bila anda mahu, perasaannya yang salah,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Untuk satu ya, untuk satu tidak, bergaduh, atau membuat cacing!"
"  Travailler sans souci de gloire ou de fortune,","Berkerja tanpa memikirkan kemuliaan atau kekayaan,"
"  A tel voyage, auquel on pense, dans la lune !","Perjalanan seperti ini, kita ingat, ke bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Jangan pernah menulis apa-apa yang tidak datang dari diri sendiri,"
"  Et modeste d'ailleurs, se dire: mon petit,","Dan juga rendah hati, berkata, ""Anak saya,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Adakah ia berpuas hati dengan bunga, buah, atau daun,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Jika di taman anda, anda akan mengambilnya!"
"  Puis, s'il advient d'un peu triompher, par hasard,","Kemudian jika ia berjaya sedikit,"
"  Ne pas être obligé d'en rien rendre à César,","""Janganlah kamu terpaksa membayar apa-apa kepada Kaisar."
"  Vis-à-vis de soi-même en garder le mérite,","Untuk memelihara diri sendiri,"
"  Bref, dédaignant d'être le lierre parasite,","Secara ringkasnya, dengan membenci menjadi lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Walaupun kita bukan pokok ekor atau pokok ternak,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mungkin tidak boleh naik ke atas, tapi boleh naik sendiri."
LE BRET:,PEMBANG:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Dia boleh jadi seorang diri, tapi bukan semua orang."
  As-tu donc contracté la manie effroyable,Adakah kamu telah mendapat mani yang mengerikan?
"  De te faire toujours, partout, des ennemis ?",Berbuat musuh di mana-mana?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kerana melihat kamu berteman,"
"  Et rire à ces amis dont vous avez des foules,","Dan ketawa kepada rakan-rakan yang ramai anda miliki,"
  D'une bouche empruntée au derrière des poules !,Dengan mulut yang dipinjam dari belakang ayam!
"  J'aime raréfier sur mes pas les saluts,","Saya suka merayu dengan sedikit pada kaki saya,"
  Et m'écrie avec joie: un ennemi de plus !,"Dan berserulah dengan gembira kepada saya: ""Selain musuh lagi!"""
LE BRET:,PEMBANG:
  Quelle aberration !,Apa yang berlaku?
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ya, itu adalah kecacatan saya."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Saya suka jika orang membenci saya.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, jika kau tahu cara berjalan lebih baik"
  Sous la pistolétade excitante des yeux !,Di bawah keadaan pistol mata yang menarik!
"  Comme, sur les pourpoints, font d'amusantes taches","Seperti, di atas titik, membuat benda-benda lucu"
  Le fiel des envieux et la bave des lâches !,"""Keribah orang yang cemburu dan kemarahan orang yang pengecut""."
"  --Vous, la molle amitié dont vous vous entourez,","- Kamu, persahabatan yang lembut yang anda lingkungkan,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ia menyerupai besar-besaran di Itali, ditunda"
"  Et flottants, dans lesquels votre cou s'effémine:",Dan terapung-apung yang memudar di lehermu.
"  On y est plus à l'aise. . .et de moins haute mine,","Kita lebih selesa di sana. ...dan kurang tinggi,"
"  Car le front n'ayant pas de maintien ni de loi,","Kerana tudung tidak mempunyai peraturan dan undang-undang,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Dia berputus asa untuk melihat ke mana-mana arah.
"  La Haine, chaque jour, me tuyaute et m'apprête","Setiap hari, benci menggoda dan menggoda saya."
  La fraise dont l'empois force à lever la tête;,"Sepatutnya, buah jeruk yang bersemangat itu memaksa kepalanya untuk naik."
  Chaque ennemi de plus est un nouveau godron,Setiap musuh yang lebih adalah seekor godron baru.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Dia menambah kesusahan dan keresahan kepadaku.
"  Car, pareille en tous points à la fraise espagnole,","Kerana, seperti dalam segala hal dengan Spain strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Benci adalah serangga, tapi ia adalah auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (selepas diam, menghalau tangannya di bawah dia):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Buatlah orang sombong tinggi dan pahit, tetapi rendah hati"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Katakan saja dia tidak menyayangi kamu!
CYRANO (vivement):,CYRANO (hidup):
  Tais-toi !,Diamlah!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sebelum beberapa saat, Christian masuk, bercampur dengan anak-anak muda; mereka"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,tidak bercakap dengannya; akhirnya dia duduk bersendirian di sebuah
