Scène 2.VIII.,Tampilan 2.VIII.
"  Cependant que, de l'autre, on arrose le chou,","Tapi, dari urang lain, urang manyiramkan kabal,"
"  Et, donneur de séné par désir de rhubarbe,",(Dan) jua yang menyuntikkan (kepala) dengan nafsu (memberi) rambut (yang)
"  Avoir son encensoir, toujours, dans quelque barbe ?","Mampu mananamnya, salawasnya, di dalam janggut?"
"  Non, merci ! Se pousser de giron en giron,","No, thanks! Menumbuh diri dari satu lawan satu,"
"  Devenir un petit grand homme dans un rond,","Jadi laki-laki halus nang ganal dalam lingkaran,"
"  Et naviguer, avec des madrigaux pour rames,","(Dan) bajalan di dalam laut, (dengan) kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang) bajalan di atas kapal-kapal (yang)"
  Et dans ses voiles des soupirs de vieilles dames ?,Lalu di dalam kainnya ada nang ba-nangis nang kaya binian tuha?
"  Non, merci ! Chez le bon éditeur de Sercy","No, makasih, di editor Sercy nang pas"
"  Faire éditer ses vers en payant ? Non, merci !",Membuat tulisan-tulisan di editornya dengan bayar?
  S'aller faire nommer pape par les conciles,Mindahakan diri gasan manjadi Paus ulih konsil
  Que dans des cabarets tiennent des imbéciles ?,Apa nang di rumah-rumah buhannya ada urang nang bodoh?
"  Non, merci ! Travailler à se construire un nom",Ngiring inya maulah ngaran
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Di satu sonnet, alih-alih manyusun sonnet lainnya?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Hatur nuhun, tapi urang urang sunda mah, urang sunda mah, urang sunda mah."
"  Être terrorisé par de vagues gazettes,","Teror lawan koran-koran,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Dan selalu berkata, ""Oh, kalo aku jadi"
  Dans les petits papiers du Mercure François ?. . .,Dalam kertas-kertas halus dari Merkurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, makasih! ngitung, takut, jadi pemalu,"
"  Aimer mieux faire une visite qu'un poème,","Lebih suka mengunjunginya daripada puisi,"
"  Rédiger des placets, se faire présenter ?","Membahas tulisan, manunjuk diri?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, thanks! no, thanks! no, thanks! no, thanks! but... singing,"
"  Rêver, rire, passer, être seul, être libre,","Mimpi, tatawa, lewat, sendirian, bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",Mandangakan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan matan
"  Mettre, quand il vous plaît, son feutre de travers,","Mampu, bila ikam katuju, manyuruah parasaan inya kada baik,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Untuk satu ya, lawan satu no, lawan satu, atau lawan satu!"
"  Travailler sans souci de gloire ou de fortune,","Gawian kada paralu gasan mancapai gairah atawa kekayaan,"
"  A tel voyage, auquel on pense, dans la lune !","Ke perjalanan nang kaya apa, nang kita ingat, ke bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Kada pernah manulis apa-apa nang kada datang dari diri sendiri,"
"  Et modeste d'ailleurs, se dire: mon petit,","Dan sederhana lagi, bilang, ""anakku,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","atau bunga, buah, bahkan daun,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Amun di taman ikam ikam mambawai'akan!
"  Puis, s'il advient d'un peu triompher, par hasard,","Lalu, jikalau dia dapat jua sedikit kemenangan,"
"  Ne pas être obligé d'en rien rendre à César,","Dek karano itu, janlah manuntuik upah kabake Kaisar."
"  Vis-à-vis de soi-même en garder le mérite,","lawan diri sendiri mempertahankan mertuainya,"
"  Bref, dédaignant d'être le lierre parasite,","Singkatnya, kada tapi jadi lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Walaupun kita kada kayu bara atau kayu lapis,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mungkin kada sampai tinggi, tapi sorang-sorang!"
LE BRET:,PANYAH:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","sorang sorang, tapi tak lawan semua."
  As-tu donc contracté la manie effroyable,"""Maka apakah kamu sudah menyambangi (manusia) yang mengerikan?"""
"  De te faire toujours, partout, des ennemis ?",Membuat lawan di mana-mana?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Karena melihat kalian jadi teman,"
"  Et rire à ces amis dont vous avez des foules,","Dan tertawa pada kawan-kawan nang banyak di antara kalian,"
  D'une bouche empruntée au derrière des poules !,Di mulut nang di pinjam di punggung ayam!
"  J'aime raréfier sur mes pas les saluts,","Aku katuju mambawai salam di kaki,"
  Et m'écrie avec joie: un ennemi de plus !,"""Sudah tu, suruahlah ambo basorak-sorak, 'Sualah musuah nan lain!'"
LE BRET:,PANYAH:
  Quelle aberration !,Apa kelainannya!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nah, iya, itu adalah kekurangannya."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Aku suka kada dikasihi.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, amun ikam tahu cara bajalan labih baik"
  Sous la pistolétade excitante des yeux !,Di bawah gairah matan mata nang manarik!
"  Comme, sur les pourpoints, font d'amusantes taches","Bagaimana, di titik-titik, membuat noda lucu"
  Le fiel des envieux et la bave des lâches !,"Kaki urang galau, dan kabaiak urang galau!"
"  --Vous, la molle amitié dont vous vous entourez,","--kau, kawan halus nang ada di sekitarmu,"
"  Ressemble à ces grands cols d'Italie, ajourés","Kayak nang kaya nang tinggi di Italia, ditunda"
"  Et flottants, dans lesquels votre cou s'effémine:","Dan mengambang jua di dalamnya,"
"  On y est plus à l'aise. . .et de moins haute mine,","Kita labih nyaman di sana. . .Dan kurang tinggi,"
"  Car le front n'ayant pas de maintien ni de loi,","Dek karano, urang-urang tu indak mampunyoi paratuaran nan patuik, sarato indak pulo doh mampunyoi paratuaran nan patuik."
"  S'abandonne à pencher dans tous les sens. Mais moi,","inya kada mau bajalan. tapi aku,"
"  La Haine, chaque jour, me tuyaute et m'apprête","Kada hari, Banci mamburuk wan manampat aku"
  La fraise dont l'empois force à lever la tête;,Samak nan racunnyo manyuruah kapalo inyo tagak;
  Chaque ennemi de plus est un nouveau godron,Setiap lawan lagi adalah lawan baru
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Baliau manambah-tambah kacaukan, sarato jo kacaukan."
"  Car, pareille en tous points à la fraise espagnole,","Karena, sama kaya di mana-mana cara dengan Spain strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Hati adalah karakan, tapi itu adalah auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (habis diam, melampirakan lengannya di bawahnya):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Pakailah urang nan angku-angku, sarato karajokanlah urang nan angku-angku, tapi, andaklah angku-angku manurunkan diri."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Katakan haja amun inya kada mancinta ikam!
CYRANO (vivement):,CYRANO (hidup):
  Tais-toi !,Diamlah jua !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sudah seketika, Christian masuk, bagabung lawan anak-anak;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,kada mambari kata lawan inya; akhirnya inya duduk sorang di satu
