Scène 2.VIII.,ትዕይንት 2.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ኣብ ክንዲ ካልእ ዜማታት ዚፍጠር፡ ኣብ ሓደ ድምጺ ወይ ኣብ ካልእ ድምጺ ዚፍጸም ድምጺ።
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ምስጋና! ንተኽእሎ ኣብ መዕቈቢ ጥራይ ክርከብ ድዩ?
"  Être terrorisé par de vagues gazettes,",ብማዕበል ጋዜጣታት ክትስሕብ
"  Et se dire sans cesse: Oh, pourvu que je sois","""ኣጆኻ፡ ኣነ እንተ ዀይነ፡"
  Dans les petits papiers du Mercure François ?. . .,ኣብ ወረቐት ፍራንቸስኮስ ሜርኩር . . .
"  Non, merci ! Calculer, avoir peur, être blême,",ኣይመስለንን። ምቁጽጻር፡ ፍርሒ፡ ሕሱም ምዃን፡
"  Aimer mieux faire une visite qu'un poème,",ካብ ግጥሚ፡ ምብጻሕ ምሃብ ይሓይሽ
"  Rédiger des placets, se faire présenter ?",ወረቐት ጽሕፈት፡ ወይ ናይ ምምጻእ ስምዒት?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ኣይመስለንን ኣይመስለንን ኣይመስለንን ግን...
"  Rêver, rire, passer, être seul, être libre,",ሕልሚ ምባል፡ ሕልሚ ምባል፡ ሕልፍ ምባል፡ ንበይነይ ምባል፡ ናጻ ምባል፡
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ኣዒንቲኻ ብቑዕ ክትርኢ፡ ድምጺኻ ብቑዕ ክትከውን፡
"  Mettre, quand il vous plaît, son feutre de travers,","""ንሱ ኺሰምዓካ ኸሎ፡"""
"  Pour un oui, pour un non, se battre,--ou faire un vers !",እወ ወይ ኣይፋል፡ ተጋደልቲ ወይ ኣረመኔታት!
"  Travailler sans souci de gloire ou de fortune,",ክብሪ ወይ ሃብቲ ከይትደሊ፡
"  A tel voyage, auquel on pense, dans la lune !",ኣብ ወርሒ እትገብሮ እትሓስብ ናይዚኣ ዓይነት ጕዕዞ!
"  N'écrire jamais rien qui de soi ne sortît,",ካብ ገዛእ ርእስኻ ዘይወጽእ ነገር ኣይትጻሓፍ፣
"  Et modeste d'ailleurs, se dire: mon petit,","""ኣነ ግና ሕጻን እየ"" ኢልካ ትሓስብ"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ኣብ ዕምባባ፡ ኣብ ፍረ፡ ኣብ ኦም እውን እንተ ዀነ፡
  Si c'est dans ton jardin à toi que tu les cueilles !,ኣብ ገነትካ እንተ ዄንካ፡ ንስኻ ኢኻ እትእክብ ዘለኻ።
"  Puis, s'il advient d'un peu triompher, par hasard,",እንተ ደኣ ንእሽቶ ዕዉት እንተ ዀይኑ፡
"  Ne pas être obligé d'en rien rendre à César,",ንቄሳር ከየስግሮ
"  Vis-à-vis de soi-même en garder le mérite,",ንገዛእ ርእስኻ ብቑዕ ብምዃን
"  Bref, dédaignant d'être le lierre parasite,",ብሓጺሩ፡ እቲ ንህጻን ዝህሉ ሑጻ ምዃኑ ብምኽሓድ፡
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ዋላ እኳ እንኮ እንክኸውን ወይ እንክኸውን፡
"  Ne pas monter bien haut, peut-être, mais tout seul !",ምናልባት ብዙሕ ኣይበጽሕን ይኸውን፡ ንበይነይ ግና!
LE BRET:,እቲ ሓመድ
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ንበይነይ ክኸውን ይኽእል እዩ፡ ግን ንኹሉ ኣይቃወምን እዩ።
  As-tu donc contracté la manie effroyable,"""ከመይሲ፡ እቲ ዜስካሕክሕ ምብራህ ተጸሚሙካዶ፧"""
"  De te faire toujours, partout, des ennemis ?",ኣብ ኵሉ ቦታ ጸላእቲ ኸተቕርቡ?
CYRANO:,ሲራን፦
"  A force de vous voir vous faire des amis,",ፈተውቲ ክትገብሩ ምስ ረኣኹም፡
"  Et rire à ces amis dont vous avez des foules,",ነቶም ብዙሓት ሰባት ዝዀኑ ኣዕሩኽኻ ድማ ክትስሕቕ ኢኻ።
  D'une bouche empruntée au derrière des poules !,ካብ ኣፍ ድኣ ተለዊጡ!
"  J'aime raréfier sur mes pas les saluts,",ኣብ እግረይ ሰላምታታት ክቐርብ እፈቱ።
  Et m'écrie avec joie: un ennemi de plus !,"""እተረፈ ጸላኢ!"
LE BRET:,እቲ ሓመድ
  Quelle aberration !,ኣየ ኸመይ ዝበለ ኣበርራራ!
CYRANO:,ሲራን፦
"  Eh bien, oui, c'est mon vice.",እወ፡ እዚ ናተይ ባእሲ እዩ።
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ካብ ቤት ምኻድ ባህ ዜብል ነገር እዩ። ዚጸልኣኒ ነገር እውን እፈቱ እየ።
"  Mon cher, si tu savais comme l'on marche mieux",ክቡር፡ ከመይ ከም እንመላለስ እንተ ትፈልጥ
  Sous la pistolétade excitante des yeux !,ኣብ ትሕቲ እቲ ዜደንቕ ናይ ዓይኒ ኣጽዋር!
"  Comme, sur les pourpoints, font d'amusantes taches",ኣብ ኣጀንዳታት፡ ሕብስቲ ቦታታት ከም ዚፍጠሩ
  Le fiel des envieux et la bave des lâches !,እቲ ምባል ቅኑዓት፡ እቲ ምባል ሓያላት!
"  --Vous, la molle amitié dont vous vous entourez,",-እንተትከይድ፡
"  Ressemble à ces grands cols d'Italie, ajourés",ከምቶም ዓበይቲ ናይ ኢጣልያ ኮላታት
"  Et flottants, dans lesquels votre cou s'effémine:",ኣብኣ ድማ ኣገትብራኻ ትጐልበጥ፡
"  On y est plus à l'aise. . .et de moins haute mine,",ኣብኡ ዝያዳ ምቾት ይስምዓና እዩ።
"  Car le front n'ayant pas de maintien ni de loi,",እቲ ገጹ ዘይሕጋዊ ስርዓትን ሕጊን ስለ ዘይብሉ፡
"  S'abandonne à pencher dans tous les sens. Mais moi,",ኣብ ኵሉ መዳያት ክንምርምር ይጽዕር። ኣነ ግና
"  La Haine, chaque jour, me tuyaute et m'apprête",ጽልኢ መዓልታዊ ይንዕቕኒ
  La fraise dont l'empois force à lever la tête;,እቲ ሽግኡ ርእሱ ኼንጸባርቕ ዚገብር ፍራንቸስኮ፡
  Chaque ennemi de plus est un nouveau godron,ሓደ ሓዲሽ ጸላኢ ሓደ ሓዲሽ ኣረጊት እዩ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ንሱ ኸኣ ዜጕሂ ነገር ይውስኸለይ፡ ዜጕሂ ነገር እውን ይውስኸለይ።
"  Car, pareille en tous points à la fraise espagnole,",ከምቲ ኣብ ኵሉ መዳያት ምስ ስጳኛ ዝስራሕ ፍሪዝ
"  La Haine est un carcan, mais c'est une auréole !",ጽልኢ፡ ዕንወት እዩ፡ ግናኸ፡ ኣበራኦል እዩ!
"LE BRET (après un silence, passant son bras sous le sien):",እቲ ብሬት (ብድሕር ስቕታ፡ ክዳኑ ኣብ ትሕቲኡ እናሓለፈ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",እቲ ትዕቢተኛውን እቲ ኣረርርርን ግናኸ፡ እቲ ትሑት
  Dis-moi tout simplement qu'elle ne t'aime pas !,ንሳ ከም ዘይትፈትወካ ጥራይ ንገረኒ!
CYRANO (vivement):,ሲራኖ (ህያው):
  Tais-toi !,ስቕ በል!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(ካብ ሓደ እዋን ኣትሒዙ፡ ክርስትያን ናብታ ቤት ትምህርቲ ኣትዩ፡ ምስቶም መንእሰያት ተሰማሚዑ፡
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ምስኣ ኣይዘራረቡን;ብመጨረሻ ድማ በይኑ ኣብ ሓደ
