Scène 2.VIII.,Scenarij 2.VIII.
"  Rêver, rire, passer, être seul, être libre,","Sanjati, smejati se, hoditi mimo, biti sam, biti svoboden,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Da imaš dobro vidno oko, tresejoče glas,"
"  Mettre, quand il vous plaît, son feutre de travers,","Če želite, da se počuti krivo,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za ""da"", za ""ne"", se borite, ali pa se vrnite!"
"  Travailler sans souci de gloire ou de fortune,","Ne skrbite za slavo ali premoženje,"
"  A tel voyage, auquel on pense, dans la lune !","Na tak potovanje, ki ga lahko pomislimo na luno!"
"  N'écrire jamais rien qui de soi ne sortît,","Nikoli ne pišite ničesar, kar ne pride iz sebe,"
"  Et modeste d'ailleurs, se dire: mon petit,","In skromno, da si reče: ""Moj mali,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Lahko se zadovolji z cvetovi, sadovi, celo z listmi,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Če jih boš v svojem vrtu zbiral.
"  Puis, s'il advient d'un peu triompher, par hasard,","Potem, če bo prišel do zmage,"
"  Ne pas être obligé d'en rien rendre à César,",Ne bodi prisiljen dati kaj cesarju.
"  Vis-à-vis de soi-même en garder le mérite,",Da bi se držala za to.
"  Bref, dédaignant d'être le lierre parasite,","Če prav rečem, da sem parazitna lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Tudi če nisi baraba ali žebrica,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mogoče ne bo prišel visoko, ampak sam."
LE BRET:,-Prav. -Prav.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Samo, a ne proti vsem."
  As-tu donc contracté la manie effroyable,Si se torej zmotila grozne manje?
"  De te faire toujours, partout, des ennemis ?",Da si vedno vsepovsod ustvarjaš sovražnike?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Zaradi tega, da si se spoznala z prijatelji,"
"  Et rire à ces amis dont vous avez des foules,","In se smejte prijateljem, ki jih imate v množici,"
  D'une bouche empruntée au derrière des poules !,"Z usta, ki si jo vzamete za piščanci!"
"  J'aime raréfier sur mes pas les saluts,",Rad sem se pozdravljal z mojim stopom.
  Et m'écrie avec joie: un ennemi de plus !,In vpiši mi z veseljem: Še en sovražnik!
LE BRET:,-Prav. -Prav.
  Quelle aberration !,Kakšna izmišljotina.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","No, ja, to je moja slabost."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Rad se odpravi, rad se sovraži."
"  Mon cher, si tu savais comme l'on marche mieux","Ljubica, če bi vedela, kako bolje hoditi"
  Sous la pistolétade excitante des yeux !,Pod vzburljivo pištolo v očeh!
"  Comme, sur les pourpoints, font d'amusantes taches","Kot, na navodilih, delajo zabavne škode"
  Le fiel des envieux et la bave des lâches !,Žalost zavidnih in slabost za strahopetnikov!
"  --Vous, la molle amitié dont vous vous entourez,","Ti, mil prijatelj, ki si ga obkrožil,"
"  Ressemble à ces grands cols d'Italie, ajourés","Podobno je s temi velikimi italijanskimi vrvi, ki so odloženi."
"  Et flottants, dans lesquels votre cou s'effémine:","In plavajoče, v katerih se bojevina strahuje:"
"  On y est plus à l'aise. . .et de moins haute mine,",Pri tem smo bolj udobni.
"  Car le front n'ayant pas de maintien ni de loi,","Ker čela nimajo pravega načela in zakona,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ne more se vrniti na vse načine.
"  La Haine, chaque jour, me tuyaute et m'apprête",Vsa noč me sovraštvo zažviga in me pripravlja
  La fraise dont l'empois force à lever la tête;,"Žarlata, ki jo je strup prisilil dvigniti glavo;"
  Chaque ennemi de plus est un nouveau godron,Vsak še en sovražnik je nov kreten.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ki mi še več skrbi in še več razstrelitve.
"  Car, pareille en tous points à la fraise espagnole,","Ker je v vseh pogledih podobna španski fraži,"
"  La Haine est un carcan, mais c'est une auréole !","Sovraštvo je kreten, ampak je aurel!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (po tišini, prenose svojo roko pod svojo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Naj se ponosni in gorki, toda naj se ponižate."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Samo povej, da te ne mara!"
CYRANO (vivement):,CYRANO (živ):
  Tais-toi !,-Tiho!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Od trenutka naprej je Christian vstopil, se je vmešal v mladostnike;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Ne govori z njim, je končno sedel sam pri"
