Scène 2.VIII.,Scena 2.VIII.
"  Mais pour le principe, et pour l'exemple aussi,","Ma par el principio, e par l'esempio anca,"
  Je trouve qu'il est bon d'exagérer ainsi.,Me par che sia bon far così un'eccessiva.
LE BRET:,El BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Se te lasse un po' la tua anima mosqueta,"
  La fortune et la gloire. . .,La fortuna e la gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,E cossa faremo?
"  Chercher un protecteur puissant, prendre un patron,","Cerca un protetore potente, ciapa un patron,"
  Et comme un lierre obscur qui circonvient un tronc,E come un'ombra scura che gira intorno a un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E se ne fa un tutore, le leda la coxa,"
  Grimper par ruse au lieu de s'élever par force ?,Scalando per mania invece de esaltarse a forza?
"  Non, merci. Dédier, comme tous il le font,","No, grazie. Dedicar, come tuti i altri,"
  Des vers aux financiers ? se changer en bouffon,Da vermi ai finanzieri?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In speransa de veder, par le dita de un ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Par na sorriso, par fin, che no xe sinistro?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, grazie. (Ragazzando) El pranzo, ogni giorno, de un crabbido?"
  Avoir un ventre usé par la marche ? une peau,Che un ventre se spoglia par andar?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Chi xe che el vien più presto, al posto de le ginocchie, a dirti?"
  Exécuter des tours de souplesse dorsale ?. . .,Fare torni de flessibilità de schiena? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, grazie, un'altra man el ga fato el giro de la capra"
"  Cependant que, de l'autre, on arrose le chou,","Ma se de l'altro se dà l'acqua al cavolo,"
"  Et, donneur de séné par désir de rhubarbe,","E che dà al seno par volere la barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Avendo el suo incendio sempre in qualche barba?
"  Non, merci ! Se pousser de giron en giron,","No, grazie, spingersi da un momento all'altro,"
"  Devenir un petit grand homme dans un rond,","Vener un grande omo picineto in un giro,"
"  Et naviguer, avec des madrigaux pour rames,","E a navegar co le madrighe de i rem,"
  Et dans ses voiles des soupirs de vieilles dames ?,E in so veli i sopori de vece?
"  Non, merci ! Chez le bon éditeur de Sercy","No, grazie, al bon editore de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Che i ga fato el verbo a pagare?
  S'aller faire nommer pape par les conciles,Par farsi nome Papa dai Concili
  Que dans des cabarets tiennent des imbéciles ?,Che in cabarete ghe xe dei scemi?
"  Non, merci ! Travailler à se construire un nom","No, grazie, lavorar per farse un nome"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Su un soneto, invece de far altri?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Grazie, no se pol scover el talento che se pol far in mazze?"
"  Être terrorisé par de vagues gazettes,","esser terrorizà da un'onda de giornali,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E sempre se dise: Oh, se son"
  Dans les petits papiers du Mercure François ?. . .,In i piccoli documenti del Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, grazie! Calcolar, aver paura, esser malvagio,"
"  Aimer mieux faire une visite qu'un poème,","Preferirìa far un giro che un poema,"
"  Rédiger des placets, se faire présenter ?","Far i cartolini, farse presentar?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, grazie, no, grazie, no, grazie, ma... cantare,"
"  Rêver, rire, passer, être seul, être libre,","Sognar, ride, passar, star solo, esser liberi,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Che l'occhio vede ben, che la voxe tremol,"
"  Mettre, quand il vous plaît, son feutre de travers,","Se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol, se vol,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Par un sì, par un no, battarse, - o far un vermo!"
"  Travailler sans souci de gloire ou de fortune,","Lavorar sensa preocuparsi de gloria o de ricchezza,"
"  A tel voyage, auquel on pense, dans la lune !","A un viaggio che se pensa, a la luna!"
"  N'écrire jamais rien qui de soi ne sortît,","No scriver mai gnente che no vien da te,"
"  Et modeste d'ailleurs, se dire: mon petit,","E modesto, paraltro, dir: ""Mio piccolo,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Se se contenta de fiori, frutti, anca de foglie,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se te ghe i ga in giardin!
"  Puis, s'il advient d'un peu triompher, par hasard,","E se el ga fato un trionfo,"
"  Ne pas être obligé d'en rien rendre à César,","No te devi pagar a Cesare,"
"  Vis-à-vis de soi-même en garder le mérite,","Par el merito de se stemo a farla,"
"  Bref, dédaignant d'être le lierre parasite,","Insomma, disprezando de esser el lierre parasitego,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","E anca se no semo el roble o el tiseo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No se pol far ben, ma se pol far solo!"
LE BRET:,El BREAT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Se solo, ma no contro tuti."
  As-tu donc contracté la manie effroyable,E te ga ciapà la terribile mania?
"  De te faire toujours, partout, des ennemis ?",Che te ghea sempre i nemici in ogni posto?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Parché te ga fato amicizia,"
"  Et rire à ces amis dont vous avez des foules,","E ridendo a quei amici che te ga tante persone,"
  D'une bouche empruntée au derrière des poules !,Da una bocca che se ga preso al culo dei polli!
"  J'aime raréfier sur mes pas les saluts,","Mi me piase far el saluto a i me passi,"
  Et m'écrie avec joie: un ennemi de plus !,E me grida de gioia: un nemigo più!
LE BRET:,El BREAT:
  Quelle aberration !,Che aberrazion!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Beh, sì, xe el mio vizo."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mi me piaxe andar via, me piaxe che me odi."
"  Mon cher, si tu savais comme l'on marche mieux","Cara, se te savessi come se camina mejo"
  Sous la pistolétade excitante des yeux !,Sotto el stadio de pistole che fa i oci!
"  Comme, sur les pourpoints, font d'amusantes taches","Come, su i punti, far de divertenti macchie"
  Le fiel des envieux et la bave des lâches !,El fiol dei invidiabiłi e el fiol dei cobai!
"  --Vous, la molle amitié dont vous vous entourez,","-Te, la dolce amicizia che te ghe intorno,"
"  Ressemble à ces grands cols d'Italie, ajourés","Par quei grandi colori d'Italia, posti a ritardo"
"  Et flottants, dans lesquels votre cou s'effémine:","E che i vaga in mare, che i se spalanca in te i cuoli."
"  On y est plus à l'aise. . .et de moins haute mine,","E se gavemo più confort e meno alte,"
"  Car le front n'ayant pas de maintien ni de loi,","Perché la fronte no ga un'armonizazion e no la ga la legge,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",El se dà a far el giro in ogni senso.
"  La Haine, chaque jour, me tuyaute et m'apprête","El odio, ogni giorno, me fa pipì e me fa schifo"
  La fraise dont l'empois force à lever la tête;,La fraga che la polensa la fa alzar la testa;
  Chaque ennemi de plus est un nouveau godron,Ogni nemigo che ghe ne va xe un novo martello
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Che me dà un'altra disgrazia e un'altra strage,"
"  Car, pareille en tous points à la fraise espagnole,","Parché, come in ogni modo, la fraza spagnola,"
"  La Haine est un carcan, mais c'est une auréole !","El odio xe un carcan, ma xe un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","El BREET (dopo el silenzio, passando el brazo soto el so):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Fa' che l'orgoglio sia alto e amaro, ma basso"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dimmi che no te ciama!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,- Chiudi la bocca!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Da un momento, Christian xe entrado, se ga mescolato coi ragazzi; questi"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,no ghe parlava; el finise a sentarse solo a una
