Scène 2.VIII.,Adegan 2.VIII.
  Avoir un ventre usé par la marche ? une peau,"Ngiring ngamah ring basang, ngamah ring kulit"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Sapasirake sane gelis ngutang lututnyane tur dados busul?
  Exécuter des tours de souplesse dorsale ?. . .,Ngalaksanayang turunan ring punggung? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nénten, suksma. Malih antuk tangan asiki, tiang ngucapang panganggén kambing ring gulu"
"  Cependant que, de l'autre, on arrose le chou,","Nanging yening wenten anak sane nginem sawannyane,"
"  Et, donneur de séné par désir de rhubarbe,",Ipun pacang ngumbah ipun antuk rasa seneng.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Napi malih tiangé setata madue panci ring cangkem?
"  Non, merci ! Se pousser de giron en giron,","Nénten, suksma. Ngiring nglimbak saking siki ka siki,"
"  Devenir un petit grand homme dans un rond,",Ngiringja tiang dados anak alit sane sampun duur ring tengahing genah tiange.
"  Et naviguer, avec des madrigaux pour rames,",tur nglintangin segarane antuk kapal ane madaging kapal ane lakar ngagendong.
  Et dans ses voiles des soupirs de vieilles dames ?,Napi malih ring payung-payungnyane wenten suara panyengit saking paraeluh-eluhe?
"  Non, merci ! Chez le bon éditeur de Sercy","Nénten, suksma ring pangarang Sercy sané becik."
"  Faire éditer ses vers en payant ? Non, merci !",Napi mawinan ipun ngedit tulisan ipuné?
  S'aller faire nommer pape par les conciles,Malih kacalon dados Paus ring Konsili
  Que dans des cabarets tiennent des imbéciles ?,Napi malih ring genah-genah sane lianan?
"  Non, merci ! Travailler à se construire un nom","Nénten, suksma. Ngupayayang ngamolihang parab"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ring satunggiling suara, dadosipun ipun nenten malih nganggen sane lianan?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Suksma, wantah ring genah sané wénten bakat kewanten sané prasida kapolihang?"
"  Être terrorisé par de vagues gazettes,","Ipun jejeh ring ajeng surat kabar,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Tur ipun mapineh-pineh kadi asapuniki: ""Yening wantah titiang"
  Dans les petits papiers du Mercure François ?. . .,Ring kertas-kertas alit saking Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nénten, suksma. Ngitung, takut, sedih,"
"  Aimer mieux faire une visite qu'un poème,","Ngiringja ngelingang pangubakti ring ajeng-ajengan, bandingang ring puisi."
"  Rédiger des placets, se faire présenter ?","Napi malih nyuratang surat, mangda prasida ngamolihang raga?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nénten, suksma, suksma, suksma, nanging..."
"  Rêver, rire, passer, être seul, être libre,","Ngimpi, ngguyu, nglintangin, wantah, bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Samaliha mangda paningalan semetone mrasidayang nyingakin, tur suara semetone mrasidayang nglinguang."
"  Mettre, quand il vous plaît, son feutre de travers,","Yening semeton kayun, semeton mrasidayang ngrasayang kawiryan indrian semetone."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Yening wenten sane maosang ""sawiakti"", wiadin ""tan sawiakti"", raris matembung."
"  Travailler sans souci de gloire ou de fortune,",Sampunangja semeton ngulati kasugihan wiadin kasugihan.
"  A tel voyage, auquel on pense, dans la lune !","Malarapan antuk pamarginé sakadi punika, iraga prasida ngantenang bulan."
"  N'écrire jamais rien qui de soi ne sortît,","Sampunangja nyuratang paindikan sane nenten patut,"
"  Et modeste d'ailleurs, se dire: mon petit,","Tur sane mangkin ipun malih nambet, mabaos ring dewekipune:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ida ledang ngisinin pinunasipune, yadiastu madaging woh-wohan wiadin daun."
  Si c'est dans ton jardin à toi que tu les cueilles !,"Yening ragane ngrereh ipun ring tamane ragane, sinah ragane pacang nampi ipun."
"  Puis, s'il advient d'un peu triompher, par hasard,","Yening ipun polih kamewehan,"
"  Ne pas être obligé d'en rien rendre à César,","Yen manut pawarah - warahe, tiang tan pacang muutang punapa - punapi ring Ida Sang Nata Ratu."
"  Vis-à-vis de soi-même en garder le mérite,",Santukan semeton sampun nglinguang merta sane sampun kajanjiang antuk Ida Sang Hyang Widi Wasa ring semeton.
"  Bref, dédaignant d'être le lierre parasite,","Ring ajeng, tiang nenten pisan uning mungguing tiang puniki parasit lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Yadiastun iraga nenten dados taru, wiadin taru,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Minab nenten munggah tegeh, nanging wantah ragané kewanten!"
LE BRET:,TANYA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Yadiastun wantah ipun kewanten, nanging nenten nglawan anake makasami."
  As-tu donc contracté la manie effroyable,Punapike semeton sampun keni keni pinakit sane kalintang abot?
"  De te faire toujours, partout, des ennemis ?",Napi awinan semeton nenten mrasidayang ngrasayang meseh-meseh semetone?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Santukan semeton sampun dados timpal-timpal tiange,"
"  Et rire à ces amis dont vous avez des foules,","Tur ragane ngedekin timpal-timpal ragane ane liu,"
  D'une bouche empruntée au derrière des poules !,Saking cangkemné sané kaambil saking garba ayam!
"  J'aime raréfier sur mes pas les saluts,",Tiang seneng ngaturang pangayu bagia ring anake sane mamargi ring arepan tiange.
  Et m'écrie avec joie: un ennemi de plus !,"Tur ragane masuryak ring tiang antuk suara sane liang: ""Titiang malih maderbe meseh!"""
LE BRET:,TANYA:
  Quelle aberration !,Ambate iwang pisan.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nah, iya, nika wantah kacorahan tiange."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Tiang seneng pisan yening tiang kabenci.
"  Mon cher, si tu savais comme l'on marche mieux","Duh sayang, yéning yéning uning sapunapi mamargi sané pinih becik"
  Sous la pistolétade excitante des yeux !,Ring sor saking paningalané sané ngambel.
"  Comme, sur les pourpoints, font d'amusantes taches","Sakadi, ring indik, makarya genah sane lucu"
  Le fiel des envieux et la bave des lâches !,Ipun pacang dados sakadi anak sane iri miwah sakadi anak sane takut.
"  --Vous, la molle amitié dont vous vous entourez,","-Ragane, timpal sane sayang,"
"  Ressemble à ces grands cols d'Italie, ajourés","Nénten sakadi kelor ageng saking Italia, sané kawedar"
"  Et flottants, dans lesquels votre cou s'effémine:","miwah ring toyane sane ngendih murub,"
"  On y est plus à l'aise. . .et de moins haute mine,","Iraga sayan magenah ring ajeng. . . miwah sayan nincap,"
"  Car le front n'ayant pas de maintien ni de loi,","Santukan tan wenten pidabdab sane matungkasan ring pidabdab sane lianan,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ipun nenten mrasidayang ngidepang saluiring paindikan.
"  La Haine, chaque jour, me tuyaute et m'apprête","Sakancan rahina sane sampun lintang, titiang geting tur geting ring geting sane sampun ngawinang titiang geting ring Ida Sang Hyang Widi Wasa."
  La fraise dont l'empois force à lever la tête;,Tanduke sane keni racun punika ngawinang ipun mrasidayang ngambel sirahnyane.
  Chaque ennemi de plus est un nouveau godron,Sahananing musuh sane tiosan wantah wadua balung sane anyar
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ida mapaica kamewehan miwah kamewehan ring tiang.
"  Car, pareille en tous points à la fraise espagnole,","Santukan sakadi kedis Spanyol ring sakancan pamarginnyane,"
"  La Haine est un carcan, mais c'est une auréole !","Mresresresresan punika wantah carcan, nanging punika wantah auréola!"
"LE BRET (après un silence, passant son bras sous le sien):",Bali: Ida Sang Hyang Widi Wasa raris ngandika ring dane sapuniki:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Duaning punika, sampunangja semeton nyumbungang raga, tur sampunang nyumbungang raga."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Nah, uningayangja teken tiang, mungguing ia tusing demen teken cening!"
CYRANO (vivement):,CYRANO (saking urip):
  Tais-toi !,Ten kenkenang!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sampun galah, Christian ngranjing, sareng-sareng ring para anak alit;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"tan wenten sane matur ring ida, raris ida malinggih sareng sami ring"
