Scène 2.VIII.,现在我们要做什么?
"  Ne pas être obligé d'en rien rendre à César,",没有必要向皇帝交任何东西.
"  Vis-à-vis de soi-même en garder le mérite,","为了自己,保持自己的功劳,"
"  Bref, dédaignant d'être le lierre parasite,","简而言之,我不愿意成为寄生虫,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","即使我们不是树,也不是树,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","虽然不高,但我自己!"
LE BRET:,子:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","虽然他自己,但不是所有人."
  As-tu donc contracté la manie effroyable,你有没有患上了可怕的狂热?
"  De te faire toujours, partout, des ennemis ?",总是要在任何地方做敌人?
CYRANO:,们都在着.
"  A force de vous voir vous faire des amis,","因为我看到你们结交了朋友,"
"  Et rire à ces amis dont vous avez des foules,","嘲笑那些你拥有的朋友,"
  D'une bouche empruntée au derrière des poules !,子的嘴!
"  J'aime raréfier sur mes pas les saluts,","我喜欢在脚下扬,"
  Et m'écrie avec joie: un ennemi de plus !,"他欢呼着说: ""还有一个敌人!"
LE BRET:,子:
  Quelle aberration !,这真是个!
CYRANO:,们都在着.
"  Eh bien, oui, c'est mon vice.",",是的,这是我的恶意."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"我喜欢流浪,我喜欢被人恨."
"  Mon cher, si tu savais comme l'on marche mieux","我爱你,如果你知道我们如何走得更好"
  Sous la pistolétade excitante des yeux !,在激动人心的眼睛之下!
"  Comme, sur les pourpoints, font d'amusantes taches",像在指标上做一些有趣的点子
  Le fiel des envieux et la bave des lâches !,"嫉妒者,胆怯的人!"
"  --Vous, la molle amitié dont vous vous entourez,","你,你周围的温柔的朋友,"
"  Ressemble à ces grands cols d'Italie, ajourés","像意大利的那些大子,"
"  Et flottants, dans lesquels votre cou s'effémine:","漂浮的,你的子在其中,"
"  On y est plus à l'aise. . .et de moins haute mine,",我们在这里更舒服.
"  Car le front n'ayant pas de maintien ni de loi,","因为前额没有守法,没有法律,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",他不愿意向任何方向倾斜.
"  La Haine, chaque jour, me tuyaute et m'apprête","仇恨每天都在我,我"
  La fraise dont l'empois force à lever la tête;,"子的毒气使他的头抬起,"
  Chaque ennemi de plus est un nouveau godron,每个敌人都是新的子.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","他使我更加尬,使我更加丧."
"  Car, pareille en tous points à la fraise espagnole,","因为,就像西班牙果一样,"
"  La Haine est un carcan, mais c'est une auréole !","仇恨是一只,但它是一颗!"
"LE BRET (après un silence, passant son bras sous le sien):"," (沉默后,通过他的手臂在他的下):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","骄傲的人高高,苦,但低低."
  Dis-moi tout simplement qu'elle ne t'aime pas !,告诉我她不爱你!
CYRANO (vivement):, (活着):
  Tais-toi !,着嘴!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(一会儿,基督徒走进了,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"他没有跟他说话,最后他独自坐下来."
