Scène 2.VIII.,Sceno 2.VIII.
  Et que faudrait-il faire ?,Kaj kion oni faru?
"  Chercher un protecteur puissant, prendre un patron,","Serĉi potentan protektanton, preni patron,"
  Et comme un lierre obscur qui circonvient un tronc,Kaj kiel malluma litero ĉirkaŭanta tronkon
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kaj li faras sin protektanto, legante lian korbon,"
  Grimper par ruse au lieu de s'élever par force ?,Ĉu grimpi per ruzo anstataŭ grimpi per forto?
"  Non, merci. Dédier, comme tous il le font,","Ne, dankon. Dedicante, kiel ĉiuj aliaj,"
  Des vers aux financiers ? se changer en bouffon,De vermoj al financistoj?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","En la malpura espero vidi, per la lipoj de ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ĉu naskiĝigi rideton, kiu ne estas sincera?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ĉu tagmanĝo ĉiutage kun frago?
  Avoir un ventre usé par la marche ? une peau,Ĉu vi havas stomakon uzitan dum vi promenas?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kiu pli rapide, anstataŭ la genuoj, malpurigas sin?"
  Exécuter des tours de souplesse dorsale ?. . .,Ĉu vi povas fari dorsajn flekseblajn turojn? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, dankon. Per unu mano flatas la kapron al la kolo"
"  Cependant que, de l'autre, on arrose le chou,","Sed se oni akvumas la kabon de la alia,"
"  Et, donneur de séné par désir de rhubarbe,","Kaj kiu donas al li la mamojn pro la deziro de barbo,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ĉu vi ĉiam havas sian incensilon en iu barbo?
"  Non, merci ! Se pousser de giron en giron,","Ne, dankon. Pli kaj pli."
"  Devenir un petit grand homme dans un rond,","Iĝi malgranda granda viro en rondeto,"
"  Et naviguer, avec des madrigaux pour rames,","Kaj navigi kun marmoraj marbordiloj,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Kaj en liaj veloj, la sopiroj de maljunulinoj?"
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, dankon, ĉe la ĝusta eldonejo de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Ĉu oni pagas por editi siajn vermojn?
  S'aller faire nommer pape par les conciles,Mi volas esti nomumita papo de la Konsilio
  Que dans des cabarets tiennent des imbéciles ?,Ĉu en kabernoj estas stultuloj?
"  Non, merci ! Travailler à se construire un nom","Ne, dankon, labori por konstrui nomon"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ĉu vi sonorigas unu sonon anstataŭ fari aliajn?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ĉu vi povas trovi talenton nur en la marĉoj?
"  Être terrorisé par de vagues gazettes,","Esti terurita de la gazetaro,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kaj ĉiam mi pensas: ""Ho, se mi estus"
  Dans les petits papiers du Mercure François ?. . .,En la paperoj de la Merkur-Francisko? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, dankon! Kalkuli, timi, esti blinda,"
"  Aimer mieux faire une visite qu'un poème,","Pli plaĉas viziti ol poezio,"
"  Rédiger des placets, se faire présenter ?","Ĉu vi volas fari notojn, prezenti vin?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne dankon, ne dankon, ne dankon, sed... kanton,"
"  Rêver, rire, passer, être seul, être libre,","Sonĝi, ridi, preterpasi, esti sola, esti libera,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Havu bonan okulon, bonan voĉon,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kiam vi volas, vi povas meti vian senton en la malĝustan."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Por jes, por ne, batali, - aŭ fari vermon!"
"  Travailler sans souci de gloire ou de fortune,","Laboru sen la peno pri gloro aŭ riĉaĵo,"
"  A tel voyage, auquel on pense, dans la lune !","Al tia vojaĝo, pri kiu oni pensas, al la luno!"
"  N'écrire jamais rien qui de soi ne sortît,","Neniam skribu ion, kio ne venas el vi mem,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kaj modesta, kaj diranta: ""Mia knabo,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ĉu la floroj, fruktoj, eĉ folioj,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se vi kolektas ilin en via ĝardeno!
"  Puis, s'il advient d'un peu triompher, par hasard,","Kaj se li sukcesos iomete,"
"  Ne pas être obligé d'en rien rendre à César,","kaj ne devigxu ion redoni al Cezaro,"
"  Vis-à-vis de soi-même en garder le mérite,","Por teni la meriton de ĝi kontraŭ si mem,"
"  Bref, dédaignant d'être le lierre parasite,","Do, malgraŭ esti la parazita liero,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Eĉ se ni ne estas kverko aŭ arbo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ne tre alte, eble, sed sole!"
LE BRET:,La bruto:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ĉu sola, sed ne kontraŭ ĉiuj?"
  As-tu donc contracté la manie effroyable,Ĉu vi ekhavis la teruran manion?
"  De te faire toujours, partout, des ennemis ?",Ĉu ĉiam fari vin malamiko?
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","Ĉar mi vidis vin fari amikojn,"
"  Et rire à ces amis dont vous avez des foules,","Kaj ridetu pri tiuj amikoj, kiujn vi havas en amaso,"
  D'une bouche empruntée au derrière des poules !,Per buŝo pruntita malantaŭ kokinoj!
"  J'aime raréfier sur mes pas les saluts,","Mi ŝatas sur miaj piedoj redukti salutojn,"
  Et m'écrie avec joie: un ennemi de plus !,Kaj kriu al mi kun gxojo: Unu plia malamiko!
LE BRET:,La bruto:
  Quelle aberration !,Kia aberacio!
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Nu, jes, tio estas mia vico."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mi ŝatas esti malŝatata. Mi ŝatas, ke oni malamas min."
"  Mon cher, si tu savais comme l'on marche mieux","Kara, se vi scius kiel oni pli bone marŝas"
  Sous la pistolétade excitante des yeux !,Sub la ekscitaj okuloj de la pistolŝtato!
"  Comme, sur les pourpoints, font d'amusantes taches","Kiel, sur la punktoj, fari amuzaj makuloj"
  Le fiel des envieux et la bave des lâches !,La vido de la ĵaluzuloj kaj la maldoloro de la malkuraĝuloj!
"  --Vous, la molle amitié dont vous vous entourez,","Vi, la milda amikeco, kiun vi ĉirkaŭas,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ĝi similas al tiuj grandaj koloroj de Italio, prokrastitaj"
"  Et flottants, dans lesquels votre cou s'effémine:","Kaj flosas, en kiuj via kolo timiĝas:"
"  On y est plus à l'aise. . .et de moins haute mine,","Ni sentas nin pli komfortaj tie. ...kaj pli malalta,"
"  Car le front n'ayant pas de maintien ni de loi,","Ĉar la frunto ne havas ordonon kaj legon,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Li ne plu volas moviĝi.
"  La Haine, chaque jour, me tuyaute et m'apprête",La malamo ĉiutage puŝas min kaj preparas min
  La fraise dont l'empois force à lever la tête;,"La frago, kies veneno devigas la kapon leviĝi;"
  Chaque ennemi de plus est un nouveau godron,Ĉiu plia malamiko estas nova barbo
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Kiu aldonas al mi malfeliĉon, Kaj aldonas al mi radion;"
"  Car, pareille en tous points à la fraise espagnole,","Ĉar, kiel en ĉiuj aspektoj la hispana frago,"
"  La Haine est un carcan, mais c'est une auréole !","La malamo estas karkano, sed ĝi estas auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","La breto (post silento, pasante sian brakon sub sia):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Altigu la fieran kaj amaran, sed malaltigu la malaltan"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Simple diru al mi, ke ŝi ne amas vin!"
CYRANO (vivement):,CYRANO (viva):
  Tais-toi !,Silentu!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Post iom da tempo, Christian eniris, interligis sin kun la junaj; tiuj"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ne paroli kun li; li finfine sidis sola ĉe unu
