Scène 2.VIII.,វីដេអូទី ២-៨
  Des vers aux financiers ? se changer en bouffon,ពី ពពួក សត្វ ពស់ ទៅ អ្នក ជំនួញ ហិរញ្ញវត្ថុ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ដោយ សង្ឃឹម ថា នឹង ឃើញ តាម មាត់ មន្ត្រី
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",តើ អ្នក អាច បង្កើត នូវ ការ សើច ដែល មិន មែន ជា រឿង អាក្រក់ នោះ ទេ?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",មិន មែន ទេ អរគុណ ទេ តើ អ្នក ទទួលទាន អាហារ ពេលព្រឹក ជា រៀងរាល់ថ្ងៃ ដោយ កណ្តុរ ឬ យ៉ាងណា?
  Avoir un ventre usé par la marche ? une peau,មាន ពោះ រលោង ដោយសារ ការ ដើរ ឬ ស្បែក
"  Qui plus vite, à l'endroit des genoux, devient sale ?",តើ អ្នក ណា ដែល លឿន ជាង គេ ក្នុង ការ លូតលាស់ នៅ លើ ក្នុ ង របស់ អ្នក?
  Exécuter des tours de souplesse dorsale ?. . .,ការធ្វើ ការដកដង្ហើម ពី ជួរ ក្បាល? . . .
"  Non, merci. D'une main flatter la chèvre au cou",មិន មែន ទេ អរគុណ តែ មួយ ដៃ គូ គាំ ទ្រ គូ ចម្លង
"  Cependant que, de l'autre, on arrose le chou,",ប៉ុន្តែ បើសិនជា អ្នក ផឹក ទឹកដោះគោ នៅលើ ក្បាល មួយ វិញ
"  Et, donneur de séné par désir de rhubarbe,",ហើយ គេ នឹង ធ្វើ ឲ្យ គេ រំពឹង ថា នឹង មាន ស្បែក ឆ្អឹង
"  Avoir son encensoir, toujours, dans quelque barbe ?",តើ អ្នក នៅ តែ មាន អណ្តាត ភ្លើង នៅ ក្នុង ស្បែក របស់ អ្នក?
"  Non, merci ! Se pousser de giron en giron,",មិន មែន ទេ អរគុណ!
"  Devenir un petit grand homme dans un rond,",ក្លាយជា មនុស្ស ម្នាក់ ធំ តូច ក្នុង មួយ ក្បាល
"  Et naviguer, avec des madrigaux pour rames,",ហើយ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជិះ កង់ ជ
  Et dans ses voiles des soupirs de vieilles dames ?,ហើយ នៅ ក្នុង អាវ របស់ គាត់ មាន ការ ស្រែក ស្រែក របស់ ស្ត្រី ចាស់ៗ
"  Non, merci ! Chez le bon éditeur de Sercy",មិន មែន ទេ អរគុណ!
"  Faire éditer ses vers en payant ? Non, merci !",តើ អ្នក គួរតែ បង់លុយ ដើម្បី ធ្វើការ កែប្រែ អក្សរ របស់ អ្នក?
  S'aller faire nommer pape par les conciles,ដើម្បី ឲ្យ ក្រុមប្រឹក្សា ជាតិ តែងតាំង ខ្លួន ជា ប៉ាពើ
  Que dans des cabarets tiennent des imbéciles ?,តើ អ្នក មាន មនុស្ស អៀនខ្មាស នៅ ក្នុង បន្ទប់ គេង ឬ យ៉ាង ណា?
"  Non, merci ! Travailler à se construire un nom",មិន មែន ទេ អរគុណ! ធ្វើការ សាងសង់ ឈ្មោះ
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",តើ អ្នក ចង់ ឲ្យ គេ ចាក់ សម្លេង មួយ ជំនួស ឲ្យ ចាក់ សម្លេង មួយ ទៀត?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,អរគុណ! តើ អ្នក អាច រក ល្បឿន លឿន បាន នៅ ក្នុង សំបុក ទេ?
"  Être terrorisé par de vagues gazettes,",ការភ័យខ្លាច ពី សារព័ត៌មាន ល្បីៗ
"  Et se dire sans cesse: Oh, pourvu que je sois","ហើយ និយាយ ទៅ កាន់ ខ្លួន ឯង ថា ""អើយ បើ ខ្ញុំ"
  Dans les petits papiers du Mercure François ?. . .,នៅ ក្នុង សៀវភៅ តូចៗ របស់ លោក ហ្វ្រង់ស័រ ហ្វ្រង់ស័រ? . . .
"  Non, merci ! Calculer, avoir peur, être blême,",មិន មែន ទេ អរគុណ! ការ រាប់ រយ ការ ភ័យ ខ្លាច ការ ភ័យ ខ្លាច
"  Aimer mieux faire une visite qu'un poème,",ចង់បានការ ទស្សនា ជាង កំប្លែង
"  Rédiger des placets, se faire présenter ?",ធ្វើការដាក់ពាក្យ ឬ បង្ហាញខ្លួន?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",មិន មែន ទេ អរគុណ ទេ អរគុណ ទេ អរគុណ ទេ ប៉ុន្តែ... ច្រៀង
"  Rêver, rire, passer, être seul, être libre,",ការសុបិន សើច ឆ្លងកាត់ ការនៅម្នាក់ឯង ការនៅសេរី
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",មាន ភ្នែក មើល ឃើញ ច្បាស់ ហើយ មាន សំឡេង រំភើប
"  Mettre, quand il vous plaît, son feutre de travers,",ពេល ណា អ្នក ចូល ចិត្ត ធ្វើ អ្វី ដែល អ្នក ចង់ បាន
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ដើម្បី ""អញ្ចឹង"" ឬ ""មិន"" ដើម្បី ""តស៊ូ"" ឬ ""ធ្វើ""។"
"  Travailler sans souci de gloire ou de fortune,",ធ្វើការ ដោយ មិន គិត ពី កិត្តិយស ឬ ទ្រព្យសម្បត្តិ
"  A tel voyage, auquel on pense, dans la lune !",ទៅ ធ្វើ ដំណើរ ទៅ កាន់ ព្រះ ពុទ្ធសាសនា ដែល យើង គិត អំពី វា!
"  N'écrire jamais rien qui de soi ne sortît,",មិន ត្រូវ សរសេរ អ្វី ដែល មិន ចេញ ពី ខ្លួន ឯង នោះ ទេ។
"  Et modeste d'ailleurs, se dire: mon petit,","ហើយ អ្នក ដែល មាន ចិត្ត ទន់ភ្លន់ ក៏ និយាយ ថា ""កូន របស់ ខ្ញុំ"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",មាន ផ្កា ផ្លែឈើ ឬ ស្លឹកឈើ
  Si c'est dans ton jardin à toi que tu les cueilles !,បើសិនជា អ្នក យក វា មក ក្នុង សួន របស់ អ្នក នោះ!
"  Puis, s'il advient d'un peu triompher, par hasard,",បើសិនជា លោក ហ៊ុន សែន ទទួលបាន ជោគជ័យ មួយរយៈ
"  Ne pas être obligé d'en rien rendre à César,",កុំ ឲ្យ ខ្ញុំ បង់ ប្រាក់ ដល់ ព្រះ ក្សត្រ ឡើយ
"  Vis-à-vis de soi-même en garder le mérite,",ដើម្បី រក្សា ភាព ស្មោះត្រង់ ចំពោះ ខ្លួនឯង
"  Bref, dédaignant d'être le lierre parasite,",ជា សង្ខេប មួយ គឺ មិន ព្រម ទទួល ស្គាល់ ថា ខ្លួន ជា សត្វ ស្លាប ស្លាប ស្លាប ស្លាប ស្លាប
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ទោះបីជា យើង មិន មែន ជា ដើម ឈើ ឬ ដើម ឈើ ដំរី
"  Ne pas monter bien haut, peut-être, mais tout seul !",មិន អាច ឡើង ទៅ លើ ទីតាំង ខ្ពស់ នោះ ទេ ប៉ុន្តែ អ្នក អាច ឡើង ទៅ លើ ទីតាំង ខ្ពស់ នោះ ដោយ ខ្លួន ឯង។
LE BRET:,អ្នកស្រី:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",តែ មិន មែន ជា មនុស្ស គ្រប់ គ្នា ទេ!
  As-tu donc contracté la manie effroyable,តើ អ្នក មាន អារម្មណ៍ ថា មាន ភាព ភ័យ ខ្លាច មែន ទេ?
"  De te faire toujours, partout, des ennemis ?",ធ្វើ ឲ្យ អ្នក នៅ តែ មាន សត្រូវ នៅ គ្រប់ ទីកន្លែង?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",ដោយ សារ តែ ឃើញ អ្នក រាល់ គ្នា ធ្វើ មិត្តភាព
"  Et rire à ces amis dont vous avez des foules,",ហើយកំសត់ចំពោះមិត្តភក្តិ ដែលអ្នកមានមនុស្សច្រើន
  D'une bouche empruntée au derrière des poules !,មាត់ ដែល គេ យក មក ពី ក្រោយ សត្វ ស្លាប!
"  J'aime raréfier sur mes pas les saluts,",ខ្ញុំ តែង តែ ចូល ចិត្ត អបអរ តាម ជើង របស់ ខ្ញុំ
  Et m'écrie avec joie: un ennemi de plus !,សូមអំពាវនាវ អោយ ទូលបង្គំ មាន សប្បាយ រីករាយ! សូម អំពាវនាវ អោយ ទូលបង្គំ មាន សត្រូវ ម្នាក់ ទៀត!
LE BRET:,អ្នកស្រី:
  Quelle aberration !,វា ជា រឿង អាស្រូវ មួយ យ៉ាង ខ្លាំង ណាស់។
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",ជាការពិតណាស់ វាជាអំពើអាក្រក់របស់ខ្ញុំ។
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ខ្ញុំ ចូលចិត្ត លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង ល
"  Mon cher, si tu savais comme l'on marche mieux",♪ ស្រលាញ់អូន បើបងដឹងពី របៀបដើរបានល្អជាង ♪
  Sous la pistolétade excitante des yeux !,នៅ ក្រោម កម្រិត ភ្នែក ដ៏ អស្ចារ្យ របស់ ភ្នែក!
"  Comme, sur les pourpoints, font d'amusantes taches",ដូច ជា ការ ធ្វើ ការ លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង លេង ល
  Le fiel des envieux et la bave des lâches !,អ្នក ដែល មាន ចិត្ត លោភលន់ និង អ្នក ដែល មាន ចិត្ត លោភលន់។
"  --Vous, la molle amitié dont vous vous entourez,","""អ្នក រាល់ គ្នា ជា មិត្ត ភក្តិ ដ៏ ស្និទ្ធស្នាល ដែល នៅ ជុំវិញ ខ្លួន"
"  Ressemble à ces grands cols d'Italie, ajourés",វា ហាក់ ដូច ជា ក្បាល ធំ របស់ អ៊ីតាលី ដែល បាន ពន្យារ ពេល
"  Et flottants, dans lesquels votre cou s'effémine:",ហើយ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជិះ ជ
"  On y est plus à l'aise. . .et de moins haute mine,",យើង មាន អារម្មណ៍ ងាយស្រួល ជាង មុន ហើយ មាន កម្រិត ខ្ពស់ ជាង មុន
"  Car le front n'ayant pas de maintien ni de loi,",ដ្បិត ក្បាល របស់ អ្នក មិន មាន ច្បាប់ ឬ ការ គោរព ច្បាប់
"  S'abandonne à pencher dans tous les sens. Mais moi,",គាត់ ចេះ តែ លាក់ ខ្លួន ទៅ តាម ផ្លូវ ទាំង អស់ តែ ខ្ញុំ
"  La Haine, chaque jour, me tuyaute et m'apprête",រាល់ថ្ងៃ ក្ដីស្អប់ នឹង ធ្វើ ឲ្យ ខ្ញុំ មាន អារម្មណ៍ ស្រស់ ស្អាត
  La fraise dont l'empois force à lever la tête;,ត្រីក្រូច ដែល ពុល របស់ វា បង្ខំ ឲ្យ ដឹក ត្រី ឡើង
  Chaque ennemi de plus est un nouveau godron,សត្រូវ ណា ដែល បន្ថែម ទៀត នោះ គឺ ជា សត្វ កណ្តុរ ថ្មី
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ព្រះអង្គ បាន បន្ថែម សេចក្ដី លំបាក និង សេចក្ដី រំភើប ដល់ ទូលបង្គំ
"  Car, pareille en tous points à la fraise espagnole,",ព្រោះ វា មាន លក្ខណៈ ដូច ផ្លែ ប៉ោម អេស្ប៉ាញ គ្រប់ យ៉ាង
"  La Haine est un carcan, mais c'est une auréole !",ការស្អប់ គឺ ជា រឿង ចម្លែក ប៉ុន្តែ វា ជា រឿង អាស្រូវ!
"LE BRET (après un silence, passant son bras sous le sien):","The Breat (បន្ទាប់ពីស្ងៀម, ឆ្លងដៃរបស់គាត់ក្រោមរបស់គាត់):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ចូរ ធ្វើ ឲ្យ មនុស្ស អួត មាន ក្តី មហោចអភ័យ ហើយ ត្រូវ ធ្វើ ឲ្យ មនុស្ស ក្រោក ឡើង
  Dis-moi tout simplement qu'elle ne t'aime pas !,គ្រាន់តែ ប្រាប់ ខ្ញុំ ថា នាង មិន ស្រឡាញ់ អ្នក ទេ!
CYRANO (vivement):,CYRANO (រស់)
  Tais-toi !,សូមអ្នកងាប់!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(បន្ទាប់ពីពេលមួយគ្រាប់ Christian បានចូលទៅ, បានលូកដៃជាមួយកុមារកំព្រា; ពួកគាត់"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,មិន និយាយ ជាមួយ គាត់ ទេ គាត់ បាន អង្គុយ ម្នាក់ ឯង នៅ ក្នុង ផ្ទះ មួយ
