Scène 2.VIII.,Chiitiko 2.VIII.
"  Devenir un petit grand homme dans un rond,","Kuva munhu mukuru muduku mumativi,"
"  Et naviguer, avec des madrigaux pour rames,","Uye kufamba nengarava, dzine zvikepe zvemazimbe,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Uye mumapuranga ake, pane vanhukadzi vakwegura vanorira?"
"  Non, merci ! Chez le bon éditeur de Sercy","Kwete, ndatenda, ndiri kunzvimbo yakanaka yeSercy."
"  Faire éditer ses vers en payant ? Non, merci !",Kuti aite kuti magwaro ake anyatsogadziriswa achibhadhara here?
  S'aller faire nommer pape par les conciles,Kuita Kuti Magungano Aite Kuti Munhu Ave Papa
  Que dans des cabarets tiennent des imbéciles ?,Kuti vanhu vanopenga vanogara mumakamuri?
"  Non, merci ! Travailler à se construire un nom","Kwete, ndinokutendai, kushanda pakuva nezita"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Pane imwe nguva, pane kuti tiite dzimwe?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Ndinokutendai, asi kungodzidza nezvevanhu vane tarenda kunobva kumapako here?"
"  Être terrorisé par de vagues gazettes,","Kutyisidzirwa nemapepanhau anotyisa,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Uye nguva dzose uchiti, ""Oh, dai ndaiva"
  Dans les petits papiers du Mercure François ?. . .,Mumapepa maduku aMercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Kwete, ndatenda! Kuverenga, kutya, kuva nehanya,"
"  Aimer mieux faire une visite qu'un poème,","Kufarira kushanya kupfuura nhetembo,"
"  Rédiger des placets, se faire présenter ?","Kuita zvekuita, kuzviratidza?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Kwete, ndatenda, kwete, ndatenda, asi ... kuimba,"
"  Rêver, rire, passer, être seul, être libre,","Kurota, kuseka, kupfuurira, kuva woga, kuva wakasununguka,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kuva neziso rinotarisa zvakanaka, inzwi rinodedera,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kuisa, kana uchida, manzwiro ake pamusoro,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Kuti hungu, kwete, kurwisana, - kana kuita worm!"
"  Travailler sans souci de gloire ou de fortune,","Kushanda tisingachengeti mbiri kana pfuma,"
"  A tel voyage, auquel on pense, dans la lune !",Rwendo rwakaita sei urwu rwokuenda kumwedzi!
"  N'écrire jamais rien qui de soi ne sortît,","Usambofa wakanyora chimwe chinhu chisingabvi kwauri,"
"  Et modeste d'ailleurs, se dire: mon petit,","Uyewo, munhu anozvininipisa anozviudza kuti, 'Mwanakomana wangu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kana kuti ungava nemaruva, michero, kunyange mashizha,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Kana uri mubindu rako, unenge uchizvitora!"
"  Puis, s'il advient d'un peu triompher, par hasard,","Kana akabudirira zvishoma,"
"  Ne pas être obligé d'en rien rendre à César,","""Usafanira kubhadhara kuna Kesari,"
"  Vis-à-vis de soi-même en garder le mérite,","Kuzviitira kuti uzviite,"
"  Bref, dédaignant d'être le lierre parasite,","Muchidimbu, kusaremekedza kuva mutuka,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Kunyange zvazvo tisiri muti kana kuti muti,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Zvimwe hausi kukwira kumusoro, asi uri woga!"
LE BRET:,KUSVIRA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Asi kwete vose!
  As-tu donc contracté la manie effroyable,Saka wakabatwa nechinetso chinotyisa here?
"  De te faire toujours, partout, des ennemis ?","Kuti nguva dzose, kwose kwose, iwe kuva vavengi?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kuona muchigadzira shamwari,"
"  Et rire à ces amis dont vous avez des foules,","Uye kuseka shamwari idzi dzaunazvo mapoka,"
  D'une bouche empruntée au derrière des poules !,Muromo wakadhindwa nemakoko!
"  J'aime raréfier sur mes pas les saluts,","Ndinofarira kukwazisa vanhu pandinofamba,"
  Et m'écrie avec joie: un ennemi de plus !,"Uye ndiite kuti ndifare, ndiite kuti ndifare, nokuti ndichawanazve muvengi!"
LE BRET:,KUSVIRA:
  Quelle aberration !,Izvi hazvina kunaka.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Zvakanaka, hongu, ndicho chinhu changu chakaipa."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ndinofarira kushaya vanhu, uye ndinoda kuvenga vamwe."
"  Mon cher, si tu savais comme l'on marche mieux","""Dai waiziva kufamba zviri nani"
  Sous la pistolétade excitante des yeux !,Pamberi pemeso anonakidza!
"  Comme, sur les pourpoints, font d'amusantes taches","Sezvinoita, pamusoro pfungwa, kuita mafaro makwapa"
  Le fiel des envieux et la bave des lâches !,Hasha dzomunhu ane godo uye kurwadziwa kwevanhu vasina simba!
"  --Vous, la molle amitié dont vous vous entourez,","- Iwe, shamwari yakapfava yaunogara nayo,"
"  Ressemble à ces grands cols d'Italie, ajourés","Kufanana nemakumbo makuru eItaly, akawedzerwa"
"  Et flottants, dans lesquels votre cou s'effémine:","Uye zvinokambaira, izvo mutsipa wako unopenya nazvo:"
"  On y est plus à l'aise. . .et de moins haute mine,","Tinonzwa takagadzikana. . . .Uye tinenge tisina kukwirira,"
"  Car le front n'ayant pas de maintien ni de loi,","Nokuti kumeso hakuna kururamisira kana mutemo,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Anorega kutarira kumativi ose.
"  La Haine, chaque jour, me tuyaute et m'apprête","Zuva Nezuva, Ruvengo Rwunondipa Zvokudya"
  La fraise dont l'empois force à lever la tête;,"""Mudziyo unobata uswa hunoita kuti musoro wake usimuke;"
  Chaque ennemi de plus est un nouveau godron,Muvengi wose anowedzera muhombe itsva
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Iye anondiwedzera kutambudzika, uye anondiwedzera chiedza;"
"  Car, pareille en tous points à la fraise espagnole,","Nokuti, kufanana zvose Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Ruvengo rwakaita semhuka, asi rwakaita semvura!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (mushure nyararire, achipfuura ruoko rwake pasi ake):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ita kuti munhu anozvikudza ave mukuru uye anovava, asi, pasi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ingotiudza kuti haakudi!
CYRANO (vivement):,CYRANO (ari mupenyu):
  Tais-toi !,Nyarara!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Pashure penguva yakati, Christian akapinda, akapinda mukati nevaduku;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,havana kutaura naye; iye pakupedzisira akagara oga
