Scène 2.VIII.,ڤرتنديڠن 2.VIII.
"  Et, donneur de séné par désir de rhubarbe,",دان مريك مڠمبيل ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن ڤرنه دڠن
"  Avoir son encensoir, toujours, dans quelque barbe ?",باسيڽ دڠن كريتاڽ؟
"  Non, merci ! Se pousser de giron en giron,",نه، ممنون، يه جور ديگه به يه جور ديگه،
"  Devenir un petit grand homme dans un rond,",اونتوق منجادي سأورڠ اورڠ يڠ بربيذا دالم ساتو ڤرتودوهن،
"  Et naviguer, avec des madrigaux pour rames,",دان برلاكو دڠن مڠڬوناكن كريتا
  Et dans ses voiles des soupirs de vieilles dames ?,دان دالم ڤيالاڽ، سهاج-ساڠج يڠ برتاهن؟
"  Non, merci ! Chez le bon éditeur de Sercy",نه، ممنون، به جاي شايعه كننده خوبي سرسي
"  Faire éditer ses vers en payant ? Non, merci !",اونتوق مڠمبيل ڤرڬيڽ دڠن مڠمبيل؟
  S'aller faire nommer pape par les conciles,ممڤوپا ?? يكن ڤاپو دڠن ڤڠوربان
  Que dans des cabarets tiennent des imbéciles ?,اڤابيلا دالم كاباريت اد اورڠ-اورڠ يڠ بربنديڠ؟
"  Non, merci ! Travailler à se construire un nom",نه، شكرا، كار كردن در مورد ساختن اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",اونتوق مڠمبيلكن ساتو ڤڠاجين، تيدق ممباوا ڤڠاجين يڠ لاين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكرا، اتڤق ممڤوپا ?? ي ڤرلو دالم ڤرلو؟
"  Être terrorisé par de vagues gazettes,",اكن دتڠڬوڠكن اوليه اخبار يڠ ليم،
"  Et se dire sans cesse: Oh, pourvu que je sois","دان بركات، ""اوڤون ساي"
  Dans les petits papiers du Mercure François ?. . .,دالم ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤرتا ڤ
"  Non, merci ! Calculer, avoir peur, être blême,",نه، ممنون، حساب كردن، ترسيدن، بيشتر شدن،
"  Aimer mieux faire une visite qu'un poème,",سوده برتڠڬوڠجواب ترسبوت درڤد ڤمبلاجرن
"  Rédiger des placets, se faire présenter ?",منچاريكن ڤرودوک، منچاريكن؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون، ممنون،
"  Rêver, rire, passer, être seul, être libre,",حلم، ضحك، عبور، تنها بودن، آزاد بودن،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",اکيون يڠ برتاهن، اَصَوت يڠ برتاهن،
"  Mettre, quand il vous plaît, son feutre de travers,",دان مڠمبيل، كتيک ڤرلو مڠمبيل،
"  Pour un oui, pour un non, se battre,--ou faire un vers !","اونتوق ""نه"" دان ""نه""، مڠاجر، -- اتاو ممڤوپا ?? ي ڤڠاجرن!"
"  Travailler sans souci de gloire ou de fortune,",مريك تيدق ممڤرچايا ?? ي ڤڠاجرن اتاو ڤڠاجرن
"  A tel voyage, auquel on pense, dans la lune !",اونتوق ڤرنياڬا ?? ن يڠ تيدق دڤرچايا ?? ي، اونتوق بولن!
"  N'écrire jamais rien qui de soi ne sortît,",اكو تيدق مروڤاكن اڤ يڠ تيدق برمولا دري ايكو
"  Et modeste d'ailleurs, se dire: mon petit,","دان برتيندق، بركات، ""بيتو،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",اَمَا يَسْتَعْمَلُ بِالْوَرْقَةِ، اَمَا يَسْتَعْمَلُ بِالْفَاكِرَةِ، اَمَا يَسْتَعْمَلُ بِالْوَرْقَةِ،
  Si c'est dans ton jardin à toi que tu les cueilles !,اڤابيلا دالم بوكن اكو ممباواڽ!
"  Puis, s'il advient d'un peu triompher, par hasard,","""سوده، اڤابيلا يڠ برتيندقكن اداله يڠ برتيندقكن،"
"  Ne pas être obligé d'en rien rendre à César,","""تيدق داڤت ممبري ڤرلو مپببكن كراجاءن كيسار."
"  Vis-à-vis de soi-même en garder le mérite,",اونتوق ممڤوپا ?? ي ڤڠاجرنڽ،
"  Bref, dédaignant d'être le lierre parasite,",باڬي ممڤوپا ?? يكن كڤد ڤرودوق ڤرودوق،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتي لوڤا كيت تيدق اداله كيت سبواه كتيک اتاو كيت تيدق اداله كتيک،
"  Ne pas monter bien haut, peut-être, mais tout seul !",موڠكين تيدق برتاهن، نامون تيدق برتاهن.
LE BRET:,ڤڠاجرن:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",تيدق برتاهن برسام-سام.
  As-tu donc contracté la manie effroyable,"""اوڤون اكو منجادي مڠڬوناكن كڤد مڠڬوناكن"
"  De te faire toujours, partout, des ennemis ?",اكو برتاهون دڠن اورڠ-اورڠ يڠ برتاهون؟
CYRANO:,سايرانو:
"  A force de vous voir vous faire des amis,",دان برسامڤتڽ،
"  Et rire à ces amis dont vous avez des foules,",دان مڠهادڤي اورڠ-اورڠ يڠ برسام-سام،
  D'une bouche empruntée au derrière des poules !,دڠن كلوارڬ يڠ دتڠه دالم كلوارڬ كريتا!
"  J'aime raréfier sur mes pas les saluts,",سسواتو يڠ ساي مڠمبيلكن دڠن كڤد ڤرنه ساي،
  Et m'écrie avec joie: un ennemi de plus !,"""تاهون، اَمَتَا!"
LE BRET:,ڤڠاجرن:
  Quelle aberration !,اڤابراسي يڠ برڤڠڬيل!
CYRANO:,سايرانو:
"  Eh bien, oui, c'est mon vice.",باهي، ايا، اين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين هاين ها
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,منڠه مڠهادڤي كڤد اورڠ يڠ مروڤاكن.
"  Mon cher, si tu savais comme l'on marche mieux",عزيزم، اگه ميدونستي چطور بهتر ميريم
  Sous la pistolétade excitante des yeux !,دالم ڤرچاي ڤرنه مڠمبيلكن ايدين!
"  Comme, sur les pourpoints, font d'amusantes taches",كيت، دالم ڤرودوک، ممبنتو ڤرودوک يڠ مروڤاكن
  Le fiel des envieux et la bave des lâches !,كيت تيدق برتاهن، دان كيت تيدق برتاهن.
"  --Vous, la molle amitié dont vous vous entourez,",--تامي، دوستي يڠ مروڤاكن
"  Ressemble à ces grands cols d'Italie, ajourés",شبيه به اين كلوچه هاي بزرگ ايتاليا،
"  Et flottants, dans lesquels votre cou s'effémine:",دان برڤادڠ يڠ برتيندق دڠن كاوسن
"  On y est plus à l'aise. . .et de moins haute mine,",كيت لبيه رايڠ دالمڽ. . . دان كيت لبيه برتاهون،
"  Car le front n'ayant pas de maintien ni de loi,",دان دان دانيت تيدق برتاهن دان تيدق برتاهن.
"  S'abandonne à pencher dans tous les sens. Mais moi,",اون مڠمبيل ڤرلو مڠمبيل كڤد سموا ڤرلو.
"  La Haine, chaque jour, me tuyaute et m'apprête",كراهيڤن، هاري هاري، مڠمبيل دان مڠمبيل
  La fraise dont l'empois force à lever la tête;,سلاڠور يڠ دڤرچايا ?? ي اوليه سمڤأي ڤڠاجينڽ
  Chaque ennemi de plus est un nouveau godron,هر دوشمنه ي بيشتر يه ك كده جديد است
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","""تاهون يڠ مروڤاكن كريتا-ريتا يڠ برتيندقن،"
"  Car, pareille en tous points à la fraise espagnole,",كران، دڠن هرڬ كران ڤرسياڤن اسڤينيا،
"  La Haine est un carcan, mais c'est une auréole !",كراوهن اداله كريتا، نامون اداله اريولا!
"LE BRET (après un silence, passant son bras sous le sien):",بريت (سايله تيدق، مڠهادڤي كواسڽ دالم كواسڽ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","""تاهون يڠ بربغي دان يڠ برتاهون، تتاڤي تيدق برتاهون."
  Dis-moi tout simplement qu'elle ne t'aime pas !,بسيهت كولي ساي تيدق مڽقسيكن ساي!
CYRANO (vivement):,CYRANO (مڠهادڤي):
  Tais-toi !,خفه شو!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(دولا ساتو كتيک، كريستيان مڠهادڤي، مڠهادڤي ڤڠوربانن،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,تيدق بركات كاو، تتاڤي تيدق بركات كاو
