Scène 2.VIII.,દ્રશ્ય ૨.૮.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ના, આભાર. દરરોજ બપોરના ભોજન માટે?"
  Avoir un ventre usé par la marche ? une peau,ચાલવાથી પેટનો પોપડો થવો?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",કોણ ઘૂંટણની જગ્યાએ સૌથી ઝડપથી ગંદા થઈ જાય છે?
  Exécuter des tours de souplesse dorsale ?. . .,શું તમે બેક ફ્લેક્સ ટુર્નામેન્ટ્સ ચલાવો છો? . . .
"  Non, merci. D'une main flatter la chèvre au cou",એક હાથથી બકરીને ગળામાં ચાંચડવું
"  Cependant que, de l'autre, on arrose le chou,","જો કે, બીજા પરથી કોબીને પાણી આપવું,"
"  Et, donneur de séné par désir de rhubarbe,",અને તે (અલ્લાહ) તેના (અલ્લાહ) ને (સૌથી) મોંઘા (બહાર) લાવશે.
"  Avoir son encensoir, toujours, dans quelque barbe ?",શું તે હંમેશા તેના દાઢીમાં તેના ઇન્સ્યુલર સાથે રહે છે?
"  Non, merci ! Se pousser de giron en giron,","ના, આભાર. એક પછી એક વધવું."
"  Devenir un petit grand homme dans un rond,","એક રાઉન્ડમાં એક નાનો મોટો માણસ બનવું,"
"  Et naviguer, avec des madrigaux pour rames,",અને દરિયામાં જહાજો ચલાવશે.
  Et dans ses voiles des soupirs de vieilles dames ?,અને તેના વિંડોમાં વૃદ્ધ મહિલાઓના સૂગારાઓ?
"  Non, merci ! Chez le bon éditeur de Sercy","ના, આભાર, સારા સર્સીના સંપાદક પાસે."
"  Faire éditer ses vers en payant ? Non, merci !",પૈસાની સાથે જ તેના લખાણનું સંપાદન કરવું?
  S'aller faire nommer pape par les conciles,પોપ તરીકેની નિમણૂક માટે કોન્સિલ
  Que dans des cabarets tiennent des imbéciles ?,કે કોઈ મૂર્ખ વ્યક્તિઓ કેબરેટમાં રહે છે?
"  Non, merci ! Travailler à se construire un nom","ના, આભાર. પોતાનું નામ બનાવવાનું કામ કરવું."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",બીજા સોનેટો બનાવવાને બદલે?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"આભાર, તમે માત્ર માળામાં જ પ્રતિભા શોધી શકો છો?"
"  Être terrorisé par de vagues gazettes,","અખબારોથી ડરીને,"
"  Et se dire sans cesse: Oh, pourvu que je sois","અને સતત કહે છે, ""ઓહ, જો હું"
  Dans les petits papiers du Mercure François ?. . .,'મર્ક્યુર ફ્રાન્સિસના નાના કાગળોમાં? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ના, આભાર, ગણતરી કરવી, ડરવું, અસ્વસ્થતા રાખવી."
"  Aimer mieux faire une visite qu'un poème,",કવિતા કરતાં મુલાકાત લેવાનું વધુ ગમે છે.
"  Rédiger des placets, se faire présenter ?",શું તમે તમારા પોતાના માટે લખાણ લખશો?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ના, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર, આભાર,"
"  Rêver, rire, passer, être seul, être libre,","સ્વપ્ન, હસવું, પસાર થવું, એકલા રહેવું, મુક્ત થવું,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","આંખ સારી રીતે જોવી, અવાજની વાજબીતા,"
"  Mettre, quand il vous plaît, son feutre de travers,","જ્યારે પણ તમે ઇચ્છો ત્યારે તેની લાગણીને ખોટી રીતે મૂકી દો,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","હા માટે, ના માટે, લડવા માટે, - અથવા વર્મ બનાવવા માટે!"
"  Travailler sans souci de gloire ou de fortune,",કામ કરવા માટે કોઈ ખ્યાતિ કે સંપત્તિની ચિંતા ન કરવી.
"  A tel voyage, auquel on pense, dans la lune !",ચંદ્રની યાત્રાની જેમ.
"  N'écrire jamais rien qui de soi ne sortît,","ક્યારેય એવું કંઈ લખીશ નહીં જે આપથી બહાર આવે,"
"  Et modeste d'ailleurs, se dire: mon petit,","અને નમ્ર પણ, પોતાને કહે છે, ""મારા બાળક,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ફૂલો, ફળો, પાંદડાઓ પણ."
  Si c'est dans ton jardin à toi que tu les cueilles !,જો તમે તમારા બગીચામાં જ તે મેળવો છો!
"  Puis, s'il advient d'un peu triompher, par hasard,","પછી જો તે થોડી સફળતા પ્રાપ્ત કરે તો,"
"  Ne pas être obligé d'en rien rendre à César,",કૈસરને કંઈપણ આપવાની ફરજ ન પડે.
"  Vis-à-vis de soi-même en garder le mérite,","પોતાના માટે આદર રાખવો,"
"  Bref, dédaignant d'être le lierre parasite,","ટૂંકમાં કહીએ તો, લિયરીના પરોપજીવી હોવાને નફરત કરતા,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","જ્યારે આપણે ખીણ અથવા ખીણ ન હોઈએ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","કદાચ ઊંચી ન પણ હોય, પણ એકલા!"
LE BRET:,"""બ્રેટ"""
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","એકલી તો હોઈ શકે, પણ બધા સામે નહીં."
  As-tu donc contracté la manie effroyable,તો શું તમને ભયંકર મેનીયા મળી છે?
"  De te faire toujours, partout, des ennemis ?",હંમેશા દુશ્મનો બનાવવાનું?
CYRANO:,સાયરોનઃ
"  A force de vous voir vous faire des amis,","તમે મિત્રો બનાવી રહ્યા છો તે જોઈને,"
"  Et rire à ces amis dont vous avez des foules,","અને તમારા મિત્રોની મજાક ઉડાવીને, જેમની પાસે ભીડ છે,"
  D'une bouche empruntée au derrière des poules !,એક મોં જે મરઘીની પાછળ ઉધાર લે છે!
"  J'aime raréfier sur mes pas les saluts,","મને મારા પગ પર સલામ કહેવાનું ગમે છે,"
  Et m'écrie avec joie: un ennemi de plus !,"અને મને આનંદથી પોકાર કરો, ""એક વધુ દુશ્મન!"
LE BRET:,"""બ્રેટ"""
  Quelle aberration !,એ તો બહુ વિચિત્ર છે.
CYRANO:,સાયરોનઃ
"  Eh bien, oui, c'est mon vice.","હા, હા, તે મારી આદત છે."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,મને ખુશી છે કે મને લોકો નફરત કરે છે.
"  Mon cher, si tu savais comme l'on marche mieux","મારા પ્રિય, જો તમે જાણતા હોત કે કેવી રીતે ચાલવું વધુ સારું છે"
  Sous la pistolétade excitante des yeux !,આંખોની ઉત્તેજક પિસ્તોલ સ્થિતિ હેઠળ!
"  Comme, sur les pourpoints, font d'amusantes taches","જેમ કે, પોઇન્ટ પર રમુજી ફોલ્લીઓ બનાવે છે"
  Le fiel des envieux et la bave des lâches !,ઈર્ષ્યા કરનારાઓની ઝીલ અને ગભરાયેલાઓની ઝીલ!
"  --Vous, la molle amitié dont vous vous entourez,","તમે, તમારી આસપાસની નરમ મિત્રતા,"
"  Ressemble à ces grands cols d'Italie, ajourés","ઇટાલીના આ મોટા ગળાની જેમ, વિલંબિત"
"  Et flottants, dans lesquels votre cou s'effémine:","અને તરતી જતી, જેમાં તમારા ગળામાં ડૂબકી પડે છે."
"  On y est plus à l'aise. . .et de moins haute mine,","આપણે વધુ આરામદાયક છીએ. . . અને ઓછા ઊંચા,"
"  Car le front n'ayant pas de maintien ni de loi,",કારણ કે મોંની કોઈ વ્યવસ્થા નથી અને કાયદા નથી.
"  S'abandonne à pencher dans tous les sens. Mais moi,",તે દરેક દિશામાં ઝુકાવવાની તક આપે છે.
"  La Haine, chaque jour, me tuyaute et m'apprête",ધિક્કાર મને દરરોજ પિક્કી અને તૈયાર કરે છે
  La fraise dont l'empois force à lever la tête;,એક સ્ટ્રેઝ જેનું ઝેર માથાને ઉઠાવીને બળ આપે છે;
  Chaque ennemi de plus est un nouveau godron,દરેક વધુ દુશ્મન એક નવી ગોકળગાય છે
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",જે મને મુશ્કેલીઓ અને મુશ્કેલીઓ આપે છે.
"  Car, pareille en tous points à la fraise espagnole,","કારણ કે, દરેક રીતે સ્પેનિશ સ્ટ્રોઝની જેમ,"
"  La Haine est un carcan, mais c'est une auréole !","ધિક્કાર એક ગંધ છે, પરંતુ તે એક અરોલ છે!"
"LE BRET (après un silence, passant son bras sous le sien):","(શાંતિ પછી, તેના હાથ નીચે પસાર):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ગૌરવ અને કડવાશને ઊંચા કરો, પરંતુ નીચલા"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ફક્ત મને કહો કે તે તમને પ્રેમ કરતું નથી!
CYRANO (vivement):,સાયરોન (જીવંત):
  Tais-toi !,- ચૂપ રહો!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(એક ક્ષણ પછી, ક્રિશ્ચિયન અંદર આવ્યો, કિડની સાથે જોડાયો; આ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"તેમણે એક સાથે વાત ન હતી, અને અંતે એક સાથે એકલા બેસી"
