Scène 2.VIII.,காட்சி 2.VIII.
"  Et naviguer, avec des madrigaux pour rames,",கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல் கப்பல்
  Et dans ses voiles des soupirs de vieilles dames ?,"ஆனால், அவரது கப்பல்களில், முதிய பெண்களின் கூக்குரல்கள்?"
"  Non, merci ! Chez le bon éditeur de Sercy","இல்லை, நன்றி."
"  Faire éditer ses vers en payant ? Non, merci !",பணம் கொடுத்து தனது சிறுகதைகளை திருத்த வேண்டும்?
  S'aller faire nommer pape par les conciles,போப் பதவிக்கு செல்லும் சபைகள்
  Que dans des cabarets tiennent des imbéciles ?,ஒரு அறையில் முட்டாள்கள் இருப்பதாக?
"  Non, merci ! Travailler à se construire un nom","இல்லை, நன்றி. ஒரு பெயரை உருவாக்க முயற்சி"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ஒரு சன்னத்தில், மற்றொன்று செய்யாமல்?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,நன்றி. ஒரு திறமை வெறும் மண்டைகளில் மட்டுமே காணப்படுமா?
"  Être terrorisé par de vagues gazettes,",அலைக்கழி செய்தித்தாள்கள் பயமுறுத்துகின்றன.
"  Et se dire sans cesse: Oh, pourvu que je sois","நான் எப்போதும் நினைத்துக்கொண்டே இருக்கிறேன், ""ஓ, நான் ஒருவேளை"
  Dans les petits papiers du Mercure François ?. . .,புதன் பிரான்சிஸ் சிறு ஆவணங்களில்? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","இல்லை, நன்றி. கணக்கிட, பயப்பட, இருள்,"
"  Aimer mieux faire une visite qu'un poème,","ஒரு கவிதை விட ஒரு வருகைக்கு மேல் விரும்புவது,"
"  Rédiger des placets, se faire présenter ?","ஒரு பதிவு எழுதுவது, உங்களை அறிமுகப்படுத்துவது?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","இல்லை, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி, நன்றி."
"  Rêver, rire, passer, être seul, être libre,","கனவு காண, சிரிப்பது, கடந்து செல்வது, தனியாக இருப்பது, சுதந்திரமாக இருப்பது,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","கண்ணை நன்றாகப் பார்க்கவும், குரலைத் துடிப்பதாகவும் இருக்க வேண்டும்."
"  Mettre, quand il vous plaît, son feutre de travers,","நீங்கள் விரும்பும் போது, அவரது உணர்வு தவறாக,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ஒரு ஆம், ஒரு இல்லை, போராட, - அல்லது ஒரு பூச்சி செய்ய!"
"  Travailler sans souci de gloire ou de fortune,",புகழ் அல்லது செல்வத்தை விரும்பாமல் வேலை செய்யுங்கள்.
"  A tel voyage, auquel on pense, dans la lune !",சந்திரனுக்குள் ஒரு பயணம்.
"  N'écrire jamais rien qui de soi ne sortît,","ஒருபோதும் எழுத வேண்டாம், அது உங்களிடமிருந்து வெளிப்படாது,"
"  Et modeste d'ailleurs, se dire: mon petit,","மேலும், தாழ்மையானவர், ""என் குழந்தை,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","பூக்களாலும், பழங்களாலும், இலைகளாலும்,"
  Si c'est dans ton jardin à toi que tu les cueilles !,நீ அதை உன் தோட்டத்தில் சேர்த்துக் கொள்வாய்!
"  Puis, s'il advient d'un peu triompher, par hasard,","பின்னர், அவன் சிறிது வெற்றி பெற்றால்,"
"  Ne pas être obligé d'en rien rendre à César,",இராயனுக்குக் கட்டாயமாய்ப் பணம் செலுத்தவேண்டாம்.
"  Vis-à-vis de soi-même en garder le mérite,","தன்னைப் பற்றி, அதன் மதிப்பை வைத்திருத்தல்,"
"  Bref, dédaignant d'être le lierre parasite,","சுருக்கமாக, நான் பூச்சிக்கொல்லி லீரஸ் என்று புறக்கணித்து,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","நாம் ஒயின் மரமாகவோ அல்லது மரம் மரமாகவோ இல்லாவிட்டாலும்,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","உயரத்திற்கு ஏறாமல் இருக்கலாம், ஆனால் தனியாக!"
LE BRET:,பறவை:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","தனியாக இருந்தாலும், ஆனால் அனைவருக்கும் எதிராக இல்லை."
  As-tu donc contracté la manie effroyable,"எனவே, நீங்கள் பயங்கரமான மனோபாவம் பெற்றிருக்கிறீர்களா?"
"  De te faire toujours, partout, des ennemis ?",எல்லா இடங்களிலும் எதிரிகளை உருவாக்குவது?
CYRANO:,சைரான்ஃ
"  A force de vous voir vous faire des amis,","உங்களை நண்பர்களாக பார்க்கும் போது,"
"  Et rire à ces amis dont vous avez des foules,","நீங்கள் கூட்டம் கொண்ட நண்பர்களைப் பார்த்து சிரிப்பீர்கள்,"
  D'une bouche empruntée au derrière des poules !,ஒரு வாயை காளைகளின் பின்புறத்தில் கடன் வாங்கியவர்!
"  J'aime raréfier sur mes pas les saluts,",என் கால்களில் நான் வணக்கங்களைக் குறைவாகவே சொல்ல விரும்புகிறேன்.
  Et m'écrie avec joie: un ennemi de plus !,மேலும் ஒரு எதிரி! என்று என்னை நோக்கிக் கூப்பிடு.
LE BRET:,பறவை:
  Quelle aberration !,என்ன ஒரு விபரீதம்!
CYRANO:,சைரான்ஃ
"  Eh bien, oui, c'est mon vice.","சரி, அது என் பழக்கம்."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,நான் வெறுக்கப்படுவதை விரும்புகிறேன்.
"  Mon cher, si tu savais comme l'on marche mieux","என் அன்பே, நீங்கள் எப்படி நடப்பது என்று தெரிந்தால்"
  Sous la pistolétade excitante des yeux !,கண்முன்னே!
"  Comme, sur les pourpoints, font d'amusantes taches","எப்படி, குறிப்புகள் மீது வேடிக்கையான புள்ளிகள் செய்ய"
  Le fiel des envieux et la bave des lâches !,"பொறாமையுள்ளவர்களின் கொழுப்பு, சாகாதவர்களின் கொழுப்பு!"
"  --Vous, la molle amitié dont vous vous entourez,","-நீங்கள், நீங்கள் சுற்றி இருக்கும் மென்மையான நட்பு,"
"  Ressemble à ces grands cols d'Italie, ajourés","இத்தாலியில் உள்ள பெரிய கால் போல, தாமதமாக"
"  Et flottants, dans lesquels votre cou s'effémine:","மேலும், உங்கள் கழுத்துகள் அசைந்து கொண்டிருக்கும் நீரூற்றுகளும்,"
"  On y est plus à l'aise. . .et de moins haute mine,","நாம் இங்கு வசதியாக இருக்கிறோம். . . . மற்றும் குறைந்த உயரத்தில்,"
"  Car le front n'ayant pas de maintien ni de loi,","ஏனெனில், முகம், சட்டம், சட்டம் ஆகியவற்றில்லாமல்,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",எல்லா திசைகளிலும் தள்ளுபடியை விட்டுவிடுகிறார்.
"  La Haine, chaque jour, me tuyaute et m'apprête","வெறுப்பு, ஒவ்வொரு நாளும் என்னைத் தூக்கி எறிந்து, என்னைத் தூக்கி எறிந்து"
  La fraise dont l'empois force à lever la tête;,ஒரு பிரட்ராஸ் அதன் விஷம் தலை உயர்த்தும்;
  Chaque ennemi de plus est un nouveau godron,ஒவ்வொரு எதிரிக்கும் ஒரு புதிய குதிரை
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","எனக்குக் கேடுகளையும், சிரமங்களையும் அதிகப்படுத்தினவர்;"
"  Car, pareille en tous points à la fraise espagnole,","ஸ்பானிஷ் பிரஸ் போலவே,"
"  La Haine est un carcan, mais c'est une auréole !","வெறுப்பு ஒரு கொசு, ஆனால் அது ஒரு ஒளிச்சேர்க்கை!"
"LE BRET (après un silence, passant son bras sous le sien):","பீட் (ஒரு மௌனம் பிறகு, தனது கை கீழே கடந்து):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","பெருமையையும், கசப்பையும், தாழ்மையையும்,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,அவள் உன்னை நேசிக்கவில்லை என்று சொல்லுங்கள்!
CYRANO (vivement):,CYRANO (வாழ்க்கையில்):
  Tais-toi !,வாயை மூடு!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ஒரு கணம் கழித்து, கிறிஸ்டியன் உள்ளே நுழைந்தார், இளையவர்களுடன் கலந்துகொண்டார்;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ஒரு வார்த்தை பேசவில்லை; இறுதியில் அவர் தனியாக ஒரு
