Scène 2.VIII.,2.8. տեսարան
"  Travailler sans souci de gloire ou de fortune,","Աշխատանք առանց փառքի կամ հարստության,"
"  A tel voyage, auquel on pense, dans la lune !",Մտածում ենք լուսնի վրա այսպիսի ճանապարհորդություն:
"  N'écrire jamais rien qui de soi ne sortît,","Երբեք մի գրիր այն, ինչ ինքնուրույն չի գալիս,"
"  Et modeste d'ailleurs, se dire: mon petit,","Եվ խոնարհ, ասում է. ""Իմ փոքրիկ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Կամ ծաղիկներով, պտուղներով, նույնիսկ թեւերով,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Եթե դրանք քո այգում են, ուրեմն, քո սեփական այգում են:"
"  Puis, s'il advient d'un peu triompher, par hasard,","Եվ եթե նա մի փոքր հաղթի,"
"  Ne pas être obligé d'en rien rendre à César,","Չի կարելի կայսրին որեւէ բան տալ,"
"  Vis-à-vis de soi-même en garder le mérite,","Իրականում, իրենք իրենց արժանիքն են պահում,"
"  Bref, dédaignant d'être le lierre parasite,","Կարճ ասած, անտեսելով, որ ես կործանվող լյրս եմ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Եթե մենք չենք փայտի կամ ձմեռի ծառ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Միգուցե ոչ բարձր, բայց միայնակ:"
LE BRET:,ԿԱՐԵՆ.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Միայն թե մենակ, բայց ոչ բոլորի դեմ:"
  As-tu donc contracté la manie effroyable,Արդյո՞ք դու խիստ խաբվածություն ես ստացել
"  De te faire toujours, partout, des ennemis ?",Միշտ թշնամիներ ստեղծելու համար:
CYRANO:,Կիրանո.
"  A force de vous voir vous faire des amis,","Երբ ես տեսնում եմ, թե ինչպես եք ընկերներ անում,"
"  Et rire à ces amis dont vous avez des foules,","Եվ ծիծաղել ընկերների վրա, որոնցից շատերը,"
  D'une bouche empruntée au derrière des poules !,Կռուների հետեւից վերցված բերանը:
"  J'aime raréfier sur mes pas les saluts,","Ես սիրում եմ իմ ոտքերիս վրա ծաղկել ողջույն,"
  Et m'écrie avec joie: un ennemi de plus !,"Ու ուրախությամբ կանչիր ինձ. ""Մեկ թշնամին եւս"":"
LE BRET:,ԿԱՐԵՆ.
  Quelle aberration !,Ինչ անբարբերություն է:
CYRANO:,Կիրանո.
"  Eh bien, oui, c'est mon vice.","Այո, դա իմ մեղքն է:"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ես սիրում եմ, երբ ինձ ատում են:"
"  Mon cher, si tu savais comme l'on marche mieux","Սիրելի՛ս, եթե դու իմանայիիր, թե ինչպես են ավելի լավ քայլում"
  Sous la pistolétade excitante des yeux !,"Նրանց աչքերի տակ, որոնք զարմացնում են իրենց աչքերը:"
"  Comme, sur les pourpoints, font d'amusantes taches","Ինչպես, թե ինչպես են հուշերը ծիծաղելի կետեր"
  Le fiel des envieux et la bave des lâches !,Կգիտակամարտի ցնցում եւ վախկոտի ցնցում:
"  --Vous, la molle amitié dont vous vous entourez,","-Դու, քո հարթ ընկերությունը,"
"  Ressemble à ces grands cols d'Italie, ajourés","Նման է այդ մեծ Իտալիայի պարսավուրները, հետաձգվել"
"  Et flottants, dans lesquels votre cou s'effémine:","Եվ լողացող ջրեր, որոնցով ձեր պարանոցը վախենում է:"
"  On y est plus à l'aise. . .et de moins haute mine,","Մենք ավելի հարմարավետ ենք զգում այնտեղ, եւ ավելի ցածր է,"
"  Car le front n'ayant pas de maintien ni de loi,","Որովհետեւ դեմքը չունի կանոններ եւ օրենքներ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Նա ամենուր է նայում, բայց ես..."
"  La Haine, chaque jour, me tuyaute et m'apprête",Ատելությունը ամեն օր ինձ նետում է եւ պատրաստում
  La fraise dont l'empois force à lever la tête;,"Սողուն, որի թույնը ստիպում է վերելք տալ գլուխը,"
  Chaque ennemi de plus est un nouveau godron,Ամեն մի նոր թշնամին նոր կատաղ է
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Նա ինձ համար բարկութիւն է ավելացնում, եւ ինձ համար ցնցում է ավելացնում:"
"  Car, pareille en tous points à la fraise espagnole,","Քանի որ, ամեն ինչ նման է իսպանական մրգերի,"
"  La Haine est un carcan, mais c'est une auréole !","Ատելությունը մի կեղտոտ է, բայց դա ադրբեջանական արեգակն է:"
"LE BRET (après un silence, passant son bras sous le sien):","ԱՆՆ (նաղթելուց հետո, անցնելով իր ձեռքը տակ իր):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Թող հպարտը բարձրացնի եւ դառնացնի, բայց ցածրացնի"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Միայն ասա, որ նա քեզ չի սիրում:"
CYRANO (vivement):,CYRANO (կենդանի):
  Tais-toi !,Լռիր!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Մինչեւ մի պահ, Քրիստիան մտավ, խառնվեց երիտասարդների հետ, նրանք"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"չեն խոսում նրան, նա վերջապես նստել միայնակ մեկ"
