Scène 2.VIII.,المشهد الثاني ثمانية
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً، إلتفيق، كَمَا يَفْعَلُ كُلُّهُمْ،
  Des vers aux financiers ? se changer en bouffon,مِنْ دُودِيَةٍ لِمُصِنِّفِينَ؟ تَتَحَوَّلُ لِلْمُسْتَغْلِبِينَ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",بِرَجَاءٍ مُنْكَرٍ أَنْ يَرَى، فِي شَفَتَيْ خَادِمٍ،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",أَنْ تَنْبُتَ إِبْكَاهًا، وَلَا تَكُونَ خَبِيثًا؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لاَ، شكراً، أَتَأْكُلُ غَدَاءَ كُلَّ يَوْمٍ بِعُثٍّ؟
  Avoir un ventre usé par la marche ? une peau,أَنْ يَكُونَ مِنْ بَطْنِكَ مَسْحُوقٌ مِنْ مَشْيِكَةِ جِلْدِكَ
"  Qui plus vite, à l'endroit des genoux, devient sale ?",مَنْ يَسْرِعُ مِنْ رُكْبَتِهِ يَتَنَجَّسُ؟
  Exécuter des tours de souplesse dorsale ?. . .,أَيَجْرِي مَرَاجِعَ مُنْعَنِيَّةَ الْمُخَلَّصَةِ؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لاَ، شُكْرًا، يَدٌ وَاحِدَةٌ تَدْعُو الْمَعْزَى عَلَى عُنُقِهِ
"  Cependant que, de l'autre, on arrose le chou,",وَلَكِنْ إِنْ سَقَيْنَا الْكَبْرَةَ مِنَ الْآخَرِ
"  Et, donneur de séné par désir de rhubarbe,",وَيُعْطِي مَنْ يَرْغَبُ بِالْحَيْرَةِ
"  Avoir son encensoir, toujours, dans quelque barbe ?",أَيَكُونُ لَهُ مِنْ كَرَّةِ الْعَطْرِ فِي حَيْشَتِهِ؟
"  Non, merci ! Se pousser de giron en giron,",لاَ، شُكْرًا، تَزْدَادُ مِنْ تَرْكٍ إِلَى تَرْكٍ،
"  Devenir un petit grand homme dans un rond,",تَصِيرُ رَجُلًا كَبِيرًا صَغِيرًا فِي حَالٍ
"  Et naviguer, avec des madrigaux pour rames,",وَتَسْفِيرُهُمْ بِمَرْكَبَاتٍ مِنَ الْمَرْكَبَاتِ
  Et dans ses voiles des soupirs de vieilles dames ?,وَفِي سُرُورِهِ نَهَايَاتُ السَّيِّدَاتِ؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، بِمُصَنِّفِ سِرْسي
"  Faire éditer ses vers en payant ? Non, merci !",أَيَجْعَلُونَ يُحَرِّرُونَ قَصَائِدَهُمْ بِالدَّفْعِ؟
  S'aller faire nommer pape par les conciles,لِيُعْتَرَفَ بِالْبُوبِ مِنَ الْمَجَالِسِ
  Que dans des cabarets tiennent des imbéciles ?,أَنْ يَحْمِلَ أَغْبِيَاءُ فِي الْمَخَادِعِ؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً، أعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",بِصُنُونٍ وَاحِدٍ مِنْ أَجْلِ أَنْ تَصْنَعَ بَعْضَهُمْ؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شُكْرٌ، أَيَكُونُ مَعْرِفَةً بِالْمَوَاضِعِ فَقَطْ؟
"  Être terrorisé par de vagues gazettes,",أَنْ يَرْتَعِبَكَ الْجُرُوْزُ الْمُتَمَجِّرُ
"  Et se dire sans cesse: Oh, pourvu que je sois","وَأَنْتَ تَقُولُ مُدَّةً: ""أَمَّا أَنَا فَلَا أَنْتَ"""
  Dans les petits papiers du Mercure François ?. . .,في أوراقَةِ مُرْكَرِيّ فَرِنْسُوَةَ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً، الحساب، الخوف، البَلَاء،
"  Aimer mieux faire une visite qu'un poème,",أَحَبُّ زِيَارَةً أَوْ شِعْرًا
"  Rédiger des placets, se faire présenter ?",أَنْ أَصْنَعَ أَنْصَابًا، أَوْ أَتَعَرَّفَ؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لاَ، شُكْرًا، لاَ، شُكْرًا، لاَ، شُكْرًا، وَلَكِنْ، أَنْتَ أَرْسُلُ،
"  Rêver, rire, passer, être seul, être libre,",حُلْمٌ، ضَحِكٌ، مَرْضَى، وَحْدَكَ، وَحُرٌّ،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",لِيَكُنْ عَيْنٌ تَنْظُرُ بِالْحَقِّ، وَصَوْتٌ يَتَرَنَّمُ،
"  Mettre, quand il vous plaît, son feutre de travers,",وَإِنْ تَرَدَّدْتَ مِنْهُ مَا تَرَدَّدْتَ
"  Pour un oui, pour un non, se battre,--ou faire un vers !",لِأَنْ يَكُونَ نَعَمْ، لِأَنْ يُقَاتِلَ، أَوْ يَجْعَلَ دَمًا!
"  Travailler sans souci de gloire ou de fortune,",عَمِلُوا بِغَيْرِ مُتَعَلِّمٍ بِالْمَجْدِ وَالْغِنَى
"  A tel voyage, auquel on pense, dans la lune !",لِسَفَرٍ كَذَلِكَ يَفْكُرُونَ فِي الْقَمَرِ!
"  N'écrire jamais rien qui de soi ne sortît,",لا تَكْتُبْ مَا لَمْ يَخْرُجْ مِنْكَ
"  Et modeste d'ailleurs, se dire: mon petit,",وَمُتَوَاضِعٌ أَيْضًا، يَقُولُ لِنَفْسِهِ: يَا صَغِيرِي،
"  Soit satisfait des fleurs, des fruits, même des feuilles,",يَرْضَى عَنِ الْأَزْهَارِ وَالثَّمَرِ وَحَتَّى الْوَرَقِ
  Si c'est dans ton jardin à toi que tu les cueilles !,إِنْ كُنْتَ تَجْمَعُهُمْ فِي حَقْلِكَ!
"  Puis, s'il advient d'un peu triompher, par hasard,",ثُمَّ إِنْ يَكُونَ فَوْقَهُ مِنْ قَلِيلٍ فَلَا يَكُونُ لَهُ مِنْ قَلِيلٍ
"  Ne pas être obligé d'en rien rendre à César,",وَلَا تَكُنْ لِقَيْصَرَ مُسْتَلْزِمًا ،
"  Vis-à-vis de soi-même en garder le mérite,",وَعَلَى نَفْسِهِ يَحْفَظُ مَالَهُ
"  Bref, dédaignant d'être le lierre parasite,",بِمُقَصَّدٍ، مُحْتَقِرًا لِأَنَّهُ الْمُتَعَلِّقُ،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",وَإِنْ لَمْ نَكُنْ مِنْ شَجَرَةِ الْبَلُّوطِ وَلَا مِنْ شَجَرَةِ الْبَلُّوطِ
"  Ne pas monter bien haut, peut-être, mais tout seul !",لَا تَصْعَدُ عَلَى قَلْبٍ، لَكِنْ تَفْرَحُ!
LE BRET:,الْبَرْدُ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",وَلَكِنْ لَيْسَ عَلَى كُلِّهِ
  As-tu donc contracté la manie effroyable,فَهَلْ تَمَلَّكَ مَنَا مُخِيفٌ
"  De te faire toujours, partout, des ennemis ?",أَنْ تَجْعَلَ عَدُوَّكَ مُتَعَدِّيًا مِنْ كُلِّ مَكَانٍ؟
CYRANO:,كِرَانُو:
"  A force de vous voir vous faire des amis,",مِنْ رَأْيِكُمْ تَصْنَعُونَ أَصْدِقَاءَ
"  Et rire à ces amis dont vous avez des foules,",وَتَتَلَكَّلُ بِأَصْحَابِكَ الَّذِينَ لَكُمْ جُمْهُورٌ
  D'une bouche empruntée au derrière des poules !,مِنْ فَمٍ مَسْتُؤْخِرٍ مِنْ دُونِ الدُّجَّالِ!
"  J'aime raréfier sur mes pas les saluts,",أَحْبَبُ أَنْ أُسَلِّمَ عَلَى خَطَوَاتِي
  Et m'écrie avec joie: un ennemi de plus !,"وَصَاحِبِي بِالْفَرَحِ: ""عَدُوٌّ أَيْضًا!"""
LE BRET:,الْبَرْدُ:
  Quelle aberration !,مَا هُوَ مِنْ غَيْرِ مُسْتَقِيمٍ!
CYRANO:,كِرَانُو:
"  Eh bien, oui, c'est mon vice.",حَسَنًا، بَلْ هُوَ خِطْبَتِي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,أَسْتَحِبُّ أَنْ يَكُونَ مَنْ يُبْغِضُنِي.
"  Mon cher, si tu savais comme l'on marche mieux",يَا حَبِيبِي، لَوْ عَلِمْتَ مَا يَسْلُكُونَ أَحْسَنَ
  Sous la pistolétade excitante des yeux !,تَحْتَ مَنْظَرِهِ الْمُمْتَهِجِينَ!
"  Comme, sur les pourpoints, font d'amusantes taches",كَمَا يَفْعَلُونَ مُحْتَمِلَاتٍ عَلَى الأَنْوَاعِ
  Le fiel des envieux et la bave des lâches !,مَا يَرْتَدُّهُ مِنْ مَنْ يَحْسِدُهُ وَمَا يَرْتَدُّهُ مِنْ مَنْ يَرْتَدُّهُ
"  --Vous, la molle amitié dont vous vous entourez,",أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَنْتَ، أَيُّهُمْ، أَنْتَ،
"  Ressemble à ces grands cols d'Italie, ajourés",يَبْدُو كَهَذِهِ الْقَلَائِمِ الْكَبِيرَةِ مِنْ إِيطَالِيَّةَ، مُؤَخَّرَةٌ
"  Et flottants, dans lesquels votre cou s'effémine:",وَمَغْرُوقَاتٍ تَتَرَنَّمُ فِيهَا عُنُقُكُمْ
"  On y est plus à l'aise. . .et de moins haute mine,",وَأَنْفُسُنَا أَكْثَرُ مُتَعَوِّضَةً
"  Car le front n'ayant pas de maintien ni de loi,",لِأَنَّ الْجَبْهَةَ لَا تَحْفَظُ وَلَا تَحْفَظُ.
"  S'abandonne à pencher dans tous les sens. Mais moi,",يَتَرَكُ مَنْ يَنْحَنِي مِنْ كُلِّ حَالٍ.
"  La Haine, chaque jour, me tuyaute et m'apprête",كُرْبٌ كُلَّ يَوْمٍ يَنْشُقُنِي وَيَنْشُقُنِي
  La fraise dont l'empois force à lever la tête;,وَالْعَرْشَةُ مَنْ يَرْفَعُ رَأْسَهَا بِسَمَامِهَا
  Chaque ennemi de plus est un nouveau godron,كُلّ عَدُوّ إضافيّ هُوَ جَدّيّ جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",يَزِيدُ عَلَيَّ عَيْبًا وَيَزِيدُ عَيْبًا.
"  Car, pareille en tous points à la fraise espagnole,",لِأَنَّهُ كَمَا يَفْعَلُ الْفَرَسُ الإِسْبَانِيُّ فِي كُلِّ شَيْءٍ
"  La Haine est un carcan, mais c'est une auréole !",كَرَاهَةٌ مِنْ كَرْكَةٍ، وَلَكِنْ هِيَ أُورِيُولٌ!
"LE BRET (après un silence, passant son bras sous le sien):",الْمُنْذِرُ (بَعْدَ سُكُوتٍ ، مُرَدُّ ذِرَاعَهُ تَحْتَ ذِرَاعِهِ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",تَرَفَّعْ الْمُتَكَبِّرَ وَتَرَدَّدْهُ وَتَنَحَّنْ
  Dis-moi tout simplement qu'elle ne t'aime pas !,قُلْ لِي بَلْ أَنَّهَا لَا تُحِبُّكَ!
CYRANO (vivement):,سِيرَانُو (حَيَاةٌ):
  Tais-toi !,إِسْكِتِ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(فَبَعْدَ حِينٍ دَخَلَ كِرْشَانِيَ، وَتَلَوَّجَ بِالْأَصْغَارِ،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,لَمْ يَتَكَلَّمُوا بِهِ، فَأَخِيرًا جَلَسَ وَحْدَهُ
