Scène 2.VIII.,Scene 2.VIII
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, thank you. Lunch every day with a toad?"
  Avoir un ventre usé par la marche ? une peau,Have a belly worn by walking?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Who gets dirtier than the knees?
  Exécuter des tours de souplesse dorsale ?. . .,""
"  Non, merci. D'une main flatter la chèvre au cou","No, thanks. One hand flattering the goat to the neck"
"  Cependant que, de l'autre, on arrose le chou,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Et, donneur de séné par désir de rhubarbe,","And gives a breastful for a longing for a beard,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Always having his incense in some beard?
"  Non, merci ! Se pousser de giron en giron,","No, thanks! Going from one to the other,"
"  Devenir un petit grand homme dans un rond,",Becoming a big little man in a circle
"  Et naviguer, avec des madrigaux pour rames,","And sail with rigs for rails,"
  Et dans ses voiles des soupirs de vieilles dames ?,And the old ladies' sighs in his veils?
"  Non, merci ! Chez le bon éditeur de Sercy","No, thanks, to the right Sercy editor."
"  Faire éditer ses vers en payant ? Non, merci !",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
  S'aller faire nommer pape par les conciles,Get Pope by the Councils
  Que dans des cabarets tiennent des imbéciles ?,That in cabarets there are fools?
"  Non, merci ! Travailler à se construire un nom","No, thanks. Work on making a name for yourself"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",""
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Thank you Only in the mazes can you discover talent?
"  Être terrorisé par de vagues gazettes,","Be terrorized by wavy newspapers,"
"  Et se dire sans cesse: Oh, pourvu que je sois","And keep saying, Oh, if I were"
  Dans les petits papiers du Mercure François ?. . .,️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Non, merci ! Calculer, avoir peur, être blême,","No, thanks! Calculate, be afraid, be blunt, be a little bit of a shy."
"  Aimer mieux faire une visite qu'un poème,",                                                                                                  
"  Rédiger des placets, se faire présenter ?","Making posters, getting introduced?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, thank you No, thank you No, thank you But... singing,"
"  Rêver, rire, passer, être seul, être libre,",""
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Mettre, quand il vous plaît, son feutre de travers,","Put, whenever you like, his feeling of wrong,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","For a yes, for a no, fight, or make a worm!"
"  Travailler sans souci de gloire ou de fortune,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  A tel voyage, auquel on pense, dans la lune !",A trip to the moon!
"  N'écrire jamais rien qui de soi ne sortît,","Never write anything that doesn't come from you,"
"  Et modeste d'ailleurs, se dire: mon petit,","And modestly, say to yourself, ""My little one,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
  Si c'est dans ton jardin à toi que tu les cueilles !,If you're picking them in your own garden!
"  Puis, s'il advient d'un peu triompher, par hasard,","Then if he should succeed a little, by chance,"
"  Ne pas être obligé d'en rien rendre à César,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Vis-à-vis de soi-même en garder le mérite,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Bref, dédaignant d'être le lierre parasite,","In short, disdain to be the parasite lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Even if we're not the oak or the oak tree,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Maybe not too high, but alone!"
LE BRET:,The Brett:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Alone, but not against everyone."
  As-tu donc contracté la manie effroyable,So you got the terrible mania
"  De te faire toujours, partout, des ennemis ?",To make enemies everywhere?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Seeing you make friends,"
"  Et rire à ces amis dont vous avez des foules,","And laugh at these friends you got crowds of,"
  D'une bouche empruntée au derrière des poules !,A mouth borrowed from the back of the chickens!
"  J'aime raréfier sur mes pas les saluts,","I like to rarely greet on my feet,"
  Et m'écrie avec joie: un ennemi de plus !,"And cry unto me with joy, another enemy!"
LE BRET:,The Brett:
  Quelle aberration !,What an aberration!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Well, yes, that's my vice."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,I like being hated.
"  Mon cher, si tu savais comme l'on marche mieux","My dear, if you knew how to walk better"
  Sous la pistolétade excitante des yeux !,Under the exciting gun state of his eyes!
"  Comme, sur les pourpoints, font d'amusantes taches",How to make fun spots on the points
  Le fiel des envieux et la bave des lâches !,The gall of the envious and the babble of the coward!
"  --Vous, la molle amitié dont vous vous entourez,","You, the soft friendship you surround yourself with,"
"  Ressemble à ces grands cols d'Italie, ajourés",                                                                                                  
"  Et flottants, dans lesquels votre cou s'effémine:","And floating, wherein your neck frightens:"
"  On y est plus à l'aise. . .et de moins haute mine,","We're more comfortable and less tall,"
"  Car le front n'ayant pas de maintien ni de loi,",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  S'abandonne à pencher dans tous les sens. Mais moi,",He gives up on all the ways.
"  La Haine, chaque jour, me tuyaute et m'apprête",Hate Every day I feel and feel
  La fraise dont l'empois force à lever la tête;,️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
  Chaque ennemi de plus est un nouveau godron,""
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
"  Car, pareille en tous points à la fraise espagnole,","For, in every way, like the Spanish strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Hate is a carcan, but it's an aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","(After silence, passing his arm under his):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Make the proud high and bitter, but low"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Just tell me she doesn't love you!
CYRANO (vivement):,CYRANO (living):
  Tais-toi !,Shut up!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Since a while, Christian has entered, has mixed with the youngsters; these"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,""
