Scène 2.VIII.,ትዕይንት 2.
"  Mettre, quand il vous plaît, son feutre de travers,","""በፍጹም ልብህ የምትወደውን ጊዜ ሁሉ፣"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","አዎ ወይም አይደለም ከሆነ, ይዋጉ, ወይም አንድ አረፋ ማድረግ!"
"  Travailler sans souci de gloire ou de fortune,",ክብር ወይም ሀብት ሳይፈልጉ መሥራት፣
"  A tel voyage, auquel on pense, dans la lune !",ወደ ጨረቃ የሚደረግ ጉዞ!
"  N'écrire jamais rien qui de soi ne sortît,",ከራስህ የሚወጣውን ነገር ፈጽሞ አትጻፍ
"  Et modeste d'ailleurs, se dire: mon petit,","እና ትሁት ሰው፣ ""ልጄ፣"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",አበባ፣ ፍሬ፣ ቅጠል ሳይቀር
  Si c'est dans ton jardin à toi que tu les cueilles !,በአትክልት ስፍራህ ውስጥ የምታጭዳቸው ከሆነ!
"  Puis, s'il advient d'un peu triompher, par hasard,",ከዚያም (ከመከራ) ትንሽ ቢሸነፍ
"  Ne pas être obligé d'en rien rendre à César,",ለቄሳር ምንም ዓይነት ገንዘብ መክፈል የለብኝም፤
"  Vis-à-vis de soi-même en garder le mérite,",ለራስህ ክብርህን ጠብቀህ
"  Bref, dédaignant d'être le lierre parasite,",በአጭሩ፣ የፓራዚት ሊሬ መሆንን በመክፈል፣
"  Lors même qu'on n'est pas le chêne ou le tilleul,",እንጨት ወይም እንጨት ባንሆን እንኳ፣
"  Ne pas monter bien haut, peut-être, mais tout seul !",ምናልባት ከፍ ባለ ቦታ ላይ አይወጣም፣ ግን ብቻውን!
LE BRET:,አሻንጉሊት:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ብቻውን ቢሆን እንጂ በሰው ሁሉ ላይ አይደለም።
  As-tu donc contracté la manie effroyable,ታዲያ አንተ አስከፊው ምኞት ገጥመህ
"  De te faire toujours, partout, des ennemis ?",ሁሌም በየትኛውም ቦታ ጠላቶችህን ማፍራት?
CYRANO:,ሲራኖ፦
"  A force de vous voir vous faire des amis,",ጓደኞች ሲሆኑ በመመልከት፣
"  Et rire à ces amis dont vous avez des foules,",ብዙ ሰዎች ካሏቸው ጓደኞችህ ጋር መሳቅ
  D'une bouche empruntée au derrière des poules !,ከዶሮ ጀርባው የተበደረ አፍ!
"  J'aime raréfier sur mes pas les saluts,",ሰላምታንም በእግሬ ላይ ማቅረብ እወዳለሁ
  Et m'écrie avec joie: un ennemi de plus !,"""እንግዲህ ጠላት አለህ"" በማለት በደስታ ይጮኻል።"
LE BRET:,አሻንጉሊት:
  Quelle aberration !,ምን ዓይነት ብልሹነት ነው!
CYRANO:,ሲራኖ፦
"  Eh bien, oui, c'est mon vice.",አዎን፣ ያ የእኔ ባሕርይ ነው።
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ከቤት መውጣት ደስታዬ ነው፤ ሰዎች የሚጠሉኝን ጊዜ እወዳለሁ።
"  Mon cher, si tu savais comme l'on marche mieux",ውድዬ፣ እንዴት እንደሚራመዱ ቢታውቅ ኖሮ
  Sous la pistolétade excitante des yeux !,በዐይንህ ውስጥ የሚያንጸባርቅ የጦር መሳሪያ አቋም!
"  Comme, sur les pourpoints, font d'amusantes taches","እንደ, አጀንዳዎች ላይ አዝናኝ ቦታዎች ማድረግ"
  Le fiel des envieux et la bave des lâches !,የቅናት ቅናት የሸባዎች ቅናት !
"  --Vous, la molle amitié dont vous vous entourez,",-እናንተም በዙሪያችሁ የምትኖሩትን የዋህ ወዳጅነት፣
"  Ressemble à ces grands cols d'Italie, ajourés",እንደ እነዚህ ታላላቅ ጣሊያን ኮልሶች ይመስላል ፣ የተዘገየ
"  Et flottants, dans lesquels votre cou s'effémine:",አንገትህም የሚሸነፍበት ተንሳፋፊዎችም አሉት።
"  On y est plus à l'aise. . .et de moins haute mine,",በዚህ ጊዜ የበለጠ ምቾት እና ዝቅተኛ ቁመት
"  Car le front n'ayant pas de maintien ni de loi,",ምክንያቱም የፊት ገጽታ ሥርዓት ወይም ሕግ የሌለው በመሆኑ
"  S'abandonne à pencher dans tous les sens. Mais moi,",በየትኛውም አቅጣጫ ለመመልከት ይጥራል
"  La Haine, chaque jour, me tuyaute et m'apprête",ጥላቻ በየቀኑ ይንኳኳኛል
  La fraise dont l'empois force à lever la tête;,ጭስ ጭንቅላቱን እንዲያነሳ የሚያደርግ ፍሬ;
  Chaque ennemi de plus est un nouveau godron,እያንዳንዱ ተጨማሪ ጠላት አዲስ አህያ ነው
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ያም ሆኖ ያዘነኝን፣ ያምነኝን ያጨመረው፣
"  Car, pareille en tous points à la fraise espagnole,",ምክንያቱም እንደ ስፔን ፍራፍሬ ሁሉ
"  La Haine est un carcan, mais c'est une auréole !",ጥላቻው የጭንቅላት መንጋ ነው፣ ግን የብርሃን ነበልባል ነው!
"LE BRET (après un silence, passant son bras sous le sien):","የ BRET (በዝምታ በኋላ, የእርሱ በታች ያለውን ክንድ በማለፍ):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ትዕቢተኛውን ከፍ አድርገህ አዝነህ፤ ዝቅተኛውን ግን አዝነህ።
  Dis-moi tout simplement qu'elle ne t'aime pas !,እሷ እንደማትወድኝ ብቻ ንገረኝ!
CYRANO (vivement):,ሲራኖ (ሕያው):
  Tais-toi !,ዝም በል!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(ከጊዜ በኋላ ክርስቲያን ገብቶ ወጣቶች ጋር ተገናኘ; እነዚህ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,እሷን ምንም ቃል አይደለም; በመጨረሻም እሷ ብቻውን አንድ ላይ ተቀምጦ
