Scène 2.VIII.,2.VIII.
"  N'écrire jamais rien qui de soi ne sortît,","Mana imatapis qillqaspaqa, mana allinpaqchu kanman."
"  Et modeste d'ailleurs, se dire: mon petit,","Chayraykun pisipaqña kaspa, ninman:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Q'ayllulla, sach'a, sach'a,"
  Si c'est dans ton jardin à toi que tu les cueilles !,¡Qankunachus chay huertomanta q'oykuspaqa!
"  Puis, s'il advient d'un peu triompher, par hasard,","Chayraykun, uj p'unchaypi atipanqa,"
"  Ne pas être obligé d'en rien rendre à César,","Chayraykun, manaraq Césarman ima paganankupaqqa,"
"  Vis-à-vis de soi-même en garder le mérite,","Paykunaqa, kikinkupaqmi,"
"  Bref, dédaignant d'être le lierre parasite,","Qhawariychis: ""Qhapaqqa, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariychis, qhawariy, qhawariy, qhawariy, qhawariy, qhawariy, qhawariy, qhawariy"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Mana chay sach'aqa, mana chay sach'aqa,"
"  Ne pas monter bien haut, peut-être, mais tout seul !",Manaqa ancha altoñañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañaña
LE BRET:,Runasimi:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","¡Diospaqqa, tukuy sonqo kaspanchikmi, mana tukuy runakunataqa chinkachinapaqchu!"
  As-tu donc contracté la manie effroyable,¿Mana allinchu chay mana allin ruwasqaykitaqa?
"  De te faire toujours, partout, des ennemis ?",¿Maypichus enemigosta ruwanayki?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Chayraykun, qankunawan amistadta tarikuspa,"
"  Et rire à ces amis dont vous avez des foules,","Chaykunatataq qankunaqa q'uchunakusqaykichismantaqa,"
  D'une bouche empruntée au derrière des poules !,¡Q'ipisqallapa q'ipisqallapa!
"  J'aime raréfier sur mes pas les saluts,","Ñoqaqa, sapa kutimi sapa kuti willaspaymi,"
  Et m'écrie avec joie: un ennemi de plus !,"¡Qhapaqqa, ¡mayk'aj enemigo!"
LE BRET:,Runasimi:
  Quelle aberration !,¡Ajinallachu!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Arí, chaymi noqapa atiyniyoq kasqayqa."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Chayraykun ñakariyqa, mana allinpaqmi."
"  Mon cher, si tu savais comme l'on marche mieux","Munayniy, qamqa aswan allinña kawsayta yachaspa"
  Sous la pistolétade excitante des yeux !,¡Manan allinchu!
"  Comme, sur les pourpoints, font d'amusantes taches","Chaykunaqa, q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha q'acha qacha qacha qacha qacha qacha q"
  Le fiel des envieux et la bave des lâches !,"¡Qhapaqkunaq q'ipis, ch'ikrasqa runakunaq q'ipis!"
"  --Vous, la molle amitié dont vous vous entourez,","-Qanqa, qankunawan allin amistadniyoq kaspaykiqa,"
"  Ressemble à ces grands cols d'Italie, ajourés","Chaypiqa, chay hatun q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-q'illuyuq wayra-"
"  Et flottants, dans lesquels votre cou s'effémine:",Q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ipispas q'ip
"  On y est plus à l'aise. . .et de moins haute mine,",Chaypiqa aswan kusisqa kanchis.
"  Car le front n'ayant pas de maintien ni de loi,","Mana allin ruwaq kasqanrayku, mana allin ruwaq kasqanrayku,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Chayqa tukuy ima ruwasqasninman jina kashan.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ñac'achasqa kaypi sapa p'unchaymi q'ip'ichiwan, q'ip'ichiwan"
  La fraise dont l'empois force à lever la tête;,"Chay fromajqa, ñik'uta wich'ayaspa,"
  Chaque ennemi de plus est un nouveau godron,Sapa enemigoqa huk mosoq q'ipismi kanqa.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Paymi llakiypipas, llakikuypipas astawanmi ñak'arichin."
"  Car, pareille en tous points à la fraise espagnole,","Chayna kasqanraykuqa, tukuy ima ruwasqasninpi,"
"  La Haine est un carcan, mais c'est une auréole !",¡Manan allinchu! ¡Manan allinchu!
"LE BRET (après un silence, passant son bras sous le sien):","P'anqa (chaymantapacha, ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa ch'uwa"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Hatun k'acha kajkunata, k'acha kajkunata, pisipajtaj qhaway."
  Dis-moi tout simplement qu'elle ne t'aime pas !,¡Qanqa willaychu mana kuyasqaykita!
CYRANO (vivement):,CYRANO (maylla kawsayninpi):
  Tais-toi !,¡Sapaqqa!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ch'aqwa tiempomantapacha, Cristianos yaykurqa, wayqekunawan hukmanyakurqa, chaykunaqa"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"mana rimayta munaspaqa, chaymi sapa kuti hukninpi"
