Scène 2.VIII.,ⵜⵉⴼⵉⵏⴰⵖ 2.VIII.
  Et comme un lierre obscur qui circonvient un tronc,ⴷ ⴰⵎⵎ ⵓⵜⴰⵔⴰⵎ ⵏ ⵓⵍⵍⵍⴰⵍ ⵓⵍⵍⴰⵏ ⴰⵜⵓⴰⵍⴰⵍⴰⵍ ⵏ ⵓⵍⵍⵍⴰⵍ
"  Et s'en fait un tuteur en lui léchant l'écorce,",ⴰⵗⴰⵍⴰ ⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍⴰⴾⴰⵍ
  Grimper par ruse au lieu de s'élever par force ?,ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷ
"  Non, merci. Dédier, comme tous il le font,","ⵓⵔ ⴷⴰ ⵉⵜⵜⴰⵙⵙⴼⴽⴰ, ⵙ ⵉⵎⵎⵉⴾ ⵏⵏⴰ ⴷⴰ ⵉⵜⵜⴰⵙⵙⴼⴽⴰ ⴽⵓⵍⵍⵓ,"
  Des vers aux financiers ? se changer en bouffon,ⵙⴳ ⵉⵎⵔⵔ ⵉ ⵉⵎⵙⵜⴳⴳⴰⵔⵏ ⵏ ⵜⵥⵕⴼⵜ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ⵙ ⵜⵢⵎⵎⴰⵔⵜ ⵏ ⵓⵍⵍⴰⵍ ⴰⴷ ⵏⵢⵓⴰⵍⵉ, ⵙ ⵉⵙⵏⴼⴰⵔⵏ ⵏ ⵓⵎⴰⵡⵙⴰⵙ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ⴰⴷ ⵏⵓⴼⴰ ⴰⵙⵎⵓⵙ, ⵎⴰⵛⴰ, ⵎⴰⵙ ⵓⵔ ⵉⴳⵉ ⴰⵙⵎⵓⵙⵏⴰ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ⵓⵔ ⴷⴰ ⵜⵜⴰⵛⵉⵛⵛⵉ ⴽⵓ ⴰⵙⵙ ⵙ ⵢⴰⵏ ⵓⴷⵎ ⵏ ⵓⴷⵎ?
  Avoir un ventre usé par la marche ? une peau,ⴰⴷ ⵏⵉⵍⵉ ⵜⴰⵔⵓⵜ ⵏⴻⵖ ⵙ ⵓⵙⵙⴻⴼⵍⴻⵖ ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","ⵎⴰⵛⴰⵏ ⵉⴷⴷⵉⴾⵓⴷ ⵓⵉ ⴰⵋⵋⵓⵜⵏⵢⵏ, ⴷⴰⵗ ⴰⴾⴰⵍ ⵏ ⵉⴾⴰⵍⴰⵏ, ⴰⵈⵈⴰⵍⴰⵏ ⴰⴾⴰⵍ ⵏⴰⵙⴰⵏ?"
  Exécuter des tours de souplesse dorsale ?. . .,ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷ ⵙⴽⵔⵖ ⵜⵉⵙⵓⵜⴰⵍ ⵏ ⵓⵙⵙⴰⵢ ⵏ ⵡⴰⵍⵍⴰⵍ? . . .
"  Non, merci. D'une main flatter la chèvre au cou","ⵓⴰⵔ ⵏⵙⵙⴰⵂⴰⵜ, ⵙⴰⵂⴰⵜ, ⵙ ⵜⴰⵛⵉⴾⵉⵍⵜ ⵏⴰⵙⴰⵏ ⵉ ⵜⴰⵂⴰⴾⵉⵜ"
"  Cependant que, de l'autre, on arrose le chou,","ⵎⴰⵛⴰ ⴳ ⵡⴰⵏⵏⴰ ⵢⴰⴹⵏ, ⴰⵔ ⵜⵜⵓⵙⵙⴰⵏ ⵜⴰⴽⴰⵍⵓⵜ,"
"  Et, donneur de séné par désir de rhubarbe,",ⴷ ⵓⴰ ⵢⴰⴽⴽⴰ ⵉⵛⵉⴾⵉⵍⵏ ⵉ ⵓⵔⴰⵜ ⵏ ⵓⵛⵉⴾⵉⵍ
"  Avoir son encensoir, toujours, dans quelque barbe ?",ⴰⴷ ⵉⵍⵉ ⵜⴰⵣⵓⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰⵣⴰ
"  Non, merci ! Se pousser de giron en giron,","ⵓⴰⵔ ⵏⵙⵙⴰⵂⴰⵜ, ⴰⵂⴰⴾ, ⴰⵂⴰⴾ"
"  Devenir un petit grand homme dans un rond,",ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷ
"  Et naviguer, avec des madrigaux pour rames,",ⴷ ⵓⵙⵙⵉⵍⵖ ⵙ ⵜⴱⵍⵓⵜⵉⵏ ⵏ ⵓⴱⵔⵉⴷ
  Et dans ses voiles des soupirs de vieilles dames ?,"ⴷⵉⴼⵉⵔ ⵏ ⵜⵢⵍⵍⵍⵉⵜ ⵏⵏⵙ, ⴷⴰ ⵜⵜⵉⵏⵉⵏⵜ ⵜⵉⵙⵜⵉⵏ ⵏ ⵜⵎⵖⴰⵔⵉⵏ ⵜⵉⴷⵓⵙⴰⵏⵉⵏ?"
"  Non, merci ! Chez le bon éditeur de Sercy","ⵓⵔ ⵏⴰⵛⴰ, ⵙⴰⵂⴰ ⴰⵙⵉⴾⵉⵍ ⵏ ⵙⵉⵔⵙⵉ"
"  Faire éditer ses vers en payant ? Non, merci !",ⴰⴷ ⵏⵙⵙⴼⵔⴽ ⵉ ⵡⴰⵍⵍⴰⵍ ⵏⵏⵙ ⵙ ⵓⴷⴼⵍ?
  S'aller faire nommer pape par les conciles,ⴰⴷ ⵏⵉⴾⴰⵙⵙⴰ ⴰⵙⵉⴾⵏⴰⵏ ⵏ ⴱⴰⴱ ⵏ ⵡⴰⴷⴷⵓⵔ ⴷⴰⵗ ⴰⴾⴰⵍ
  Que dans des cabarets tiennent des imbéciles ?,ⵎⴰⴷ ⵉⵏⵜⴰ ⵉⵛⵛⵉⴾⵉⵍⵏ ⵏⴻⵜ ⴷⴰⵗ ⵉⴾⴰⵍⴰⵏ ⵏⴻⵜ?
"  Non, merci ! Travailler à se construire un nom","ⵓⵔ ⵏⴰⵛⴰⴾⴰⵍ, ⴰⵂⴰⴾⴰⵍ!"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ⴳ ⵢⴰⵏ ⵓⴱⵔⵉⴷ, ⵓⵍⴰⵙ ⴰⴷ ⵏⵙⴽⵔ ⵉⴹⵏⵉⵏ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ⵆⴰⵍⵍ-ⴰⴾⴰⵍ ⵏⴻⵜ ⵉⵋⵋⴰ ⴰⵓⵢⵏ?
"  Être terrorisé par de vagues gazettes,",ⴰⴷ ⵏⴻⵜⵜⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛⴰⵛ
"  Et se dire sans cesse: Oh, pourvu que je sois","ⴷ ⴰⵔ ⵜⵜⵉⵏⵉⵏⵉⵖ ⴷⴰⵖ: ""ⵢⵓ, ⵎⴽⵍⵍⵉⵖ"
  Dans les petits papiers du Mercure François ?. . .,ⴳ ⵉⴹⵕⵉⵚⵏ ⵉⵎⵥⵥⵢⴰⵏⵏ ⵏ ⴼⵔⴰⵏⵙⵉⵙ ⵎⵓⵔⴽⵓⵔ . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ⵓⵔ ⴷⴰ ⵜⵜⴰⵙⵙⵉⵖ, ⴷ ⴰⴷ ⵜⵜⵏⴰⵔⵓ, ⴷ ⴰⴷ ⵜⵜⵡⴰⵔⵓ,"
"  Aimer mieux faire une visite qu'un poème,",ⵆⴰⵍⴰⵍⴰ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵏⴰⵙⴰⵏ ⵓⴰⵔ ⵏ ⴰⴾⴰⵉⴰⴷ
"  Rédiger des placets, se faire présenter ?","ⴰⴷ ⵏⵙⵙⴽⵜⵉ ⵜⵉⴼⵉⵏⴰⵖ, ⴰⴷ ⵏⵙⵙⵓⴼⵖ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ⵓⴰⵔ ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ, ⵏⴰⵛⴰⴾ"
"  Rêver, rire, passer, être seul, être libre,",ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ⴰⴷ ⵏⴻⵜⵜⴰⴾⴰⵍ ⴰⴾⴰⵍ ⵏⴻⵜ, ⴰⴷ ⵏⴻⵜⵜⴰⴾⴰⵍ ⴰⴾⴰⵍ ⵏⴻⵜ,"
"  Mettre, quand il vous plaît, son feutre de travers,",ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷⴷ
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ, ⵉ ⵡⴰⵢⴰ!"
"  Travailler sans souci de gloire ou de fortune,",ⴰⴷ ⵏⵓⵔⵡⵉ ⵓⴰⵔ ⵏ ⵉⵔⵔⴰⵣⵏ ⵜⴰⴷⴰⵍⴰ ⵏⵖⴷ ⵜⴰⴷⵍⵙⴰ
"  A tel voyage, auquel on pense, dans la lune !",ⴰⴷⴷⵓⴱⴰⵜ ⴰⴷ ⵏⵙⵙⴼⵍⴷ ⴰⵎⵓⴷⴷⵓ ⴰⵎⵉ ⵏ ⵡⴰⵢⵢⵓⵔ!
"  N'écrire jamais rien qui de soi ne sortît,",ⵓⵔ ⵜⵔⵔⴰⵉ ⴽⵔⴰ ⵏ ⵜⵉⵔⵔⴰ ⵏⵏⴰ ⵓⵔ ⵜⵍⵍⵉ ⵙ ⵜⵓⴷⵔⵜ ⵏⵏⴻⵙ
"  Et modeste d'ailleurs, se dire: mon petit,","ⴷ ⵓⵍⴰ ⵙ ⵓⵢⴰ, ⵉⵔⵏⴰⵢ ⵉⵅⴼ ⵏⵏⵙ: ""ⵢⵓⴰ ⵓⵍⵍⵉ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ⴰⴾⴾⴰⵍ ⵏⴻⵜ ⴷⴻⵗ ⴾⴰⵔⴰⴷⴰⵏ ⴷⴻⵗ ⴾⴰⵔⴰⴷⴰⵏ
  Si c'est dans ton jardin à toi que tu les cueilles !,ⵎⴽⵍⵍⵉ ⵜⵙⵙⵓⵜⵍ ⵜⵢⵏⵏⴰ ⴳ ⵓⵖⴰⵔⴰⵣ ⵏⵏⴽ!
"  Puis, s'il advient d'un peu triompher, par hasard,",ⴰⵗ ⴾⴰⵍⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ ⵓⴰ ⵉⴷⴷⵉⴾⵓⴷ
"  Ne pas être obligé d'en rien rendre à César,",ⵓⵔ ⵜⵍⵍⵉⵖ ⴰⴷ ⵏⵙⵙⴼⴽ ⵉ ⵇⴰⵣⴰⵔ
