Scène 2.VIII.,S'iscuta 2.VIII.
"  Et s'en fait un tuteur en lui léchant l'écorce,","E si faghet unu tutore, li lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis lis"
  Grimper par ruse au lieu de s'élever par force ?,Iscàrcare cun tretu in logu de s'escalare cun fortza?
"  Non, merci. Dédier, comme tous il le font,","No, grazie. Dedicare, comente faghent totus,"
  Des vers aux financiers ? se changer en bouffon,Dae sos vermes a sos finantzieros?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In s'ispera de bìdere, in sa limba de unu ministru,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Natare unu sorrisu, a pustis totu, chi no est sinzeru?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, grazie. A pranzu, ogni die, unu crabbadu?"
  Avoir un ventre usé par la marche ? une peau,Tènnere unu ventre iscarpadu dae camminare?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Chi prus a prestu, in logu de sas genùe, si faghet su male?"
  Exécuter des tours de souplesse dorsale ?. . .,Funt giros de flexibilidade de sa rughe? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, grazie. Cun una manu faghere a sa cabra in su collu"
"  Cependant que, de l'autre, on arrose le chou,","Ma si, de s'àtera, si imbiat su cabu,"
"  Et, donneur de séné par désir de rhubarbe,","E chi pro su coro si faghet a iscarrigare,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Tènnere su incenzu suo, semper, in carchi barba?"
"  Non, merci ! Se pousser de giron en giron,","No, grazie! Isparghende·si dae unu a s'àteru,"
"  Devenir un petit grand homme dans un rond,","Diventende unu omine mannu minore in unu rundu,"
"  Et naviguer, avec des madrigaux pour rames,","E navigare, cun madrigos pro sos remos,"
  Et dans ses voiles des soupirs de vieilles dames ?,E in sos velos suos sos sos soschiros de sas mamas?
"  Non, merci ! Chez le bon éditeur de Sercy","No, grazie, a su editore de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- A fàghere editare sos versos suos pagende?
  S'aller faire nommer pape par les conciles,A andare a èssere nominadu papa dae sos cuncilios
  Que dans des cabarets tiennent des imbéciles ?,Chi in cabarets tenent idiotas?
"  Non, merci ! Travailler à se construire un nom",Traballare pro si fàghere unu nùmene
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","In unu sonnet, in logu de fàghere àteros?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Gratzias! iscobertire talentu solu in sas mazes?
"  Être terrorisé par de vagues gazettes,","Est istadu terrorizadu dae sos giornales ondados,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E si narat a si matessi: ""Oh, si deo siat"
  Dans les petits papiers du Mercure François ?. . .,In sos piticos documentos de su Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, grazie! Calculare, èssere timente, èssere malu,"
"  Aimer mieux faire une visite qu'un poème,","Amare prus a beru a visitare chi a unu poema,"
"  Rédiger des placets, se faire présenter ?","Iscriere iscritu, presentare?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, grazie! No, grazie! No, grazie! Ma... cantare,"
"  Rêver, rire, passer, être seul, être libre,","Ammentare, rider, passare, èssere solos, èssere lìberos,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Tènnere un'oghe chi at a bìdere bene, una vocale chi at a vibrare,"
"  Mettre, quand il vous plaît, son feutre de travers,","Pones, cando ti piaghes, su sentidu suo de male,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pro unu si, pro unu no, cumbattere, - o fàghere unu vermu!"
"  Travailler sans souci de gloire ou de fortune,","Traballare sena cherrer fama o fortza,"
"  A tel voyage, auquel on pense, dans la lune !","A unu biagiu chi pensamus, a sa luna!"
"  N'écrire jamais rien qui de soi ne sortît,","No iscriere mai nudda chi non benit dae s'essèntzia sua,"
"  Et modeste d'ailleurs, se dire: mon petit,","E modestu puru, si narat: ""Midu meu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Si si cuntentas de sos fiores, de sos frutos, fintzas de sas foghe,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Si est in su giardinu tuo chi los pigas!
"  Puis, s'il advient d'un peu triompher, par hasard,","E si si si faghet trionfare unu pagu, casualmente,"
"  Ne pas être obligé d'en rien rendre à César,","E non m'at a èssere obligadu a pagare a su Cesare,"
"  Vis-à-vis de soi-même en garder le mérite,","Pro su matessi contu, mantènnere su meritu,"
"  Bref, dédaignant d'être le lierre parasite,","Insomma, dispreende de èssere su lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Cando no semus su robbu o su tzellu,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No si podet andare meda in altu, ma solu!"
LE BRET:,Su BROT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Si siat solu, ma non contra a totus!"
  As-tu donc contracté la manie effroyable,T'as fatu tènnere sa mania terribile?
"  De te faire toujours, partout, des ennemis ?","A fàghere sempre, in totu sos logos, inimigos?"
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","Pro cantu t'at bidu faghere amigos,"
"  Et rire à ces amis dont vous avez des foules,","E ridere a custos amigos chi tenes multas,"
  D'une bouche empruntée au derrière des poules !,Cun una boca pronta a sos cocos!
"  J'aime raréfier sur mes pas les saluts,","A mie m'est agradadu a cumprendere in sos peus,"
  Et m'écrie avec joie: un ennemi de plus !,E mi cheret gritare cun gioia: un'ennemiu prus!
LE BRET:,Su BROT:
  Quelle aberration !,Custa aberratzione!
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Bene, si, est su meu viziu."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,A mi piaghere est andare a s'istadu. A mi piaghet chi mi odiant.
"  Mon cher, si tu savais comme l'on marche mieux","Cara, si saves comente caminaiat prus bene"
  Sous la pistolétade excitante des yeux !,In su cuntidu de sos ojos!
"  Comme, sur les pourpoints, font d'amusantes taches","Comente, in sos puntos, faghent mancas divertidas"
  Le fiel des envieux et la bave des lâches !,Sa ghia de sos invidiales e sa ghia de sos cobados!
"  --Vous, la molle amitié dont vous vous entourez,","- Tu, s'amigu male chi t'at inghiriadu,"
"  Ressemble à ces grands cols d'Italie, ajourés","S'est ammentadu a cussos colles mannos de Itàlia, postponados"
"  Et flottants, dans lesquels votre cou s'effémine:","E gallegos, in sos cales su collu tuo si frimmat:"
"  On y est plus à l'aise. . .et de moins haute mine,","Est prus a sa coa. ...e de minore altu,"
"  Car le front n'ayant pas de maintien ni de loi,","Ca su fronte non tenet sa regra e sa lege,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Si nd'at a fàghere a manera chi non si siat.
"  La Haine, chaque jour, me tuyaute et m'apprête","S'odio, ogni die, m'at ispiadu e m'at fatu"
  La fraise dont l'empois force à lever la tête;,Sa frantza chi su pozu faghet levare sa testa;
  Chaque ennemi de plus est un nouveau godron,Ogni nemigu nou est unu baroneddu nou
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",chi mi faghet pius male e pius male;
"  Car, pareille en tous points à la fraise espagnole,","Ca, comente in totu sas cosas a sa fresa ispagnola,"
"  La Haine est un carcan, mais c'est une auréole !","Sa Odi est unu carcan, ma est un'auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","Su BROT (a pustis de su silenziu, passende su brazu suta su suo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Faghe su orgoglioso in su coro e su male, ma in su coro bassu"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dias mi chi non t'ama!
CYRANO (vivement):,CYRANO (vivu):
  Tais-toi !,Ischidet su ziru!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(De unu momentu, Christian est intradu, s'est intradu in sos minores; custos"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,non li faeddant; a sa fine si fiat setzidu a sa sola a una
