Scène 2.VIII.,O ye kooba ye.
"  Et naviguer, avec des madrigaux pour rames,",O ka kurunba ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta kurunw ta.
  Et dans ses voiles des soupirs de vieilles dames ?,"A ka fani nunu kɔnɔ, kɔrɔmusow be ŋunuŋunu."
"  Non, merci ! Chez le bon éditeur de Sercy","Ayi, n' b'i fo, Sercy ka sɛbɛrikɛla ɲuman fɛ."
"  Faire éditer ses vers en payant ? Non, merci !",N'a sɔrɔ a tun ka di n' ye k'a ka sɛbɛw sɛbɛ n'a ka wari ye.
  S'aller faire nommer pape par les conciles,Ka taga kalifa ka kɛ pope ye
  Que dans des cabarets tiennent des imbéciles ?,Yala mɔgɔkolonw be to ka taga ni mɔgɔkolonw ye boonw kɔnɔ wa?
"  Non, merci ! Travailler à se construire un nom",N'a sɔrɔ i tun b'a fɛ ka tɔgɔba sɔrɔ.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","O la, an bena to ka to ka to ka to ka dɔnkili la."
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"N'i b'a fɛ ka mɔgɔ ka setigiya sɔrɔ, i ka kan ka to ka to ka baara kɛ n'o tigi ye."
"  Être terrorisé par de vagues gazettes,",Ka siranya bila mɔgɔ la sabu a be to ka kuma zurunaliw fɛ.
"  Et se dire sans cesse: Oh, pourvu que je sois","O kɔ, a b'a fɔ a yɛrɛ kɔnɔ ko: ""Ne kɔni, ne ka kan ka kɛ i ko ne yɛrɛ!"""
  Dans les petits papiers du Mercure François ?. . .,"""Mercure François"" ka sɛbɛw kɔnɔ . . ."
"  Non, merci ! Calculer, avoir peur, être blême,","N'a sɔrɔ i be se ka jatiminɛ kɛ, ka siran, ka kɛ mɔgɔ ye min be siran."
"  Aimer mieux faire une visite qu'un poème,",Ka taga bɔ mɔgɔ dɔ ye ka tɛmɛ ka taga bɔ dɔ ye ka taga dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka dɔ ye ka
"  Rédiger des placets, se faire présenter ?","Yala i be se ka sɛbɛ dɔw sɛbɛ, ka mɔgɔ dɔw weele ka na i yɛrɛ yira i la wa?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ayi, n'i ka dɔnkilila,"
"  Rêver, rire, passer, être seul, être libre,","I yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i yɛrɛko, i ko i yɛrɛko, i yɛrɛko, i ko i yɛrɛko, i ko i yɛrɛko, i ko i yɛrɛko, i ko mɔgɔ wɛrɛw."
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ni mɔgɔ k'a ɲa flɛ ka ɲa, ni mɔgɔ kumakan ka yɛrɛyɛrɛ,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ni a kɛra ko a b'a fɛ, a b'a yɛrɛ majigi."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ni mɔgɔ dɔ y'a fɔ ko ɔnhɔn, walima ayi, o tigi ka kan ka kɛlɛ kɛ, walima ka kɔnɔbara dɔ kɛ."
"  Travailler sans souci de gloire ou de fortune,",Aw kana aw yɛrɛ bonya wala ka wari ɲini.
"  A tel voyage, auquel on pense, dans la lune !",O ye tagama ye min ɲɔgɔn tɛ yen.
"  N'écrire jamais rien qui de soi ne sortît,",I kana foyi sɛbɛ min tɛ bɔ i yɛrɛ la.
"  Et modeste d'ailleurs, se dire: mon petit,","O kɔ, a b'a fɔ a yɛrɛ kɔnɔ ko: ""Ne dencɛ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Yala yiriw, yiridenw, hali yiriw yɛrɛ ka di a ye wa?"
  Si c'est dans ton jardin à toi que tu les cueilles !,"N'i b'a fɛ k'u tigɛ i ka nankɔ kɔnɔ, o tɛ barila ka ye."
"  Puis, s'il advient d'un peu triompher, par hasard,","O kɔ, ni a sera ka se sɔrɔ dɔɔnin dɔrɔn,"
"  Ne pas être obligé d'en rien rendre à César,","N'i b'a fɛ ka fɛɛn dɔ sara Ɔrɔmu masacɛ ye, i kana sɔn o ma."
"  Vis-à-vis de soi-même en garder le mérite,",I yɛrɛ ka kan ka kɛ o tigi ye.
"  Bref, dédaignant d'être le lierre parasite,","O kɔrɔ ko, n'a ma sɔn ka kɛ bagabaga ye,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Hali ni an tɛ yiriba ye, walama yiriba,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","N'a sɔrɔ i tɛna yɛlɛ sanfɛyɔrɔ la, nka i yɛrɛ lo!"
LE BRET:,O kɔrɔ ko:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","A be se ka kɛ i kelen na, nga a tɛ se ka kɛ mɔgɔ bɛɛ kama."
  As-tu donc contracté la manie effroyable,Yala i ye jatigɛjugu sɔrɔ wa?
"  De te faire toujours, partout, des ennemis ?",I juguw ka kan ka kɛ i juguw ye yɔrɔ bɛɛ wa?
CYRANO:,Sirano:
"  A force de vous voir vous faire des amis,",A y'a ye ko aw ye teri kuraw ye.
"  Et rire à ces amis dont vous avez des foules,","Aw ka yɛlɛ aw teriw ma,"
  D'une bouche empruntée au derrière des poules !,A tun ye n' daa di ka bɔ n' ka kokɔrɔw kɔ!
"  J'aime raréfier sur mes pas les saluts,",Ne b'a fɛ ka foli kɛ mɔgɔ si ye ne sen kɔrɔ.
  Et m'écrie avec joie: un ennemi de plus !,"A ye ne wele ni kanba ye, ko: ‹Ne jugu wɛrɛ!›"
LE BRET:,O kɔrɔ ko:
  Quelle aberration !,O ye tilenbaliyakoba ye dɛ!
CYRANO:,Sirano:
"  Eh bien, oui, c'est mon vice.",O ye ne ka jugu ye.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"N' ka di n ye ka taga, n' ka di n ye mɔgɔw k'a mɛn ko n' koo man di u ye."
"  Mon cher, si tu savais comme l'on marche mieux","Ne teri, ni i tun b'a lɔn ko an be tagama cogo min na,"
  Sous la pistolétade excitante des yeux !,O ye mɔgɔ kabakoya yɛrɛ le ye.
"  Comme, sur les pourpoints, font d'amusantes taches",I ko mɔgɔ minw be koo dɔw kɛ ka mɔgɔ ninsɔndiya
  Le fiel des envieux et la bave des lâches !,"Mɔgɔ minw b'u yɛrɛ boɲa, olu ka dimi be ban."
"  --Vous, la molle amitié dont vous vous entourez,","Aw minw ye aw yɛrɛ ta teriɲumanw ye,"
"  Ressemble à ces grands cols d'Italie, ajourés","A be i ko Itali jamana ka tɔnbaw, u be minw bila sira."
"  Et flottants, dans lesquels votre cou s'effémine:","ani kurunba minw b'i kan na, i kana siran ka o to yen."
"  On y est plus à l'aise. . .et de moins haute mine,","O la, an be se ka to ka to ka to ka miiri koɲuman."
"  Car le front n'ayant pas de maintien ni de loi,","Sabu mɔgɔ tɛ se ka mɔgɔ tɔgɔɲuman fɔ, sariya tɛ se ka mɔgɔ tɔgɔɲuman fɔ."
"  S'abandonne à pencher dans tous les sens. Mais moi,",A be to ka miiri koo bɛɛ la.
"  La Haine, chaque jour, me tuyaute et m'apprête","Fanga be ne kan lon o lon, ka ne tɔɔrɔ"
  La fraise dont l'empois force à lever la tête;,"O ye firiji le ye, a ka ɲimi bɛ a kun kɔrɔta."
  Chaque ennemi de plus est un nouveau godron,K'a sɔrɔ i juguw bɛɛ ye mɔgɔ wɛrɛw ye.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","A ka ne sɛgɛ, ka ne ɲanasisi,"
"  Car, pareille en tous points à la fraise espagnole,","Sabu cogo bɛɛ la, a be i n'a fɔ Sipaniya ka sumanw."
"  La Haine est un carcan, mais c'est une auréole !",K'a sɔrɔ a ye mɔgɔ dɔ ye min be mɔgɔw kɔninya.
"LE BRET (après un silence, passant son bras sous le sien):","A ye kuma ta k'a fɔ a ye ko: ""Ne ye ne ta Ala ye."
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","I yɛrɛbonyabagaw bonya, ka o dimi, nka i yɛrɛ majigi."
  Dis-moi tout simplement qu'elle ne t'aime pas !,A fɔ n ye dɔrɔn ko a tɛ i kanu!
CYRANO (vivement):,CYRANO (min be sii la):
  Tais-toi !,I kana kuma!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Kɔlɔsi dɔɔni, Christian donna, a donna kanbelew ni sunguruw cɛma."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"u ma kuma a fɛ, a tagara sigi a kelen kelen kelen bɛɛ kɔrɔ"
