Scène 2.VIII.,Adeemsa 2.VIII.
  Grimper par ruse au lieu de s'élever par force ?,"Humna guddaa utuu hin qabaatin, karaa gowwoomsaa ol ka'uu?"
"  Non, merci. Dédier, comme tous il le font,","Akka namoota kaanitti,"
  Des vers aux financiers ? se changer en bouffon,Dhukkubni Finfinnee Dhukkubni Finfinnee Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni Dhukkubni
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Abdii gadhee, afaan ministiraa tokkootiin,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Mee gammachuun kee akka dhalatu godhi.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Guyyaa guyyaadhaan nyaata gosa gaggaarii nyaachuu?
  Avoir un ventre usé par la marche ? une peau,"Sababaan saalaa dhabuu, saalaa dhabuu"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Namni yeroo hunda saffisaan jilbeenfaatti aarsee?
  Exécuter des tours de souplesse dorsale ?. . .,Daandii garaagaraatti fayyadamuu? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Lakki, galatoomi."
"  Cependant que, de l'autre, on arrose le chou,","Haata'u malee, namni tokko qamota kaanitti bishaan dhangalaasuudhaan,"
"  Et, donneur de séné par désir de rhubarbe,","""Namni namaaf namaaf namaaf nama ta'u, namaaf namaaf nama ta'u, namaaf nama nama ta'u."
"  Avoir son encensoir, toujours, dans quelque barbe ?",Yeroo hunda ixaana isaa ija isaa keessa qabaachuun?
"  Non, merci ! Se pousser de giron en giron,",Hin galatoominaa!
"  Devenir un petit grand homme dans un rond,","Nama guddaa xinnoo ta'ee,"
"  Et naviguer, avec des madrigaux pour rames,",Daandii qilleensaas daandii qilleensaas ni deema.
  Et dans ses voiles des soupirs de vieilles dames ?,Yaada dubartoota maanguddootaaf qabdan ilaalchisee hoo maal jechuutu dandaʼama?
"  Non, merci ! Chez le bon éditeur de Sercy","Lakki, galatoomi!"
"  Faire éditer ses vers en payant ? Non, merci !",Qilleensa isaa kaffaltii kaffaltiin akka barreeffamu gochuu?
  S'aller faire nommer pape par les conciles,Walgaʼiiwwan Mana Maree Mana Kiristaanaa Keessatti Kabajamuu
  Que dans des cabarets tiennent des imbéciles ?,Namoonni gowwoomsan mana jireenyaa keessatti akka jiraatan?
"  Non, merci ! Travailler à se construire un nom",Maqaa ofiif ijaaruuf hojjechuu
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Sagaleewwan kaan utuu hin ta'in, sagaleewwan kaan irratti?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Gaarummaa kan argatu mana dachaa keessatti qofa dhaa?
"  Être terrorisé par de vagues gazettes,","Gaazexeessitoota sodaa qabanitti sodaachuun,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Yeroo hunda, ""Ani yoo ta'e"
  Dans les petits papiers du Mercure François ?. . .,Barreeffamoota Maartiin Merkii Fooransis keessatti argaman keessatti? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Hin galatoominaa, yaadaa, sodaachuu,"
"  Aimer mieux faire une visite qu'un poème,","Seenaa caalu caalaa daawwachuu jaallachuu,"
"  Rédiger des placets, se faire présenter ?","Barreeffamoota barreessuu, of beeksisuu?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Hin galatoomi, hin galatoomi, hin galatoomi, hin galatoomi, garuu..."
"  Rêver, rire, passer, être seul, être libre,","Abjuu, qoosuu, darbuu, kophaa ta'uu, bilisa ta'uu,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ija gaarii fi sagalee gaarii qabaachuun,"
"  Mettre, quand il vous plaît, son feutre de travers,","Yeroo barbaaddu miira isaa sirreessuu,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Eeyyee, hin taaneef wal loluun, - ykn nama tokkoof falmuun!"
"  Travailler sans souci de gloire ou de fortune,","Ulfina ykn qabeenyaaf hin yaadin hojjechuu,"
"  A tel voyage, auquel on pense, dans la lune !",Adeemsa ji'aarratti yaaduu dandeessan akkasii!
"  N'écrire jamais rien qui de soi ne sortît,",Wanta ofii keetii hin baane barreessuu hin qabdu.
"  Et modeste d'ailleurs, se dire: mon petit,","""Yaa ilma kooti,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Buluu, midhaan, akkasumas daabboo ta'e,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kana kan gootu mana kee keessatti yoo ta'e!
"  Puis, s'il advient d'un peu triompher, par hasard,","Achiis yoo ta'e, yoo ta'e,"
"  Ne pas être obligé d'en rien rendre à César,","""Akkuma hin ta'in, aangoo mootii mootii bulchaafi warra warra warra kaaniifis kennuun dirqama miti."
"  Vis-à-vis de soi-même en garder le mérite,","Nama ofitti amanamtuu ta'eefi nama ofitti amanamtuu ta'ee jiraachuuf,"
"  Bref, dédaignant d'être le lierre parasite,","Kana jechuun, nama lubbuu namaa balleessu ta'uu isaa waan tuffatuuf,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Yommuu nuti muka mukaa ykn mukaa hin taane,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Yoo ta'e, ol ol ol hin baatu ta'a, garuu kophaa isaa!"
LE BRET:,DHAGGAA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Tokko ta'uu danda'a, garuu namoota hunda irratti miti."
  As-tu donc contracté la manie effroyable,Ati nama sodaachisaa ta'e qabdee ree?
"  De te faire toujours, partout, des ennemis ?",Yeroo hunda bakka hundatti diina of godhachuu?
CYRANO:,Siranoon:
"  A force de vous voir vous faire des amis,","Michoota akka taatan arguudhaan,"
"  Et rire à ces amis dont vous avez des foules,","Michoota hedduu qabdan kana ga'ee keessanitti qoosuudhaan,"
  D'une bouche empruntée au derrière des poules !,"Dubbiin kun afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u, kunimmoo afaan kana keessaa kan fudhatame si'a ta'u."
"  J'aime raréfier sur mes pas les saluts,","""Ani yeroo miilla koo irra ga'u nagaa dhaabuun barbaada."
  Et m'écrie avec joie: un ennemi de plus !,"""Namni diina koo isa tokko illee jira"" jedhee na cimsuu danda'a."
LE BRET:,DHAGGAA:
  Quelle aberration !,Kun baayʼee nama gaddisiisa.
CYRANO:,Siranoon:
"  Eh bien, oui, c'est mon vice.","Eeyyee, kun immoo gocha koo ti."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Namni tokko akka na jibbu waan natti dhaga'amuuf, na gammachiisa."
"  Mon cher, si tu savais comme l'on marche mieux","Jaalala kootiif, akkamitti akka adeemtu yoo beektan"
  Sous la pistolétade excitante des yeux !,Jaalala guddaa ija keetiin ilaaluudhaan!
"  Comme, sur les pourpoints, font d'amusantes taches","Akkaataa itti nama gammachiisu,"
  Le fiel des envieux et la bave des lâches !,"""Gaaffii nama hinaaffaa fi gaddaan nama sodaachisaa dha!"
"  --Vous, la molle amitié dont vous vous entourez,","- Ati, michooma gaarii keessa jirtu,"
"  Ressemble à ces grands cols d'Italie, ajourés","Akka warra Xaaliyaanii warra gurguddaa ta'anitti,"
"  Et flottants, dans lesquels votre cou s'effémine:","""Isaan keessa dargaggeessi keessan itti dhangala'u,"
"  On y est plus à l'aise. . .et de moins haute mine,",Kana gochuun keenya caalaatti nu gammachiisa.
"  Car le front n'ayant pas de maintien ni de loi,","Dhugaadha, namni tokko akkaataa itti itti wal qixxaatu ykn seeraa hin qabne waan ta'eef,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Karaa hundatti ol ka'uu dhiisuu danda'a.
"  La Haine, chaque jour, me tuyaute et m'apprête",Guyyaa guyyaan Jibbiin na tuquun na dhiphisa
  La fraise dont l'empois force à lever la tête;,"""Qamsaa isa boolla isaa ol kaasuuf dirqisiisu,"
  Chaque ennemi de plus est un nouveau godron,"Diinni dabalataa hundumtuu, nama haaraa dha"
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Inni na dhiphisuu fi na miidhuu dabalaa adeema.
"  Car, pareille en tous points à la fraise espagnole,","Akkuma faayidaa Ispeen,"
"  La Haine est un carcan, mais c'est une auréole !","Jibbuun nama nama hin beekne ta'us, nama nama hin beekne ta'us, nama hin beekne ta'a."
"LE BRET (après un silence, passant son bras sous le sien):","HINNYAAN (Akkuma callisee booda, harka isaa jala darbuu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Namni of tuuluu fi nama aarsee, gad bu'uus."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Isheen akka si hin jaallanne natti himi!
CYRANO (vivement):,CYRANO (Jireenyaan jiraataa):
  Tais-toi !,Fudhatti!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Yeroo tokko booda, Kiristaan gara manaatti gale, dargaggoota kana waliin wal qoode;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,dubbii isaa hin himne; dhuma irratti kophaa isaa
