Scène 2.VIII.,Scena 2.VIII.
"  Non, merci ! Se pousser de giron en giron,","No, grazie! A cresce da un pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n pe 'n"
"  Devenir un petit grand homme dans un rond,","Véiva un òmmo grànto pe 'n girón,"
"  Et naviguer, avec des madrigaux pour rames,","E che se navigan co-e madrighe da-e remme,"
  Et dans ses voiles des soupirs de vieilles dames ?,E inte sti veloî de seu o soprito de veugge?
"  Non, merci ! Chez le bon éditeur de Sercy","No, grazie, o l'é o giusto editô de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Pe fâse curâ i vers pe pagâ?
  S'aller faire nommer pape par les conciles,A-o Concilio de Roma a l'é stæta nominâ Papa
  Que dans des cabarets tiennent des imbéciles ?,Che in quarche cabaretto gh'é un pö de scimbolî?
"  Non, merci ! Travailler à se construire un nom","No, grazie, travaggiâ pe fâse un nomme"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Pe un sonnetto, invece de fâ di atri?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ti ti ti veu dî che ti gh'æ de talento solo in sciâ mazze?
"  Être terrorisé par de vagues gazettes,","Pe-o terrorismo da-e giornæ vaghe,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E dixe sempre: ""Oh, se son stæto"
  Dans les petits papiers du Mercure François ?. . .,In sciâ carta de Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, grazie! Calcolar, scæ, scæ,"
"  Aimer mieux faire une visite qu'un poème,","A-a mæxima a l'é de fâ un visto che unna poesia,"
"  Rédiger des placets, se faire présenter ?","A fâse di scriti, a fâse presentâ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, grazie, no, grazie, no, grazie, ma... cantâ,"
"  Rêver, rire, passer, être seul, être libre,","Sonâ, ridi, passâ, stâ solo, stâ lì,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Pe vedde con l'œu, pe vedde con l'audito, pe vedde con a voxe,"
"  Mettre, quand il vous plaît, son feutre de travers,","Pòrta, quande ti veu, a seu sensaçion de travaggio,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pe un sì, pe un no, combattî, - ò fâ un vermo!"
"  Travailler sans souci de gloire ou de fortune,","O travaggio no l'é stæto pe-a glöia e pe-a ricchezza,"
"  A tel voyage, auquel on pense, dans la lune !","A l'é un viaggio che se pensa, pe-a lune!"
"  N'écrire jamais rien qui de soi ne sortît,","No scrivi mai quarcösa che no saiæ da ti,"
"  Et modeste d'ailleurs, se dire: mon petit,","E pe-o resto, modesto, se dixe: ""O mio piccin,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Se ti tiæ de fiöi, de frutti, de lêze,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se ti ghe piggi in-o teu giardin!
"  Puis, s'il advient d'un peu triompher, par hasard,","E se o se spende un pö, o se spende,"
"  Ne pas être obligé d'en rien rendre à César,","Pe no ti ti ti metti à pagâ à l'imperatô,"
"  Vis-à-vis de soi-même en garder le mérite,","Pe-a seu persoña, tegnî o merito,"
"  Bref, dédaignant d'être le lierre parasite,","Pe dî tutto, scinn-a de l'essere a lierre parasita,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Anche se no ti sei o l'arbre o l'é o l'arbre de l'arbre,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No ascì ben, forse, ma solo!"
LE BRET:,O BREAT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Se o l'é solo, ma no contra tutti."
  As-tu donc contracté la manie effroyable,Ti ti ti t'æ fæto a mania terribile?
"  De te faire toujours, partout, des ennemis ?","Pe fâse sempre, in sciâ çitæ, nemixi?"
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","Pe vedde che ti tiæ amixi,"
"  Et rire à ces amis dont vous avez des foules,","E ridiâ a-i teu amixi che ti gh'æ de gente,"
  D'une bouche empruntée au derrière des poules !,D'un becco piggiou pe-i bagnetti!
"  J'aime raréfier sur mes pas les saluts,",Mi me piaxe de fâ de grànde e de grànde e de grànde.
  Et m'écrie avec joie: un ennemi de plus !,E o me grida con gioia: Un nemigo ciù!
LE BRET:,O BREAT:
  Quelle aberration !,Quélla aberraçion!
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Ben, sì, o l'é o mæ vixon."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"A-a mæ piaxe a l'é de spàre, e mi me piaxe che mi me vedde."
"  Mon cher, si tu savais comme l'on marche mieux","Zeneize, se ti saiéiva comme se camminava ciù ben"
  Sous la pistolétade excitante des yeux !,Sotto l'excitante fuscia de l'occhi!
"  Comme, sur les pourpoints, font d'amusantes taches","Comme, pe-i pontæ, fa de pæge pæge"
  Le fiel des envieux et la bave des lâches !,A gêxa di invidæ e a gêxa di coæ!
"  --Vous, la molle amitié dont vous vous entourez,","-Ti, l'amiciña do teu amô,"
"  Ressemble à ces grands cols d'Italie, ajourés","A l'é comme sti gran colli d'Italia, poscibilitæ"
"  Et flottants, dans lesquels votre cou s'effémine:","E sciortî, che ti ghe tiæ in sciô coæ:"
"  On y est plus à l'aise. . .et de moins haute mine,","E pe-o resto, o l'é ciù conforteuxo."
"  Car le front n'ayant pas de maintien ni de loi,","Pe-o fronte, che no gh'é ninte e no gh'é ninte,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",O se dà a-a scinn-a pe tutte e direçioin.
"  La Haine, chaque jour, me tuyaute et m'apprête","O odio, ogni giorno, o m'à fæto pe-o mâ e o m'à fæto pe-o mâ"
  La fraise dont l'empois force à lever la tête;,A fræa ch'a l'é inpossâ da-a testa;
  Chaque ennemi de plus est un nouveau godron,Quarchedun nemigo ciù o l'é un neuvo baron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","E ch'o m'à fæto ciù de un pittin, e ch'o m'à fæto ciù de un pittin."
"  Car, pareille en tous points à la fraise espagnole,","Pe' che, comme in tutti i punti a fræa spagnòlla,"
"  La Haine est un carcan, mais c'est une auréole !","O odio o l'é un carcan, ma o l'é un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","O BREAT (dòppo un silenzio, passando o braççio sott'o seu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Fâ o lûsto e o l'é amaro, ma o l'é scurdâ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Di-me solo che a no ti amiâ!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,"Zitto, sciù!"
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Dòppo un momento, Christian o l'é introu, o l'à mesciou-se con i zeneixi; quelli"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,no ghe parlâvan; o l'é finîo de sentîse solo pe un
