Scène 2.VIII.,Scéim 2.VIII.
"  Non, merci ! Se pousser de giron en giron,","Ní raibh maith agat, a chur ar aghaidh go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go dtí go"
"  Devenir un petit grand homme dans un rond,","A bheith ina dhuine beag mór i gcruinne,"
"  Et naviguer, avec des madrigaux pour rames,","Agus a shiúl, le madrigals do ramh,"
  Et dans ses voiles des soupirs de vieilles dames ?,Agus i dtráillí a bhfuil sean-chráinneacha ag caoineadh?
"  Non, merci ! Chez le bon éditeur de Sercy","Ní raibh maith agat, ag an t-airgeadóir ceart de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",An bhfuil sé ar a gcuid fíoraí a eagrú trí íoc?
  S'aller faire nommer pape par les conciles,Ag Dul Chun A bheith Ainmníithe ag na Comhairleacha
  Que dans des cabarets tiennent des imbéciles ?,Go bhfuil daoine fágtha i gcúiseanna?
"  Non, merci ! Travailler à se construire un nom","Ní raibh maith agat, ag obair chun ainm a thógáil"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ar sonnet amháin, seachas a dhéanamh ar a lán eile?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Go raibh maith agat, ach an bhfuil a fhios agat go bhfuil talent ann ach i dtráchtáin?"
"  Être terrorisé par de vagues gazettes,","A bheith i gcúram ag na nuachtáin,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Agus ag rá go minic: ""Ó, má tá mé"
  Dans les petits papiers du Mercure François ?. . .,I dtrápaí beaga an Mhercúr Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ní raibh maith agat, táim ag déanamh na háimheacha, ag eagla, ag bheith brón,"
"  Aimer mieux faire une visite qu'un poème,","Is fearr leat cuairt a thabhairt ná bpoim,"
"  Rédiger des placets, se faire présenter ?","A scríobh le haghaidh a gcuid plátaí, a chur féin?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ní, go raibh maith agat!"
"  Rêver, rire, passer, être seul, être libre,","Ag aisling, ag gáire, ag dul thar, ag bheith aonar, ag a bheith saor,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","A bheith ag súil go maith, a bheith ag guth a bheith ag titim,"
"  Mettre, quand il vous plaît, son feutre de travers,","Cuir, nuair is mian leat, a mothú mícheart,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Chun a bhfuil sí, le haghaidh nach bhfuil, troid, - nó a dhéanamh a worm!"
"  Travailler sans souci de gloire ou de fortune,","Ag obair gan cúram le haghaidh cáirde nó le haghaidh saibhreas,"
"  A tel voyage, auquel on pense, dans la lune !","Ar turas den sórt sin, a cheapann tú, go dtí an ghealach!"
"  N'écrire jamais rien qui de soi ne sortît,","Ná scríobh riamh rud ar bith nach dtagann amach as féin,"
"  Et modeste d'ailleurs, se dire: mon petit,","Agus is modest é, ag rá leis féin, 'Mo leanbh,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Is é an t-amhrán atá ann, nó an t-amhrán atá ann, nó an t-amhrán atá ann,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Má tá tú ag caitheamh iad i do ghairdín féin!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ansin, má thosaíonn sé beagán, ar a laghad,"
"  Ne pas être obligé d'en rien rendre à César,","Ní gá duit aon rud a thabhairt do Caesar,"
"  Vis-à-vis de soi-même en garder le mérite,","I gcoinne féin a choinneáil ar an mearbhall,"
"  Bref, dédaignant d'être le lierre parasite,","Go gairid, ag diúltú a bheith ar an lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Cé nach bhfuil tú an oak nó an t-iarrainn,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ní féidir leat dul go dtí an áit is airde, ach ar do shon féin!"
LE BRET:,An BREAT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Mar sin féin, ach ní i gcoinne gach duine."
  As-tu donc contracté la manie effroyable,An bhfuil tú ag glacadh an mania an-mhaith
"  De te faire toujours, partout, des ennemis ?","A dhéanamh leat féin i gcónaí, i ngach áit, naimhde?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ag féachaint ort ag cairde a dhéanamh,"
"  Et rire à ces amis dont vous avez des foules,","Agus gáire a dhéanamh ar na cairde sin a bhfuil slua agat,"
  D'une bouche empruntée au derrière des poules !,Le béal a fháil ar ais ó na n-eaglaí!
"  J'aime raréfier sur mes pas les saluts,","Is maith liom cur cur fáilte ar mo chosa,"
  Et m'écrie avec joie: un ennemi de plus !,Agus glaochas mé go h-oibhneas: fear eile!
LE BRET:,An BREAT:
  Quelle aberration !,"Ach, an-deas!"
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Bhuel, is é sin mo bhrionglóid."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Is maith liom dul ar shiúl, is maith liom nuair a bhíonn daoine ag fuath orm."
"  Mon cher, si tu savais comme l'on marche mieux","A ghrá, dá mbeadh a fhios agat conas a théann tú níos fearr"
  Sous la pistolétade excitante des yeux !,Faoi an ghnéas ar an gléas!
"  Comme, sur les pourpoints, font d'amusantes taches",Mar a dhéanann siad stainese spraoi ar na pointeanna
  Le fiel des envieux et la bave des lâches !,An gall de na h-ionghill agus an fál de na coga!
"  --Vous, la molle amitié dont vous vous entourez,","-A tú, an cairde milis a bhfuil tú timpeall air,"
"  Ressemble à ces grands cols d'Italie, ajourés","Tá sé cosúil leis na cols mór san Iodáil, a chur ar ais"
"  Et flottants, dans lesquels votre cou s'effémine:","Agus ag tarlú, ina bhfuil do chúl a scoth:"
"  On y est plus à l'aise. . .et de moins haute mine,","Tá sé níos compordaí againn. . . agus níos lú airde,"
"  Car le front n'ayant pas de maintien ni de loi,","Mar gheall ar an bhrón nach bhfuil aon choimeádán nó dlí ann,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Tá sé ag cur síos ar gach taobh.
"  La Haine, chaque jour, me tuyaute et m'apprête",Tá an fuath ag cur isteach orm gach lá agus ag cur isteach orm
  La fraise dont l'empois force à lever la tête;,An strawberry a bhfuil an poison ag cur a cheann suas;
  Chaque ennemi de plus est un nouveau godron,Gach naimhde eile is éard atá i gceist le fear nua
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","A chuireann slán orm, agus a chuireann slán orm,"
"  Car, pareille en tous points à la fraise espagnole,","Mar, mar atá sa straise Spáinnis i ngach gné,"
"  La Haine est un carcan, mais c'est une auréole !","Tá an Cinnte mar charn, ach is é an auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE Breat (i ndiaidh a bheith ciúin, ag dul a lámh faoi a chuid):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Déan an t-uathúil a bheith ard agus a bheith amar, ach, go huile, go huile."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Deir dom go díreach nach bhfuil sí i do ghrá!
CYRANO (vivement):,CYRANO (tá cónaí):
  Tais-toi !,Shut up!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Tógann Christian isteach, ag bogadh isteach i measc na cailíní;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,Ní raibh aon focal acu leis; bhí sé ina suí ina n-aonar le chéile
