Scène 2.VIII.,Сцена 2.VIII.
  Dans les petits papiers du Mercure François ?. . .,У малим документима Меркура Франциска? ...
"  Non, merci ! Calculer, avoir peur, être blême,","Не, хвала, рачунајте, боите се, будите пламени,"
"  Aimer mieux faire une visite qu'un poème,",Боље је да се посетиш него да се поесиш.
"  Rédiger des placets, se faire présenter ?","Да ли сам написао плацетове, да сам се представио?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Не, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, хвала, х"
"  Rêver, rire, passer, être seul, être libre,","Сањати, смејати, проћи, бити сам, бити слободан,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Да је око добро гледало, глас је трепео,"
"  Mettre, quand il vous plaît, son feutre de travers,","Да се, када желите, своје осећај претера,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","За да, за не, да се борим, или да се радим црвима!"
"  Travailler sans souci de gloire ou de fortune,","Да не радимо за славу или богатство,"
"  A tel voyage, auquel on pense, dans la lune !","На тако путовање, на које се мисли, на месечину!"
"  N'écrire jamais rien qui de soi ne sortît,","Никада не пишеш ништа што не долази из себе,"
"  Et modeste d'ailleurs, se dire: mon petit,","И скромно, каже: ""Мало,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Да ли је задовољан цвећем, плодом, чак и листима,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ако је у твом граду да их извучиш!
"  Puis, s'il advient d'un peu triompher, par hasard,","А ако се деси да мало победи, случајно,"
"  Ne pas être obligé d'en rien rendre à César,",И не мораш да платиш цару.
"  Vis-à-vis de soi-même en garder le mérite,","За себе да се држи заслуге,"
"  Bref, dédaignant d'être le lierre parasite,","Укратко, одбацујући се да сам паразитни лире,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Чак и ако нисмо оек или лиле,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Не би требало да се креће далеко, али сам!"
LE BRET:,БРЕТ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Само, али не и против свих."
  As-tu donc contracté la manie effroyable,Да ли си се јавио страшно маније?
"  De te faire toujours, partout, des ennemis ?","Да се увек, свуда, чиниш непријатеље?"
CYRANO:,Сирано:
"  A force de vous voir vous faire des amis,",И то због тога што сте се дружили.
"  Et rire à ces amis dont vous avez des foules,","И се смеју тим пријатељима које имате у толпи,"
  D'une bouche empruntée au derrière des poules !,Уши које су позајене за курице!
"  J'aime raréfier sur mes pas les saluts,","Волим да у својим стопама режу ""здраво""."
  Et m'écrie avec joie: un ennemi de plus !,И виче ми радости: још непријатељ!
LE BRET:,БРЕТ:
  Quelle aberration !,Шта је оваква аберација?
CYRANO:,Сирано:
"  Eh bien, oui, c'est mon vice.","Па, да, то је моја вик."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Уживао сам да се одвуку, јер ми се свиђа да ме мрзе."
"  Mon cher, si tu savais comme l'on marche mieux","Драги мој, ако би знао како се боље хода"
  Sous la pistolétade excitante des yeux !,Под узбудљивом старом погледом!
"  Comme, sur les pourpoints, font d'amusantes taches","Како, на порекла, праве забавне мрље"
  Le fiel des envieux et la bave des lâches !,Глода од љубоморнаца и луда од кукаваца!
"  --Vous, la molle amitié dont vous vous entourez,","Ти, мила пријатељство које окружујеш,"
"  Ressemble à ces grands cols d'Italie, ajourés","Изгледа као да су те велике Италијске коцке, одложен"
"  Et flottants, dans lesquels votre cou s'effémine:","И пливачи, у којима се у тебе угло испуњава:"
"  On y est plus à l'aise. . .et de moins haute mine,","У томе је више удобности. ...и мање високе,"
"  Car le front n'ayant pas de maintien ni de loi,","Јер челото нема правила и закона,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Престаје да се наклони у све стране.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ненавид ме свакодневно пука и спрема
  La fraise dont l'empois force à lever la tête;,Страва која је отровна и која га је присиlila да подигне главу;
  Chaque ennemi de plus est un nouveau godron,Сваки још непријатељ је нови бодрон.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Он ми додаје недугу и све више плаше.
"  Car, pareille en tous points à la fraise espagnole,","Јер, као што је у сваком погледу у шпанској фражи,"
"  La Haine est un carcan, mais c'est une auréole !","Ненавид је крска, али је авреола!"
"LE BRET (après un silence, passant son bras sous le sien):","БРЕТ (после ћутања, прелази своју руку испод своје):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Достави се горде и горде, али понизи се"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Само ми реци да те не воли!
CYRANO (vivement):,ЦИРАНО (живо):
  Tais-toi !,Умолчи!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Од тренутка, Кристијан је ушао, помешао се са млађеним; они су"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Не говори са њим, он је на крају седео сам са"
