Scène 2.VIII.,སྐོར་ཐེངས་གཉིས་པ། བརྒྱད་པ།
"  Qu'assassiner toujours la chance passagère,",རྒྱུན་དུ་བསད་པ་དང་འཕྲལ་དུ་བསད་པ་
  Devient exagéré.,ཧ་ཅང་ཆག་པོ་འདུག
CYRANO:,ཛི་རན་:
"  Hé bien oui, j'exagère !",འོ་ན་ངས་ཧ་ཅང་མང་པོ་འདུག
LE BRET (triomphant):,བཀྲ་མ་སྤེལ་མཁན།
  Ah !,ཨ་ཧ!
CYRANO:,ཛི་རན་:
"  Mais pour le principe, et pour l'exemple aussi,",འོན་ཀྱང་གཞི་རྩ་དང་དཔེ་མཚོན་གཉིས་ཀ་
  Je trouve qu'il est bon d'exagérer ainsi.,ངས་བསམ་བློར་ཧ་ཅང་མང་པོ་བསྐྱེད་ན་ལེགས་པ་རེད་བསམ་གྱི་ཡོད།
LE BRET:,རྒྱང་ཚད།
"  Si tu laissais un peu ton âme mousquetaire,",ཁྱོད་ཀྱིས་རང་གི་སེམས་ཉིད་ལ་ཉམས་ཆུང་བྱེད་དུ་འཇུག་པ་ཡིན་ན།
  La fortune et la gloire. . .,རྒྱུ་ནོར་དང་སྙན་གྲགས་བཅས་ཀྱི་སྐོར་ལ་
CYRANO:,ཛི་རན་:
  Et que faudrait-il faire ?,དེས་ན་ང་ཚོས་ཅི་བྱེད་དགོས་སམ།
"  Chercher un protecteur puissant, prendre un patron,",སྟོབས་ཤུགས་ཅན་གྱི་སྲུང་སྐྱོབ་འཚོལ་བ། སྦྱིན་བདག་འཚོལ་བ།
  Et comme un lierre obscur qui circonvient un tronc,སྦལ་གྱི་མེ་ཏོག་ལྟ་བུ་ཞིག་ཡིན།
"  Et s'en fait un tuteur en lui léchant l'écorce,",ཁོ་ཡི་ཤ་ནི་བལ་གྱི་ཚིལ་ལུ་བཟོས།
  Grimper par ruse au lieu de s'élever par force ?,ཤུགས་ཀྱིས་ཡར་འགྲོ་བ་ལས་ཐབས་ཤེས་ཤིག་གམ།
"  Non, merci. Dédier, comme tous il le font,",མ་ཡིན། ཐུགས་རྗེ་ཆེ། རང་མོས་ཀྱི་བྱ་དགའ་དེ་གཞན་ཚོས་ཀྱང་ཐོབ་པ་ལྟར་ཡིན།
  Des vers aux financiers ? se changer en bouffon,དངུལ་རྩིས་བློན་པོ་ལས་གླེན་པ་ཏུ་འགྱུར་རམ།
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",བློན་ཆེན་ཞིག་གི་ཞལ་ནས་ཞལ་གཟིགས་ཤིག་ཐོབ་པའི་རེ་བ་སྐྱོ་པོ་ཡོད།
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",ཤིན་ཏུ་འཇིགས་སུ་རུང་བ་ཞིག་མ་ཡིན།
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ཐུགས་རྗེ་ཆེ། ཉིན་རེར་ཤ་ཁོག་ཟ་རྒྱུ་ཡིན་ནམ།
  Avoir un ventre usé par la marche ? une peau,འགྲོ་ལམ་གྱི་སྐབས་སུ་གཟུགས་པོ་སྐམ་ནས་ལུས་པགས་པར་བྱེད།
"  Qui plus vite, à l'endroit des genoux, devient sale ?",སྐྱེ་བོ་ཞིག་ནི་མགྱོགས་པོར་གྲིབ་ཅན་དུ་འགྱུར་བ་དང་། ཁོ་ནི་མོའི་པུས་མོ་ལ་རེག་པ་ལྟ་བུ་ཡིན།
  Exécuter des tours de souplesse dorsale ?. . .,རྒྱབ་སྐྱོར་གྱི་ནུས་པ་འགོག་པའི་འཁོར་ལོའམ།
"  Non, merci. D'une main flatter la chèvre au cou",ཤོག་ཅིག་གིས་ར་ལ་མཛེས་སྡུག་གཏོང་།
"  Cependant que, de l'autre, on arrose le chou,",འོན་ཀྱང་གཞན་གྱི་སྟེང་ནས་སྣུམ་བླུགས་ནས་
"  Et, donneur de séné par désir de rhubarbe,",འདོད་ཆགས་ཀྱིས་སྐེ་མོ་རྒྱབ་པ་དང་།
"  Avoir son encensoir, toujours, dans quelque barbe ?",ཁོ་ཡི་སྤོས་མེ་ལྕེ་ནི་ཨ་རྟག་རང་ར་བ་ཞིག་གི་ནང་དུ་ཡོད་དམ་ཞེས་དྲིས་པས།
"  Non, merci ! Se pousser de giron en giron,",མ་ཡིན། ཐུགས་རྗེ་ཆེ། ཕྱོགས་གཅིག་ནས་ཕྱོགས་གཞན་དུ་ཡར་རྒྱས་གཏོང་།
"  Devenir un petit grand homme dans un rond,",སྐྱེ་བོ་ཆེན་པོ་ཞིག་ཏུ་འགྱུར་རྒྱུ་དེ་འཁོར་ལོའི་ནང་།
"  Et naviguer, avec des madrigaux pour rames,",གྲུ་གཟིངས་ལ་སོགས་པའི་གྲུ་གཟིང་རྣམས་དང་།
  Et dans ses voiles des soupirs de vieilles dames ?,ཁོང་གི་སྒྲོམ་ནང་བུད་མེད་རྒན་པ་ཚོའི་སྐད་འབོད་ཡོད་དམ་ཞེ་ན་མི་ཐུབ།
"  Non, merci ! Chez le bon éditeur de Sercy",མ་ཡིན། བཀའ་དྲིན་ཆེ་ཞུ་རྒྱུ་ཡིན། ས་རེའི་གསར་འགོད་པར་འོས་པ་ཞིག་ཡོད་སར་
"  Faire éditer ses vers en payant ? Non, merci !",ཤོག་གྲངས་དེ་ཡི་བཟོ་བཅོས་བྱ་རྒྱུ་གླ་སྤྲོད་བྱེད་དམ།
  S'aller faire nommer pape par les conciles,གྲོས་ཚོགས་ནས་པཱ་པོའ ་ི སྐུལ་བསྒྲགས་ལ་ཞུགས་
  Que dans des cabarets tiennent des imbéciles ?,ཁང་པ་འགའ་ཤས་ནང་གླེན་པ་ཚོས་འཛིན་བཟུང་བྱེད་ཀྱི་རེད་དམ།
"  Non, merci ! Travailler à se construire un nom",མ་ཡིན། ཐུགས་རྗེ་ཆེ། མིང་བཟོ་རྒྱུར་བརྩོན་འགྲུས་བྱས་ཤིག
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",སྒྲ་སྙན་གཅིག་ལ་གླུ་ལེན་གྱི་ཚབ་ལ་གཞན་ཞིག་གཏོང་གི་རེད་དམ།
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ཐུགས་རྗེ་ཆེ། ཤེས་རབ་ནི་མདུང་མའི་ནང་མ་གཏོགས་གཞན་གང་ཞིག་མཐོང་མི་ཐུབ་བམ།
"  Être terrorisé par de vagues gazettes,",གནས་ཚུལ་གསར་པས་འཇིགས་སྐྲག་བསྐུལ་བ་དང་།
"  Et se dire sans cesse: Oh, pourvu que je sois",ང་ཡང་དེ་ལྟར་ཡིན་ན་ཅི་མ་རུང་།
  Dans les petits papiers du Mercure François ?. . .,མེ་སུར་ཕོརན་སིའི་ཤོག་སྒྲིལ་ཆུང་ངུ་ནང་།
"  Non, merci ! Calculer, avoir peur, être blême,",མ་ཡིན། ཐུགས་རྗེ་ཆེ། གྲངས་རྩིས་བྱེད་པ། འཇིགས་སྣང་བྱེད་པ།
"  Aimer mieux faire une visite qu'un poème,",སྙན་ངག་ལས་ལྷག་པར་གཟིགས་སྐོར་ལ་དགའ་བ་ནི།
"  Rédiger des placets, se faire présenter ?",ཤོག་སྒྲིལ་བྲིས་པ། ངོ་སྤྲོད་བྱེད་དམ།
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",མིན། ཐུགས་རྗེ་ཆེ། ཐུགས་རྗེ་ཆེ། ཐུགས་རྗེ་ཆེ། ཐུགས་རྗེ་ཆེ།
"  Rêver, rire, passer, être seul, être libre,",རྨི་ལམ་མཐོང་བ། བགད་པ། འགྲོ་བཞིན་པ། རང་ཉིད་རང་དབང་ཡོད་པ།
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",ཁྱོད་ཀྱི་མིག་ནི་མཐོང་ཐུབ་པ་དང། ཁྱོད་ཀྱི་སྐད་ནི་འགུལ་ཐུབ་པ་དང།
"  Mettre, quand il vous plaît, son feutre de travers,",ཁྱོད་ཀྱིས་འདོད་པའི་སྐབས་སུ་ཁྱོད་ཀྱིས་དེའི་ནུས་པ་ཉམས་ལེན་བྱེད་ཐུབ།
"  Pour un oui, pour un non, se battre,--ou faire un vers !",ཡིན་མིན་མིན་ལ་འཐབ་པའམ། ཡང་ན་བྱ་ཞིག་བཟོས་ཤིག
"  Travailler sans souci de gloire ou de fortune,",ཤེས་རབ་དང་རྒྱུ་ནོར་ལ་སོགས་པའི་ལས་འགན་གང་ཡང་མ་ལེན་ཞིག
"  A tel voyage, auquel on pense, dans la lune !",གཟའ་འཁོར་གྱི་སྐོར་བསམ་བློ་གཏོང་བའི་ལམ་ཞིག་རེད།
"  N'écrire jamais rien qui de soi ne sortît,",རང་ཉིད་ལས་འབྱུང་མི་སྲིད་པའི་དངོས་པོ་ཞིག་ནམ་ཡང་བྲིས་མི་ཆོག
"  Et modeste d'ailleurs, se dire: mon petit,",ཆུང་ཆུང་ཞིག་གིས་རང་གི་སེམས་ལ།
"  Soit satisfait des fleurs, des fruits, même des feuilles,",མེ་ཏོག་དང་ཤིང་འབྲས་དང་ལོ་མ་བཅས་གང་འདྲ་ཞིག་ཡོད་ནའང་དེ་ཚོས་གང་འདོད་བྱས་པར་ཤོག།
  Si c'est dans ton jardin à toi que tu les cueilles !,ཁྱོད་ཀྱི་ལྡུམ་ར་ནས་དེ་རྣམས་བསྡུ་བ་རེད་དམ།
"  Puis, s'il advient d'un peu triompher, par hasard,",དེ་ནས་ཁོས་ (ཨ་ཇོ་ཨ་ཧ་ནེཛ་) ཙམ་གྱིས་རྒྱལ་ཁ་ཐོབ་པ་ཡིན་ན།
"  Ne pas être obligé d'en rien rendre à César,",རིན་ཆེན་ལ་འབུལ་དགོས་པ་མ་ཡིན།
"  Vis-à-vis de soi-même en garder le mérite,",རང་ཉིད་ལ་གུས་ཞབས་ཞུས་ན།
"  Bref, dédaignant d'être le lierre parasite,",སྤྱིར་བཏང་གི་ཆ་ཤས་ཤིག་ཏུ་མཚོན་ན། ང་ནི་བྱུག་པ་སྐྱུག་པ་ཞིག་ཡིན་པར་ངོས་ལེན་མི་བྱེད་དོ།
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ང་ཚོ་ནི་ཤིང་སྡོང་མ་ཡིན་ནའང་། ཡང་ན་ཤིང་སྡོང་མ་ཡིན་ནའང་།
"  Ne pas monter bien haut, peut-être, mais tout seul !",རྒྱང་རིང་དུ་འགྲོ་མི་ཐུབ་བོ། འོན་ཀྱང་རང་ཉིད་འགྲོ་ཐུབ་བོ།
LE BRET:,རྒྱང་ཚད།
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",གཅིག་པུར་ཡིན་རུང་མི་ཐམས་ཅད་ཀྱི་ཐོག་ཏུ་རྒོལ་བར་བྱ།
  As-tu donc contracté la manie effroyable,ཁྱོད་ནི་སྨྱོ་རྫས་དྲག་པོ་ཐོབ་པ་ཡིན་ནམ།
"  De te faire toujours, partout, des ennemis ?",ཁྱོད་ཀྱི་དགྲ་རྣམས་རྟག་ཏུ་དགྲ་བོའི་ཕྱོགས་ནས་ཡོང་བར་འདོད་དམ།
CYRANO:,ཛི་རན་:
"  A force de vous voir vous faire des amis,",ཁྱོད་ཚོར་གྲོགས་པོ་ཡོང་བ་མཐོང་ནས་
"  Et rire à ces amis dont vous avez des foules,",ཁྱེད་ཚོས་མི་ཚོགས་མང་པོ་བསྡུས་པའི་གྲོགས་པོ་ཚོར་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་གད་མོ་
  D'une bouche empruntée au derrière des poules !,ཁ་ཁུ་ཞིག་བྱ་གི་རྒྱབ་ནས་སྐྱོར་གྱི་རེད།
"  J'aime raréfier sur mes pas les saluts,",ངས་ཁྱོད་ལ་དགའ་བའི་གཏམ་དེ་ཁྱོད་ལ་ཡང་ཡང་བཤད་ཀྱི་ཡོད།
  Et m'écrie avec joie: un ennemi de plus !,ང་ལ་དགའ་བའི་སྐད་འབོད་བྱོས། དགྲ་བོ་གཞན་ཞིག་བྱུང་སོང་།
LE BRET:,རྒྱང་ཚད།
  Quelle aberration !,འདི་ནི་ངོ་ལོག་ཅན་ཞིག་རེད་དམ།
CYRANO:,ཛི་རན་:
"  Eh bien, oui, c'est mon vice.",འོ། འོ། ངའི་སྤྱོད་ངན་ཡིན།
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,ང་སྐྱོ་པོ་ཡིན། ང་ལ་མི་ཚོས་ང་ལ་སྡང་བ་དགའ།
"  Mon cher, si tu savais comme l'on marche mieux",ང་ཡི་བརྩེ་ལྡན་ལགས། ཁྱོད་ཀྱིས་ཇི་ལྟར་འགྲུལ་བ་ཤེས་ན་ཡང།
  Sous la pistolétade excitante des yeux !,ཇི་ལྟར་མིག་གི་མདའ་གཞུ་དྲག་པོ་ཞིག་གི་འོག་ཏུ་!
"  Comme, sur les pourpoints, font d'amusantes taches",ཇི་ལྟར་དོན་གནད་ཀྱི་སྟེང་དུ་གླེན་པ་བཟོས་པ་
  Le fiel des envieux et la bave des lâches !,ཕྲག་དོག་ཅན་གྱི་ནད་དང་། སྐྲ་ཚའི་ནད་བཅས་སོ།
"  --Vous, la molle amitié dont vous vous entourez,",ཁྱོད་ནི་གྲོགས་པོ་ཆུང་ཆུང་ཞིག་ཡིན་པས་
"  Ressemble à ces grands cols d'Italie, ajourés",ཊ་ལི་གི་རི་བོ་ཆེན་པོ་ལྟ་བུ་རེད།
"  Et flottants, dans lesquels votre cou s'effémine:",ཆུ་ཡི་ཆུ་ཡི་ནང་། ཁྱོད་ཀྱི་མཇིང་ཚིགས་ནི་འཁྱོར་བར་བྱེད།
"  On y est plus à l'aise. . .et de moins haute mine,",སྐེ་ལ་མི་བདེ་བ་ཡོད། སྐེ་ལ་མི་མཐོ་བ་ཡོད།
"  Car le front n'ayant pas de maintien ni de loi,",སྐྱེ་བོ་དེ་ཚོས་རང་གི་གདོང་པ་མཐོང་ནས་ཁྲིམས་དང་ཁྲིམས་ཀྱི་མེད་པ་དང་།
"  S'abandonne à pencher dans tous les sens. Mais moi,",ཁོས་ཕྱོགས་གང་གི་ཆ་ནས་ཀྱང་བསམ་བློ་གཏོང་བར་བྱེད་དོ། འོན་ཀྱང་ང་
"  La Haine, chaque jour, me tuyaute et m'apprête",དགྲ་བོས་ང་ལ་ཉིན་རེ་བཞིན་མནར་གཅོད་གཏོང་བཞིན་འདུག
  La fraise dont l'empois force à lever la tête;,ཤ་མུ་སྐམ་པོ་ཞིག་གིས་རང་གི་མགོ་ཡར་འདེགས་པར་བྱེད།
  Chaque ennemi de plus est un nouveau godron,དགྲ་བོ་གཞན་གང་ཞིག་ནི་བོང་བུ་གསར་པ་ཞིག་ཡིན།
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ཁོང་གིས་ང་ལ་དཀའ་ངལ་དང་སྡུག་བསྔལ་གནང་།
"  Car, pareille en tous points à la fraise espagnole,",རྒྱུ་མཚན་ནི་སཔེ་ནིའུ་ཡི་ར་ཤིང་གི་རིགས་འདྲ་བ་ཡིན་ཏེ།
"  La Haine est un carcan, mais c'est une auréole !",དགྲ་བོས་ནི་ཤ་ཁྲག་ཞིག་ཡིན། འོན་ཀྱང་དེ་ནི་མེ་ལྕེ་ཞིག་ཡིན།
"LE BRET (après un silence, passant son bras sous le sien):",གུ་རུ་ (ཁུ་སིམ་ངང་།) སྦས་པའི་ཕྱག་འོག་ཏུ་:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",ང་རྒྱལ་ཅན་དང་ང་རྒྱལ་ཅན་རྣམས་ང་རྒྱལ་ཅན་ལྟར་གྱིས་ཤིག
  Dis-moi tout simplement qu'elle ne t'aime pas !,ཁོ་མོས་ཁྱོད་ལ་མི་དགའ་བ་ང་ལ་སྨྲོས་ཤིག་!
CYRANO (vivement):,CYRANO (གསོན་པོ་):
  Tais-toi !,ཁ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁུ་ཁ
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",དུས་ཡུན་རིང་ཞིག་རྗེས་སུ། ཀྲི་སིན་ཊི་ན་ཕེབས་ནས་གཞོན་ནུ་ཚོ་དང་མཉམ་དུ་བསྡད་པ་དང་།
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ཁོང་ཉིད་ལ་སྐད་ཆ་གང་ཡང་མ་གསུངས་པར། ཁོང་ཉིད་གཅིག་པུ་གཅིག་པུ་བཞུགས་ནས་
