Scène 2.VIII.,"Chabwino, malo 2.VIII."
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Yayi, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zikomo, zik"
"  Rêver, rire, passer, être seul, être libre,","Kuŵa wambura kukayika, kuseka, kujumpha, kukhala wekha, kuŵa wambura kukayika,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kuŵa na jiso lakuwona makora, mazgu ghakutenthema,"
"  Mettre, quand il vous plaît, son feutre de travers,","Para mwawona kuti ntchiwemi, muchitenge nthena."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Para mwayowoya kuti enya, para mwayowoya kuti yayi, lutani, panji chitani nthena!"
"  Travailler sans souci de gloire ou de fortune,",Ŵagwirenge ntchito kwambura kukhumba uchindami panji usambazi.
"  A tel voyage, auquel on pense, dans la lune !",Ulendo wa ku mwezi uwo ukuwoneka nga ni uwu.
"  N'écrire jamais rien qui de soi ne sortît,",Mungalembanga yayi ivyo mukuwona kuti ni vyambura kwenelera.
"  Et modeste d'ailleurs, se dire: mon petit,","Ndipo wakujiyuyura wakujipulika kuti, 'Mwana wane,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Wakukondwa na maluŵa, vipambi, panji makuni."
  Si c'est dans ton jardin à toi que tu les cueilles !,"Usange muli na munda winu, mbwenu mukusora."
"  Puis, s'il advient d'un peu triompher, par hasard,","Ndipo usange wangatondapo pachoko waka,"
"  Ne pas être obligé d'en rien rendre à César,",Ntheura nkhukhumba yayi kupeleka kwa Kesare.
"  Vis-à-vis de soi-même en garder le mérite,","Para munthu wakujiwona kuti ngwakwenelera,"
"  Bref, dédaignant d'être le lierre parasite,",Kweni nkhakondwa yayi na ivyo nkhachita.
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nanga tingaŵa kuti ndise makuni gha khuni la mkuyu yayi,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Panji tingakwera yayi, kweni tingakwera tekha."
LE BRET:,MUTU:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Kweni ni wose yayi awo ŵakususka.
  As-tu donc contracté la manie effroyable,Kasi iwe ukasangana na suzgo yikuru?
"  De te faire toujours, partout, des ennemis ?",Kasi mukukhumba kuti nyengo zose muŵe na ŵalwani?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Chifukwa chakuti mukuŵa paubwezi na ŵanthu ŵanandi.
"  Et rire à ces amis dont vous avez des foules,",Ndipo musekenge ŵabwezi ŵinu awo muli nawo mu mzinda.
  D'une bouche empruntée au derrière des poules !,Na mulomo uwo ukakwera mu nkhuku!
"  J'aime raréfier sur mes pas les saluts,",Nkhutemwa kupokelera ŵanthu pa malundi ghane.
  Et m'écrie avec joie: un ennemi de plus !,"Ndipo ŵanichemerezga mwachimwemwe kuti: ""Mwani munyake!"""
LE BRET:,MUTU:
  Quelle aberration !,Kasi ukuwona wuli?
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Enya, ndine wakwananga."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Nkhukondwa chomene para ŵanthu ŵakunitinkha.
"  Mon cher, si tu savais comme l'on marche mieux","Mubali wane, usange ukumanya umo munthu wangendelera makora"
  Sous la pistolétade excitante des yeux !,Mu maso gha ŵanthu ŵanthena aŵa!
"  Comme, sur les pourpoints, font d'amusantes taches","Para munthu wakuchita vinthu vyakusekeska, wakuŵa na maghanoghano ghakwenelera."
  Le fiel des envieux et la bave des lâches !,Kuŵa na njara ya ŵaheni na nthenda ya ŵankhungu.
"  --Vous, la molle amitié dont vous vous entourez,","Imwe, ŵabwezi ŵinu ŵalusungu,"
"  Ressemble à ces grands cols d'Italie, ajourés",Vikuwoneka nga ni vikoko vikuruvikuru vya ku Italy ivyo vikusunkhunyika
"  Et flottants, dans lesquels votre cou s'effémine:","Ndipo ŵakwenda pasi, awo makongono ghinu ghakugolera."
"  On y est plus à l'aise. . .et de moins haute mine,",Tikukhala makora chomene.
"  Car le front n'ayant pas de maintien ni de loi,","Pakuti chisko cha munthu chilije dango panji dango,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Wakughanaghana kuti wangachita vinthu mwakukhazikika.
"  La Haine, chaque jour, me tuyaute et m'apprête","Zuŵa lililose, chitima chikunipweteka na kunikhozga"
  La fraise dont l'empois force à lever la tête;,Chomeracho chikukwera mutu wake chifukwa cha poizoni.
  Chaque ennemi de plus est un nouveau godron,Mulwani waliyose ni mphumphi yiphya
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Wakusazgirapo nthimbanizgo pa ine, na kuniphalira suzgo."
"  Car, pareille en tous points à la fraise espagnole,","Pakuti nga ni mbatata ya ku Spain,"
"  La Haine est un carcan, mais c'est une auréole !","Kutinkha ni nyama, kweni ni chisi!"
"LE BRET (après un silence, passant son bras sous le sien):","MUTU WAKUTI: ""Pakuti wakukhala chete,"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ŵakujikuzga ŵajikuzge na kuŵakwiyiska, kweni ŵajiyuyurenge"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Niphalirani waka kuti wakumutemwani yayi.
CYRANO (vivement):,CYRANO (uyo ngwamoyo):
  Tais-toi !,Muŵe chete!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Kufuma apo, Christian wakanjira, wakajipenja na ŵana."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Kweni wakaleka kuyowoya nayo, ndipo wakakhala yekha pa nyumba yake."
