Scène 2.VIII.,2.VIII.
LE BRET (triomphant):,HLAWNA (thlemtu):
  Ah !,"A, a va ni ve!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Mahse, a bulpui leh entawn tûrte pawh chu"
  Je trouve qu'il est bon d'exagérer ainsi.,Chutiang chuan a ṭha ka ti.
LE BRET:,A hrisel:
"  Si tu laissais un peu ton âme mousquetaire,","I thlarau chu a lo awm deuh deuh chuan,"
  La fortune et la gloire. . .,Hman leh ropuina . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Eng nge tih tur?
"  Chercher un protecteur puissant, prendre un patron,","Mi tha tak tak chhandamtu zawngin, mi enkawltu la,"
  Et comme un lierre obscur qui circonvient un tronc,"Tin, a thlum chu a huam a,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Tin, a ṭhatna chu a lo tihtîr a, a thlum chu a lo liam a."
  Grimper par ruse au lieu de s'élever par force ?,"A chakna zâwkin a chhoh aiin, a bumna zâwkin a chhoh mai ang em?"
"  Non, merci. Dédier, comme tous il le font,","A ni lo, lawm e."
  Des vers aux financiers ? se changer en bouffon,"Sum leh pai lama mi, mi boral leh mi boral leh mi boral"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Hêng thil hi ka hmu ngei ngei ang tih ka beisei a, rawngbawltu pakhatin a sawi a."
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","A ni, nuihmeh siam chu a pawi lo em?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ni tin chaw ei tur chu a ni lo maw?
  Avoir un ventre usé par la marche ? une peau,"A kalna lai chuan a pum a chhe a, a vun a chhe a."
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Tu nge a lo lo lo lo lo lo lo lo ve thuai thei?
  Exécuter des tours de souplesse dorsale ?. . .,Hmunpui chu a hniam thei em? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Kawlte chu kut khatin ka khur a,"
"  Cependant que, de l'autre, on arrose le chou,","Tin, a dang chu chu chuak a ni a,"
"  Et, donneur de séné par désir de rhubarbe,","Tin, a duh zâwka a hnehte chu a lo tihtîr ṭhîn a."
"  Avoir son encensoir, toujours, dans quelque barbe ?",A intuizawng chu a bual chhungah reng reng reng reng reng reng a ni em?
"  Non, merci ! Se pousser de giron en giron,","A nih loh leh, thanks."
"  Devenir un petit grand homme dans un rond,","Mi lian tak, mi lian tak,"
"  Et naviguer, avec des madrigaux pour rames,","Tin, lawngte chu lawngte,"
  Et dans ses voiles des soupirs de vieilles dames ?,A puan-ah chuan hmeichhe upa thlirin an awm a ni maw?
"  Non, merci ! Chez le bon éditeur de Sercy","A ni lo, a ni lo, Sercy-a publisher dik tak hnênah."
"  Faire éditer ses vers en payant ? Non, merci !",A thuziak chu a man anga tihchhuah tir mai mai tur em ni?
  S'aller faire nommer pape par les conciles,Pope-ah Kohhran Kohhran-in A ruat
  Que dans des cabarets tiennent des imbéciles ?,Chu chu a ni.
"  Non, merci ! Travailler à se construire un nom",A hming siamna hna thawktu
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",A dang siamna tur chu sonnet pakhat a ni em?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,A thiamna chu a hniamkhur chauhvin hmuh theih a ni maw?
"  Être terrorisé par de vagues gazettes,",Chanchinbu-a thil tihsual tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak tak chuan min hrik a.
"  Et se dire sans cesse: Oh, pourvu que je sois","""Ka ni ve se"", tiin an sawi reng a."
  Dans les petits papiers du Mercure François ?. . .,Mercury Francis lehkhabu têah chuan...?
"  Non, merci ! Calculer, avoir peur, être blême,","A ni lo, lawm e."
"  Aimer mieux faire une visite qu'un poème,",Hla hla aiin tlawhna chu a nuam zawk.
"  Rédiger des placets, se faire présenter ?",A nih loh leh a hmingthangna tur?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","A ni lo, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e, lawm e."
"  Rêver, rire, passer, être seul, être libre,","A mutna, a nuihthlakna, a kalna, a awmna, a awmna, a awmna,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Mitin a hmuh theih a, aw a thliar theih a,"
"  Mettre, quand il vous plaît, son feutre de travers,","A duh hunah a rilru a thlâk a,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","A ni emaw, a ni lo emaw, intihhlim emaw, intihhlim emaw, intihhlim emaw emaw!"
"  Travailler sans souci de gloire ou de fortune,","Hneihna leh hausakna chu ngaihtuah lovin hna thawk rawh u,"
"  A tel voyage, auquel on pense, dans la lune !",Thlalak lam zin kan ngaihtuahna a ni!
"  N'écrire jamais rien qui de soi ne sortît,","Thil eng mah ziak lovin, mahni lam aṭanga chhuak lo chu ziak ngai suh."
"  Et modeste d'ailleurs, se dire: mon petit,","Tin, a mi inringin, ""Ka naupan,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",Ruah leh rah leh hrui te pawh a lungawi thei ang.
  Si c'est dans ton jardin à toi que tu les cueilles !,I huan chhungah chuan i la la a nih chuan!
"  Puis, s'il advient d'un peu triompher, par hasard,","Tin, a hnehna a tlêm chuan,"
"  Ne pas être obligé d'en rien rendre à César,",Kaisara hnêna thil pek tûr rêng rêng ka nei lo vang.
"  Vis-à-vis de soi-même en garder le mérite,",A nihna chu mahni hmêlna lamah chuan a vawng reng a.
"  Bref, dédaignant d'être le lierre parasite,","A nih loh leh, a lo damdawi tak tak tak ni lo chu,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Hri leh thingpui kan nih loh pawhin,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","A sang lutuk lo pawh ni se, mahse, mahni chauhvin!"
LE BRET:,A hrisel:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","A ni mah se, mi zawng zawng chungah a ni lo."
  As-tu donc contracté la manie effroyable,"Chuvangin, i rilru a na tak em?"
"  De te faire toujours, partout, des ennemis ?",Hnam dang siam reng reng hi maw?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","In ṭhian lo neihna a hmuh avângin,"
"  Et rire à ces amis dont vous avez des foules,",Mi tam tak i neihte chu nuihzat leh rawh se.
  D'une bouche empruntée au derrière des poules !,A kâ chu a hnunglam a ni a.
"  J'aime raréfier sur mes pas les saluts,","Ka ke-ah chuan chibai ka lo bûk ṭhîn a,"
  Et m'écrie avec joie: un ennemi de plus !,"Tin, ka hnênah chuan hlim takin au rawh: ""Mihringtu dang!"
LE BRET:,A hrisel:
  Quelle aberration !,A va nalh ve!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",A nih chuan ka thil tihsual ka ni.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ka haw duh loh hi ka duh em em a.
"  Mon cher, si tu savais comme l'on marche mieux","Ka hmangaih, kan kal dan i hriat chuan"
  Sous la pistolétade excitante des yeux !,A mittui a hmuhnawm tak tak tak tak hnuaiah!
"  Comme, sur les pourpoints, font d'amusantes taches",A thiltumte chu an tihchhiat hle mai.
  Le fiel des envieux et la bave des lâches !,"Hrehawmtute'n an intihhrehawm a, mi rethei te'n an intihhrehawm a."
"  --Vous, la molle amitié dont vous vous entourez,","- Nang, i ṭhianpui,"
"  Ressemble à ces grands cols d'Italie, ajourés","Italy-a a hniam tak tak ang a ni a, a hniam ta a ni."
"  Et flottants, dans lesquels votre cou s'effémine:","Tin, i lu chu a lo thlum a,"
"  On y est plus à l'aise. . .et de moins haute mine,",Chu chu nuam leh nuam a ni.
"  Car le front n'ayant pas de maintien ni de loi,","Hmaah chuan thu leh dân a nei lo va,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","A kawng zawng zawng a kalsan a, mahse kei erawh chuan"
"  La Haine, chaque jour, me tuyaute et m'apprête","Ni tin huaina chuan min tihtur a, min tihtur a"
  La fraise dont l'empois force à lever la tête;,A thlaiin a lu a tho vek a;
  Chaque ennemi de plus est un nouveau godron,Hnam dang apiang chu ramri thar a ni
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ka chungah a tihpêmna a belhchhah a, A thlumna a belhchhah bawk a ni."
"  Car, pareille en tous points à la fraise espagnole,","Eng kawng zawng zawngin Spain strawberry ang maiin,"
"  La Haine est un carcan, mais c'est une auréole !","Hneih hi a ni a, mahse, a ni a, a ni a."
"LE BRET (après un silence, passant son bras sous le sien):","HM (a ngawi hnuin, a kut a hnuai lamah a kut a darh):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Hrehawm leh huaisen tak chu, Inphungpuiin in tihtîr rawh,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,A hmangaih lo tih sawi mai rawh!
CYRANO (vivement):,CYRANO (a dam reng):
  Tais-toi !,Ngaihpui rawh!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Chhankhat hnuah Christian chu a lo lut a, naupangte chu a lo inrawlh a; an"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"a thu sawi lovin, a awm chhun chu a awm"
