Scène 2.VIII.,منظر 2. VIII.
  Dans les petits papiers du Mercure François ?. . .,"""ميرڪ فرانسسڪو جي ننڍن ڪاغذن ۾ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"  Non, merci ! Calculer, avoir peur, être blême,",نه، شڪر، حساب، خوف، ذلت،
"  Aimer mieux faire une visite qu'un poème,",هڪ نظم کان وڌيڪ دورو ڪرڻ پسند ڪرڻ،
"  Rédiger des placets, se faire présenter ?",ڇا توهان کي خبر آهي؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، شڪر، نه، شڪر، نه، شڪر، پر. . . ڳائڻ،
"  Rêver, rire, passer, être seul, être libre,",خواب ڏسڻ، کلڻ، گذران، اڪيلو رهڻ، آزاد رهڻ،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",اکين کي صاف ڏسڻ ۽ آواز کي ٽڪرائڻ.
"  Mettre, quand il vous plaît, son feutre de travers,",جڏهن توهان چاهيو ٿا، پنهنجي احساس کي غلط ڪرڻ،
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""ها"" لاءِ، ""نه"" لاءِ، ""جنگ"" لاءِ، ""يا"" ""ڪارو"" لاءِ!"
"  Travailler sans souci de gloire ou de fortune,",نه عزت ۽ نه دولت جي ڳولا ۾ ڪم ڪرڻ
"  A tel voyage, auquel on pense, dans la lune !",چنڊ جي سفر تي، جنهن جو اسان سوچيو!
"  N'écrire jamais rien qui de soi ne sortît,",ڪڏهن به ڪا شيءِ نه لکجانءِ جيڪا پنهنجي پاڻ کان ٻاهر نه ايندي.
"  Et modeste d'ailleurs, se dire: mon petit,","۽ هڪ ٻئي کي به، پنهنجي پاڻ کي چوڻ: ""منهنجي ننڍي،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",يا گل، يا ميوو، يا پاڇو، يا پتي،
  Si c'est dans ton jardin à toi que tu les cueilles !,جيڪڏهن تون پنهنجي باغ ۾ انهن کي ڪمائين!
"  Puis, s'il advient d'un peu triompher, par hasard,",پوءِ جيڪڏھن ٿورو غالب اچي ته (الله) کيس (اُنھيءَ حالت ۾) ڀلائيندو.
"  Ne pas être obligé d'en rien rendre à César,",۽ قيصر کي ڪوبہ قرض ادا ڪرڻ جو پابند نہ ٿيءُ.
"  Vis-à-vis de soi-même en garder le mérite,",پنهنجي ذات جي نسبت ان جو حقدار رهندو،
"  Bref, dédaignant d'être le lierre parasite,",مختصر ۾، parasitic lierre ٿي ته ان کي بدنام،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",۽ جڏهن اسين ڪاٺيون يا ٻرندڙ ٻڪريون نه هئاسون،
"  Ne pas monter bien haut, peut-être, mais tout seul !",شايد اهو تمام مٿاهون نه آهي، پر اهو اڪيلو آهي.
LE BRET:,"""ڇا ٿيو؟"""
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",اڪيلو ٿي سگهي ٿو پر سڀني جي خلاف نه.
  As-tu donc contracté la manie effroyable,پوءِ ڇا تو کي (ان) خوفناڪ مرض ۾ مبتلا ڪيو ويو آهي؟
"  De te faire toujours, partout, des ennemis ?",هر هنڌ پنهنجو پاڻ کي دشمن بڻائڻ؟
CYRANO:,سائرو:
"  A force de vous voir vous faire des amis,",۽ جڏھن اوھان کي دوستن جي ڪري ڏسي،
"  Et rire à ces amis dont vous avez des foules,",۽ انهن دوستن تي کلڻ جن جي توهان وٽ ميڙ آهي،
  D'une bouche empruntée au derrière des poules !,هڪڙي ٻولي جي ٻانهن ۾ ٻوڙي!
"  J'aime raréfier sur mes pas les saluts,",مون کي پنھنجي پيرن تي سلام ڪرڻ پسند آھي،
  Et m'écrie avec joie: un ennemi de plus !,"۽ مون کي خوشيءَ سان چئو، ""وڌيڪ دشمن!"
LE BRET:,"""ڇا ٿيو؟"""
  Quelle aberration !,ڇا ته هڪ غير معمولي آهي!
CYRANO:,سائرو:
"  Eh bien, oui, c'est mon vice.",ها، اهو منهنجو ڪم آهي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,مون کي خوشي آهي ته مون کي نفرت آهي.
"  Mon cher, si tu savais comme l'on marche mieux",پيارا، جيڪڏهن تون ڄاڻين ته ڪيئن هلڻ بهتر آهي
  Sous la pistolétade excitante des yeux !,اکين جي دلچسپ بندوق جي حالت هيٺ!
"  Comme, sur les pourpoints, font d'amusantes taches",جيئن ته، جي حوالي سان، مذاقي stains ڪندا
  Le fiel des envieux et la bave des lâches !,حسد ڪندڙن جي ڪاوڙ ۽ ڏنگن جي ڪاوڙ!
"  --Vous, la molle amitié dont vous vous entourez,",- تون، نرم دوستي جنهن جي چوڌاري توهان جي چوڌاري،
"  Ressemble à ces grands cols d'Italie, ajourés",ان کي انٽلي جي وڏن ڪولن وانگر آهي، ملتوي
"  Et flottants, dans lesquels votre cou s'effémine:",۽ (اي پيغمبر) تون پاڻيءَ ۾ گھمڻ وارن کي (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڇڪڻ وارن کي (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڇڪڻ وارن کي (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڇڪڻ وارن کي (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڇڪڻ وارن کي (پنهنجي) ڇڪڻ وارن کي (پنهنجي) ڳچيءَ ۾ (پنهنجي) ڇڪڻ وارن کي (پائڻ لاءِ) ٿيندين.
"  On y est plus à l'aise. . .et de moins haute mine,",اسان کي وڌيڪ آرام سان ۽ گهٽ اونچائي سان،
"  Car le front n'ayant pas de maintien ni de loi,",ڇو ته سامهون ڪو قانون ۽ قانون نه آهي.
"  S'abandonne à pencher dans tous les sens. Mais moi,",هو هر طرف کان لنگهي ٿو.
"  La Haine, chaque jour, me tuyaute et m'apprête",نفرت هر روز مون کي چوي ٿي ۽ مون کي تيار ڪري ٿي
  La fraise dont l'empois force à lever la tête;,ماري جو مُرڪ، جنهن جي مُرڪ جي ڪري مٿو مٿي ڪري ٿو.
  Chaque ennemi de plus est un nouveau godron,هر دشمن جو هڪ نئون گڊرو آهي
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",۽ مون کي ڏک ۽ ڏکوئيندڙ شيون وڌائين.
"  Car, pareille en tous points à la fraise espagnole,",جيئن ته اسپين جي فرينچ سان هر طرح سان،
"  La Haine est un carcan, mais c'est une auréole !",نفرت هڪ ڪڪڙ آهي، پر اهو هڪ اُورول آهي!
"LE BRET (après un silence, passant son bras sous le sien):",هن جي ڇانو (ڪڪڪڙ کان پوء، سندس arms هيٺ سندس گذري):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",وڏائيءَ ۽ ڪاوڙ جي ڪري مٿو ڪر، پر ھيٺين لاءِ
  Dis-moi tout simplement qu'elle ne t'aime pas !,بس مون کي چئو ته هوءَ توکي پسند نه ڪندي آهي!
CYRANO (vivement):,(سيدفرمان علي)
  Tais-toi !,چپ ٿي وڃ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(ڪجھ دير کان پوءِ ڪرسٽين اندر آيو، نوجوانن سان ملائي ويو؛ اهي
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,هن کي هڪ لفظ نه ڳالهائڻ لاء، هن آخر ۾ هڪ اڪيلو هڪ
