Scène 2.VIII.,Na ivakatagedegede 2.VIII.
"  Qui plus vite, à l'endroit des genoux, devient sale ?",O cei e dau lecaika totolo ni sa luvuci na yavana?
  Exécuter des tours de souplesse dorsale ?. . .,Na cava e rawa ni cakava na dauveivakavulici ena gauna ni cakacaka? . . .
"  Non, merci. D'une main flatter la chèvre au cou","E sega, vinaka, e dua ga na liga e dau vakalialiai koya"
"  Cependant que, de l'autre, on arrose le chou,","Ia kevaka e dua sa vakasuasuataka na kauli,"
"  Et, donneur de séné par désir de rhubarbe,",ka dau solia na kaukauwa vei ira era sa malumalumu; ia ena vakalevutaka na kaukauwa vei ira era sa sega ni gumatua rawa.
"  Avoir son encensoir, toujours, dans quelque barbe ?",E dau tiko ga na nona i tutu ni ka boi vinaka ena dua na bati ni beve?
"  Non, merci ! Se pousser de giron en giron,","E sega, vinaka, ni toso na gauna."
"  Devenir un petit grand homme dans un rond,","Me yaco me dua na turaga levu lailai ena dua na i yatu,"
"  Et naviguer, avec des madrigaux pour rames,","Era sa soko tiko e na waqa, ka ra sa vodo tiko e na waqa."
  Et dans ses voiles des soupirs de vieilles dames ?,Ia na cava e kaya na ka e dau yaco ena nona isulu ni sa dau tagi na marama qase?
"  Non, merci ! Chez le bon éditeur de Sercy","Sega, vinaka, au sa na qai lai raici koya na dauvolaivola ni Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",E sega ni vinaka na kena saumi na kena i vola?
  S'aller faire nommer pape par les conciles,Me Yaco na Veivakatulewa me Papa
  Que dans des cabarets tiennent des imbéciles ?,E kaya beka ni dau tiko e dua na tamata lialia ena dua na rumu ni vale?
"  Non, merci ! Travailler à se construire un nom","E sega, vinaka, ni o cakacaka tiko mo kilai iko vinaka"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ena dua na domo ni domo, ka sega ni dua tale?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Vinaka, na cava o nanuma ni rawa ni o kila na ka e rawa ni caka ena gauna ni cakacaka?"
"  Être terrorisé par de vagues gazettes,","Me vakarerei ena tabana ni itukutuku,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ka dau kaya tiko ga, ""Au na qai"
  Dans les petits papiers du Mercure François ?. . .,Ena ivola lailai ni Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","E sega, vinaka, ni o dau cakacakataka, o dau rere, o dau yalolailai,"
"  Aimer mieux faire une visite qu'un poème,",E vinaka cake me da gole yani me da sikovi ira na tamata mai na dua na serekali
"  Rédiger des placets, se faire présenter ?","Me'u volavola, me'u vakaraitaka na noqu bula?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Sega, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka, vinaka,"
"  Rêver, rire, passer, être seul, être libre,","Na tadra, na dredre, na lakolako, na tiko taudua, na galala,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Me rai vinaka na mata, me rorogo vinaka na domomu,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ni sa na qai vaka na kenai vakarau ni nona lewa,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Me dua na io, me dua na sega, me dua na vala, - se me dua na ka!"
"  Travailler sans souci de gloire ou de fortune,","Me kua ni dua na ka e vakabibitaki se vakabibitaki ena cakacaka,"
"  A tel voyage, auquel on pense, dans la lune !","E dua na ilakolako vinaka sara e dau nanumi tu ga, oya na ilakolako e na vula!"
"  N'écrire jamais rien qui de soi ne sortît,",Kua ni vola e dua na ka e sega ni yaga
"  Et modeste d'ailleurs, se dire: mon petit,","Ia e dua e yalomalumalumu, e kaya: 'Noqu gone,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","E rawa ni marau na vuana, na vuana, se na drauna,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ke o dau kumuna na ka o dau kania ena nomu were!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ia kevaka e na rawata e dua na ka lailai,"
"  Ne pas être obligé d'en rien rendre à César,","""Me kakua ni dua na ka me saumi vei Sisa,"
"  Vis-à-vis de soi-même en garder le mérite,","Ia mo ni qai kila ni sa dodonu me caka na ka kece ga oqo,"
"  Bref, dédaignant d'être le lierre parasite,","Ia, ena kena ibalebale, ni sega ni dina ni o koya e dau vakalialia na manumanu vuka,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Kevaka mada ga eda sega ni vuni vuni lolo se na kau ni vaini,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","De dua ena sega ni toro cake sara, ia ena cakava duadua ga!"
LE BRET:,Na Kaukaua:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","E rawa ni o cakava vaka i koya, ia e sega ni rawa ni o cakava kece."
  As-tu donc contracté la manie effroyable,O sa mani yaco beka me iko na tamata dauveivakacalai?
"  De te faire toujours, partout, des ennemis ?",Me da dau veitusaqati tiko ga?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ni o sa veitokani tiko kei ira na wekamu,"
"  Et rire à ces amis dont vous avez des foules,","Mo qai veiwali kei ira na nomu itokani era sa rui levu,"
  D'une bouche empruntée au derrière des poules !,E dua na gusu e vakau mai na daku ni toa!
"  J'aime raréfier sur mes pas les saluts,","Au dau taleitaka na veilomani vakaveitalia,"
  Et m'écrie avec joie: un ennemi de plus !,"""Mo ni kaci mai e na marau, ka kaya, 'Sa dua tale na meca!'"
LE BRET:,Na Kaukaua:
  Quelle aberration !,E sega ni ka dina qori!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Io, io, e noqu itovo."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Au dau taleitaka na lako tani, au dau taleitaka na nodra cati au."
"  Mon cher, si tu savais comme l'on marche mieux","Noqu daulomani, kevaka ko sa kila na sala me da lako vinaka cake kina"
  Sous la pistolétade excitante des yeux !,E na ruku ni mata ni mata ni dakai!
"  Comme, sur les pourpoints, font d'amusantes taches",Me vaka na ka e dau caka ena gauna ni veivakamarautaki
  Le fiel des envieux et la bave des lâches !,Na nodra dau kocokoco na dauveibutakoci kei na nodra dauveivakaisini na tamata lialia!
"  --Vous, la molle amitié dont vous vous entourez,","""O iko na itokani vinaka o dau veitokani kina,"
"  Ressemble à ces grands cols d'Italie, ajourés","E vaka na nodra i tutu ni liga levu mai Itali, e dau vakalaivi"
"  Et flottants, dans lesquels votre cou s'effémine:","kei na wai drodrolagi, ka sa dau drodro kina na domomu,"
"  On y est plus à l'aise. . .et de moins haute mine,","Eda na lomavakacegu kina. . . .e na lomada e lailai sara,"
"  Car le front n'ayant pas de maintien ni de loi,","Ni sa sega na lewa dodonu, ka sega na lawa,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",E dau vakaliuca na ka kece e cakava.
"  La Haine, chaque jour, me tuyaute et m'apprête",Na Veivakani cati e dau vakalialiai au e veisiga
  La fraise dont l'empois force à lever la tête;,Na strawberry e na kena i sau ni wai e na laveta cake na uluna;
  Chaque ennemi de plus est un nouveau godron,Na meca e vo e dua na manumanu vuka vou
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Sa vakaikuritaka na noqu rarawa, ka vakaikuritaka na noqu rarawa."
"  Car, pareille en tous points à la fraise espagnole,","Me vaka ga na matanivola e caka e Sipeni,"
"  La Haine est un carcan, mais c'est une auréole !","Na Veivati e dua na ka e sega ni kilai, ia e dua na ka e sega ni kilai rawa!"
"LE BRET (après un silence, passant son bras sous le sien):","NA DUA (ni oti na galu, sa toso na ligana e ruku ni nona):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Mo ni vakacerecerei ira na viavialevu, ka vakamalumalumutaki ira, ia mo ni vakacerecerei ira ga"
  Dis-moi tout simplement qu'elle ne t'aime pas !,E sega ni vinaka na nomu tukuna ni o sega ni lomani koya.
CYRANO (vivement):,CYRANO (bula):
  Tais-toi !,Mo galu ga!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Ni oti e dua na gauna, a curu yani o Christian, ka veimaliwai kei ira na gonevuli; era"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,sega ni vosa vua; sa qai dabe duadua ga o koya e dua na
