Scène 2.VIII.,Tshiena-bualu 2.VIII.
"  Vis-à-vis de soi-même en garder le mérite,","Bua kuikala ne mushinga wa bungi kudi muntu,"
"  Bref, dédaignant d'être le lierre parasite,","Kadi, bu mudiye uditatshisha bua kuikala mulami wa nyama wa luonji,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nansha tuetu katuyi banji kuikala mutshi wa mukuna anyi wa mukuna,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nansha bu ne: katuena mua kuya too ne ku mutu, kadi tudi mua kuya tuetu nkayetu."
LE BRET:,BANTU badi ne bua kuikala ne disanka.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Nansha yeye nkayende, kadi ki mmuntu yonso to."
  As-tu donc contracté la manie effroyable,Udi ne disama dia malu a tshikisu anyi?
"  De te faire toujours, partout, des ennemis ?",Bua kuikala ne baluishi ba bungi?
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
"  A force de vous voir vous faire des amis,","Bua kumonabu mudibu benza balunda,"
"  Et rire à ces amis dont vous avez des foules,","Ne useka balunda bebe ba bungi,"
  D'une bouche empruntée au derrière des poules !,Mukanwa wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu wa muakulu
"  J'aime raréfier sur mes pas les saluts,","Ndi musue kuelela bantu muoyo pa makasa anyi,"
  Et m'écrie avec joie: un ennemi de plus !,Udi ungambila ne disanka ne: 'Muluishi mukuabu!'
LE BRET:,BANTU badi ne bua kuikala ne disanka.
  Quelle aberration !,Bualu ebu budi buenza buenza bulema.
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
"  Eh bien, oui, c'est mon vice.","Bushuwa, ndi ne tshilema tshikole."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ndi ne disanka dia bungi bua kuikala mu njila, ndi musue bantu bankepe."
"  Mon cher, si tu savais comme l'on marche mieux","Munda wanyi, bu wewe mumanye mua kuenda bimpe"
  Sous la pistolétade excitante des yeux !,Mu mêsu a bantu a bungi adi atangila bintu bia bungi bia mu nyuma.
"  Comme, sur les pourpoints, font d'amusantes taches",Bu mudibu benza malu a kusankisha bua malu adibu bafunde
  Le fiel des envieux et la bave des lâches !,Dishima dia badi ne lukuka ne dikenga dia badi ne tshikisu!
"  --Vous, la molle amitié dont vous vous entourez,","Wewe, mulunda wa dinanga udi pabuipi nebe,"
"  Ressemble à ces grands cols d'Italie, ajourés",Udi umueneka bu bantu ba mu Italie badi ne bikondo bia bungi bia ku ndekelu
"  Et flottants, dans lesquels votre cou s'effémine:","Ne bipepele bidi bienda bienda bienda bienda bivula, bienza ne lukasa luenu."
"  On y est plus à l'aise. . .et de moins haute mine,",Tudi tuikala mupuekele bikole.
"  Car le front n'ayant pas de maintien ni de loi,",Bualu bua mpala kena ne mikenji ne mikenji to.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Udi utungunuka ne kutangila malu onso.
"  La Haine, chaque jour, me tuyaute et m'apprête",Dituku dionso lukinu ludi lunkuata ne lunkuata
  La fraise dont l'empois force à lever la tête;,Tshimuma tshia mufranga tshidi tshinyanga mutu wende;
  Chaque ennemi de plus est un nouveau godron,Mulwanyi yonso udi upingana udi mupiabupia
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Udi ungambuluisha bua kupeta ntatu ne ntatu.
"  Car, pareille en tous points à la fraise espagnole,","Bualu bu mudi mushi wa mu Espagne mu mishindu yonso,"
"  La Haine est un carcan, mais c'est une auréole !","Dinanga didi bu tshinyangu, kadi didi bu bu buôwa!"
"LE BRET (après un silence, passant son bras sous le sien):","KAPALA (pamvuapu mupuwe, upitshisha tshianza tshiende muinshi mua tshianza tshiende):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Udi mua kuikala ne lutambishi ne kanyinganyinga kadi kadi ne butekete, kadi udi mua kuikala ne lutambishi lua bungi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Umvuaku anu ne: kena mukunange to!
CYRANO (vivement):,CYRANO (mu muoyo):
  Tais-toi !,Kuakuaku!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Katshia tshikondo kampanda, Christian wakalua, wakadisangisha ne bana ba balume ba balume ba mu bidimu bia kumpala; aba bavua ne bua kuikala ne disanka dia bungi bua mudibu ne bua kuikala ne disanka dia bungi mu nsombelu wabu)"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,kabakamukonka bualu; yeye wakashala nkayende ku luseke lua
