Scène 2.VIII.,Scenarija 2.VIII.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Da ima svoj kadrić u nekoj bradi?
"  Non, merci ! Se pousser de giron en giron,","Ne, hvala, samo se uzdiže."
"  Devenir un petit grand homme dans un rond,","Postao sam veliki čovjek u krug,"
"  Et naviguer, avec des madrigaux pour rames,","I brodovati, sa drgamama za rame,"
  Et dans ses voiles des soupirs de vieilles dames ?,A u njegovim vitrima su starci?
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, hvala, u uredniku Sercyja."
"  Faire éditer ses vers en payant ? Non, merci !","Da je uredim, plaćajući?"
  S'aller faire nommer pape par les conciles,Da se nađe u papu
  Que dans des cabarets tiennent des imbéciles ?,Da u kabari imaju budale?
"  Non, merci ! Travailler à se construire un nom",Radimo na tome da se sami nazivemo.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na jednom zvonu, umjesto da se radi o drugim?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"-Ne, hvala, ali je li to samo na majmunima?"
"  Être terrorisé par de vagues gazettes,","Biti teroriziran valjanim novinama,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I stalno se pitam: ""Oh, kad bih ja bio"
  Dans les petits papiers du Mercure François ?. . .,U malom papirima Merkura Franjo?
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, hvala, računati, biti uplašeni, biti plašljivi,"
"  Aimer mieux faire une visite qu'un poème,",Više volim posjet nego pjesmu.
"  Rédiger des placets, se faire présenter ?","Napisati plakate, predstaviti se?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala, hvala,"
"  Rêver, rire, passer, être seul, être libre,","Sanjati, smijati, prolaziti, biti sam, biti slobodan,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Da imaju oči koje dobro vide, glas koji se trese,"
"  Mettre, quand il vous plaît, son feutre de travers,","Uložiti, kad god želite, svoje osjećaje krivo,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za da, za ne, boriti se, ili napraviti crv!"
"  Travailler sans souci de gloire ou de fortune,","Radimo bez brige o slavi ili bogatstvu,"
"  A tel voyage, auquel on pense, dans la lune !",Na putovanje u mjesec.
"  N'écrire jamais rien qui de soi ne sortît,","Nikad ne pišite ništa što ne dolazi od sebe,"
"  Et modeste d'ailleurs, se dire: mon petit,","I skromna, takođe, reći sebi: ""Moj mali,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Bilo da je zadovoljna cvijećem, voćem, čak i listovima,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Ako je u svom vrtu, onda ih uzmeš."
"  Puis, s'il advient d'un peu triompher, par hasard,","I ako se dogodi da će malo uspjeti,"
"  Ne pas être obligé d'en rien rendre à César,","Ne moraš ništa plaćati caru,"
"  Vis-à-vis de soi-même en garder le mérite,","U odnosu na sebe zadržati svoju vrijednost,"
"  Bref, dédaignant d'être le lierre parasite,","Ukratko, odbacujući biti parazitna lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Čak i ako nismo oglje ili drvo,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Možda ne uzdigne visoko, ali sama!"
LE BRET:,-Kret:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Možda sam, ali ne protiv svih."
  As-tu donc contracté la manie effroyable,Zar si se onda upala u strašnu maniju?
"  De te faire toujours, partout, des ennemis ?",Da se uvijek postavljaš protivnika?
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
"  A force de vous voir vous faire des amis,","Zbog toga što ste se upoznali,"
"  Et rire à ces amis dont vous avez des foules,","I smijati se tim prijateljima koje imate u mnoštvu,"
  D'une bouche empruntée au derrière des poules !,S usnom koja je bila uzeta u guzicu kokoša!
"  J'aime raréfier sur mes pas les saluts,","Volim se pozdraviti na svojim stopama,"
  Et m'écrie avec joie: un ennemi de plus !,I uz radost se uzdiže: Još jedan neprijatelj!
LE BRET:,-Kret:
  Quelle aberration !,Kakva je to aberacija!
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
"  Eh bien, oui, c'est mon vice.","Pa, da, to je moja navika."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Volim se odmaknuti, volim kad me ljudi mrze."
"  Mon cher, si tu savais comme l'on marche mieux","Draga moja, da znaš kako bolje hodati"
  Sous la pistolétade excitante des yeux !,Pod uzbudljivim pogledom!
"  Comme, sur les pourpoints, font d'amusantes taches","Kao što, na poenta, rade zabavne mrlje"
  Le fiel des envieux et la bave des lâches !,Željko ljubomornih i plača kukavica!
"  --Vous, la molle amitié dont vous vous entourez,","-Ti, slatka prijateljica koju okružuješ,"
"  Ressemble à ces grands cols d'Italie, ajourés","Izgleda kao ta velika italijanska koža, odložena"
"  Et flottants, dans lesquels votre cou s'effémine:","I plutajući, u kojima se vrat trese:"
"  On y est plus à l'aise. . .et de moins haute mine,",Mi smo u tome više udobni.
"  Car le front n'ayant pas de maintien ni de loi,","Jer čelo nema pravde i zakona,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ne želi se kretati u sve smjere.
"  La Haine, chaque jour, me tuyaute et m'apprête",Svakog dana mržnja me puca i priprema
  La fraise dont l'empois force à lever la tête;,"Žutač, čiji je otrov tjera da digne glavu;"
  Chaque ennemi de plus est un nouveau godron,Svaki drugi neprijatelj je novi kreten.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","On mi doda nevolju i razžare,"
"  Car, pareille en tous points à la fraise espagnole,","Jer, kao što je u svim stvarima španska fraza,"
"  La Haine est un carcan, mais c'est une auréole !","Mržnja je krtica, ali je aurola!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (poslije tišine, prolazeći ruku ispod svoje):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Neka se ponosni i gorki, ali, nisko"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Samo mi reci da te ne voli!
CYRANO (vivement):,CYRANO (živje):
  Tais-toi !,-Tiho je!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Od nekog vremena, Christian je ušao, mešao se s mlađima; oni su"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Ne govore mu, on je na kraju sjedio sam na jednom"
