Scène 2.VIII.,Сцена 2.VIII.
"  Cependant que, de l'autre, on arrose le chou,","Но, од другата, се полива ја ја ја капулата,"
"  Et, donneur de séné par désir de rhubarbe,","И кој се одготвува со желба за брзу,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Да го имаш својот капец во некоја брада?
"  Non, merci ! Se pousser de giron en giron,","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
"  Devenir un petit grand homme dans un rond,","Да станеш мал голем човек во круга,"
"  Et naviguer, avec des madrigaux pour rames,","И да патуваат со мадриди за камари,"
  Et dans ses voiles des soupirs de vieilles dames ?,"А во неговите ветови, ги супе старичките дами?"
"  Non, merci ! Chez le bon éditeur de Sercy","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
"  Faire éditer ses vers en payant ? Non, merci !",Да ги изработам неговите верми за да платам?
  S'aller faire nommer pape par les conciles,Да се избере за папа од соборите
  Que dans des cabarets tiennent des imbéciles ?,Што во кабарите има глупи?
"  Non, merci ! Travailler à se construire un nom","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","На еден сонот, наместо да ги правиме други?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Да откриеш талент само во мазовите?
"  Être terrorisé par de vagues gazettes,","Да се биде исплашен од неопределени весници,"
"  Et se dire sans cesse: Oh, pourvu que je sois","И постојано си кажуваш: ""О, ако сум"
  Dans les petits papiers du Mercure François ?. . .,Во малите хартии на Меркури Франциск? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
"  Aimer mieux faire une visite qu'un poème,","Да го сакаш посетата повеќе од поемата,"
"  Rédiger des placets, se faire présenter ?","Да пишувам плакати, да се прикажам?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
"  Rêver, rire, passer, être seul, être libre,","Да сонуваш, да се смееш, да поминуваш, да бидеш сам, да бидеш слободен,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Да имаш очи кои гледаат добро, глас кој тресе,"
"  Mettre, quand il vous plaît, son feutre de travers,","Да го стави, кога сакаш, својот чувство на погрешен,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","За да се каже да, за да се каже не, да се борат, или да се направи црв!"
"  Travailler sans souci de gloire ou de fortune,","Да работиме без да се грижите за слава или богатство,"
"  A tel voyage, auquel on pense, dans la lune !","На еден пат во месечината, кој ќе го помислуваме."
"  N'écrire jamais rien qui de soi ne sortît,","Никогаш не пишувај ништо што не доаѓа од себе,"
"  Et modeste d'ailleurs, se dire: mon petit,","И скромно, да се каже: ""Малиот,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Може да се задоволи од цвеќиња, плодови, дури и листа,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ако е во твојата градина што ги собираш!
"  Puis, s'il advient d'un peu triompher, par hasard,","И ако успее да победи малку, случајно,"
"  Ne pas être obligé d'en rien rendre à César,",Не мора да му дадам ништо на царецот.
"  Vis-à-vis de soi-même en garder le mérite,","За себе да го задржуваме заслугот,"
"  Bref, dédaignant d'être le lierre parasite,","Во секој случај, одвивајќи се на паразитната лиреја,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Дури и ако не сме ек или лиле,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Можеби не се качуваме многу високо, но само себе!"
LE BRET:,-Зошто?
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Само, но не и против сите."
  As-tu donc contracté la manie effroyable,Дали си ја заразила ужасна манија?
"  De te faire toujours, partout, des ennemis ?",Да се правиме непријатели насекаде?
CYRANO:,Сирано:
"  A force de vous voir vous faire des amis,","Бидејќи ви гледам како се дружите,"
"  Et rire à ces amis dont vous avez des foules,","И да се смеете на овие пријатели кои ги имате многу,"
  D'une bouche empruntée au derrière des poules !,Со уста од позади на курчиња!
"  J'aime raréfier sur mes pas les saluts,",Ми се допаѓа да ги поздравувам моите нозе.
  Et m'écrie avec joie: un ennemi de plus !,И воздигни ми радост: уште еден непријател!
LE BRET:,-Зошто?
  Quelle aberration !,Што е ова?
CYRANO:,Сирано:
"  Eh bien, oui, c'est mon vice.","Па, да, тоа е мојата вик."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ми е убаво да се оддалечам од дома.
"  Mon cher, si tu savais comme l'on marche mieux","Мило, ако знаеш како се оди подобро"
  Sous la pistolétade excitante des yeux !,Под возбудливата гама на очите!
"  Comme, sur les pourpoints, font d'amusantes taches","Како, на појмите, прават забавни петни"
  Le fiel des envieux et la bave des lâches !,Вил на зависниците и лаж на кукавите!
"  --Vous, la molle amitié dont vous vous entourez,","Ти, со која се дружуваш,"
"  Ressemble à ces grands cols d'Italie, ajourés","Изгледа како тие големи Италијански врвја, одложен"
"  Et flottants, dans lesquels votre cou s'effémine:","И плавачки, во кои ќе се одвива вашиот грък:"
"  On y est plus à l'aise. . .et de moins haute mine,","Поудобно е. ...и со помала висина,"
"  Car le front n'ayant pas de maintien ni de loi,","Бидејќи челото нема право и закон,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Се откажува од сите насоки.
"  La Haine, chaque jour, me tuyaute et m'apprête",Непријателството секој ден ме надува и ме подготвува
  La fraise dont l'empois force à lever la tête;,Штрајката која ја отрушува главата.
  Chaque ennemi de plus est un nouveau godron,Секој уште непријател е нов боклук.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Тој ми додава срам и ми додава светлина.
"  Car, pareille en tous points à la fraise espagnole,","Бидејќи, во секој поглед, како и шпанската јајца,"
"  La Haine est un carcan, mais c'est une auréole !","Непријателството е крвоносно, но тоа е ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","БРЕТ (помолчување, поминувајќи ја својата рака под својата):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Гови горд и горко, но понизно"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Само ми кажи дека не те сака!
CYRANO (vivement):,Сирано (живо):
  Tais-toi !,Уште малку!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(По некое време, Кристијан влезе, се меша со младите; тие"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"не му зборува, тој на крајот седнал сам во една"
