Scène 2.VIII.,Tampilan 2.VIII.
"  Eh bien, oui, c'est mon vice.","Nah, iyo, itu adolah kabiasaan ambo."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ambo suko ka dipadayo.
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, kalau awak tau caro bajalan labiah elok"
  Sous la pistolétade excitante des yeux !,Di bawah parang nan manarik mato!
"  Comme, sur les pourpoints, font d'amusantes taches","Kok, di ateh poin, mangarajokan noda-n noda nan lucu"
  Le fiel des envieux et la bave des lâches !,"Mulo urang nan cemburu, sarato jo buruak urang nan takuik!"
"  --Vous, la molle amitié dont vous vous entourez,","--kau, kawan nan lunak nan ado di tangah-tangah angkau,"
"  Ressemble à ces grands cols d'Italie, ajourés","Sarupo jo kalua gadang Italia, ditunda"
"  Et flottants, dans lesquels votre cou s'effémine:","jo aia nan tarang, nan ka manggaruah takuik angkau."
"  On y est plus à l'aise. . .et de moins haute mine,",Kami labiah nyaman jo inyo. . . .
"  Car le front n'ayant pas de maintien ni de loi,","Dek karano, nan kiniko indak ado doh paratuaran nan patuik, sarato indak ado doh paratuaran nan bana."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Inyo indak dapek lai manyatokan sagalo sasuatu.
"  La Haine, chaque jour, me tuyaute et m'apprête","Satiok ari, Banci mamburuak den dan mambari kasiah"
  La fraise dont l'empois force à lever la tête;,Sarang nan jo racunnyo inyo angkek kapalo inyo untuak maninggikan;
  Chaque ennemi de plus est un nouveau godron,Satiok musuah nan labiah adolah sabuah godron baru
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Baliau manambah-tambah kaca-e jo ka-adahan nan luwa biaso.
"  Car, pareille en tous points à la fraise espagnole,","Dek karano, samo jo samulo jo buah pisang Spanyol,"
"  La Haine est un carcan, mais c'est une auréole !","Banci adolah karakan, tapi adolah auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","LANGKAN (sajak sunyi, malalui tangannyo di bawahnyo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Urang nan angkuh, inyo bi maninggikan diri, inyo bi maninggikan diri, inyo bi manggaduah ati, tapi inyo bi maninggikan diri."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Katokan sajolah kabake ambo, baraso inyo indak mangasiahi angkau!"
CYRANO (vivement):,CYRANO (tinggi iduik):
  Tais-toi !,Panuahlah!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Sudah saketek, Christian masuak, balabiah jo anak-anak;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,indak mangecek jo inyo; inyo akhirnya duduak surang di ciek
