Scène 2.VIII.,Àkókò kejìdínláàádọ́jọ.
  Grimper par ruse au lieu de s'élever par force ?,Ṣé ó máa ń ṣe ẹ́ bíi pé kó o máa gbẹ́kẹ̀ lé e lọ́nà tó máa ń mú kó o lè gbẹ́kẹ̀ lé e lọ́nà tó máa ń mú kó o lè gbẹ́kẹ̀ lé e lọ́nà tó máa ń mú kó o lè gbẹ́kẹ̀ lé e lọ́nà tó máa ń mú kó o lè gbẹ́kẹ̀ lé e lọ́nà tó máa ń mú kó o lè gbẹ́kẹ̀?
"  Non, merci. Dédier, comme tous il le font,","O ṣeun, o ṣeun, o ṣeun, bi gbogbo wọn ṣe n ṣeun,"
  Des vers aux financiers ? se changer en bouffon,Láti àwọn àgbákò sí àwọn òṣìṣẹ́ owó
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ní ìrètí tí kò dára láti rí, ní ẹnu òjíṣẹ́ kan,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Kí ni o lè ṣe tí kò fi ní máa dùn ún?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Oúnjẹ ọ̀sán ojoojúmọ́ ni?
  Avoir un ventre usé par la marche ? une peau,"Bí ara rẹ̀ ṣe ń gbẹ nígbà tó o bá ń rìn, ṣé awọ ara rẹ̀ ń gbẹ?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Àwọn wo ló máa ń tètè di ẹlẹ́gbin ju àwọn ọmọ lọ?
  Exécuter des tours de souplesse dorsale ?. . .,Ṣé ó yẹ kí wọ́n máa ṣe eré ìmárale tí wọ́n fi ń ṣe àyàfi àyà wọn? . . .
"  Non, merci. D'une main flatter la chèvre au cou","O ṣeun, o fi ọwọ kan ṣe ẹ̀ṣọ́ ẹ̀yẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹyẹ́ ẹ"
"  Cependant que, de l'autre, on arrose le chou,","Àmọ́, tí a bá ń fi ọ̀pọ̀lọpọ̀ nǹkan ṣan ara wa,"
"  Et, donneur de séné par désir de rhubarbe,",Ati awọn ti o fun awọn ibusun lati awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun fun awọn ti o ni ibusun.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ṣé ó máa ń jẹ́ kí àpáàdì náà máa wà nínú ìbọ̀n-ún?
"  Non, merci ! Se pousser de giron en giron,","O ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣe"
"  Devenir un petit grand homme dans un rond,","Bí mo ṣe di ọkùnrin ńlá kékeré nínú ìyípo kan,"
"  Et naviguer, avec des madrigaux pour rames,","Ati lati rin irin-ajo pẹlu awọn madrigals fun awọn ramu,"
  Et dans ses voiles des soupirs de vieilles dames ?,Àwọn obìnrin àgbàlagbà ń sọ̀rọ̀ lórí àwo rẹ̀?
"  Non, merci ! Chez le bon éditeur de Sercy",Ó ní ilé ìròyìn Sercy tó dára.
"  Faire éditer ses vers en payant ? Non, merci !",Ṣé ó máa ń gba owó láti fi ṣe àtúnṣe?
  S'aller faire nommer pape par les conciles,Kí Àwọn Àpéjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Ìjọ Tó Ń Ṣètò Àwọn Àjọ Tó Ń Ṣètò Àwọn Àjọ Ìjọ Tó Ń Ṣètò Àwọn Àjọ Ìjọ
  Que dans des cabarets tiennent des imbéciles ?,Ṣé àwọn òmùgọ̀ ló máa ń wà nínú ilé ìtajà?
"  Non, merci ! Travailler à se construire un nom","Rárá o, mo dúpẹ́ pé mo ń sapá láti mọ orúkọ rere."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Ṣé ohun tí wọ́n ń ṣe ni pé kí wọ́n máa kọ orin kan dípò tí wọ́n á fi máa kọ orin míì?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ṣé àwọn èèyàn máa ń rí ẹ̀bùn tí kò ṣeé já ní koro?
"  Être terrorisé par de vagues gazettes,","Bí àwọn ìwé ìròyìn ṣe máa ń dáni lórúkọ lójú,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ó sì ń sọ fún ara rẹ pé, ""Ó dáa, bí mo bá wà"
  Dans les petits papiers du Mercure François ?. . .,Nínú ìwé tí Francis Mercury kọ . . .
"  Non, merci ! Calculer, avoir peur, être blême,","O ṣeun, o ṣeun, o ṣeun, o bẹru, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣe"
"  Aimer mieux faire une visite qu'un poème,",Mo fẹ́ràn láti lọ sọ́dọ̀ àwọn èèyàn ju kí n lọ wo àwọn gbólóhùn kan.
"  Rédiger des placets, se faire présenter ?","Ṣé wàá máa kọ ìwé ìkẹ́kọ̀ọ́, tàbí wàá máa sọ ara rẹ fún àwọn èèyàn?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","O ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣeun, o ṣe"
"  Rêver, rire, passer, être seul, être libre,","Rò, ré, kọjá, dá wà, dá wà,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kí ojú rẹ lè ríran dáadáa, kí ohùn rẹ sì máa gbọ̀n-ún."
"  Mettre, quand il vous plaît, son feutre de travers,","Tó o bá fẹ́, kó o máa ṣe ohun tó wù ẹ́."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Nítorí pé ó yẹ kí ẹnì kan sọ bẹ́ẹ̀, tàbí kó sọ pé kò yẹ, kí ó jà, tàbí kó sọ pé kò yẹ!"
"  Travailler sans souci de gloire ou de fortune,",Ẹ má ṣe máa wá ipò ọlá tàbí ọrọ̀.
"  A tel voyage, auquel on pense, dans la lune !",Àjò kan tó máa ń múni ronú jinlẹ̀ lọ sí òṣùpá!
"  N'écrire jamais rien qui de soi ne sortît,",Má ṣe kọ ohunkóhun tí kò bá ti ara rẹ jáde.
"  Et modeste d'ailleurs, se dire: mon petit,","Ó sì tún máa ń sọ fún ara rẹ̀ pé, 'Ọmọ mi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ó lè máa ní ìtẹ́lọ́rùn pẹ̀lú òdòdó, èso, kódà lápá pàápàá."
  Si c'est dans ton jardin à toi que tu les cueilles !,Tó bá jẹ́ inú ọgbà rẹ ni wàá ti máa kó wọn jọ sí!
"  Puis, s'il advient d'un peu triompher, par hasard,","Nígbà náà, bí ó bá ti ṣàṣeyọrí díẹ̀,"
"  Ne pas être obligé d'en rien rendre à César,",Kí o má ṣe san owó fún Késárì.
"  Vis-à-vis de soi-même en garder le mérite,",Nítorí pé ó yẹ kí ìwọ náà máa ṣe ohun tó tọ́ sí ara rẹ.
"  Bref, dédaignant d'être le lierre parasite,","Ní kúkúrú, tí mo bá ń kọbi ara sí i pé mo jẹ́ ẹyẹ àbùdá,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",Kódà nígbà tí a kò bá jẹ́ igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi igi
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ó lè máà gùn tóbi, àmọ́ ó lè dá wà!"
LE BRET:,ÀWỌN ÀWỌN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ó lè jẹ́ pé òun nìkan ló ń ṣe é, àmọ́ kì í ṣe gbogbo èèyàn ló ń ṣe é."
  As-tu donc contracté la manie effroyable,"Nítorí náà, ṣé o ti ní ìdààmú ọkàn tó burú jáì?"
"  De te faire toujours, partout, des ennemis ?",Ṣé ó máa ń wù ẹ́ láti máa ṣe àwọn ọ̀tá rẹ níbikíbi?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Nítorí pé ẹ ń bá a ṣọ̀rẹ́,"
"  Et rire à ces amis dont vous avez des foules,",Ẹ máa rẹ́rìn-ín músẹ́ sáwọn ọ̀rẹ́ yín tí ẹ jọ ń gbé pọ̀.
  D'une bouche empruntée au derrière des poules !,O ti gba ẹnu rẹ̀ lọ́wọ́ ẹyẹ!
"  J'aime raréfier sur mes pas les saluts,",Mo máa ń fẹ́ kí àwọn èèyàn kí mi nígbà tí mo bá ń rìn.
  Et m'écrie avec joie: un ennemi de plus !,"Ẹ kígbe fún mi pẹ̀lú ìdùnnú pé, ""Ẹni tí ó bá ń ṣe ọ̀tá mi tún wá!"
LE BRET:,ÀWỌN ÀWỌN:
  Quelle aberration !,Ẹ ò rí i pé àṣìṣe ńlá gbáà nìyẹn!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ó ṣe tán, ó jẹ́ ìwà mi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mo máa ń gbádùn bí mo ṣe ń lọ sílé, mo sì máa ń fẹ́ káwọn èèyàn kórìíra mi."
"  Mon cher, si tu savais comme l'on marche mieux","Mo fẹ́ràn rẹ̀, bí o bá mọ̀ bí a ṣe lè rìn dáadáa"
  Sous la pistolétade excitante des yeux !,Láàárín ojú tó ń múni láyà!
"  Comme, sur les pourpoints, font d'amusantes taches",Bí àwọn tó ń ṣe eré ìnàjú ṣe máa ń ṣe àwọn nǹkan tó ń dùn ún wò
  Le fiel des envieux et la bave des lâches !,Ìwà ìkà àwọn aláàánú àti ìwà ìkà àwọn ọ̀lẹ̀!
"  --Vous, la molle amitié dont vous vous entourez,","-Ẹ̀yin ọ̀rẹ́ tímọ́tímọ́ tí ẹ jọ wà,"
"  Ressemble à ces grands cols d'Italie, ajourés","O dabi awọn nla wọnyi ni Italy, ti o ti ni idaduro"
"  Et flottants, dans lesquels votre cou s'effémine:","Ati awọn ti o wa ni afonifoji, ninu eyi ti ọrùn rẹ ti wa ni ti o ni ẹru:"
"  On y est plus à l'aise. . .et de moins haute mine,",A máa ń gbádùn ara wa gan-an.
"  Car le front n'ayant pas de maintien ni de loi,",Nítorí pé kò sí òfin kankan tàbí ìlànà kankan lórí iwájú orí.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ó máa ń ṣe gbogbo ohun tó bá wù ú.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ìkórìíra ń fi mí sílẹ̀ lójoojúmọ́, ó sì ń mú kí n wà ní ipò tó dáa."
  La fraise dont l'empois force à lever la tête;,Àwọn ọ̀bẹ̀ tí ó ń mú kí orí wọn gbé sókè ni àfóró wọn ń mú kí orí wọn gbé sókè.
  Chaque ennemi de plus est un nouveau godron,Olórìídì tó bá tún wá di ọ̀tá tuntun
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ó ń fi ìnira kún mi, ó sì ń fi ìnira kún mi."
"  Car, pareille en tous points à la fraise espagnole,","Nítorí pé, bí ọ̀pọ̀ nǹkan ṣe rí nínú ọ̀pọ̀ ọ̀nà, ó jọ pé ọ̀pọ̀ nǹkan ló ń ṣẹlẹ̀ nínú ọ̀pọ̀ ọ̀nà."
"  La Haine est un carcan, mais c'est une auréole !","Ìkórìíra jẹ́ ẹ̀gbin, àmọ́ ó jẹ́ òṣùpá!"
"LE BRET (après un silence, passant son bras sous le sien):","OJÚ (Lẹ́yìn tí o ti dáké, ti nlọ ọwọ́ rẹ̀ lábẹ́ rẹ̀):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ẹ fi ìgbéraga àti ìkùgbù hàn, kí ẹ sì fi ara yín sábẹ́ ahọ́n."
  Dis-moi tout simplement qu'elle ne t'aime pas !,O kàn sọ fún mi pé kò nífẹ̀ẹ́ rẹ!
CYRANO (vivement):,CYRANO (ìwàláàyè):
  Tais-toi !,Dáké!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Lẹ́yìn ìgbà kan, Christian wọlé, ó wọlé sí àwọn ọmọdé; àwọn"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"kò bá a sọ̀rọ̀, ó wá jókòó jálẹ̀ lọ́nà kan"
