Scène 2.VIII.,第二八場
  Dans les petits papiers du Mercure François ?. . .,"喺""法國水星""嘅小文件中?"
"  Non, merci ! Calculer, avoir peur, être blême,","唔好,多謝! 計算,恐懼,淡"
"  Aimer mieux faire une visite qu'un poème,",想去睇一篇詩歌比去睇一篇詩歌好
"  Rédiger des placets, se faire présenter ?","寫封面,表達自己?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,唔,"
"  Rêver, rire, passer, être seul, être libre,","梦想,笑,过路,孤单,自由"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","眼睛可以好睇,聲音可以震動"
"  Mettre, quand il vous plaît, son feutre de travers,","你想點點點,就點點"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","答案係""係"" 或者""唔係"""
"  Travailler sans souci de gloire ou de fortune,",唔好為人而擔心榮耀或者財富
"  A tel voyage, auquel on pense, dans la lune !",我哋會諗到一個月球之旅
"  N'écrire jamais rien qui de soi ne sortît,","唔好寫嘢,但係唔好寫嘢"
"  Et modeste d'ailleurs, se dire: mon petit,","冇人會話: ""我個細路,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","果樹,花朵,甚至葉子都可以滿足你"
  Si c'est dans ton jardin à toi que tu les cueilles !,如果你喺自己個花園佢哋
"  Puis, s'il advient d'un peu triompher, par hasard,",如果佢有機會贏得一場比賽
"  Ne pas être obligé d'en rien rendre à César,","免得我有义务向皇帝交什么 ,"
"  Vis-à-vis de soi-même en garder le mérite,","而對自己嚟講,"
"  Bref, dédaignant d'être le lierre parasite,","總之,我唔理自己係寄生蟲"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",即使我哋唔係樹同樹
"  Ne pas monter bien haut, peut-être, mais tout seul !","雖然唔高,但可以獨自行!"
LE BRET:,",你係個"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","雖然係獨自,但唔係對抗所有人"
  As-tu donc contracté la manie effroyable,你有冇發現呢樣嘢?
"  De te faire toujours, partout, des ennemis ?",你會唔會想成日喺任何地方做敵人?
CYRANO:,",你會唔會覺得好好"
"  A force de vous voir vous faire des amis,",因為佢見到你同佢交朋友
"  Et rire à ces amis dont vous avez des foules,",你會嘲笑你有群眾嘅朋友
  D'une bouche empruntée au derrière des poules !,係個尾嘅口!
"  J'aime raréfier sur mes pas les saluts,",我好鍾意喺腳下發表嘅祝福
  Et m'écrie avec joie: un ennemi de plus !,又叫我歡呼: 又有一個敵人!
LE BRET:,",你係個"
  Quelle aberration !,呢樣係好!
CYRANO:,",你會唔會覺得好好"
"  Eh bien, oui, c'est mon vice.",我覺得係我個缺點
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"我好鍾意流浪,我好鍾意被人憎"
"  Mon cher, si tu savais comme l'on marche mieux","我愛你,如果你知道你走得更好"
  Sous la pistolétade excitante des yeux !,眼睛嘅激動性!
"  Comme, sur les pourpoints, font d'amusantes taches",點擊點點點做好有趣嘅動作
  Le fiel des envieux et la bave des lâches !,"嫉妒者嘅惡毒,膽怯嘅人嘅惡毒!"
"  --Vous, la molle amitié dont vous vous entourez,","你,你身邊嘅溫柔朋友"
"  Ressemble à ces grands cols d'Italie, ajourés","好像意大利嘅大子,"
"  Et flottants, dans lesquels votre cou s'effémine:","你會發出海浪,"
"  On y est plus à l'aise. . .et de moins haute mine,","我哋更加舒服,而且身高低"
"  Car le front n'ayant pas de maintien ni de loi,","因為前頭無守法,無守法"
"  S'abandonne à pencher dans tous les sens. Mais moi,",佢會放心去睇任何方向
"  La Haine, chaque jour, me tuyaute et m'apprête","每日,仇恨都我,我"
  La fraise dont l'empois force à lever la tête;,桃嘅毒氣強迫佢抬頭
  Chaque ennemi de plus est un nouveau godron,每個新嘅敵人 都係新嘅
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","他加上我麻煩 , 加上我光."
"  Car, pareille en tous points à la fraise espagnole,","因為,好似西班牙咁,"
"  La Haine est un carcan, mais c'est une auréole !","仇恨係一種,但係一種!"
"LE BRET (après un silence, passant son bras sous le sien):"," (沉默之後,將手臂擺喺佢身邊):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","驕傲者高舉 , 苦苦 , 卻低低."
  Dis-moi tout simplement qu'elle ne t'aime pas !,簡單講佢唔愛你!
CYRANO (vivement):,CYRANO (活著):
  Tais-toi !,住!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(一陣之後,基督徒走入,同小朋友一齊,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"佢哋唔想同佢講嘢,最後佢坐咗一個人"
