Scène 2.VIII.,2.VIII sahne.
  Grimper par ruse au lieu de s'élever par force ?,"Qabaatnen tırmanmaq yerine, hileli tırmanmaq?"
"  Non, merci. Dédier, comme tous il le font,","Yoq, teşekkürler."
  Des vers aux financiers ? se changer en bouffon,"Yarımadan finansçılardan başlap, yarımadan soñ,"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Bir nazirniñ ağzından körmege ümüt etken,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ne de olsa, yaramay olğan bir gülümseme doğurmaq?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Er kün bir cüceñnen aşlanıñızmı?
  Avoir un ventre usé par la marche ? une peau,"Yürgen soñ aşanıñ aşaması tükenip ketkenini, terisiniñ tükenip ketkenini"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kim eñ tez, dizler yerine, kirlenir?"
  Exécuter des tours de souplesse dorsale ?. . .,Sırtqa yımşaqlıq turlarını yapmaq? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Bir elnen keçi boynuna yapışmaq
"  Cependant que, de l'autre, on arrose le chou,","Lâkin, digerinden, bizler soğan suvarğanımızdan,"
"  Et, donneur de séné par désir de rhubarbe,","Ve körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüşüvge, körüş"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Onıñ tüstügi, er vaqıt, bir sakalında mı?"
"  Non, merci ! Se pousser de giron en giron,","Yoq, teşekkürler! Bir-birinden yürekke tüşmek,"
"  Devenir un petit grand homme dans un rond,","Bir topraqda küçük büyük adam olmağa,"
"  Et naviguer, avec des madrigaux pour rames,","Ve deñizde, kemeler içün,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ve onıñ yelpağında qart hanımlarnıñ nefesleri bar?
"  Non, merci ! Chez le bon éditeur de Sercy","Yoq, teşekkürler, Sercyniñ muarriri."
"  Faire éditer ses vers en payant ? Non, merci !",- Ükümnen yazğanını derc etmege?
  S'aller faire nommer pape par les conciles,Papa olaraq tayin etilmek içün meclisler
  Que dans des cabarets tiennent des imbéciles ?,"- Buña köre, evlerde aptallar barmı?"
"  Non, merci ! Travailler à se construire un nom","Yoq, teşekkürler, öz adını qurmaq içün çalışmaq."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Bir sonnetni başqa bir sonnetni yapmaq yerine?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Tek mazdalarda yetenekni tapmaq?
"  Être terrorisé par de vagues gazettes,","Gazetalarnıñ dalğasından qorqmaq,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ve daima özüñe: ""Ah, men olsam,"
  Dans les petits papiers du Mercure François ?. . .,Merkur Francisniñ küçük kâğıtlarında?..
"  Non, merci ! Calculer, avoir peur, être blême,","Yoq, teşekkürler, esaplamaq, qorquzmaq, aqılsız olmaq,"
"  Aimer mieux faire une visite qu'un poème,","Şiirden ziyade ziyaretni sevmek,"
"  Rédiger des placets, se faire présenter ?","Beyaz yazmaq, tanıtmaq?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Yoq, teşekkürler, teşekkürler, teşekkürler, amma..."
"  Rêver, rire, passer, être seul, être libre,","Kulaklamaq, gülmek, keçmek, yalıñız olmaq, azat olmaq,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Gözler körmek içün, sesler titremek içün,"
"  Mettre, quand il vous plaît, son feutre de travers,","İsteseñ, onı añlatıp,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Evet"" içün, ""yoq"" içün, küreşmek, ya da bir virüs yapmaq!"
"  Travailler sans souci de gloire ou de fortune,","İşni ne şan-şeref, ne de zenginlik içün tüşünmeñiz."
"  A tel voyage, auquel on pense, dans la lune !","Ayğa böyle bir yolculuk, onı tüşünemiz!"
"  N'écrire jamais rien qui de soi ne sortît,","Özünden çıqmağan bir şeyni iç bir vaqıt yazma,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ve, öz-özüne: ""Qızım,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Çiçekler, meyveler, yarpaqlar bile,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Bağçasında olarnı toplasañ!
"  Puis, s'il advient d'un peu triompher, par hasard,","Soñra, eger de o, az-kem üstünlik qazansa,"
"  Ne pas être obligé d'en rien rendre à César,","Qaysarğa bermege mecbur olmağanıñ içün,"
"  Vis-à-vis de soi-même en garder le mérite,","Öz-özüne qarşı, onıñ mertebesini saqlap qalmaq içün,"
"  Bref, dédaignant d'être le lierre parasite,","Qısqası, parazit lierre olmağanına baqmadan,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Biz ne yataq, ne de çiylik degilken,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Yüksek bir yerge çıqmay, belki de, amma tek başına!"
LE BRET:,Kök:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Yalıñız olsa da, amma episine qarşı degil."
  As-tu donc contracté la manie effroyable,Sen de qorqunçlı manayağa oğradıñmı?
"  De te faire toujours, partout, des ennemis ?",Er yerde duşmanlarnı yapmaq?
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","Dostlaşqanıñıznı körgen soñ,"
"  Et rire à ces amis dont vous avez des foules,","Ve dostlarıñıznıñ çoqusını quvanıp,"
  D'une bouche empruntée au derrière des poules !,Tükelerniñ arqasında alğan ağızdan!
"  J'aime raréfier sur mes pas les saluts,","Ayaqlarımda selâmlarnı pek az aytmağa sevem,"
  Et m'écrie avec joie: un ennemi de plus !,"Ve quvançnen bağır: ""Bir duşman daa!"""
LE BRET:,Kök:
  Quelle aberration !,Ne qadar aberasiya!
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Men, evet, bu menim ilâcemdir."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Men ketmege begenem. Men nefret etilmege sevem.
"  Mon cher, si tu savais comme l'on marche mieux","Canım, nasıl yürmek daa yahşı olğanını bilsen"
  Sous la pistolétade excitante des yeux !,Gözlerniñ quvançlı silâlı qarışında!
"  Comme, sur les pourpoints, font d'amusantes taches","Nasıl, işaretler üzerinde eğlenceli noqtalar yapmaq"
  Le fiel des envieux et la bave des lâches !,Hasretlilerniñ şevkesi ve qorqunçlarnıñ şevkesi!
"  --Vous, la molle amitié dont vous vous entourez,","- Siz, etrafıñızdaki yımşaq dostluq,"
"  Ressemble à ces grands cols d'Italie, ajourés","İtaliyanıñ büyük yastıqlarına oşağan, ertelik"
"  Et flottants, dans lesquels votre cou s'effémine:","Boynunıñ bozulğan yüzüvi,"
"  On y est plus à l'aise. . .et de moins haute mine,","Biz daa rahatmız ve daa az yükseklik,"
"  Car le front n'ayant pas de maintien ni de loi,","Çünki qabağınen bir şey yapıp olamay, qanun da yoq."
"  S'abandonne à pencher dans tous les sens. Mais moi,",Er tarafqa baqmağa devam ete.
"  La Haine, chaque jour, me tuyaute et m'apprête","Nefret, er kün meni tükürer ve qıyındırır"
  La fraise dont l'empois force à lever la tête;,Başını kötermek içün zıddiyetli çorbaçıq;
  Chaque ennemi de plus est un nouveau godron,Daa bir duşman yañı bir çocadır
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Meni qıyınlıqqa, yaramaylıqqa qoşqan Allah!"
"  Car, pareille en tous points à la fraise espagnole,","Çünki, er şeyde İspaniya çorbası kibi,"
"  La Haine est un carcan, mais c'est une auréole !","Nifret - bir qart, amma bu bir auröol!"
"LE BRET (après un silence, passant son bras sous le sien):","KİM (sessizlikten soñ, qolını öz qoluna keçirip):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Küreşip, açuvlanıp, alçaqtan çıq."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Tek maña o seni sevmegenini ayt!
CYRANO (vivement):,CYRANO (yaşağan):
  Tais-toi !,Süküt et!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bir vaqıt içinde, Christian kirdi, balalarnen araştı; olar"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"laf etmediler, soñunda o, yalıñız bir"
