Scène 2.VIII.,Scena 2.VIII.
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Grazie, ma il talento non si trova che nelle mazze?"
"  Être terrorisé par de vagues gazettes,","Essere terrorizzati da un'onda di giornali,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E continuamente dire: ""Oh, se fossi"
  Dans les petits papiers du Mercure François ?. . .,Nel piccolo giornale di Mercurio Francesco? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcolare, avere paura, essere triste,"
"  Aimer mieux faire une visite qu'un poème,","Preferire un viaggio che un poema,"
"  Rédiger des placets, se faire présenter ?","Scrivere dei biglietti, presentarsi?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, grazie, grazie, grazie, grazie, grazie, ma... cantare, cantare, cantare, cantare."
"  Rêver, rire, passer, être seul, être libre,","Sognare, ridere, passare, stare da soli, essere liberi,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Avere un occhio che vede bene, una voce che vibra,"
"  Mettre, quand il vous plaît, son feutre de travers,","Mettere, quando si vuole, il suo sentimento di torto,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Per un sì, per un no, combattere, o fare un verme!"
"  Travailler sans souci de gloire ou de fortune,","Lavorare senza preoccuparsi di gloria o ricchezza,"
"  A tel voyage, auquel on pense, dans la lune !",Un viaggio che si pensa a fare sulla luna!
"  N'écrire jamais rien qui de soi ne sortît,","Non scrivere mai niente che non viene da te stesso,"
"  Et modeste d'ailleurs, se dire: mon petit,","E modesto, di solito, si dice: ""Il mio bambino,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Potrebbe essere soddisfatto di fiori, frutti, anche di foglie,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se è nel tuo giardino che li raccogli!
"  Puis, s'il advient d'un peu triompher, par hasard,","Poi, se dovesse trionfare un po',"
"  Ne pas être obligé d'en rien rendre à César,","Non sia obbligato a pagare l'imperatore,"
"  Vis-à-vis de soi-même en garder le mérite,","Per conservare il merito verso se stessi,"
"  Bref, dédaignant d'être le lierre parasite,","Insomma, disprezzando di essere il lierre parassita,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Anche se non siamo un'uce o un'albero,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Non salire molto, forse, ma da solo!"
LE BRET:,Il RIO:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Solo, ma non contro tutti."
  As-tu donc contracté la manie effroyable,"Allora, hai avuto la terribile mania?"
"  De te faire toujours, partout, des ennemis ?",Che ti faccia sempre nemici ovunque?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Vedendo come fate amicizia,"
"  Et rire à ces amis dont vous avez des foules,","E ridere di questi amici che avete in giro,"
  D'une bouche empruntée au derrière des poules !,Con una bocca a bocca aperta!
"  J'aime raréfier sur mes pas les saluts,","Mi piace salutare raramente i miei piedi,"
  Et m'écrie avec joie: un ennemi de plus !,E mi chiami con gioia: un altro nemico!
LE BRET:,Il RIO:
  Quelle aberration !,Che aberrazione!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Beh, sì, è il mio vizio."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mi piace andare via, mi piace essere odiato."
"  Mon cher, si tu savais comme l'on marche mieux","# Mio caro, se sapessi come camminare #"
  Sous la pistolétade excitante des yeux !,Sotto l'esaltante puntura degli occhi!
"  Comme, sur les pourpoints, font d'amusantes taches","Come, sui punti di riferimento, fare macchie divertenti"
  Le fiel des envieux et la bave des lâches !,La gallina degli invidiabili e la brutta della codardia!
"  --Vous, la molle amitié dont vous vous entourez,","Tu, la dolce amicizia che ti circonda,"
"  Ressemble à ces grands cols d'Italie, ajourés",Sembra che i colli italiani siano stati rimandati
"  Et flottants, dans lesquels votre cou s'effémine:","E galleggianti, nei quali il tuo collo si spaventa:"
"  On y est plus à l'aise. . .et de moins haute mine,",Ci sentiamo più a nostro agio.
"  Car le front n'ayant pas de maintien ni de loi,","Perché il fronte non ha un sistema e non ha legge,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Si arrende a guardare in ogni direzione.
"  La Haine, chaque jour, me tuyaute et m'apprête","Ogni giorno, l'odio mi fa venire il culo e mi prepara"
  La fraise dont l'empois force à lever la tête;,La fragola che il veleno costringe a alzare la testa;
  Chaque ennemi de plus est un nouveau godron,Ogni altro nemico è un nuovo matto.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",E mi ha aggiunto un'inquietudine e un'inquietudine.
"  Car, pareille en tous points à la fraise espagnole,","Perché, come in ogni modo la fragola spagnola,"
"  La Haine est un carcan, mais c'est une auréole !","L'Odio è un carcan, ma è un auroreole!"
"LE BRET (après un silence, passant son bras sous le sien):","L'ANZIO (dopo un silenzio, passando il braccio sotto il suo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Fai l'orgoglioso alto e amarlo, ma basso"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dimmi solo che lei non ti ama!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,- Chiudi il becco!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Dopo un po' Christian è entrato, si è mescolato con i giovani; questi"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"non gli hanno parlato, alla fine si è seduto solo a una"
