Scène 2.VIII.,Ñemohenda 2.VIII.
"  Avoir son encensoir, toujours, dans quelque barbe ?","Oguereko haguã itaju'i, peteĩ barbónpe?"
"  Non, merci ! Se pousser de giron en giron,","Ndaipóri, aguyje."
"  Devenir un petit grand homme dans un rond,","Oiko peteĩ kuimba'e guasu michĩmi peteĩ mbyja'o,"
"  Et naviguer, avec des madrigaux pour rames,","Ha'e kuéra ohóva yguasu rehe, umi yguasu reheve,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ha umi vello-pe umi vieja kuñakarai ñembyasýiva?
"  Non, merci ! Chez le bon éditeur de Sercy","No, gracias, pe editor Sercy-pe."
"  Faire éditer ses vers en payant ? Non, merci !",¿Oñemboheko hag̃ua umi ñe'ẽpoty?
  S'aller faire nommer pape par les conciles,Oñemoĩ haguã Papa ramo Concilio-kuérape
  Que dans des cabarets tiennent des imbéciles ?,¿Mba'e piko umi ka'aguype oĩ umi imbécil?
"  Non, merci ! Travailler à se construire un nom",Mba'e porãpa rejapóta ndehegui.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Peteĩ sonéto reheve, ndaha'éi ambue?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Mba'e piko umi mba'e porãva jaikuaa'ỹre umi mba'e porã jaikuaa'ỹre?
"  Être terrorisé par de vagues gazettes,","Ojerokyhyje'ÿva kuatiañe'ê rupive,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ha he'i jepi: ""Ajépa che che"
  Dans les petits papiers du Mercure François ?. . .,Umi kuatiañe'ẽ michĩvéva Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ndaipóri, aguyje."
"  Aimer mieux faire une visite qu'un poème,","Ohayhuveha peteĩ visita ñe'ẽpoty,"
"  Rédiger des placets, se faire présenter ?","Embo'e umi kuatiañe'ẽ, eikuaauka?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaipóri, ndaip"
"  Rêver, rire, passer, être seul, être libre,","Areko jepi, oñembohory, ohasa, oiko añónte, oiko'ỹre,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ehecha porã nde resa, eñe'ẽ nde py'a potĩ,"
"  Mettre, quand il vous plaît, son feutre de travers,","Eipuru, nde reipota jave, nde rekoha vai,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Peteĩ sí, peteĩ no, ñorairõ, térã ñambohovái!"
"  Travailler sans souci de gloire ou de fortune,","Ha'e kuéra omba'apo ndojapóiva mba'e guasu térã mba'erepy,"
"  A tel voyage, auquel on pense, dans la lune !","Peteĩ viaje, ñaimo'ãramo, jasype!"
"  N'écrire jamais rien qui de soi ne sortît,","Ani rehai mba'eve ndejehegui reínte,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ha'e avei imboriahúva, he'ívo: ""Che mitâ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ovy'a yvoty, yva ha avei yvyra."
  Si c'est dans ton jardin à toi que tu les cueilles !,Nde yvotytýpe reñotỹramo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Upéi, oiméramo oguahë mbykymi,"
"  Ne pas être obligé d'en rien rendre à César,","Ha'e he'i: ""Anive reikotevẽ reiporavo haguã Césarpe""."
"  Vis-à-vis de soi-même en garder le mérite,","Oiméramo ñande rapicha,"
"  Bref, dédaignant d'être le lierre parasite,","He'iséva: ""Oñemboyke'ÿva'ekue chehegui,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nañandepo'ái ramo jepe yvyra'i térã yvyra'i,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ikatu ndaje ha'e mombyry, ha'eño!"
LE BRET:,Pe mba'epu'ã:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ha'eño, katu ndaha'éi opavavépe."
  As-tu donc contracté la manie effroyable,¿Ha'e piko nde reheve ojepytasóva mba'e vaiete?
"  De te faire toujours, partout, des ennemis ?",¿Mba'e piko rejapóta nde reheve opa hendápe?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ohechávo peñemoirũha,"
"  Et rire à ces amis dont vous avez des foules,","Ha reñemondýi umi ne irũ rehe,"
  D'une bouche empruntée au derrière des poules !,Peteî mbói ojejopyva'ekue guyra rykuére!
"  J'aime raréfier sur mes pas les saluts,","Che py'a potĩ ahendu che py'a potĩme,"
  Et m'écrie avec joie: un ennemi de plus !,"Ha che rovy'a: ""Oreve peteĩ enemigo""."
LE BRET:,Pe mba'epu'ã:
  Quelle aberration !,Mba'eichagua mba'evaipa!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",Ha'e niko che mba'e vai.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Che vy'a'ỹ niko apyta, ha che rayhu oje'ói ramo."
"  Mon cher, si tu savais comme l'on marche mieux","Che mborayhu, reikuaa ramo mba'éichapa jaha'ã porãve"
  Sous la pistolétade excitante des yeux !,¡Oñembo'e porãiterei hikuái!
"  Comme, sur les pourpoints, font d'amusantes taches","Mba'éichapa, umi punto-pe, ojapo ta'anga'i porã"
  Le fiel des envieux et la bave des lâches !,Umi ñembyasýiva ñembyasýiva ha umi kyhyje'ỹva ñembyasýiva.
"  --Vous, la molle amitié dont vous vous entourez,","- Nde, nde mborayhu mborayhu nde reheguáva,"
"  Ressemble à ces grands cols d'Italie, ajourés","Oiméne ko'ã collar guasu Italia-gua, oñemotenonde"
"  Et flottants, dans lesquels votre cou s'effémine:","Ha umi y rembe'ýpe, nde ruguy oñehundihápe:"
"  On y est plus à l'aise. . .et de moins haute mine,","Javy'avéta upépe. Ha ñande yvateve,"
"  Car le front n'ayant pas de maintien ni de loi,",Ha'e ramo ha'e kuery ma nda'evei 'rã mba'emo ojapo aguã.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ha'e oñeme'ẽmbaite opa hendápe.
"  La Haine, chaque jour, me tuyaute et m'apprête","Mborayhu, ára ha ára che pykúi ha che pykúi"
  La fraise dont l'empois force à lever la tête;,Pe morraícha ijapyra'ỹva omopu'ã haguã iñakã.
  Chaque ennemi de plus est un nouveau godron,Opaite enemigo pyahu ha'e peteĩ ka'aguy pyahu
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ha'e che rovasa asyve ha che py'a potĩve.
"  Car, pareille en tous points à la fraise espagnole,","Ha'e rupi, opa mba'e rupi, pe marrocha España pegua,"
"  La Haine est un carcan, mais c'est une auréole !","Mborayhu ha'e peteĩ carcan, ha katu peteĩ auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","PEKÁRA (ñepytu'u rire, ipópe ipópe):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ejapo umi ipochy ha ipochy, ha eitypa umi ipochy"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Eñe'ẽ chéve nderehayhuha.
CYRANO (vivement):,CYRANO (oikoha tekove rehe):
  Tais-toi !,Epu'ã nde py'a!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Oñepyrûvo, Christian oike, oike umi mitârusukuéra ndive;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ndoje'ói hese, ha'e opyta peteïha"
