Scène 2.VIII.,منظر 2 ۔8 ۔
  S'aller faire nommer pape par les conciles,پوپ کہِ نامزدگی خٲطرٕہ کانسلن منز
  Que dans des cabarets tiennent des imbéciles ?,کیازِ کیہن بیوکوفن چھِ کیہن خانن منز روزان؟
"  Non, merci ! Travailler à se construire un nom",نہٕ، تُہنز شکریہ۔ پننہٕ ناو بناونس پیٹھ کٲم کرن
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",اکھ صوتی بجایہٕ بیاکھ؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شکریہ۔ کیا تم صرف ڈیلنٹس منٛز ہیکہٕ پرفارمنس دریافت کرتھ؟
"  Être terrorisé par de vagues gazettes,",اخبارن ہٕنٛدۍ لہرٕ سۭتۍ ڈرتھ،
"  Et se dire sans cesse: Oh, pourvu que je sois","تہٕ پننس پان پان ونان: ""اوہ، اگر تہِ آسہٕ"
  Dans les petits papiers du Mercure François ?. . .,مرکیو فرانسسکو کین لکیرن پیپرزس منٛز؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",نہٕ، تُہنز شکریہ۔ حساب، خوف، ذہنیت،
"  Aimer mieux faire une visite qu'un poème,",اکھ نظمہٕ کھوتہٕ زیادٕہ دورہٕ پسند کرُن،
"  Rédiger des placets, se faire présenter ?",پننہٕ پننہٕ نشاندہی کرنس، پننہٕ پننہٕ نشاندہی کرنس؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نہٕ، تُہنز تہِ شکریہ!
"  Rêver, rire, passer, être seul, être libre,",خواب، ہنٛسہٕ، گزرن، اکیلے، آزاد،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",اکھ نظرِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِ ہِنٛدِنٛدِ ہِنٛدِ ہِنٛدِنٛدِ ہِنٛدِنٛدِ ہِنٛدِنٛدِ ہِنٛدِنٛدِ
"  Mettre, quand il vous plaît, son feutre de travers,",پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَننِس پَنن
"  Pour un oui, pour un non, se battre,--ou faire un vers !",ہاں، نہٕ، لڑنہٕ، یا ورمٕچ کٲم!
"  Travailler sans souci de gloire ou de fortune,",تمن ہنٛد مقصد نہٕ تمن ہنٛدس کانٛہہ تہٕ نہٕ تمن ہنٛدس کانٛہہ تہٕ تہٕ تمن ہنٛدس کانٛہہ تہٕ تہٕ تہٕ تہٕ تہٕ تہٕ۔
"  A tel voyage, auquel on pense, dans la lune !",تمن ہنٛدس سفرس پیٹھ، یُس تمن ہنٛدس بارس منٛز، چاندس پیٹھ چُھ سوچان!
"  N'écrire jamais rien qui de soi ne sortît,",تمہٕ ہیکو نہٕ یُس پننس پانس پیٹھہٕ چُھ نہٕ لکھی،
"  Et modeste d'ailleurs, se dire: mon petit,",تہٕ تم چھِ نہٕ آسان، تم چھِ پننہٕ پانہٕ ونان، 'میرا بچّہٕ،
"  Soit satisfait des fleurs, des fruits, même des feuilles,",تہِ پننِس پَتٔ پیٹھ تہِ پنِس پَتٔ پیٹھ تہِ پنِس پَتٔ پیٹھ تہِ پنِس پَتٔ پیٹھ تہِ
  Si c'est dans ton jardin à toi que tu les cueilles !,اگر تم پننہٕ باغس منز ہیکو یہٕ کھینچُن!
"  Puis, s'il advient d'un peu triompher, par hasard,","اگر أمہِ خأطرِ ""یُس تہ کانہہ َاکھاناد آسِ"""
"  Ne pas être obligé d'en rien rendre à César,",تہ تمن آسہ نہ شہنشاہس پیٚٹھ کُنہٕ تہٕ ثأب۔
"  Vis-à-vis de soi-même en garder le mérite,",پننس پانس منز چُھ تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس تمس
"  Bref, dédaignant d'être le lierre parasite,",مختصر طور پٲنٹھ، پرجیوی لیورٕ ہٕنٛدس طورس پیٚٹھ کٲشُر،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ییلہٕ تہِ نہٕ ہم آسہٕ اکھ کھیت یا اکھ کھیت،
"  Ne pas monter bien haut, peut-être, mais tout seul !",شاید نہٕ زیادٕہ بلند، مگر اکیلے!
LE BRET:,بیٚیہِ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",اکیلے، مگر نہٕ تمام لوکن خلاف۔
  As-tu donc contracté la manie effroyable,توٚہہِ چھُوا کُنہٕ نہٕ وَپٲرۍ یمن چیزن منز اضافہٕ کرُن
"  De te faire toujours, partout, des ennemis ?",تمہٕ پننہٕ دُشمن پیٹھ ہر وقت کٲم کرُن؟
CYRANO:,سیراون:
"  A force de vous voir vous faire des amis,",تمن دوست بناونس پیٹھ،
"  Et rire à ces amis dont vous avez des foules,",تہٕ تمن لوکن ہنٛدس دوستن پیٹھ ہنسہٕ،
  D'une bouche empruntée au derrière des poules !,اکھ منہٕ یم مرٛیٚن ہٕنٛدۍ پٮ۪ٹھ چھُ قرضہٕ!
"  J'aime raréfier sur mes pas les saluts,",میہِ تہِ ہیوٚکہِ پننِس گوٚرِ پیٹھ سلام کرُن
  Et m'écrie avec joie: un ennemi de plus !,"تہٕ تمن آو مُبارکھ سُنٛد آواز उठावन، ""دیکھ، اکھ تہِ دشمن!"
LE BRET:,بیٚیہِ:
  Quelle aberration !,یہٕ چُھ واریاہ غلط!
CYRANO:,سیراون:
"  Eh bien, oui, c'est mon vice.",بہٕ چھُس اَکھ مُحق۔
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,مَنٛز چھِ بےٚاکھ کٲم کرنُک شوق۔ مَنٛز چھِ نفرتٕ پسند۔
"  Mon cher, si tu savais comme l'on marche mieux",میہِ گژھہِ، اگر تِہِ زانان کہِ کانہہ پریتھ وقتس منز چِھ
  Sous la pistolétade excitante des yeux !,اَکھ دلچسپ نظرٕچ پستول حالتس تحت!
"  Comme, sur les pourpoints, font d'amusantes taches",یتھ پٲٹھۍ بہٕ یہٕ گوڈنِکہٕ پٔتمیو کٲم کنہٕ خٲطرٕہ گٲی دلچسپ مضامین۔
  Le fiel des envieux et la bave des lâches !,حسدٕ کرن وٲلِس تہٕ ڈکھی کرن وٲلِس!
"  --Vous, la molle amitié dont vous vous entourez,",تم، تمن ملن والن دوستن، تمن ملن والن دوستن،
"  Ressemble à ces grands cols d'Italie, ajourés",یہٕ چُھ اٹلی ہٕنٛدۍ یمن بڑن گلن ہٕنٛدس پٲنٹھ،
"  Et flottants, dans lesquels votre cou s'effémine:",تہ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ
"  On y est plus à l'aise. . .et de moins haute mine,",تم چھہِ اتھ منز زیادٕہ آرام دہ تہٕ روزان۔
"  Car le front n'ayant pas de maintien ni de loi,",تَس چُھنٔ کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہُند کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِندِس کانہ تِہِ وُچھِتھ
"  S'abandonne à pencher dans tous les sens. Mais moi,",تم چِھ ہر طرفہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سُ
"  La Haine, chaque jour, me tuyaute et m'apprête",نفرت، روزہٕ روزہٕ، چھس مےٚ پُرٕ پُرٕ پُرٕ پُرٕ
  La fraise dont l'empois force à lever la tête;,سُ چُھس اَتھ مُلکہٕ پیٹھ مُتلق زِ سُ چُھس اَتھ مُلکہٕ پیٹھ مُتلق زِ سُ چُھس
  Chaque ennemi de plus est un nouveau godron,ہر اکھ بیاکھ دشمن چُھ اکھ نٔوِس گڈرن
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",تَس چھہِ پننِس دِلَس منز کانہہ تہِ درد زِ تہِ چھہِ پننِس دِلَس منز کانہہ تہِ درد زِ تہِ چھہِ پنُن دِلَس منز درد زِ تہِ چھہِ پنُن دِلَس منز درد زِ تہِ چھہِ پنُن دِلَس منز درد زِ تہِ تہِ چھہِ پنُن دِلَس منز درد زِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہِ تہ
"  Car, pareille en tous points à la fraise espagnole,",چونکہ، ہر لحاظہٕ ہسپانوی فرائزس سۭتۍ،
"  La Haine est un carcan, mais c'est une auréole !",نفرت چھُ اکھ کُل، مگر یہ چھُ اکھ اَورول!
"LE BRET (après un silence, passant son bras sous le sien):",بٔری (ہِندِس خاموشی پتہٕ ، پننہِ بازُن پننہِ سٕتۍ منتقل کران):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",تمن اوس نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ باسان، تم ٲسۍ نہٕ کانٛہہ تہ وُچھان،
  Dis-moi tout simplement qu'elle ne t'aime pas !,صرف یہٕ چُھ ونان زِ سُہٕ چُھنہٕ تمس پیوان!
CYRANO (vivement):,CYRANO (جاندار):
  Tais-toi !,چُپ چُپ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(کُنہِ وقتہٕ پتہٕ، کرسٹین گٲی، نوجوانن سۭتۍ گٲی ملوث؛ یم
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,تمن اوس نہٕ سُہٕ سٕتۍ کتھ کٔرتھ۔ تمن اوس ٲخر کار اکیس منز اکھ
