Scène 2.VIII.,سكان 2.VIII.
"  Bref, dédaignant d'être le lierre parasite,",بختصار، مَا نْكَرْشْ الِّي آنَا كُلْ وَاحِدْ مِنْ الِّي يْعِيشْ فِي البُطْرَة،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",وْإِذَا كُنَّا مُوشْ بِالشَّجْرَة وِلاَّ بِالبْلاَصَة،
"  Ne pas monter bien haut, peut-être, mais tout seul !",مُوشْ بَاشْ نْصِلْ لْعُلْيَة، آمَا بِيدْكْ!
LE BRET:,الكبير:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",وْإِي نْعَمِّلْ الشَّيْء هَاذَا وْمَا نْعَمِّلْشْ الشَّيْء هَاذَا عْلَى النَّاسْ الكُلْ.
  As-tu donc contracté la manie effroyable,إِمَّالاَ تِمْشِيتْ بِالمَانِيَّة المُخْشَعَة؟
"  De te faire toujours, partout, des ennemis ?",يَاخِي تَعْمِلْ عْدُو فِي كُلْ بْلاَصَة؟
CYRANO:,سيرانو:
"  A force de vous voir vous faire des amis,",وْكِشَافُوكُمْ تْصَادُّوا،
"  Et rire à ces amis dont vous avez des foules,",وْتِتْهَزُّوا عِنْدْ أَصْدِقْكُمْ الِّي عِنْدْكُمْ جْمَاعَة،
  D'une bouche empruntée au derrière des poules !,مِنْ فُمْ مَقْطُوعْ عِنْدْ دَرْعِةْ الدِّيكَانْ!
"  J'aime raréfier sur mes pas les saluts,",نْحِبْ نْسَلِّمْ عْلَى خَطِّيَّاتِي،
  Et m'écrie avec joie: un ennemi de plus !,"وْإِصْرِخْ لِيَّ بِالفَرْحَة: ""عَدُو وَاحِدْ!"""
LE BRET:,الكبير:
  Quelle aberration !,شنية غرابة!
CYRANO:,سيرانو:
"  Eh bien, oui, c'est mon vice.",إِي نْعَمْ، إِي نْعَمْ.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,نْسَرِّبْ نْعِيشْ وْنَعْمِلْ نْعَزِّي مَا يِكْرَهُونِيش.
"  Mon cher, si tu savais comme l'on marche mieux",حَبِيبِي، إِذَا كُنْتْ تَعْرِفْ كِيفَاشْ نِمْشِيوْ أَحْسَنْ
  Sous la pistolétade excitante des yeux !,تحت قلوب المتحركة!
"  Comme, sur les pourpoints, font d'amusantes taches",كِيف، على المراجع، يَعْمْلُوا بُقْعَة مُسْتَحْلِينْ
  Le fiel des envieux et la bave des lâches !,وْمَا يِسْمْعُوشْ المُحْسِدِينْ وْمَا يِسْمْعُوشْ المُخْشَاوْ.
"  --Vous, la molle amitié dont vous vous entourez,",إِنْتِ، صَاحِبْكِينْ مِنْ عِنْدْكِمْ،
"  Ressemble à ces grands cols d'Italie, ajourés",شكلي هذي الكليات الكبيرة في إيطاليا، متأخرة
"  Et flottants, dans lesquels votre cou s'effémine:",وِالعِينْ المُتْعَبِّينْ فِيهُمْ يِتْرْتَاعْ.
"  On y est plus à l'aise. . .et de moins haute mine,",نْكُونُوا أَكْثِرْ مِنْ رُوحِنَا وْمِنْ قَلْبْ قَلْبْنَا،
"  Car le front n'ayant pas de maintien ni de loi,",وْمَا عِنْدْهُمْشْ حَقْ وْلاَ شَرِيعَة،
"  S'abandonne à pencher dans tous les sens. Mais moi,",يَعْطِي مَا يُطْلُعْشْ فِي كُلْ حَاجَة.
"  La Haine, chaque jour, me tuyaute et m'apprête",الكراهية، كل يوم تُسْبِحْ وِتْحَرِّكْنِي
  La fraise dont l'empois force à lever la tête;,وِالمُرْتَاعَة الِّي تْقَلِّبْهَا تْرُدْ رُوسْهَا.
  Chaque ennemi de plus est un nouveau godron,كل عدو زاد هو كروت جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",وْزَادْ عْذَابْ عْلِيَّ وْزِيدْ عْذَابْ عْلِيَّ.
"  Car, pareille en tous points à la fraise espagnole,",وْكِيفْ مَا يْكُونْ فِي كُلْ شَيْء فِي الفْرَايِسْ الإِسْبَانِيَّة،
"  La Haine est un carcan, mais c'est une auréole !",الكراهية هيكة كربان، و لاكن هيكة أورول!
"LE BRET (après un silence, passant son bras sous le sien):",وْمِنْ بَعْدْ صَمْتْ وْمِنْ بَعْدْ يْدِيهْ تَحْتْ يْدِيهْ:
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",وْإِنْتِ تْكُونْ مِتْكَبِّرْ وْمِتْكَبِّرْ، وْإِنْتِ تْنَحِّي
  Dis-moi tout simplement qu'elle ne t'aime pas !,إقوللي بس لا تحبك!
CYRANO (vivement):,سيرانو (حيا):
  Tais-toi !,ساكت!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(مُدَّة مِالوَقْتْ، دَخَلْ كْرِيشِنْ، وْتَلْقَى فِي الصْبَابْ،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,مَا تَكْلِمُوشْ، وْكِيفْ مَا تَمِّمْ قَعْدْ وَحْدُو عْلَى وَاحِدْ
