Scène 2.VIII.,Escenari 2.VIII.
  Que dans des cabarets tiennent des imbéciles ?,Que en cabarets hi ha idiots?
"  Non, merci ! Travailler à se construire un nom",Treballar per construir un nom
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","En un sonnet, en lloc de fer altres?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Només es pot descobrir talent en les mazes?
"  Être terrorisé par de vagues gazettes,","Ser terroritzat per les vagabonds publicacions,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I sempre dir: Oh, si sóc"
  Dans les petits papiers du Mercure François ?. . .,En els petits documents del Mercuri François? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcular, tenir por, ser boig,"
"  Aimer mieux faire une visite qu'un poème,","Molt més que un poema,"
"  Rédiger des placets, se faire présenter ?","Escriure pistes, presentar-se?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, gràcies, gràcies, no, gràcies, però... cantar,"
"  Rêver, rire, passer, être seul, être libre,","Soñar, riure, passar, estar sol, ser lliure,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Tenir un ull que veu bé, una veu que tremol,"
"  Mettre, quand il vous plaît, son feutre de travers,","Posar, quan vulguis, el seu sentiment de mal,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Per un sí, per un no, lluitar, o fer un ver!"
"  Travailler sans souci de gloire ou de fortune,","Treballar sense preocupar-se de glòria o riquesa,"
"  A tel voyage, auquel on pense, dans la lune !",Un viatge que pensem en la lluna!
"  N'écrire jamais rien qui de soi ne sortît,","No escriure mai res que no surti de tu mateix,"
"  Et modeste d'ailleurs, se dire: mon petit,","I amb modestia, també, dir: ""Mell petit,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Que es satisfaixi de flors, fruits, fins i tot de fulles,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Si és al teu jardí que les recolles!
"  Puis, s'il advient d'un peu triompher, par hasard,","I si arriba a triomfar un poc, per casualitat,"
"  Ne pas être obligé d'en rien rendre à César,",No hi ha cap obligació de pagar res a l'emperador.
"  Vis-à-vis de soi-même en garder le mérite,","Per a si mateix, mantenir el mérit,"
"  Bref, dédaignant d'être le lierre parasite,","En definitiva, desagradable a ser el lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Encara que no siguis el roble o el tison,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No puc pujar molt alt, però només!"
LE BRET:,El BRET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Per si només, però no contra tothom."
  As-tu donc contracté la manie effroyable,Així que has contractat la mania terrible
"  De te faire toujours, partout, des ennemis ?","Fer-se sempre, tot arreu, enemics?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","A causa de veure't fent amics,"
"  Et rire à ces amis dont vous avez des foules,","I riure-se d'aquests amics que tens multituds,"
  D'une bouche empruntée au derrière des poules !,Amb una boca emprestada al fons de gallines!
"  J'aime raréfier sur mes pas les saluts,","M'agrada que els meus peus no m'acollen,"
  Et m'écrie avec joie: un ennemi de plus !,I crida amb alegria: un altre enemic!
LE BRET:,El BRET:
  Quelle aberration !,Quina aberració!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Bé, sí, és el meu vi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Estic content de desfer-me. M'agrada que em odiin.
"  Mon cher, si tu savais comme l'on marche mieux","M'agrada, si saps com camina millor"
  Sous la pistolétade excitante des yeux !,Sota l'excitant punt de vista dels seus ulls.
"  Comme, sur les pourpoints, font d'amusantes taches","Com, en els punts, fan manques divertides"
  Le fiel des envieux et la bave des lâches !,La gall dels envidiables i la maldició dels covats!
"  --Vous, la molle amitié dont vous vous entourez,","-Tu, la suau amistat que t'entoja,"
"  Ressemble à ces grands cols d'Italie, ajourés","Sembla a aquests grans cols d'Itàlia, posades"
"  Et flottants, dans lesquels votre cou s'effémine:","I flotants, en els quals el teu coll es fa faltar:"
"  On y est plus à l'aise. . .et de moins haute mine,",Ens sentim més a l'aula.
"  Car le front n'ayant pas de maintien ni de loi,","Perquè el front no té cap llei ni cap llei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Es dedica a inclinar-se en tots els sens.
"  La Haine, chaque jour, me tuyaute et m'apprête","El odi, cada dia, em fa una pipeta i em prepara"
  La fraise dont l'empois force à lever la tête;,La fragola que el seu pols força a alçar la testa;
  Chaque ennemi de plus est un nouveau godron,Cada enemic més és un nou barranc
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Que m'ha afegit més dolor i més tristesa.
"  Car, pareille en tous points à la fraise espagnole,","Perquè, en tots els aspectes, és igual a la fraisa espanyola,"
"  La Haine est un carcan, mais c'est une auréole !","L'odi és un carcan, però és un auréol!"
"LE BRET (après un silence, passant son bras sous le sien):","EL BRET (després d'un silenci, passant el seu braç sota el seu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Fes-ho alt i amarg, però baix"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Només diguis que ella no et estima!
CYRANO (vivement):,CYRANO (vivent):
  Tais-toi !,- No et parlis!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Des de moment, Christian va entrar, es va meter amb els joves; aquests"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,no li parlen; finalment es va asseure sol a una
