Scène 2.VIII.,Yanayin 2.VIII.
"  A tel voyage, auquel on pense, dans la lune !","Tafiya zuwa wata, kamar yadda muke tunani!"
"  N'écrire jamais rien qui de soi ne sortît,",Kada ka rubuta wani abu da ba zai fito daga zuciyarka ba.
"  Et modeste d'ailleurs, se dire: mon petit,","Kuma mai tawali'u, yana cewa: ""Ɗana,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ko da yake suna da furanni, 'ya'yan itatuwa ko kuma ganye,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Idan kana da gonarka ka tara su!
"  Puis, s'il advient d'un peu triompher, par hasard,","Sa'an nan kuma idan ya yi nasara kaɗan, to, a sãshe,"
"  Ne pas être obligé d'en rien rendre à César,","Ba a tilasta maka ka ba da wani abu ga Kaisar ba,"
"  Vis-à-vis de soi-même en garder le mérite,",Ka riƙe da daraja a kan kanka.
"  Bref, dédaignant d'être le lierre parasite,","A takaice dai, da ƙin kasancewa da lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Idan ba mu kasance itace ba, ko kuma ba mu kasance ba,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ba za ka iya hawa sama ba, amma kai kaɗai!"
LE BRET:,Abin da ya faru:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ba za mu iya yin hakan ba, amma ba za mu iya yin hakan ba."
  As-tu donc contracté la manie effroyable,"To, shin, kunã da wata cũta mai ban tsoro?"
"  De te faire toujours, partout, des ennemis ?",Don yin magabtanka a ko'ina?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Da ganin ka yi abokai,"
"  Et rire à ces amis dont vous avez des foules,","Kuma ka yi dariya ga abokanka da ka ke da taron jama'a,"
  D'une bouche empruntée au derrière des poules !,Ba za a iya ba da bakinsa ba!
"  J'aime raréfier sur mes pas les saluts,",Ina son yin gaisuwa a kan ƙafafuna.
  Et m'écrie avec joie: un ennemi de plus !,"Ka yi mini ihu da farin ciki, ka ce, ""An ƙara samun maƙiyi!"""
LE BRET:,Abin da ya faru:
  Quelle aberration !,Wannan ba daidai ba ne!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","To, a'a, wannan shi ne abin da na yi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ina son mutane su ƙi ni.
"  Mon cher, si tu savais comme l'on marche mieux","Ya ƙaunataccena, da ka san yadda za a yi tafiya mafi kyau"
  Sous la pistolétade excitante des yeux !,A ƙarƙashin fuskar da ke motsa idanu!
"  Comme, sur les pourpoints, font d'amusantes taches","Kamar yadda, a kan maki, yi fun spots"
  Le fiel des envieux et la bave des lâches !,"""Rashin kishi da ƙazantar 'yan tsoronsa""."
"  --Vous, la molle amitié dont vous vous entourez,","""Ku da kuke kewaye da juna,"
"  Ressemble à ces grands cols d'Italie, ajourés","Kamar manyan ƙuƙwalwar Italiya, an jinkirta"
"  Et flottants, dans lesquels votre cou s'effémine:","Kuma sunã gudãna a cikinsa, a cikinsa ne ƙafãfunku suke tsõro."
"  On y est plus à l'aise. . .et de moins haute mine,",Muna jin dadi sosai.
"  Car le front n'ayant pas de maintien ni de loi,","Domin idanunsu ba su da wani tsari ko doka,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Yana da wuya a yi tunani a kan kowane hali.
"  La Haine, chaque jour, me tuyaute et m'apprête","Kowace rana, ƙiyayya tana yi mini ba'a kuma tana yi mini ba'a"
  La fraise dont l'empois force à lever la tête;,"""Sandarin da ke ɗauke da guba ya sa ya ɗaga kansa."
  Chaque ennemi de plus est un nouveau godron,Kowane ƙarin abokin gaba sabon dabino ne
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","""Ya ƙara mini wahala, ya kuma ƙara mini baƙin ciki."
"  Car, pareille en tous points à la fraise espagnole,","Domin kamar yadda yake a dukan fannoni, strawberry na Spain,"
"  La Haine est un carcan, mais c'est une auréole !","Ƙiyayya ta zama kamar ƙwaya, amma ita ce tauraron sama!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (bayan shiru, wucewa da hannu a karkashin kansa):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ka yi girman kai da kuma nuna rashin tausayi, amma ka ƙasƙantar da kai."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ka gaya mini kawai cewa ba ta son ka!
CYRANO (vivement):,CYRANO (mai rai):
  Tais-toi !,Shiru!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(A lokacin, Christian ya shiga, ya shiga cikin matasa; wadannan"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ba su yi magana da shi, ya ƙare har ya zauna shi kadai a wani"
