Scène 2.VIII.,La escena 2.VIII.
  Grimper par ruse au lieu de s'élever par force ?,¿Climar con astúcia en llugar de subir con fuerza?
"  Non, merci. Dédier, comme tous il le font,","Nun, gracias. Dedicar, como faen tolos,"
  Des vers aux financiers ? se changer en bouffon,"De vermes a financieros, convertir nun bufón."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","En la humilde esperanza de ver, a los llabios d'un ministru,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nacer una sonrisa, n'otres pallabres, que nun ye sinistra."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nun, gracias. ¿Almuerzo, cada día, con un cucaracha?"
  Avoir un ventre usé par la marche ? une peau,La so estómago usáu pol paseu?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","¿Quién más rápido, en llugar de les rodillas, se vuelve suciu?"
  Exécuter des tours de souplesse dorsale ?. . .,¿Facir torneos d'equipación d'espalda? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nun, gracias. Con una mano flatear a la cabra nel cuelu"
"  Cependant que, de l'autre, on arrose le chou,","Pero si, del otru, arrodamos el colesu,"
"  Et, donneur de séné par désir de rhubarbe,","El so padre, el so padre, yera un gran amigu de la familia de los sos padres."
"  Avoir son encensoir, toujours, dans quelque barbe ?","¿Tener el so incensariu, siempre, nun barbu?"
"  Non, merci ! Se pousser de giron en giron,","Nun, gracias."
"  Devenir un petit grand homme dans un rond,","Nun ye un gran home, nun ye un gran home."
"  Et naviguer, avec des madrigaux pour rames,","La navegación, con madrigues de remes,"
  Et dans ses voiles des soupirs de vieilles dames ?,¿Y nel so velo sos sos sospiros de vieyes damas?
"  Non, merci ! Chez le bon éditeur de Sercy","Nun, gracias, al editor de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",¿Pedir a los editores que los editen pagando?
  S'aller faire nommer pape par les conciles,El so nome foi nomáu papa polos conciles.
  Que dans des cabarets tiennent des imbéciles ?,¿Que nun cabaret tienen tolos tolos?
"  Non, merci ! Travailler à se construire un nom","Nun, gracias, trabayar pa construyir un nome."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","¿Nun soné un soníu, en llugar de facer otros?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Gracies, ¿nun ye que la xente que descubre talentu ye la de los mazos?"
"  Être terrorisé par de vagues gazettes,","Esti terrorizáu polos periódicos ondulaos,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Y nun cese a pensar: Oh, si yo fuera"
  Dans les petits papiers du Mercure François ?. . .,En los pequeños papeles de Francisco Mercuriu? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nun, gracias. Calcular, tener miedo, ser llenu,"
"  Aimer mieux faire une visite qu'un poème,","Más que gustar de visitar un poema,"
"  Rédiger des placets, se faire présenter ?","¿Fabricar pistes, presentase?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nun, gracias, nun, gracias, nun, gracias, pero... cantar, cantar, cantar, cantar."
"  Rêver, rire, passer, être seul, être libre,","El so soníu, la risa, el pase, el solir, el solir,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","La so mirada ye clara, la so voz vibrante,"
"  Mettre, quand il vous plaît, son feutre de travers,",La so sensibilidá ye de cutiu un problema de la vida.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Por un sí, por un no, lluchar, - o facer un vermu!"
"  Travailler sans souci de gloire ou de fortune,","Trabayar ensin buscar gloria o riqueza,"
"  A tel voyage, auquel on pense, dans la lune !",A un viaxe tan memorable como'l de la lluna.
"  N'écrire jamais rien qui de soi ne sortît,","Nunca escribir nada que nun pue salir de ti,"
"  Et modeste d'ailleurs, se dire: mon petit,","Y modestu, de la mesma, dir: ""Míu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","La so vida nun se llena de flores, frutos, nin siquiera de feules."
  Si c'est dans ton jardin à toi que tu les cueilles !,Si ye nel so xardín que los recoyes!
"  Puis, s'il advient d'un peu triompher, par hasard,","El so padre, el so padre, yera un fíu de la familia de los hermanos de la familia de los hermanos."
"  Ne pas être obligé d'en rien rendre à César,","Nun ye obligáu pagar nada a César,"
"  Vis-à-vis de soi-même en garder le mérite,","En contra de sí mesmu tien el méritu,"
"  Bref, dédaignant d'être le lierre parasite,","En definitiva, despierta de ser la lleira parasita,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Cuando nun somos el roble o el llorín,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nun ye una gran montaña, pero solo."
LE BRET:,El BRET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","La so única, pero non contra tolos."
  As-tu donc contracté la manie effroyable,¿Y si nun tienes la terrible manía?
"  De te faire toujours, partout, des ennemis ?",¿Que te facíen enemigos en tolos llugares?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","En ver que faen amigos,"
"  Et rire à ces amis dont vous avez des foules,","Y ríeos d'estos amigos que tienes multitúes,"
  D'une bouche empruntée au derrière des poules !,La boca llomba a la cola de los pollos.
"  J'aime raréfier sur mes pas les saluts,","Tamién me gusta saludar en los pies,"
  Et m'écrie avec joie: un ennemi de plus !,Y llora-y con alegría: ¡Un enemigu más!
LE BRET:,El BRET:
  Quelle aberration !,El so padre foi un fíu de la familia de los sos padres.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",Nun ye un problema.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,La so vida ye una de les más diverties de la hestoria.
"  Mon cher, si tu savais comme l'on marche mieux","La mio cara, si sabíes cómo caminar meyor"
  Sous la pistolétade excitante des yeux !,Encuentra'l puertu de los ojos.
"  Comme, sur les pourpoints, font d'amusantes taches","Como, nos puntos de vista, fai manches divertiques"
  Le fiel des envieux et la bave des lâches !,La gallina de los celosos y la maldición de los cobardes!
"  --Vous, la molle amitié dont vous vous entourez,","- Tú, la suave amistá que te rodea,"
"  Ressemble à ces grands cols d'Italie, ajourés",El so nome ye'l de la ciudá de San Francisco.
"  Et flottants, dans lesquels votre cou s'effémine:","Y flotantes, nes que'l so cuelu se esplica:"
"  On y est plus à l'aise. . .et de moins haute mine,",El so nome ye'l de la ciudá de San Francisco.
"  Car le front n'ayant pas de maintien ni de loi,","La cara nun tien regresu ni llei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","El so padre, el so padre, yera un gran amigu de la familia de los sos padres."
"  La Haine, chaque jour, me tuyaute et m'apprête",El odio cada día me ta tirando y me ta preparando.
  La fraise dont l'empois force à lever la tête;,La morra que'l venenu obliga a levantar la cabeza;
  Chaque ennemi de plus est un nouveau godron,Cada enemigu más ye un nuevu cueru.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","El que me fai llorar, y me fai llorar."
"  Car, pareille en tous points à la fraise espagnole,","Porque, como en tolos sentidos la fraise española,"
"  La Haine est un carcan, mais c'est une auréole !","El Odiu ye un carcan, pero ye un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","El BRET (después d'un silenciu, pasando'l so brazu debaxo del so):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","El orgullo ye altu y amargu, pero humildemente."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Nun me digas que nun te gusta.
CYRANO (vivement):,CYRANO (vivu):
  Tais-toi !,¡Sálla!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Después d'un momentu, Christian entró, entró nel grupu de les menores; estes"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,Nun se fala con él; finalmente sentóse sol a una
